,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2020-06-30,1584.00000,976.80000,607.20000,-247.20000,385.50000,221.70010,-50.00000,171.70000,9.90000,161.80000,161.80000,,153.70000,344.30010,221.70010,190.50000,194.10000,0.81000,0.79000
2020-03-31,1866.90000,1081.60000,785.30000,-295.40000,378.80000,406.50000,-50.50000,356.00000,0.60000,355.40000,355.40000,,346.30000,578.90000,406.50000,188.70000,193.20000,1.83000,1.79000
2019-12-31,1721.40000,1138.30000,583.10010,-318.09990,456.69900,126.40040,-42.40000,84.00000,-21.60000,105.60000,105.60000,,98.50000,256.00040,126.40060,186.00000,190.10000,0.52000,0.51000
2019-09-30,1825.20000,1236.10000,589.10000,-302.70000,422.00000,167.09990,-52.30000,114.80000,-22.30000,137.10000,137.10000,,126.10000,286.39980,167.09990,186.30000,190.70000,0.68000,0.66000
2019-06-30,1657.80000,1098.30000,559.50000,-290.70000,409.10000,150.39990,-44.90000,105.50000,-15.90000,121.40000,121.40000,,110.10000,265.39990,150.39990,185.80000,189.80000,0.59000,0.58000
2019-03-31,1990.60000,1219.60000,771.00000,-295.60000,409.00000,362.00000,-40.20000,321.80000,-29.90000,351.70000,351.70000,,334.10000,472.50000,362.00000,184.50000,188.40000,1.81000,1.77000
2018-12-31,1657.40000,1194.30000,463.10030,-271.20000,383.40000,79.70000,-36.50000,43.20000,-84.60000,127.80000,127.80000,,117.30000,189.49990,79.69980,182.70000,186.20000,0.63000,0.62000
2018-09-30,1778.50000,1274.50000,504.00000,-265.00000,377.00000,127.00000,-36.70000,90.30000,-48.10000,138.40000,138.40000,,127.60000,233.20000,127.00000,183.30000,186.80000,0.70000,0.68000
2018-06-30,1660.40000,1166.50000,493.90000,-258.20000,356.40000,137.50010,-33.90000,103.60000,-20.10000,123.70000,123.70000,,114.90000,241.70010,137.50010,182.40000,185.50000,0.63000,0.62000
2018-03-31,1837.70000,1207.00000,630.70000,-250.90000,357.10000,273.59990,-31.30000,242.30000,-43.70000,286.00000,286.00000,,273.70000,372.39980,273.59990,181.50000,185.00000,1.51000,1.48000
2017-12-31,1519.40000,1108.70000,410.69980,-250.30000,350.30000,60.40020,-31.20000,29.20000,-49.30000,78.50000,78.50000,,71.50000,157.00010,60.40050,180.10000,182.10000,0.39000,0.37000
2017-09-30,1593.70000,1131.90000,461.79990,-242.80000,353.50000,108.29990,-31.40000,76.90000,-41.20000,118.10000,118.10000,,111.00000,208.39990,108.29990,180.50000,182.50000,0.61000,0.61000
2017-06-30,1489.50000,1064.00000,425.50000,-239.40000,339.80000,85.70000,-31.60000,54.10000,-24.20000,78.30000,78.30000,,70.00000,181.00000,85.70000,179.90000,181.60000,0.39000,0.39000
2017-03-31,1646.40000,1078.70000,567.70010,-232.60000,338.20000,229.50000,-29.90000,199.60000,-42.40000,242.00000,242.00000,,228.80000,323.30000,229.50000,178.90000,180.60000,1.28000,1.27000
2016-12-31,1470.70000,987.00000,483.70010,-309.70000,409.90000,73.79980,-28.30000,45.50000,-40.80000,86.30000,86.30000,,77.50000,163.09980,73.79970,177.60000,178.40000,0.43000,0.43000
2016-09-30,1482.30000,1076.30000,406.00010,-189.60000,282.60000,123.40010,-28.50000,94.90000,-35.50000,130.40000,130.40000,,122.80000,212.30010,123.40010,177.60000,178.50000,0.69000,0.69000
2016-06-30,1427.10000,956.00000,471.10000,-204.60000,306.40000,164.70010,-27.20000,137.50000,-18.20000,155.70000,155.70000,,150.00000,253.30010,164.70010,177.40000,178.30000,0.85000,0.84000
2016-03-31,1300.40000,926.50000,373.90000,-204.50000,292.40000,81.50000,-25.80000,55.70000,-2.20000,57.90000,57.90000,,46.50000,165.50000,81.50000,177.00000,177.60000,0.26000,0.26000
2015-12-31,1334.90000,950.20000,384.69970,-222.00000,330.50000,54.19920,-25.80000,28.40000,-39.80000,68.20000,68.20000,,62.30000,147.99920,54.19930,172.20000,173.20000,0.36000,0.37000
2015-09-30,1454.80000,1023.80000,431.00000,-208.10000,299.70000,131.30000,-25.60000,105.70000,-35.20000,140.90000,140.90000,,133.30000,213.20000,131.30000,176.00000,176.80000,0.76000,0.75000
2015-06-30,1371.40000,921.90000,449.50010,-207.10000,295.00000,154.50010,-26.00000,128.50000,-19.10000,147.60000,147.60000,,139.30000,236.80010,154.50010,170.60000,171.70000,0.82000,0.81000
2015-03-31,1231.30000,884.50000,346.80000,-203.50000,290.30000,56.50000,-25.60000,30.90000,-1.50000,32.40000,32.40000,,21.90000,132.70000,56.50000,165.60000,166.80000,0.13000,0.13000
2014-12-31,1245.40000,897.90000,347.49990,-217.80000,292.30000,55.19980,-25.70000,29.50000,-25.20000,54.70000,54.70000,,51.50000,128.79980,55.19980,152.90000,154.30000,0.32000,0.33000
2014-09-30,1286.80000,890.80000,396.00010,-197.30000,274.70000,121.30000,-25.90000,95.40000,-5.90000,101.30000,101.30000,,93.60000,194.20000,121.30000,160.20000,161.50000,0.58000,0.58000
2014-06-30,1179.30000,800.50000,378.80000,-179.20000,245.70000,133.10010,-21.20000,111.90000,-1.80000,113.70000,113.70000,,109.00000,192.60010,133.10010,154.30000,155.70000,0.71000,0.70000
2014-03-31,915.00000,637.30000,277.70000,-148.80000,206.80000,70.90000,-16.20000,54.70000,-3.10000,57.80000,57.80000,,49.30000,123.80000,70.90000,134.20000,135.80000,0.37000,0.36000
2013-12-31,890.20010,628.80000,261.40000,-131.20000,181.70010,79.70000,-13.90000,65.80000,-10.20000,76.00000,76.00000,,60.00000,130.00000,79.70010,128.90000,130.50000,0.46000,0.44000
2013-09-30,835.80000,559.40000,276.40000,-133.10000,177.80000,98.60000,-13.10000,85.50000,10.90000,74.60000,74.60000,,74.60000,143.70000,98.60000,129.80000,131.30000,0.57000,0.57000
2013-06-30,779.50000,492.10000,287.40000,-137.80000,178.10000,109.30000,-11.90000,97.40000,3.90000,93.50000,93.50000,,93.50000,152.10000,109.30000,127.30000,128.90000,0.73000,0.73000
2013-03-31,674.10000,442.00000,232.10000,-133.80000,178.60000,53.50000,-11.20000,42.30000,1.80000,40.50000,40.50000,,40.50000,93.90000,53.50000,126.10000,127.50000,0.32000,0.32000
2012-12-31,673.20000,448.20000,225.00000,-129.60000,168.70000,56.30010,-10.90000,45.40000,11.90000,33.50000,33.50000,,33.50000,93.00010,56.30010,121.00000,122.50000,0.27000,0.26000
2012-09-30,650.40000,401.60000,248.80000,-121.60000,161.80000,87.00000,-10.70000,76.30000,14.60000,61.70000,61.70000,,61.70000,123.50000,87.00000,123.10000,124.50000,0.50000,0.50000
2012-06-30,649.90000,393.10000,256.80000,-123.70000,154.90000,101.90000,-10.80000,91.10000,19.40000,71.70000,71.70000,,71.70000,138.30000,101.90000,119.70000,121.20000,0.60000,0.59000
2012-03-31,546.80000,362.10000,184.70000,-108.30000,141.60000,43.10000,-10.60000,32.50000,4.40000,28.10000,28.10000,,28.10000,73.90000,43.10000,116.40000,117.80000,0.24000,0.24000
2011-12-31,578.39990,380.59990,197.80000,-106.30000,140.00010,57.79990,-10.40000,47.40000,6.90000,40.50000,40.50000,,40.50000,91.69990,57.80000,111.70000,112.50000,0.36000,0.36000
2011-09-30,562.80000,345.90000,216.90000,-110.50000,135.60000,81.30000,-10.30000,71.00000,24.30000,46.70000,46.70000,,46.70000,110.70000,81.30000,112.60000,113.10000,0.41000,0.41000
2011-06-30,546.10000,336.50000,209.60000,-108.20000,133.10000,76.50000,-10.60000,65.90000,24.20000,41.70000,41.70000,,41.70000,103.90000,76.50000,111.00000,111.80000,0.38000,0.37000
2011-03-31,447.40000,295.10000,152.30000,-94.00000,119.30000,33.00000,-9.50000,23.50000,8.30000,15.20000,15.20000,,15.20000,57.50000,33.00000,109.30000,110.30000,0.14000,0.14000
2010-12-31,459.10000,299.00000,160.10000,-101.20000,125.59990,34.50020,-8.70000,25.80000,-20.20000,46.00000,46.00000,8.70000,54.70000,58.60020,34.50000,104.80000,105.10000,0.52000,0.52000
2010-09-30,463.20000,280.50000,182.70000,-84.80000,103.70000,79.00000,-8.60000,70.40000,24.20000,46.20000,46.20000,,46.20000,101.80000,79.00000,105.50000,105.70000,0.44000,0.44000
2010-06-30,459.50000,275.80000,183.70000,-87.40000,111.10000,72.60000,-8.70000,63.90000,22.00000,41.90000,41.90000,2.10000,44.00000,97.20000,72.60000,104.40000,104.60000,0.42000,0.42000
2010-03-31,482.40000,326.20000,156.20000,-81.20000,104.70000,51.50000,-8.60000,42.90000,13.70000,29.20000,29.20000,,29.20000,73.10000,51.50000,102.70000,102.90000,0.28000,0.28000
2009-12-31,435.10010,283.80000,151.30010,-89.60000,116.10000,35.20010,-4.80000,30.40000,11.00000,19.40000,19.40000,-2.60000,16.80000,57.60010,35.20010,100.50000,100.60000,0.16000,0.16000
2009-09-30,439.50000,263.20000,176.30000,-83.70000,105.20000,71.10000,-8.00000,63.10000,21.50000,41.60000,41.60000,,41.60000,92.60000,71.10000,101.40000,101.60000,0.41000,0.41000
2009-06-30,453.60000,270.40000,183.20000,-79.10000,100.70000,82.50000,-8.40000,74.10000,30.30000,43.80000,43.80000,,43.80000,104.10000,82.50000,100.60000,100.70000,0.44000,0.44000
2009-03-31,401.10000,251.30000,149.80000,-78.90000,99.00000,50.80000,-7.30000,43.50000,15.20000,28.30000,28.30000,-1.90000,26.40000,70.90000,50.80000,98.00000,98.10000,0.27000,0.27000
