,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2013-06-30,227.11900,58.09000,169.02900,31.31900,-27.85800,117.85000,51.17900,-48.94900,2.23000,-12.20400,14.43400,-1.45900,80.67900,-27.40700,36.56600,115.44800,51.17900,407.64000,408.83100,0.09000,0.09000
2013-03-31,227.01500,57.44400,169.57100,34.02000,-2.23000,95.22600,74.34500,-52.87200,21.47300,15.57300,5.90000,23.17000,64.34400,5.62400,53.19700,137.11800,74.34500,406.66200,407.66600,0.13000,0.13000
2012-12-31,120.00200,34.05300,85.94900,28.32200,-8.27100,68.27900,17.67000,-53.38200,-35.71200,2.72700,-38.43900,1.40000,4.32600,87.09000,59.53000,82.44800,17.67000,405.99700,406.68900,0.14000,0.14000
2012-09-30,222.86300,57.42600,165.43700,29.88000,-0.88800,94.62200,70.81500,-56.30800,14.50700,5.52000,8.98700,,43.72400,13.36000,26.80800,137.58800,70.81500,405.81000,406.74700,0.07000,0.07000
2012-06-30,226.51900,57.66500,168.85400,30.90800,-2.64300,93.28200,75.57200,-53.48700,22.08500,3.30200,18.78300,12.14700,75.35600,-7.02800,48.27100,141.87800,75.57200,405.56000,406.47600,0.12000,0.12000
2012-03-31,223.98900,57.83000,166.15900,34.41400,-3.33000,97.30000,68.85900,-57.98200,10.87700,4.05400,6.82300,2.00800,54.59600,4.55200,38.06400,133.74400,68.85900,406.27200,407.27900,0.09000,0.09000
2011-12-31,156.24200,37.61400,118.62800,28.35500,-11.28400,78.24800,40.38000,-40.11000,0.27000,11.49700,-11.22700,,19.68900,30.36300,31.70800,102.70700,40.38000,406.53000,407.66900,0.08000,0.08000
2011-09-30,213.02500,58.59700,154.42800,30.84600,-4.03700,91.75300,62.67500,-53.99200,8.68300,4.44300,4.24000,,48.66900,9.92400,39.99000,123.20100,62.67500,406.56400,407.29200,0.10000,0.10000
2011-06-30,220.07400,58.81600,161.25800,29.61200,-3.72100,92.46400,68.79400,-43.51000,25.28400,5.64000,19.64400,,42.29900,-0.98400,23.86800,130.74800,68.79400,406.55900,407.56200,0.06000,0.06000
2011-03-31,225.13600,65.80900,159.32700,29.74600,,93.39600,65.93100,-48.81200,17.11900,4.20900,12.91000,,30.75900,1.26300,14.12200,132.26300,65.93100,406.44000,407.36100,0.03000,0.03000
2010-12-31,167.56100,41.33200,126.22900,26.01900,-39.22400,108.55900,17.67000,-40.71700,-23.04700,-0.54400,-22.50300,,8.32700,38.34800,21.87300,80.27300,17.67000,405.82700,406.20100,0.05000,0.05000
2010-09-30,216.31300,60.36000,155.95300,28.45200,-0.74100,89.00800,66.94500,-60.57100,6.37400,2.70800,3.66600,,31.81600,1.17300,17.47100,128.80800,66.94500,405.85400,406.25300,0.04000,0.04000
2010-06-30,219.73900,61.32200,158.41700,26.42500,-3.00900,87.24200,71.17500,-52.30700,18.86800,-0.10100,18.96900,,26.40700,-1.51500,12.78900,132.75600,71.17500,405.70500,406.00900,0.03000,0.03000
2010-03-31,223.19300,64.41000,158.78300,28.13800,-0.32900,84.73300,74.05000,-48.34000,25.71000,1.14500,24.56500,,53.57200,1.14600,39.01400,135.64000,74.05000,405.56400,405.71300,0.10000,0.10000
2009-12-31,195.69500,56.64100,139.05400,26.56500,19.86400,60.85200,78.20210,-89.84400,-11.64200,-17.99600,6.35400,,40.88200,9.81200,40.35500,137.92510,78.20200,350.07700,350.07700,0.08000,0.08000
2009-09-30,200.25800,57.60800,142.65000,27.93700,4.38200,78.93400,63.71600,-31.18600,32.53000,-0.69100,33.22100,,42.16700,0.98900,28.28600,120.35500,63.71600,376.55900,378.12700,0.07000,0.07000
2009-06-30,198.39400,54.43700,143.95700,26.10400,-38.50300,120.13300,23.82400,-129.73200,-105.90800,-0.69200,-105.21600,,-120.48800,-12.93400,-146.47300,79.09800,23.82400,368.25400,368.25400,-0.40000,-0.40000
2009-03-31,203.55100,58.62000,144.93100,29.35400,-4.21500,90.26300,54.66800,-23.65600,31.01200,-0.68200,31.69400,,41.33600,0.43000,26.60200,110.80800,54.66800,271.08300,271.15800,0.10000,0.10000
