,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2017-12-31,3685.00000,3685.00000,2114.00000,-901.00000,670.00000,-28.00000,642.00000,614.00000,28.00000,28.00000,,29.00000,795.00000,670.00000,513.00000,519.00000,0.06000,0.06000
2017-09-30,3341.00000,3341.00000,1968.00000,-838.00000,535.00000,2.00000,537.00000,140.00000,397.00000,397.00000,,393.00000,655.00000,535.00000,512.00000,519.00000,0.77000,0.76000
2017-06-30,3495.00000,3495.00000,1998.00000,-796.00000,701.00000,10.00000,711.00000,204.00000,507.00000,507.00000,,501.00000,817.00000,701.00000,514.00000,520.00000,0.98000,0.96000
2017-03-31,3503.00000,3503.00000,2005.00000,-749.00000,749.00000,4.00000,753.00000,175.00000,578.00000,578.00000,,569.00000,869.00000,749.00000,515.00000,522.00000,1.10000,1.09000
2016-12-31,3364.00000,3364.00000,2151.00000,-813.00000,400.00000,188.00000,588.00000,147.00000,441.00000,441.00000,,436.00000,508.00000,400.00000,519.00000,524.00000,0.85000,0.84000
2016-09-30,3135.00000,3135.00000,1817.00000,-746.00000,572.00000,-47.00000,525.00000,141.00000,384.00000,384.00000,,379.00000,681.00000,572.00000,518.00000,523.00000,0.73000,0.73000
2016-06-30,3376.00000,3376.00000,1872.00000,-778.00000,726.00000,-45.00000,681.00000,201.00000,480.00000,480.00000,,472.00000,836.00000,726.00000,521.00000,525.00000,0.91000,0.90000
2016-03-31,3336.00000,3336.00000,1854.00000,-749.00000,733.00000,-47.00000,686.00000,196.00000,490.00000,490.00000,,481.00000,844.00000,733.00000,521.00000,526.00000,0.92000,0.91000
2015-12-31,3338.00000,3338.00000,1900.00000,-844.00000,594.00000,-43.00000,551.00000,171.00000,380.00000,380.00000,,375.00000,705.00000,594.00000,531.00000,536.00000,0.73000,0.72000
2015-09-30,3115.00000,3115.00000,1878.00000,-776.00000,461.00000,-4.00000,457.00000,128.00000,329.00000,329.00000,2.00000,323.00000,569.00000,461.00000,528.00000,533.00000,0.61000,0.61000
2015-06-30,3225.00000,3225.00000,1826.00000,-770.00000,629.00000,-34.00000,595.00000,166.00000,429.00000,429.00000,,419.00000,732.00000,629.00000,535.00000,541.00000,0.78000,0.77000
2015-03-31,3215.00000,3215.00000,1730.00000,-750.00000,735.00000,-31.00000,704.00000,206.00000,498.00000,498.00000,-3.00000,482.00000,836.00000,735.00000,539.00000,545.00000,0.89000,0.88000
2014-12-31,3246.00000,3246.00000,1896.00000,-814.00000,536.00000,-168.00000,368.00000,99.00000,269.00000,269.00000,30.00000,294.00000,635.00000,536.00000,545.00000,553.00000,0.55000,0.54000
2014-09-30,3141.00000,3141.00000,1904.00000,-792.00000,445.00000,-13.00000,432.00000,127.00000,305.00000,305.00000,-1.00000,297.00000,543.00000,445.00000,544.00000,551.00000,0.55000,0.54000
2014-06-30,3300.00000,3300.00000,1876.00000,-777.00000,647.00000,-39.00000,608.00000,168.00000,440.00000,440.00000,-2.00000,431.00000,741.00000,647.00000,549.00000,556.00000,0.78000,0.77000
2014-03-31,3264.00000,3264.00000,1839.00000,-752.00000,673.00000,-24.00000,649.00000,192.00000,457.00000,457.00000,-1.00000,443.00000,770.00000,673.00000,548.00000,556.00000,0.81000,0.80000
2013-12-31,3115.00000,3115.00000,1833.00000,-793.00000,489.00000,-51.00000,438.00000,131.00000,307.00000,307.00000,,303.00000,581.00000,489.00000,549.00000,558.00000,0.55000,0.55000
2013-09-30,2932.00000,2932.00000,1824.00000,-704.00000,404.00000,-21.00000,383.00000,123.00000,260.00000,260.00000,-1.00000,253.00000,493.00000,404.00000,549.00000,558.00000,0.46000,0.45000
2013-06-30,3088.00000,3088.00000,1766.00000,-745.00000,577.00000,-13.00000,564.00000,164.00000,400.00000,400.00000,-5.00000,388.00000,667.00000,577.00000,551.00000,559.00000,0.71000,0.69000
2013-03-31,3126.00000,3126.00000,1803.00000,-716.00000,607.00000,-19.00000,588.00000,176.00000,412.00000,412.00000,12.00000,413.00000,694.00000,607.00000,548.00000,557.00000,0.75000,0.74000
2012-12-31,3002.00000,3002.00000,1802.00000,-794.00000,406.00000,-36.00000,370.00000,105.00000,265.00000,265.00000,-2.00000,259.00000,501.00000,406.00000,544.00000,552.00000,0.48000,0.47000
2012-09-30,2845.00000,2845.00000,1760.00000,-707.00000,378.00000,-42.00000,336.00000,90.00000,246.00000,246.00000,1.00000,241.00000,465.00000,378.00000,544.00000,552.00000,0.44000,0.44000
2012-06-30,3026.00000,3026.00000,1776.00000,-732.00000,518.00000,-35.00000,483.00000,144.00000,339.00000,339.00000,-2.00000,329.00000,602.00000,518.00000,545.00000,553.00000,0.60000,0.59000
2012-03-31,3051.00000,3051.00000,1796.00000,-728.00000,527.00000,-20.00000,507.00000,153.00000,354.00000,354.00000,0.00000,347.00000,610.00000,527.00000,542.00000,551.00000,0.64000,0.63000
2011-12-31,2908.00000,2908.00000,1767.00000,-750.00000,391.00000,-47.00000,344.00000,100.00000,244.00000,244.00000,16.00000,262.00000,473.00000,391.00000,542.00000,551.00000,0.48000,0.47000
2011-09-30,2806.00000,2806.00000,1753.00000,-743.00000,310.00000,-112.00000,198.00000,65.00000,133.00000,133.00000,2.00000,129.00000,395.00000,310.00000,540.00000,549.00000,0.24000,0.24000
2011-06-30,2928.00000,2928.00000,1728.00000,-735.00000,465.00000,-50.00000,415.00000,129.00000,286.00000,286.00000,3.00000,280.00000,547.00000,465.00000,547.00000,555.00000,0.51000,0.50000
2011-03-31,2884.00000,2884.00000,1721.00000,-691.00000,472.00000,-25.00000,447.00000,128.00000,319.00000,319.00000,12.00000,322.00000,555.00000,472.00000,544.00000,552.00000,0.59000,0.58000
2010-12-31,2785.00000,2785.00000,1690.00000,-770.00000,325.00000,-27.00000,298.00000,106.00000,192.00000,192.00000,14.00000,195.00000,408.00000,325.00000,540.00000,544.00000,0.37000,0.37000
2010-09-30,2524.00000,2524.00000,1586.00000,-699.00000,239.00000,-56.00000,183.00000,55.00000,128.00000,128.00000,43.00000,165.00000,323.00000,239.00000,543.00000,548.00000,0.30000,0.30000
2010-06-30,2606.00000,2606.00000,1614.00000,-1042.00000,-50.00000,-39.00000,-89.00000,-60.00000,-29.00000,-29.00000,271.00000,236.00000,43.00000,-50.00000,541.00000,545.00000,0.43000,0.43000
2010-03-31,2635.00000,2635.00000,1575.00000,-635.00000,425.00000,-48.00000,377.00000,103.00000,274.00000,274.00000,-22.00000,248.00000,522.00000,425.00000,533.00000,536.00000,0.46000,0.45000
2009-12-31,2398.00000,2398.00000,1550.00000,-883.00000,-35.00000,-34.00000,-69.00000,-57.00000,-12.00000,-12.00000,38.00000,19.00000,53.00000,-35.00000,522.00000,524.00000,0.05000,0.05000
2009-09-30,2354.00000,2354.00000,1533.00000,-626.00000,195.00000,-34.00000,161.00000,-46.00000,207.00000,207.00000,18.00000,221.00000,289.00000,195.00000,524.00000,526.00000,0.41000,0.41000
2009-06-30,2470.00000,2470.00000,1528.00000,-648.00000,294.00000,-93.00000,201.00000,44.00000,157.00000,157.00000,-347.00000,-193.00000,702.00000,294.00000,522.00000,523.00000,-0.36000,-0.37000
2009-03-31,2609.00000,2609.00000,1571.00000,-714.00000,324.00000,-65.00000,259.00000,80.00000,179.00000,179.00000,1.00000,176.00000,414.00000,324.00000,515.00000,515.00000,0.33000,0.33000
