,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2020-06-30,176.22700,67.01600,109.21100,9.81400,11.68200,60.91600,48.29500,-37.43600,10.85900,10.85900,10.85900,,8.49600,111.07900,48.29500,75.39400,75.39400,0.11000,0.11000
2020-03-31,231.55700,73.37600,158.18100,10.25100,,72.43900,85.74200,-29.30100,56.44100,56.44100,56.44100,,52.75300,147.93000,85.74200,75.36000,75.36000,0.70000,0.70000
2019-12-31,239.14900,76.69300,162.45600,10.70700,85.90300,-13.76500,176.22100,-27.25500,148.96600,148.96600,148.96600,,144.33700,237.65200,176.22100,74.76600,74.76600,1.94000,1.94000
2019-09-30,233.94700,83.51400,150.43300,11.06000,14.29300,56.41500,94.01800,-26.91200,67.10600,67.10600,67.10600,,63.45500,153.66600,94.01800,74.83200,74.83200,0.84000,0.84000
2019-06-30,230.46500,66.60400,163.86100,11.42200,16.19700,54.28200,109.57900,-26.91200,82.66700,82.66700,82.66700,,78.89100,168.63600,109.57900,74.71300,74.71300,1.05000,1.05000
2019-03-31,232.22700,71.94700,160.28000,9.56500,,69.18700,91.09300,-29.29000,61.80300,61.80300,61.80300,,58.13400,150.71500,91.09300,74.20000,74.20000,0.78000,0.78000
2018-12-31,235.37600,75.44200,159.93400,9.62000,1.50200,75.09400,84.84000,-28.45800,56.38200,56.38200,56.38200,,51.56600,151.81600,84.84000,73.27400,73.30200,0.71000,0.71000
2018-09-30,229.75300,70.99500,158.75800,7.63800,3.12500,65.29100,93.46700,-29.28700,64.18000,64.18000,64.18000,,60.54800,154.24500,93.46700,73.40000,73.40800,0.82000,0.82000
2018-06-30,224.90200,68.21200,156.69000,8.41300,3.97200,62.82200,93.86800,-28.33500,65.53300,65.53300,65.53300,,61.58400,152.24900,93.86800,72.99000,73.02500,0.84000,0.84000
2018-03-31,225.40500,73.22100,152.18400,7.92900,3.31600,62.72300,89.46100,-26.53000,62.93100,62.93100,62.93100,,59.23700,147.57100,89.46100,72.90500,72.96800,0.81000,0.81000
2017-12-31,223.95700,74.13800,149.81900,10.26800,,-11.26000,161.07900,-38.34500,122.73400,122.73400,122.73400,,47.70300,217.47300,161.07900,72.11700,72.23300,0.67000,0.67000
2017-09-30,217.95300,68.74200,149.21100,9.10300,,64.71400,84.49700,-26.39000,58.10700,58.10700,58.10700,,106.60000,140.10800,84.49700,72.09100,72.20600,1.47000,1.47000
2017-06-30,208.04900,63.65000,144.39900,8.64300,,61.30900,83.09000,-23.95300,59.13700,59.13700,59.13700,,76.15600,135.75600,83.09000,72.00100,72.12400,1.05000,1.05000
2017-03-31,207.38900,66.19900,141.19000,8.26700,,59.64600,81.54400,-23.65200,57.89200,57.89200,57.89200,,56.05500,132.92300,81.54400,71.86200,72.00500,0.78000,0.78000
2016-12-31,204.10900,64.06300,140.04600,8.12100,,56.56900,83.47700,-23.75300,59.72400,59.72400,59.72400,,57.90200,131.92500,83.47700,70.87700,71.04900,0.80000,0.80000
2016-09-30,201.15700,63.56100,137.59600,8.23200,,57.13500,80.46100,-24.20800,56.25300,56.25300,56.25300,,58.84100,129.36400,80.46100,71.31900,71.48900,0.82000,0.82000
2016-06-30,197.98100,60.37500,137.60600,9.03600,,57.47100,80.13500,-23.02400,57.11100,57.11100,57.11100,,55.80600,128.57000,80.13500,70.79700,70.97400,0.79000,0.78000
2016-03-31,198.34400,65.61300,132.73100,8.01000,,55.80900,76.92200,-23.58500,53.33700,53.33700,53.33700,25.72600,76.82000,124.72100,76.92200,69.77100,69.95700,1.10000,1.10000
2015-12-31,192.50700,62.05100,130.45600,8.11900,,54.54200,75.91400,-22.73700,53.17700,53.17700,53.17700,,67.02200,122.33700,75.91400,68.79700,68.98100,0.99000,0.98000
2015-09-30,185.25200,56.24300,129.00900,9.37400,,53.09200,75.91700,-21.36700,54.55000,54.55000,54.55000,,52.31100,119.63500,75.91700,69.00600,69.18100,0.75000,0.75000
2015-06-30,181.46100,53.29000,128.17100,9.29900,,51.97000,76.20100,-42.03700,34.16400,34.16400,34.16400,,43.49700,118.87200,76.20100,68.53100,68.71300,0.63000,0.63000
2015-03-31,184.79200,61.83300,122.95900,8.85300,,50.83700,72.12200,-23.91900,48.20300,48.20300,48.20300,,46.05100,114.10600,72.12200,68.36800,68.56300,0.67000,0.67000
2014-12-31,176.37700,53.24200,123.13500,8.11400,,51.52500,71.61000,-34.33100,37.27900,37.27900,37.27900,,34.02400,115.02100,71.61000,67.32200,67.49200,0.51000,0.51000
2014-09-30,170.93800,52.28200,118.65600,8.37400,,51.03400,67.62200,-22.97400,44.64800,44.64800,44.64800,,46.93900,110.28200,67.62200,67.55900,67.73200,0.69000,0.69000
2014-06-30,167.94700,50.56900,117.37800,8.12400,,49.01700,68.36100,-22.94500,45.41600,45.41600,45.41600,,43.41000,109.25400,68.36100,67.11000,67.27700,0.64000,0.64000
2014-03-31,170.82800,55.83000,114.99800,7.70400,,51.55400,63.44400,-22.89900,40.54500,40.54500,40.54500,,38.61800,107.29400,63.44400,66.61500,66.77300,0.58000,0.57000
2013-12-31,163.84600,50.09500,113.75100,9.06800,,50.28100,63.47000,-33.86700,29.60300,29.60300,29.60300,0.00000,27.43200,104.68400,63.47000,65.33100,65.48300,0.43000,0.42000
2013-09-30,159.03000,47.44500,111.58500,7.54300,,46.88400,64.70100,-25.31100,39.39000,39.39000,39.39000,23.97600,61.96200,104.10900,64.70100,65.50400,65.64700,0.94000,0.94000
2013-06-30,157.38800,45.84100,111.54700,8.30200,,48.05900,63.48800,-30.10900,33.37900,33.37900,33.37900,0.42400,37.40400,103.34100,63.48800,65.14900,65.31100,0.57000,0.57000
2013-03-31,157.14900,47.07300,110.07600,7.05700,,47.57400,62.50200,-27.06300,35.43900,35.43900,35.43900,0.40300,34.45300,103.12600,62.50200,64.69200,64.84700,0.53000,0.53000
2012-12-31,154.71000,46.57800,108.13200,8.26400,,43.34800,64.78410,-26.95500,37.82900,37.82900,37.82900,1.02900,37.35000,100.12100,64.78400,63.88100,64.05600,0.58000,0.57000
2012-09-30,157.23200,46.88200,110.35000,8.75100,,43.59800,66.75200,-27.46700,39.28500,39.28500,39.28500,0.37100,38.28700,101.68400,66.75200,64.01400,64.20200,0.60000,0.60000
2012-06-30,147.56000,43.44300,104.11700,7.13900,,42.33800,61.77900,-28.18300,33.59600,33.59600,33.59600,,32.26000,96.97800,61.77900,63.70000,63.88000,0.51000,0.51000
2012-03-31,146.28900,42.16700,104.12200,7.00400,,43.57500,60.54700,-28.28500,32.26200,32.26200,32.26200,,42.64200,97.11800,60.54700,63.41100,63.58500,0.67000,0.67000
2011-12-31,139.51000,42.63700,96.87300,9.34200,,40.87500,55.99800,-25.06700,30.93100,30.93100,30.93100,1.52400,30.41300,87.85100,55.99800,62.43800,62.60300,0.50000,0.49000
2011-09-30,137.66400,41.64200,96.02200,7.19700,,39.26500,56.75700,-23.22500,33.53200,33.53200,33.53200,14.77000,46.71000,88.84000,56.75700,62.81800,62.99000,0.74000,0.74000
2011-06-30,136.28000,40.68000,95.60000,6.39500,,38.26600,57.33400,-23.44100,33.89300,33.89300,33.89300,2.57800,34.49700,89.39700,57.33400,62.21400,62.39100,0.55000,0.55000
2011-03-31,137.64900,44.80900,92.84000,6.05100,,36.46700,56.37300,-24.41000,31.96300,31.96300,31.96300,0.42100,31.05100,86.94200,56.37300,61.47100,61.62900,0.50000,0.50000
2010-12-31,136.81100,41.63600,95.17500,6.78000,,36.67600,58.49900,-24.62600,33.87300,33.87300,33.87300,0.43200,32.10900,88.61500,58.49900,61.18200,61.32400,0.54000,0.53000
2010-09-30,133.44600,42.21500,91.23100,5.90400,,35.33500,55.89600,-25.15600,30.74000,30.74000,30.74000,0.27000,29.50400,85.48700,55.89600,61.21500,61.35900,0.48000,0.48000
2010-06-30,133.21600,40.33900,92.87700,6.01600,,37.03600,55.84100,-25.19700,30.64400,30.64400,30.64400,1.31400,30.97900,87.01900,55.84100,61.16900,61.31100,0.50000,0.50000
2010-03-31,138.32400,44.99200,93.33200,5.48900,,34.35000,58.98200,-28.38800,30.59400,30.59400,30.59400,-0.04000,29.08500,87.91400,58.98200,61.08900,61.22000,0.47000,0.47000
2009-12-31,136.16290,44.92800,91.23490,5.86200,4.73200,28.93800,62.29690,-29.96200,32.33490,32.33490,32.33500,1.03100,31.83500,90.75490,62.29690,59.70400,59.83000,0.53000,0.53000
2009-09-30,130.99200,38.85200,92.14000,5.74900,-0.33000,34.48900,57.65100,-28.81200,28.83900,28.83900,28.83900,,27.29700,86.06100,57.65100,60.01600,60.14000,0.45000,0.45000
2009-06-30,130.33800,39.90100,90.43700,5.27600,-0.12500,35.03400,55.40300,-26.15300,29.25000,29.25000,29.25000,0.54400,28.28200,85.03600,55.40300,58.91700,59.04200,0.48000,0.48000
2009-03-31,131.07600,42.52900,88.54700,5.14500,-20.63200,54.36900,34.17800,-23.27700,10.90100,10.90100,10.90100,0.97200,10.34900,62.77000,34.17800,58.84100,58.96000,0.17000,0.17000
