,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2019-09-30,729.33600,212.26200,517.07400,16.90800,,146.14100,370.93300,-6.13200,364.80100,364.80100,15.57400,399.42000,,337.36200,500.16600,370.93300,174.33400,174.61100,1.94000,1.93000
2019-06-30,710.95000,207.73600,503.21400,15.26400,,142.12300,361.09100,-3.67200,357.41900,357.41900,-4.87700,371.45600,,306.41100,487.95000,361.09100,174.25300,174.54200,1.76000,1.76000
2019-03-31,689.03800,204.20100,484.83700,19.50300,,141.44400,343.39300,-1.17800,342.21500,342.21500,7.79100,367.67800,,301.74300,465.33400,343.39300,174.17700,174.37600,1.73000,1.73000
2018-12-31,697.70290,177.73500,519.96790,14.43400,,135.80800,384.15990,-2.29300,381.86690,381.86690,41.45700,587.90590,,530.10210,505.53390,384.15990,173.96900,174.29700,3.05000,3.04000
2018-09-30,706.36800,195.54400,510.82400,27.42900,,151.94500,358.87900,-1.07400,357.80500,357.80500,4.01300,379.58900,,322.67900,483.39500,358.87900,173.97500,174.34800,1.85000,1.85000
2018-06-30,685.52800,190.97700,494.55100,31.32900,,151.10600,343.44500,-2.06000,341.38500,341.38500,21.94400,405.29200,,348.30000,463.22200,343.44500,173.93200,174.22400,2.00000,2.00000
2018-03-31,669.92400,192.82700,477.09700,31.52000,,149.49900,327.59800,-2.56300,325.03500,325.03500,-11.39400,344.43600,,287.81900,445.57700,327.59800,173.89200,174.14800,1.66000,1.65000
2017-12-31,672.30800,151.87900,520.42900,20.55100,,140.65100,379.77800,-2.08800,377.69010,377.69010,-5.14700,390.96310,,334.07990,499.87800,379.77800,173.61300,174.15100,1.93000,1.91000
2017-09-30,686.36100,190.61900,495.74200,22.31100,,135.63100,360.11100,2.18000,362.29100,362.29100,-21.23500,358.27400,,279.71700,473.43100,360.11100,173.71500,174.24000,1.61000,1.61000
2017-06-30,664.31200,182.57800,481.73400,14.99200,,125.16900,356.56500,3.03900,359.60400,359.60400,-24.46500,355.20700,,276.68100,466.74200,356.56500,173.60200,174.07500,1.59000,1.59000
2017-03-31,645.54700,182.90200,462.64500,25.02800,,135.95700,326.68800,2.95000,329.63800,329.63800,-5.56600,344.02100,,281.13100,437.61700,326.68800,173.36400,174.06900,1.62000,1.62000
2016-12-31,651.42710,145.16600,506.26110,20.14800,,131.88900,374.37210,1.93500,376.30700,376.30700,24.24600,415.68110,,352.81200,486.11310,374.37210,173.09100,173.87800,2.04000,2.03000
2016-09-30,663.14800,178.62700,484.52100,22.14000,,131.57200,352.94900,2.52900,355.47800,355.47800,-3.66500,369.05000,,308.95700,462.38100,352.94900,173.10800,173.84800,1.78000,1.78000
2016-06-30,634.18800,172.00400,462.18400,18.32100,,125.33400,336.85000,2.65000,339.50000,339.50000,8.63200,358.35890,,280.77500,443.86300,336.85000,173.08700,174.00000,1.62000,1.61000
2016-03-31,611.78600,173.28600,438.50000,23.04700,,128.17500,310.32500,3.81400,314.13900,314.13900,-10.95400,317.34900,,241.33500,415.45300,310.32500,172.97700,173.85000,1.40000,1.39000
2015-12-31,609.33000,137.70700,471.62300,19.45600,,125.76290,345.86000,2.60800,348.46800,348.46800,2.12100,365.25900,,303.00310,452.16700,345.86000,172.69900,173.51000,1.76000,1.74000
2015-09-30,618.87200,164.68600,454.18600,23.57300,,129.65500,324.53100,4.00200,328.53300,328.53300,,341.13600,,273.50800,430.61300,324.53100,172.77100,173.52900,1.58000,1.58000
2015-06-30,588.61500,161.09700,427.51800,20.98800,,127.46100,300.05700,3.81500,303.87200,303.87200,16.68800,328.04000,,263.92600,406.53000,300.05700,172.62900,173.38700,1.53000,1.52000
2015-03-31,564.87900,172.01200,392.86700,24.16000,,131.30600,261.56100,5.50900,267.07000,267.07000,,283.25400,,212.61300,368.70700,261.56100,172.52000,173.36600,1.23000,1.23000
2014-12-31,552.54480,129.68300,422.86180,19.21900,,129.79190,293.06990,10.40600,303.47600,303.47600,-0.01200,348.42590,,283.95700,403.64290,293.06990,172.25100,173.13800,1.65000,1.64000
2014-09-30,567.09000,158.56800,408.52200,17.87400,,128.95100,279.57100,3.85200,283.42300,283.42300,-3.01200,294.97700,,231.81500,390.64800,279.57100,172.37800,173.30400,1.34000,1.34000
2014-06-30,538.03700,150.55400,387.48300,15.37700,,121.82000,265.66300,0.15600,265.81900,265.81900,-1.67500,278.27900,,218.35200,372.10600,265.66300,172.28200,173.18100,1.27000,1.26000
2014-03-31,519.62400,174.51900,345.10500,18.98900,,128.01000,217.09500,-1.07800,216.01700,216.01700,-2.34800,228.27300,,174.05200,326.11600,217.09500,171.91000,172.80900,1.01000,1.01000
2013-12-31,496.70700,118.99600,377.71100,16.69100,,125.61800,252.09300,19.51700,271.61000,271.61000,7.80100,297.97700,,243.74900,361.02000,252.09300,171.64000,172.68800,1.42000,1.41000
2013-09-30,511.95700,147.80300,364.15400,17.65000,,114.18700,249.96700,5.29800,255.26500,255.26500,16.09400,285.62800,,231.36100,346.50400,249.96700,171.72100,172.79300,1.35000,1.34000
2013-06-30,485.37800,142.57100,342.80700,14.08500,,105.02200,237.78500,4.86900,242.65400,242.65400,5.92400,261.67900,,207.68500,328.72200,237.78500,171.62500,172.64700,1.21000,1.20000
2013-03-31,470.90000,150.38900,320.51100,18.25300,,109.25400,211.25700,2.08400,213.34100,213.34100,-12.73700,212.24700,,161.93600,302.25800,211.25700,171.44600,172.51400,0.94000,0.94000
2012-12-31,469.69410,119.83500,349.85900,12.72000,,105.30600,244.55310,0.94900,245.50200,245.50200,11.35700,272.09190,0.47100,209.54300,244.55310,244.55310,170.56200,171.66400,1.22000,1.22000
2012-09-30,477.18200,141.47500,335.70700,15.29800,,105.19500,230.51200,0.71100,231.22300,231.22300,9.01900,252.88400,11.93500,202.46500,230.51200,230.51200,170.57600,171.70000,1.19000,1.18000
2012-06-30,455.79300,142.88300,312.91000,12.41400,,100.88800,212.02200,1.73600,213.75800,213.75800,-23.65700,198.69700,0.23400,132.34300,300.61000,212.02200,170.49600,171.56000,0.78000,0.77000
2012-03-31,439.83500,151.71100,288.12400,16.40500,,103.22900,184.89500,0.32100,185.21600,185.21600,12.15700,206.48800,0.23400,125.34300,271.83300,184.89500,170.30900,171.41500,0.74000,0.73000
2011-12-31,436.21490,138.45900,297.75600,11.46600,,101.00490,196.75100,25.63500,222.38600,222.38600,-20.71200,218.62300,1.81400,164.22300,286.58100,196.75100,169.65700,170.75000,0.97000,0.96000
2011-09-30,445.56300,138.58000,306.98300,14.11600,-2.18600,107.12300,199.86000,5.99600,205.85600,205.85600,-28.25300,192.87200,1.64100,117.95000,290.81600,199.86000,169.72800,170.83000,0.69000,0.69000
2011-06-30,434.41900,139.22900,295.19000,12.59300,,101.69100,193.49900,-5.93300,187.56600,187.56600,10.42600,210.76200,0.17900,131.51500,282.68500,193.49900,169.49200,170.40100,0.78000,0.77000
2011-03-31,419.69100,144.24100,275.45000,14.23500,,102.74600,172.70400,-6.78600,165.91800,165.91800,31.25200,210.88600,-0.31800,148.05900,261.25700,172.70400,169.31500,170.38200,0.87000,0.87000
2010-12-31,386.38990,115.88700,270.50290,9.41900,,101.47910,169.02390,23.69000,192.71400,192.71400,-14.01800,189.25600,-0.04600,121.39700,260.67080,169.02400,168.87700,169.77200,0.71000,0.71000
2010-09-30,422.29500,134.51400,287.78100,8.91000,,101.49300,186.28800,-7.83800,178.45000,178.45000,55.45500,242.94800,2.86300,182.20600,278.93600,186.28800,169.01400,169.97700,1.08000,1.07000
2010-06-30,407.64500,137.23300,270.41200,10.08100,,94.96000,175.45200,-8.61600,166.83600,166.83600,-48.85800,126.76600,4.41000,60.83700,260.65700,175.45200,168.80400,169.62900,0.36000,0.36000
2010-03-31,397.44700,140.77000,256.67700,10.07700,,94.79400,161.88300,-7.61700,154.26600,154.26600,-34.84300,129.38400,0.53300,34.73800,246.76900,161.88300,168.47700,169.31000,0.21000,0.21000
2009-12-31,400.11800,114.98800,285.13010,9.20300,,94.84700,190.28310,-14.04700,176.23600,176.23600,27.30100,187.17500,0.51400,117.49100,239.63210,190.28310,168.35800,168.76800,0.70000,0.69000
2009-09-30,412.08700,128.46800,283.61900,8.65400,,94.32400,189.29500,-7.28900,182.00600,182.00600,21.42900,242.83200,1.11900,173.49300,312.58900,189.29500,168.37300,169.04300,1.03000,1.03000
2009-06-30,406.47500,134.53800,271.93700,8.19900,,91.83800,180.09900,-7.28800,172.81100,172.81100,33.20500,213.41400,-8.02700,135.48700,264.38300,180.09900,168.34800,168.52800,0.80000,0.80000
2009-03-31,404.24000,142.91800,261.32200,9.67900,,94.17100,167.15100,-1.29200,165.85900,165.85900,-34.73300,153.93700,-0.50800,159.49500,252.35100,167.15100,168.31200,168.47300,0.95000,0.95000
