,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2018-06-30,1518.00000,1036.00000,482.00000,,219.00000,263.00000,-35.00000,228.00000,17.00000,211.00000,211.00000,,209.00000,453.00000,263.00000,739.70000,740.20000,0.28000,0.28000
2018-03-31,1346.00000,969.00000,377.00000,,206.00000,171.00000,89.00000,260.00000,4.00000,256.00000,256.00000,,253.00000,351.00000,171.00000,739.20000,739.60000,0.34000,0.34000
2017-12-31,1344.00000,982.00000,362.00000,8.00000,228.00000,134.00000,-24.00000,110.00000,17.00000,93.00000,93.00000,,92.00000,353.00000,134.00000,738.60000,739.10000,0.13000,0.13000
2017-09-30,1254.00000,928.00000,326.00000,1.00000,199.00000,127.00000,20.00000,147.00000,42.00000,105.00000,105.00000,,104.00000,305.00000,127.00000,738.80000,739.00000,0.14000,0.14000
2017-06-30,1441.00000,995.00000,446.00000,2.00000,202.00000,244.00000,-5.00000,239.00000,27.00000,212.00000,212.00000,,210.00000,424.00000,244.00000,738.60000,738.80000,0.28000,0.28000
2017-03-31,1348.00000,971.00000,377.00000,3.00000,206.00000,171.00000,-16.00000,155.00000,-6.00000,161.00000,161.00000,,158.00000,352.00000,171.00000,738.00000,738.20000,0.21000,0.21000
2016-12-31,1337.00000,980.00000,357.00000,,207.00000,150.00000,-24.00000,126.00000,-2.00000,128.00000,128.00000,,126.00000,336.00000,150.00000,743.00000,743.70000,0.18000,0.17000
2016-09-30,1295.00000,953.00000,342.00000,12.00000,198.00000,144.00000,-17.00000,127.00000,19.00000,108.00000,108.00000,,107.00000,327.00000,144.00000,740.60000,741.10000,0.14000,0.14000
2016-06-30,1459.00000,1015.00000,444.00000,,205.00000,239.00000,144.00000,383.00000,32.00000,351.00000,351.00000,,347.00000,418.00000,239.00000,744.00000,744.30000,0.47000,0.47000
2016-03-31,1339.00000,983.00000,356.00000,3.00000,205.00000,151.00000,24.00000,175.00000,-9.00000,184.00000,184.00000,,182.00000,334.00000,151.00000,749.60000,749.70000,0.24000,0.24000
2015-12-31,1326.00000,975.00000,351.00000,-2.00000,208.00000,143.00000,18.00000,161.00000,-4.00000,165.00000,165.00000,,163.00000,325.00000,143.00000,752.40000,752.90000,0.22000,0.22000
2015-09-30,1283.00000,956.00000,327.00000,4.00000,194.00000,133.00000,-37.00000,96.00000,9.00000,87.00000,87.00000,,85.00000,316.00000,133.00000,746.40000,746.80000,0.11000,0.11000
2015-06-30,1439.00000,1016.00000,423.00000,,201.00000,222.00000,5.00000,227.00000,13.00000,214.00000,214.00000,,212.00000,407.00000,222.00000,753.90000,785.50000,0.28000,0.28000
2015-03-31,1302.00000,972.00000,330.00000,,197.00000,133.00000,-43.00000,90.00000,-9.00000,99.00000,99.00000,,98.00000,312.00000,133.00000,756.00000,756.30000,0.13000,0.13000
2014-12-31,1287.00000,967.00000,320.00000,,187.00000,133.00000,116.00000,249.00000,-3.00000,252.00000,252.00000,,254.00000,308.00000,133.00000,755.40000,786.80000,0.33000,0.32000
2014-09-30,1294.00000,959.00000,335.00000,7.00000,133.00000,202.00000,-51.00000,151.00000,6.00000,145.00000,145.00000,,144.00000,385.00000,202.00000,755.60000,756.40000,0.19000,0.19000
2014-06-30,1431.00000,1003.00000,428.00000,,203.00000,225.00000,-51.00000,174.00000,15.00000,159.00000,159.00000,,155.00000,406.00000,225.00000,755.40000,755.90000,0.21000,0.21000
2014-03-31,1309.00000,972.00000,337.00000,3.00000,203.00000,134.00000,47.00000,181.00000,-4.00000,185.00000,185.00000,,179.00000,312.00000,134.00000,754.90000,785.10000,0.24000,0.24000
2013-12-31,1332.00000,985.00000,347.00000,,209.00000,138.00000,-78.00000,60.00000,2.00000,58.00000,58.00000,68.00000,123.00000,322.00000,138.00000,744.40000,747.90000,0.16000,0.15000
2013-09-30,1211.00000,930.00000,281.00000,,202.00000,79.00000,-66.00000,13.00000,11.00000,2.00000,2.00000,16.00000,19.00000,262.00000,79.00000,749.00000,749.70000,0.03000,0.03000
2013-06-30,1399.00000,986.00000,413.00000,,208.00000,205.00000,-74.00000,131.00000,15.00000,116.00000,116.00000,5.00000,119.00000,386.00000,205.00000,745.20000,745.90000,0.16000,0.16000
2013-03-31,1224.00000,935.00000,289.00000,,199.00000,90.00000,-63.00000,27.00000,-7.00000,34.00000,34.00000,26.00000,56.00000,274.00000,90.00000,728.20000,738.60000,0.08000,0.08000
2012-12-31,1673.00000,1270.00000,403.00000,11.00000,295.00000,108.00000,-81.00000,27.00000,22.00000,5.00000,5.00000,10.00000,15.00000,388.00000,108.00000,723.90000,725.10000,0.02000,0.02000
2012-09-30,1158.00000,911.00000,247.00000,,186.00000,61.00000,-90.00000,-29.00000,11.00000,-40.00000,-40.00000,4.00000,-34.00000,225.00000,61.00000,721.30000,721.30000,-0.05000,-0.05000
2012-06-30,1326.00000,975.00000,351.00000,,174.00000,177.00000,-85.00000,92.00000,12.00000,80.00000,80.00000,3.00000,82.00000,341.00000,177.00000,718.10000,730.60000,0.11000,0.11000
2012-03-31,952.00000,765.00000,187.00000,,171.00000,16.00000,-84.00000,-68.00000,-13.00000,-55.00000,-55.00000,55.00000,-2.00000,175.00000,16.00000,707.50000,707.50000,-0.00280,-0.00280
2011-12-31,1406.00000,1076.00000,330.00000,,224.00000,106.00000,-97.00000,9.00000,8.00000,1.00000,1.00000,14.00000,16.00000,328.00000,106.00000,693.00000,693.00000,0.03000,0.03000
2011-09-30,1131.00000,918.00000,213.00000,,159.00000,54.00000,-86.00000,-32.00000,3.00000,-35.00000,-35.00000,,-33.00000,216.00000,54.00000,702.10000,702.10000,-0.05000,-0.05000
2011-06-30,1284.00000,962.00000,322.00000,,170.00000,152.00000,-77.00000,75.00000,8.00000,67.00000,67.00000,-3.00000,62.00000,304.00000,152.00000,685.70000,687.10000,0.09000,0.09000
2011-03-31,893.00000,731.00000,162.00000,,165.00000,-3.00000,-77.00000,-80.00000,-20.00000,-60.00000,-60.00000,,-60.00000,146.00000,-3.00000,677.30000,677.30000,-0.09000,-0.09000
2010-12-31,1491.00000,1181.00000,310.00000,3.00000,219.00000,91.00000,-105.00000,-14.00000,-10.00000,-4.00000,-4.00000,-2.00000,-6.00000,275.00000,91.00000,666.10000,666.10000,-0.01000,-0.01000
2010-09-30,1003.00000,826.00000,177.00000,,154.00000,23.00000,-89.00000,-66.00000,-5.00000,-61.00000,-61.00000,,-59.00000,167.00000,23.00000,654.50000,654.50000,-0.09000,-0.09000
2010-06-30,1112.00000,839.00000,273.00000,,163.00000,110.00000,-84.00000,26.00000,6.00000,20.00000,20.00000,,13.00000,258.00000,110.00000,652.50000,654.10000,0.02000,0.02000
2010-03-31,823.00000,664.00000,159.00000,,161.00000,-2.00000,-102.00000,-104.00000,-22.00000,-82.00000,-82.00000,-2.00000,-86.00000,147.00000,-2.00000,648.10000,648.10000,-0.13000,-0.13000
2009-12-31,1326.00000,1044.00000,282.00000,,249.00000,33.00000,-108.00000,-75.00000,-10.00000,-65.00000,-65.00000,-7.00000,-73.00000,319.00000,33.00000,626.50000,626.50000,-0.12000,-0.12000
2009-09-30,903.00000,755.00000,148.00000,,156.00000,-8.00000,-84.00000,-92.00000,-25.00000,-67.00000,-67.00000,9.00000,-57.00000,141.00000,-8.00000,606.10000,606.10000,-0.09000,-0.09000
2009-06-30,1051.00000,793.00000,258.00000,,154.00000,104.00000,-105.00000,-1.00000,10.00000,-11.00000,-11.00000,-58.00000,-70.00000,252.00000,104.00000,575.00000,575.00000,-0.12000,-0.12000
2009-03-31,864.00000,673.00000,191.00000,,171.00000,20.00000,-88.00000,-68.00000,-14.00000,-54.00000,-54.00000,-6.00000,-61.00000,185.00000,20.00000,526.10000,530.00000,-0.12000,-0.12000
