,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2015-03-31,1550.80000,877.60000,673.20010,382.40000,1.40000,396.70000,276.50010,276.50000,70.50000,206.00000,206.00000,,205.80000,331.30010,292.20010,134.90000,136.00000,1.53000,1.51000
2014-12-31,1574.40000,886.90000,687.50000,386.90000,1.80000,400.00000,287.50000,287.50000,73.30000,214.20000,214.20000,,213.90000,343.00000,302.40000,135.60000,136.90000,1.58000,1.56000
2014-09-30,1781.80000,1028.90000,752.89990,397.80000,-1.10000,413.90000,339.00040,338.99990,90.30000,248.69990,248.69990,,249.20000,392.10040,354.00030,138.00000,139.70000,1.81000,1.79000
2014-06-30,1649.50000,968.00000,681.50000,394.40000,1.30000,407.50000,274.00000,274.00000,74.30000,199.70000,199.70000,,199.40000,328.50000,288.40000,138.00000,139.60000,1.44000,1.43000
2014-03-31,1600.50000,944.70000,655.80000,392.50000,0.10000,407.40000,248.40000,248.40000,68.10000,180.30000,180.30000,,180.10000,301.80000,263.40000,138.50000,140.20000,1.30000,1.28000
2013-12-31,1591.70000,928.00000,663.70000,385.40000,9.40000,390.90000,272.79990,272.80000,74.70000,198.10000,198.10000,,198.10000,323.59990,287.69990,138.60000,140.40000,1.43000,1.41000
2013-09-30,1715.70000,1018.50000,697.20020,403.70000,0.60000,418.00000,279.20020,279.20000,63.90000,215.30000,215.30000,,214.70000,330.20020,294.10000,139.20000,140.90000,1.56000,1.53000
2013-06-30,1624.20000,971.30000,652.90000,383.70000,3.50000,395.50000,257.39990,257.40000,53.70000,203.70000,203.70000,,203.70000,310.39990,272.69990,138.90000,140.40000,1.46000,1.45000
2013-03-31,1522.80000,906.40000,616.40000,376.80000,2.80000,389.30000,227.10010,227.10000,51.20000,175.90000,175.90000,,175.60000,278.60010,242.40010,140.00000,141.80000,1.25000,1.24000
2012-12-31,1489.20000,881.90000,607.29990,373.50000,-1.20000,390.10000,217.20000,217.20000,55.80000,161.40000,161.40000,,161.20000,267.80000,232.59990,139.30000,141.20000,1.16000,1.14000
2012-09-30,1664.00000,1009.80000,654.20010,386.39990,2.00000,399.30000,254.90000,254.90010,59.70000,195.20000,195.20000,,196.20000,305.50000,269.79990,141.50000,143.40000,1.39000,1.37000
2012-06-30,1560.40000,928.90000,631.50000,369.80000,-1.70000,386.70000,244.80000,244.80000,54.10000,190.70000,190.70000,,190.40000,295.10000,260.00010,141.70000,143.50000,1.34000,1.33000
2012-03-31,1561.10000,942.80000,618.30000,373.10000,-6.90000,395.00000,223.29990,223.30000,55.50000,167.80000,167.80000,,167.50000,273.49990,238.29990,142.50000,144.70000,1.18000,1.16000
2011-12-31,1473.90000,855.20000,618.70000,362.40000,1.60000,375.80000,242.90000,242.90000,59.60000,183.30000,183.30000,,182.90000,290.50000,257.90000,141.80000,143.90000,1.29000,1.27000
2011-09-30,1654.30000,991.10010,663.20000,388.10000,-4.40000,407.09990,256.09970,256.10000,54.30000,201.80000,201.80000,,202.10000,305.39970,270.69970,142.70000,145.20000,1.41000,1.39000
2011-06-30,1516.20000,909.40000,606.79990,370.00000,-0.90000,385.60000,221.19980,221.20000,42.40000,178.80000,178.80000,0.70000,179.20000,268.79980,235.89980,143.40000,145.90000,1.25000,1.23000
2011-03-31,1464.10000,887.60000,576.50000,356.10000,-1.40000,372.90000,203.60000,203.60000,37.20000,166.40000,166.40000,,166.40000,250.80000,219.00000,143.40000,146.30000,1.16000,1.14000
2010-12-31,1365.80000,821.90000,543.90000,347.00000,4.60000,357.20000,186.70010,186.70000,36.60000,150.10000,150.10000,,150.10000,233.40010,201.50010,141.80000,144.50000,1.06000,1.04000
2010-09-30,1356.90000,827.70000,529.19990,354.30000,-1.90000,371.40100,157.79930,157.80000,26.50000,131.30000,131.30000,0.00000,130.20000,206.09930,172.99950,142.00000,144.00000,0.92000,0.91000
2010-06-30,1268.10000,760.80000,507.30000,333.30000,-3.70000,351.80000,155.50010,155.50000,36.10000,119.40000,119.40000,,119.40000,200.90010,170.30010,142.00000,144.30000,0.84000,0.83000
2010-03-31,1164.50000,691.40000,473.10000,323.20000,-1.20000,339.50000,133.60010,133.60000,21.70000,111.90000,111.90000,25.10000,137.00000,180.60010,148.70010,142.40000,144.40000,0.96000,0.95000
2009-12-31,1067.50000,640.70000,426.80000,312.50000,-1.60000,329.50000,97.30000,97.30000,19.50000,77.80000,77.80000,-1.20000,76.60000,144.40000,112.70000,142.00000,143.70000,0.54000,0.53000
2009-09-30,1074.40000,709.09990,365.30020,316.80000,-4.50000,336.50010,28.80010,28.80000,-0.10000,28.90000,28.90000,,28.90000,79.30010,44.00010,141.60000,142.40000,0.21000,0.20000
2009-06-30,1010.80000,640.60000,370.20000,305.00000,0.40000,320.00000,50.20000,50.20000,17.40000,32.80000,32.80000,,32.80000,100.00000,65.60000,141.70000,142.30000,0.23000,0.23000
2009-03-31,1058.10000,694.50000,363.60000,292.80000,-0.10000,308.20000,55.40000,55.40000,14.80000,40.60000,40.60000,,40.60000,102.80000,70.70000,141.50000,142.00000,0.29000,0.29000
