,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2019-12-31,10741.10000,9301.69900,1439.40200,0.00100,1439.40100,-100.50000,1338.90000,264.30000,1074.60000,1074.60000,1050.60000,1542.00100,1439.39900,583.80000,587.20000,1.81000,1.81000
2019-09-30,9530.50000,8418.10000,1112.40000,0.00000,1112.40000,-102.10000,1010.30000,166.70000,843.60000,843.60000,841.70000,1196.80000,1112.40000,584.10000,587.10000,1.43000,1.42000
2019-06-30,9450.70000,8108.20000,1342.50000,0.00000,1342.50000,-98.90000,1243.60000,264.60000,979.00000,979.00000,972.70000,1424.20000,1342.50000,583.60000,586.90000,1.67000,1.66000
2019-03-31,9300.00000,7640.80000,1659.20000,0.00000,1659.20000,-91.70000,1567.50000,484.70000,1082.80000,1082.80000,1078.40000,1729.90000,1659.20000,583.50000,586.60000,1.84000,1.83000
2018-12-31,8035.09900,7708.60100,326.49850,0.00000,326.49800,-84.30000,242.20010,-17.60000,259.80010,259.80010,249.99990,401.69810,326.50000,582.40000,586.70000,0.44000,0.44000
2018-09-30,8495.80000,7281.70000,1214.10000,0.00000,1214.10000,-83.60000,1130.50000,200.30000,930.20000,930.20000,928.40000,1289.80000,1214.10000,582.70000,586.60000,1.58000,1.57000
2018-06-30,8018.00000,7053.00000,965.00000,0.00000,965.00000,-84.90000,880.10000,178.90000,701.20000,701.20000,697.50000,1036.90000,965.00000,582.00000,585.80000,1.20000,1.19000
2018-03-31,7430.10000,6447.20000,982.90040,0.00000,982.90040,-72.10000,910.80000,181.00000,729.80000,729.80000,718.00000,1056.80000,982.90040,582.00000,585.60000,1.23000,1.22000
2017-12-31,7119.79900,6359.30000,760.49900,0.00100,760.49760,-69.10000,691.39990,111.10000,580.29990,580.29990,576.30000,840.39760,760.49950,580.80000,585.70000,0.99000,0.98000
2017-09-30,6791.80000,6468.30000,323.50000,0.00000,323.50000,-72.10000,251.40000,36.60000,214.80000,214.80000,224.00000,406.80000,323.50000,581.30000,585.60000,0.39000,0.38000
2017-06-30,6605.70000,5974.10000,631.60060,0.00000,631.60060,-77.00000,554.60000,181.90000,372.70000,372.70000,367.60000,712.10060,631.60060,580.50000,583.80000,0.63000,0.63000
2017-03-31,6321.70000,5611.90000,709.80030,0.00000,709.80030,-68.30000,641.50000,211.20000,430.30000,430.30000,424.30000,788.40030,709.80030,580.30000,583.30000,0.73000,0.73000
2016-12-31,6129.60100,5524.00000,605.60110,-0.00200,605.60250,-68.10000,537.50000,139.40000,398.09990,398.09990,383.20000,684.00260,605.60250,581.70000,585.00000,0.66000,0.65000
2016-09-30,5935.00000,5613.20000,321.79980,0.00000,321.79980,-63.30000,258.50000,53.00000,205.50000,205.50000,198.70000,388.79980,321.79980,581.50000,584.60000,0.34000,0.34000
2016-06-30,5819.30000,5468.70000,350.59960,0.00000,350.59960,-63.30000,287.30000,92.40000,194.90000,194.90000,190.90000,418.39960,350.59960,582.40000,585.10000,0.33000,0.33000
2016-03-31,5557.50000,5109.50000,448.00000,0.00000,448.00000,-60.60000,387.40000,128.70000,258.70000,258.70000,258.20000,511.50000,448.00000,583.20000,585.50000,0.44000,0.44000
2015-12-31,5401.40100,4825.60000,575.80180,0.00000,575.80180,-61.70000,514.10000,164.20000,349.90000,349.90000,330.40000,646.20180,575.80130,585.50000,589.20000,0.56000,0.56000
2015-09-30,5273.80000,4785.00000,488.79980,0.00000,488.79980,-59.80000,429.00000,142.50000,286.50000,286.50000,278.30000,558.39980,488.79980,585.20000,589.10000,0.48000,0.47000
2015-06-30,5283.30000,4696.90000,586.39990,0.00000,586.39990,-61.10000,525.30000,156.80000,368.50000,368.50000,363.30000,654.19990,586.39990,585.70000,589.50000,0.62000,0.62000
2015-03-31,4895.30000,4398.40000,496.89940,0.00000,496.89940,-53.70000,443.20000,147.60000,295.60000,295.60000,295.60000,537.99940,496.89940,587.60000,591.00000,0.50000,0.50000
2014-12-31,5176.20100,4580.20100,596.00000,-0.00100,596.00050,-49.60000,546.40010,176.20000,370.20000,370.20000,370.20000,640.00050,595.99950,590.60000,594.80000,0.63000,0.62000
2014-09-30,4766.10000,4276.20000,489.89990,0.00000,489.89990,-48.10000,441.80000,145.70000,296.10000,296.10000,296.10000,536.39990,489.89990,589.80000,593.70000,0.50000,0.50000
2014-06-30,4741.50000,4255.60000,485.89990,0.00000,485.89990,-48.50000,437.40000,144.00000,293.40000,293.40000,293.40000,528.89990,485.89990,591.20000,595.50000,0.50000,0.49000
2014-03-31,4707.60000,4185.30000,522.30030,0.00000,522.30030,-40.50000,481.80000,160.50000,321.30000,321.30000,321.30000,564.10030,522.30030,593.90000,597.70000,0.54000,0.54000
2013-12-31,4618.80000,4153.40000,465.39990,0.00000,465.39990,-39.80000,425.60000,125.80000,299.80000,299.80000,299.80000,514.39990,465.39990,599.10000,603.60000,0.51000,0.49000
2013-09-30,4521.30000,4129.60000,391.69970,0.00000,391.69970,-46.70000,345.00000,112.60000,232.40000,232.40000,232.40000,452.19970,391.69970,598.90000,603.50000,0.39000,0.39000
2013-06-30,4593.60000,4062.10000,531.50000,0.00000,531.50000,-45.20000,486.30000,161.70000,324.60000,324.60000,324.60000,593.60000,531.50000,599.50000,603.60000,0.54000,0.54000
2013-03-31,4437.20000,3930.00000,507.20020,0.00000,507.20020,-44.10000,463.10000,154.50000,308.60000,308.60000,308.60000,570.90020,507.20020,600.60000,604.40000,0.51000,0.51000
2012-12-31,4350.60000,3954.00000,396.60060,0.00000,396.59960,-43.10000,353.49990,104.40000,249.09990,249.09990,249.10000,463.29960,396.60010,603.30000,607.80000,0.42000,0.41000
2012-09-30,4423.90000,3968.00000,455.89990,0.00000,455.89990,-43.50000,412.40000,135.40000,277.00000,277.00000,277.00000,526.49990,455.89990,601.90000,606.50000,0.46000,0.46000
2012-06-30,4183.00000,3970.90000,212.10010,0.00000,212.10010,-44.40000,167.70000,49.10000,118.60000,118.60000,118.60000,283.00010,212.10010,604.80000,608.90000,0.20000,0.19000
2012-03-31,4126.40000,3698.00000,428.39990,0.00000,428.39990,-44.30000,384.10000,126.50000,257.60000,257.60000,257.60000,501.29990,428.39990,606.20000,610.00000,0.42000,0.42000
2011-12-31,4197.39900,3777.30000,420.09960,0.00000,420.09960,-44.70000,375.40000,118.70000,256.70000,256.70000,256.70000,501.59960,420.09960,632.30000,636.90000,0.43000,0.42000
2011-09-30,3811.00000,3560.00000,251.00000,0.00000,251.00000,-42.50000,208.50000,57.80000,150.70000,150.70000,150.70000,332.00000,251.00000,626.90000,631.40000,0.24000,0.24000
2011-06-30,3872.70000,3475.20000,397.50000,0.00000,397.50000,-39.80000,357.70000,112.50000,245.20000,245.20000,245.20000,476.00000,397.50000,643.60000,647.90000,0.38000,0.38000
2011-03-31,3893.50000,3309.50000,584.00000,0.00000,584.00000,-38.60000,545.40000,182.50000,362.90000,362.90000,362.90000,664.50000,584.00000,651.80000,655.80000,0.56000,0.55000
2010-12-31,4093.80000,3627.40000,466.39990,-0.00100,466.40090,-40.20000,426.20000,127.00000,299.20000,299.20000,299.20000,543.40090,466.39990,657.90000,663.30000,0.45000,0.45000
2010-09-30,3769.50000,3344.90000,424.60010,0.00000,424.60010,-37.40000,387.20000,125.60000,261.60000,261.60000,261.60000,507.30010,424.60010,655.80000,661.20000,0.40000,0.40000
2010-06-30,3686.30000,3328.20000,358.10010,0.00000,358.10010,-45.20000,312.90000,101.00000,211.90000,211.90000,211.90000,432.30010,358.10010,660.40000,665.70000,0.32000,0.32000
2010-03-31,3665.90000,3183.00000,482.89990,0.00000,482.89990,-44.00000,438.90000,143.30000,295.60000,295.60000,295.60000,561.29990,482.89990,661.40000,666.40000,0.45000,0.44000
2009-12-31,3900.60000,3403.40000,497.19950,0.00000,497.19950,-42.90000,454.30000,149.30000,305.00000,305.00000,305.00000,570.29940,497.19950,666.80000,672.20000,0.47000,0.45000
2009-09-30,3611.30000,3195.60000,415.70020,0.00000,415.70020,-43.70000,372.00000,102.10000,269.90000,269.90000,269.90000,499.20020,415.70020,666.70000,672.80000,0.40000,0.40000
2009-06-30,3583.50000,3187.60000,395.89990,0.00000,395.89990,-42.00000,353.90000,103.80000,250.10000,250.10000,250.10000,476.89990,395.89990,669.20000,674.60000,0.37000,0.37000
2009-03-31,3468.20000,3050.60000,417.59990,0.00000,417.59990,-40.90000,376.70000,144.20000,232.50000,232.50000,232.50000,498.09990,417.59990,668.60000,672.00000,0.35000,0.35000
