,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2013-06-30,276.22200,7.90200,268.32000,161.86400,161.86400,106.45600,,106.45600,29.96800,76.48800,76.48800,48.58400,45.16400,45.68400,1.08000,1.06000
2013-03-31,249.61800,7.84500,241.77300,154.82700,154.82700,86.94600,,86.94600,26.40100,60.54500,60.54500,40.89100,44.80200,45.39300,0.91000,0.90000
2012-12-31,294.85610,7.60500,287.25110,158.06300,158.06300,129.18810,,129.18800,29.52600,99.66200,99.66200,50.42100,44.24200,44.76400,1.14000,1.13000
2012-09-30,231.09700,7.52800,223.56900,141.95900,141.95900,81.61000,,81.61000,28.47000,53.14000,53.14000,42.28900,44.44900,44.91500,0.95000,0.94000
2012-06-30,240.24400,7.88400,232.36000,143.76500,143.76500,88.59500,,88.59500,31.51700,57.07800,57.07800,47.60300,44.20700,44.71200,1.08000,1.06000
2012-03-31,218.06700,7.83700,210.23000,146.54100,146.54100,63.68900,,63.68900,23.75600,39.93300,39.93300,34.79000,43.78000,44.46000,0.79000,0.78000
2011-12-31,220.86100,7.73200,213.12900,142.95500,142.95500,70.17400,,70.17400,26.28400,43.89000,43.89000,35.57400,43.00400,43.63700,0.82000,0.82000
2011-09-30,238.93500,7.86900,231.06600,128.22000,128.22000,102.84600,,102.84600,26.77000,76.07600,76.07600,37.57100,43.23300,43.79100,0.87000,0.86000
2011-06-30,263.86900,9.70800,254.16100,121.16600,121.16600,132.99500,,132.99500,43.26300,89.73200,89.73200,65.75000,42.92400,43.74000,1.53000,1.50000
2011-03-31,224.05500,13.80200,210.25300,114.38800,114.38800,95.86500,,95.86500,22.77000,73.09500,73.09500,33.00700,42.48200,43.42600,0.78000,0.76000
2010-12-31,190.57300,14.19100,176.38200,131.39500,131.39500,44.98700,,44.98700,11.00500,33.98200,33.98200,17.48700,41.77400,42.47800,0.41000,0.41000
2010-09-30,202.99400,10.41700,192.57700,115.14200,115.14200,77.43500,,77.43500,24.99600,52.43900,52.43900,37.78700,41.93000,42.51300,0.90000,0.89000
2010-06-30,156.40200,9.80900,146.59300,111.58800,111.58800,35.00500,,35.00500,13.81900,21.18600,21.18600,21.12000,41.72000,42.47600,0.51000,0.50000
2010-03-31,159.29200,9.17900,150.11300,109.32100,109.32100,40.79200,,40.79200,11.58200,29.21000,29.21000,18.55700,41.40500,42.29100,0.45000,0.44000
2009-12-31,152.88700,10.00500,142.88200,105.19800,105.19800,37.68400,,37.68400,13.60200,24.08200,24.08200,6.04400,33.90100,34.18300,0.17000,0.17000
2009-09-30,142.29300,11.16800,131.12500,87.83700,87.83700,43.28800,,43.28800,16.87900,26.40900,26.40900,20.60800,33.17700,33.67200,0.62000,0.61000
2009-06-30,132.83100,12.87500,119.95600,110.40500,110.40500,9.55100,,9.55100,7.17400,2.37700,2.37700,7.79300,32.95200,33.07800,0.24000,0.24000
2009-03-31,100.95800,15.02800,85.93000,126.51400,130.60600,-44.67600,,-44.67600,-2.44800,-42.22800,-42.22800,-11.77100,32.93200,32.93200,-0.36000,-0.36000
