,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2013-12-31,32830.00000,26492.00000,6338.00000,-4121.00000,4121.00000,2217.00000,-135.00000,2082.00000,816.00000,1266.00000,1266.00000,-1.00000,1265.00000,2675.00000,2217.00000,1217.00000,1226.00000,1.05000,1.04000
2013-09-30,31932.00000,25905.00000,6027.00000,-3873.00000,3873.00000,2154.00000,-122.00000,2032.00000,777.00000,1255.00000,1255.00000,-6.00000,1249.00000,2615.00000,2154.00000,1218.00000,1226.00000,1.03000,1.02000
2013-06-30,31248.00000,25407.00000,5841.00000,-3869.00000,3869.00000,1972.00000,-126.00000,1846.00000,721.00000,1125.00000,1125.00000,-1.00000,1124.00000,2421.00000,1972.00000,1227.00000,1236.00000,0.92000,0.91000
2013-03-31,30751.00000,25174.00000,5577.00000,-3883.00000,3883.00000,1694.00000,-126.00000,1568.00000,614.00000,954.00000,954.00000,,954.00000,2196.00000,1694.00000,1232.00000,1241.00000,0.77000,0.77000
2012-12-31,31381.00000,25102.00000,6279.00000,-3995.00000,3995.00000,2284.00000,-507.00000,1777.00000,661.00000,1116.00000,1116.00000,,1116.00000,2740.00000,2284.00000,1271.00000,1280.00000,0.88000,0.89000
2012-09-30,30227.00000,24580.00000,5647.00000,-3833.00000,3833.00000,1814.00000,-134.00000,1680.00000,669.00000,1011.00000,1011.00000,-5.00000,1006.00000,2257.00000,1814.00000,1265.00000,1274.00000,0.80000,0.79000
2012-06-30,30714.00000,25265.00000,5449.00000,-3741.00000,3741.00000,1708.00000,-132.00000,1576.00000,610.00000,966.00000,966.00000,-1.00000,966.00000,2139.00000,1708.00000,1278.00000,1287.00000,0.76000,0.75000
2012-03-31,30798.00000,25685.00000,5113.00000,-3709.00000,3709.00000,1404.00000,-132.00000,1272.00000,496.00000,776.00000,776.00000,-1.00000,776.00000,1827.00000,1404.00000,1299.00000,1309.00000,0.60000,0.59000
2011-12-31,28297.00000,22741.00000,5556.00000,-3598.00000,3598.00000,1958.00000,-147.00000,1811.00000,711.00000,1100.00000,1100.00000,-36.00000,1065.00000,2354.00000,1958.00000,1338.00000,1347.00000,0.82000,0.80000
2011-09-30,26674.00000,21496.00000,5178.00000,-3594.00000,3594.00000,1584.00000,-155.00000,1429.00000,562.00000,867.00000,867.00000,0.00000,868.00000,1991.00000,1584.00000,1332.00000,1340.00000,0.65000,0.65000
2011-06-30,26414.00000,21328.00000,5086.00000,-3602.00000,3602.00000,1484.00000,-148.00000,1336.00000,523.00000,813.00000,813.00000,2.00000,816.00000,1875.00000,1484.00000,1355.00000,1364.00000,0.60000,0.60000
2011-03-31,25695.00000,20953.00000,4742.00000,-3437.00000,3437.00000,1305.00000,-134.00000,1171.00000,462.00000,709.00000,709.00000,3.00000,713.00000,1679.00000,1305.00000,1362.00000,1371.00000,0.52000,0.52000
2010-12-31,24300.00000,18862.00000,5438.00000,-3690.00000,3690.00000,1748.00000,-136.00000,1612.00000,599.00000,1013.00000,1013.00000,12.00000,1026.00000,2121.00000,1748.00000,1367.00000,1377.00000,0.76000,0.75000
2010-09-30,23711.00000,18696.00000,5015.00000,-3537.00000,3537.00000,1478.00000,-137.00000,1341.00000,526.00000,815.00000,815.00000,-7.00000,809.00000,1848.00000,1478.00000,1360.00000,1368.00000,0.59000,0.59000
2010-06-30,24007.00000,18987.00000,5020.00000,-3519.00000,3519.00000,1501.00000,-135.00000,1366.00000,544.00000,822.00000,822.00000,-1.00000,821.00000,1869.00000,1501.00000,1359.00000,1369.00000,0.60000,0.60000
2010-03-31,23760.00000,19014.00000,4746.00000,-3336.00000,3336.00000,1410.00000,-128.00000,1282.00000,510.00000,772.00000,772.00000,-2.00000,771.00000,1768.00000,1410.00000,1386.00000,1396.00000,0.56000,0.55000
2009-12-31,25308.00000,19762.00000,5546.00000,-3664.00000,3664.00000,1882.00000,-132.00000,1750.00000,705.00000,1045.00000,1045.00000,6.00000,1051.00000,2234.00000,1882.00000,1434.00000,1450.00000,0.75000,0.74000
2009-09-30,24642.00000,19630.00000,5012.00000,-3446.00000,3446.00000,1566.00000,-123.00000,1443.00000,420.00000,1023.00000,1023.00000,-2.00000,1021.00000,1867.00000,1566.00000,1429.00000,1445.00000,0.71000,0.71000
2009-06-30,24871.00000,19819.00000,5052.00000,-3452.00000,3452.00000,1600.00000,-128.00000,1472.00000,583.00000,889.00000,889.00000,-3.00000,886.00000,1982.00000,1600.00000,1457.00000,1472.00000,0.61000,0.60000
2009-03-31,23394.00000,18646.00000,4748.00000,-3371.00000,3371.00000,1377.00000,-142.00000,1235.00000,492.00000,743.00000,743.00000,-5.00000,738.00000,1731.00000,1377.00000,1450.00000,1469.00000,0.51000,0.50000
