,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2012-03-31,9949.00000,567.00000,9382.00000,117.00000,5020.00000,-631.00000,6201.00000,3181.00000,3181.00000,1072.00000,2109.00000,2109.00000,2074.00000,3614.00000,3181.00000,510.80000,529.20000,4.05000,3.92000
2011-12-31,6049.00000,560.00000,5489.00000,138.00000,2911.00000,-679.00000,4242.00000,1247.00000,1247.00000,234.00000,1013.00000,1013.00000,978.00000,1761.00000,1247.00000,524.60000,556.90000,1.93000,1.94000
2011-09-30,3587.00000,668.00000,2919.00000,140.00000,2302.00000,-818.00000,3649.00000,-730.00000,-730.00000,-337.00000,-393.00000,-393.00000,-428.00000,-341.00000,-730.00000,518.20000,518.20000,-0.84000,-0.84000
2011-06-30,7281.00000,615.00000,6666.00000,183.00000,3929.00000,-570.00000,5054.00000,1612.00000,1612.00000,525.00000,1087.00000,1087.00000,1052.00000,1984.00000,1612.00000,531.90000,569.50000,1.96000,1.85000
2011-03-31,11894.00000,620.00000,11274.00000,179.00000,5931.00000,-534.00000,7234.00000,4040.00000,4040.00000,1305.00000,2735.00000,2735.00000,908.00000,4634.00000,4040.00000,540.60000,583.00000,1.66000,1.56000
2010-12-31,8642.00000,578.00000,8064.00000,175.00000,2978.00000,-712.00000,4590.00000,3474.00000,3474.00000,1087.00000,2387.00000,2387.00000,2227.00000,4205.00000,3474.00000,542.00000,585.30000,4.12000,3.83000
2010-09-30,8903.00000,519.00000,8384.00000,129.00000,4573.00000,-516.00000,5573.00000,2811.00000,2811.00000,913.00000,1898.00000,1898.00000,1737.00000,3169.00000,2811.00000,541.20000,582.70000,3.19000,2.98000
2010-06-30,8841.00000,622.00000,8219.00000,116.00000,4489.00000,-1729.00000,6771.00000,1448.00000,1448.00000,835.00000,613.00000,613.00000,453.00000,1888.00000,1448.00000,539.80000,580.40000,0.82000,0.78000
2010-03-31,12775.00000,562.00000,12213.00000,110.00000,6107.00000,-465.00000,7054.00000,5159.00000,5159.00000,1703.00000,3456.00000,3456.00000,3296.00000,5534.00000,5159.00000,546.00000,590.00000,6.02000,5.59000
2009-12-31,9615.00000,608.00000,9007.00000,108.00000,102.00000,-1028.00000,1630.00000,7377.00000,7377.00000,2429.00000,4948.00000,4948.00000,4787.00000,7771.00000,7377.00000,512.30000,550.90000,9.25000,8.56000
2009-09-30,12372.00000,580.00000,11792.00000,84.00000,5958.00000,-589.00000,6998.00000,4794.00000,4794.00000,1606.00000,3188.00000,3188.00000,3028.00000,5167.00000,4794.00000,525.90000,576.90000,5.74000,5.25000
2009-06-30,13761.00000,574.00000,13187.00000,82.00000,7209.00000,-441.00000,8158.00000,5029.00000,5029.00000,1594.00000,3435.00000,3435.00000,2718.00000,5556.00000,5029.00000,514.10000,551.00000,5.27000,4.93000
2009-03-31,9425.00000,536.00000,8889.00000,68.00000,5261.00000,-382.00000,6260.00000,2629.00000,2629.00000,815.00000,1814.00000,1814.00000,1659.00000,3278.00000,2629.00000,477.40000,489.20000,3.48000,3.39000
