,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2015-12-31,7298.00000,3827.00000,3471.00000,433.00000,1585.00000,,1971.00000,1500.00000,-37.00000,1463.00000,424.00000,1039.00000,,1039.00000,1038.00000,1897.00000,1500.00000,625.60000,637.20000,1.69000,1.66000
2015-09-30,7712.00000,3877.00000,3835.00000,429.00000,1530.00000,,1959.00000,1876.00000,-31.00000,1845.00000,547.00000,1298.00000,,1298.00000,1296.00000,2231.00000,1876.00000,620.60000,631.20000,2.09000,2.05000
2015-06-30,7686.00000,3858.00000,3828.00000,438.00000,1550.00000,,1988.00000,1840.00000,-28.00000,1812.00000,509.00000,1303.00000,,1303.00000,1300.00000,2184.00000,1840.00000,631.30000,643.00000,2.06000,2.02000
2015-03-31,7578.00000,3821.00000,3757.00000,463.00000,1564.00000,,2027.00000,1730.00000,-27.00000,1703.00000,502.00000,1201.00000,,1201.00000,1199.00000,2069.00000,1730.00000,636.20000,649.20000,1.88000,1.85000
2014-12-31,7719.00000,4027.00000,3692.00000,436.00000,1594.00000,,2030.00000,1662.00000,-24.00000,1638.00000,459.00000,1179.00000,,1179.00000,1179.00000,2012.00000,1662.00000,649.20000,662.00000,1.84000,1.81000
2014-09-30,8137.00000,4205.00000,3932.00000,434.00000,1597.00000,,2031.00000,1901.00000,-21.00000,1880.00000,569.00000,1311.00000,,1311.00000,1303.00000,2251.00000,1901.00000,645.30000,657.90000,2.02000,1.98000
2014-06-30,8134.00000,4184.00000,3950.00000,448.00000,1646.00000,,2094.00000,1856.00000,-36.00000,1820.00000,537.00000,1283.00000,,1283.00000,1267.00000,2214.00000,1856.00000,652.00000,664.60000,1.94000,1.91000
2014-03-31,7831.00000,4031.00000,3800.00000,452.00000,1632.00000,,2084.00000,1716.00000,-28.00000,1688.00000,463.00000,1225.00000,,1225.00000,1207.00000,2066.00000,1716.00000,661.50000,674.50000,1.83000,1.79000
2013-12-31,7569.00000,3976.00000,3593.00000,438.00000,1576.00000,,2014.00000,1579.00000,-21.00000,1558.00000,442.00000,1116.00000,,1116.00000,1103.00000,1936.00000,1579.00000,681.90000,693.60000,1.65000,1.62000
2013-09-30,7916.00000,4148.00000,3768.00000,420.00000,1609.00000,,2029.00000,1739.00000,-23.00000,1716.00000,471.00000,1245.00000,,1245.00000,1230.00000,2082.00000,1739.00000,679.80000,691.80000,1.81000,1.78000
2013-06-30,7752.00000,4013.00000,3739.00000,427.00000,1610.00000,,2037.00000,1702.00000,-31.00000,1671.00000,458.00000,1213.00000,,1213.00000,1197.00000,2037.00000,1702.00000,688.20000,699.10000,1.74000,1.71000
2013-03-31,7634.00000,3969.00000,3665.00000,430.00000,1589.00000,,2019.00000,1646.00000,-29.00000,1617.00000,470.00000,1147.00000,,1147.00000,1129.00000,1982.00000,1646.00000,691.10000,702.10000,1.63000,1.61000
2012-12-31,7387.00000,3991.00000,3396.00000,418.00000,1535.00000,,1953.00000,1443.00000,-34.00000,1409.00000,405.00000,1004.00000,,1004.00000,991.00000,1775.00000,1443.00000,693.90000,703.30000,1.43000,1.42000
2012-09-30,7497.00000,3935.00000,3562.00000,397.00000,1487.00000,,1884.00000,1678.00000,-34.00000,1644.00000,464.00000,1180.00000,,1180.00000,1161.00000,2000.00000,1678.00000,693.00000,703.10000,1.68000,1.65000
2012-06-30,7534.00000,3870.00000,3664.00000,408.00000,1528.00000,,1936.00000,1728.00000,-33.00000,1695.00000,509.00000,1186.00000,,1186.00000,1167.00000,2049.00000,1728.00000,694.30000,702.60000,1.68000,1.66000
2012-03-31,7486.00000,3889.00000,3597.00000,411.00000,1552.00000,,1963.00000,1634.00000,-31.00000,1603.00000,462.00000,1141.00000,,1141.00000,1125.00000,1947.00000,1634.00000,696.80000,706.10000,1.61000,1.59000
2011-12-31,7089.00000,3824.00000,3265.00000,379.00000,1522.00000,,1901.00000,1364.00000,-35.00000,1329.00000,355.00000,974.00000,,974.00000,954.00000,1681.00000,1364.00000,708.50000,719.00000,1.36000,1.35000
2011-09-30,7531.00000,4027.00000,3504.00000,389.00000,1534.00000,,1923.00000,1581.00000,-38.00000,1543.00000,440.00000,1103.00000,,1103.00000,1088.00000,1892.00000,1581.00000,707.70000,715.50000,1.54000,1.52000
2011-06-30,7680.00000,4040.00000,3640.00000,404.00000,1581.00000,,1985.00000,1655.00000,-41.00000,1614.00000,437.00000,1177.00000,,1177.00000,1160.00000,1974.00000,1655.00000,713.40000,726.50000,1.63000,1.60000
2011-03-31,7311.00000,3802.00000,3509.00000,398.00000,1533.00000,,1931.00000,1578.00000,-33.00000,1545.00000,442.00000,1103.00000,,1103.00000,1081.00000,1867.00000,1578.00000,711.50000,726.40000,1.52000,1.49000
2010-12-31,6709.00000,3575.00000,3134.00000,388.00000,1445.00000,,1833.00000,1301.00000,-39.00000,1262.00000,319.00000,943.00000,,943.00000,928.00000,1584.00000,1301.00000,713.70000,725.50000,1.29000,1.27000
2010-09-30,6874.00000,3583.00000,3291.00000,354.00000,1361.00000,,1715.00000,1576.00000,-40.00000,1536.00000,411.00000,1125.00000,,1125.00000,1106.00000,1854.00000,1576.00000,714.00000,725.20000,1.55000,1.53000
2010-06-30,6731.00000,3435.00000,3296.00000,350.00000,1350.00000,,1700.00000,1596.00000,-42.00000,1554.00000,414.00000,1140.00000,,1140.00000,1121.00000,1868.00000,1596.00000,714.50000,725.70000,1.57000,1.54000
2010-03-31,6348.00000,3238.00000,3110.00000,342.00000,1323.00000,,1665.00000,1445.00000,-42.00000,1403.00000,448.00000,955.00000,,955.00000,930.00000,1732.00000,1445.00000,711.80000,723.50000,1.31000,1.29000
2009-12-31,6122.00000,3189.00000,2933.00000,326.00000,1265.00000,,1591.00000,1342.00000,-43.00000,1299.00000,348.00000,951.00000,,951.00000,935.00000,1640.00000,1342.00000,700.50000,706.70000,1.33000,1.31000
2009-09-30,6193.00000,3171.00000,3022.00000,335.00000,1209.00000,,1544.00000,1478.00000,-47.00000,1431.00000,460.00000,971.00000,,971.00000,957.00000,1768.00000,1478.00000,702.80000,710.80000,1.36000,1.35000
2009-06-30,5719.00000,2977.00000,2742.00000,309.00000,1242.00000,,1551.00000,1191.00000,-48.00000,1143.00000,351.00000,792.00000,,792.00000,783.00000,1489.00000,1191.00000,696.80000,700.30000,1.12000,1.12000
2009-03-31,5089.00000,2772.00000,2317.00000,323.00000,1191.00000,,1514.00000,803.00000,-44.00000,759.00000,229.00000,530.00000,,530.00000,518.00000,1074.00000,803.00000,693.50000,695.90000,0.75000,0.74000
