,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2020-06-30,598.80600,346.51500,252.29100,,-76.17200,122.89000,129.40100,129.40100,32.61700,96.78400,96.78400,93.20400,176.68000,143.21000,273.10000,274.36200,0.34000,0.34000
2020-03-31,698.49500,349.62400,348.87100,,-95.91500,143.61800,205.25300,205.25300,52.85300,152.40000,152.40000,147.20800,253.47500,220.54400,272.77600,274.86100,0.54000,0.54000
2019-12-31,578.98890,334.59810,244.39080,,-93.70600,142.34200,102.04880,102.04900,25.53000,76.51900,76.51900,73.63900,151.22380,117.90380,272.47100,274.61600,0.27000,0.26000
2019-09-30,618.68300,331.12000,287.56300,,-87.32400,135.72500,151.83800,151.83800,36.33200,115.50600,115.50600,111.73400,200.77300,168.15200,272.96200,275.07500,0.41000,0.41000
2019-06-30,575.21900,309.61000,265.60900,,-94.17400,142.08700,123.52200,123.52200,30.92900,92.59300,92.59300,89.57300,171.96200,139.81500,272.56300,274.40200,0.33000,0.33000
2019-03-31,619.28000,332.83700,286.44300,,-90.49800,137.92300,148.52010,148.52000,34.62400,113.89600,113.89600,110.69500,196.39400,163.71800,272.67900,275.01400,0.41000,0.40000
2018-12-31,508.74800,278.01190,230.73610,,-88.22400,130.12500,100.61110,100.61100,27.15900,73.45200,73.45200,71.39100,142.91310,112.50510,270.97100,275.52100,0.26000,0.26000
2018-09-30,530.85000,268.04500,262.80500,,-84.44600,120.30500,142.49990,142.50000,36.44700,106.05300,106.05300,103.33700,178.75490,151.46290,271.00800,275.28200,0.38000,0.38000
2018-06-30,473.18700,251.95800,221.22900,,-83.88300,120.31900,100.91000,100.91000,26.98800,73.92200,73.92200,72.30400,137.75600,110.96200,270.08100,275.90800,0.27000,0.26000
2018-03-31,501.46100,270.89900,230.56200,,-76.35900,112.12100,118.44100,118.44100,27.61300,90.82800,90.82800,88.92600,154.61300,128.11200,270.17200,275.71400,0.33000,0.32000
2017-12-31,474.31610,258.20700,216.10910,,-73.90800,109.77500,106.33410,106.33400,-81.17100,187.50500,187.50500,182.93900,142.61510,115.70110,272.58000,277.58600,0.67000,0.65000
2017-09-30,475.64600,246.06200,229.58400,,-68.84800,105.16500,124.41900,124.41900,48.50600,75.91300,75.91300,74.06100,161.14900,133.81200,272.69200,277.78600,0.27000,0.27000
2017-06-30,466.30500,244.51700,221.78800,,-76.91000,113.78600,108.00200,108.00200,41.90000,66.10200,66.10200,64.46000,145.48300,117.87600,273.38400,278.20200,0.24000,0.23000
2017-03-31,465.08000,245.86600,219.21400,,-70.84700,108.24700,110.96700,110.96700,40.85700,70.11000,70.11000,68.42400,148.79700,120.64900,273.48700,278.05200,0.25000,0.25000
2016-12-31,433.66400,232.40300,201.26100,,-69.72200,106.35980,94.90110,94.90100,37.27500,57.62600,57.62600,56.14100,131.97910,104.76510,272.27800,275.60800,0.20500,0.20500
2016-09-30,462.27400,237.65300,224.62100,,-70.76600,107.64900,116.97200,116.97200,45.42700,71.54500,71.54500,69.67200,154.28300,126.85500,272.92200,276.36400,0.25500,0.25000
2016-06-30,446.51800,231.10200,215.41600,,-69.53800,106.33900,109.07700,109.07700,42.82700,66.25000,66.25000,64.35400,146.33400,118.91400,271.98400,275.16200,0.23500,0.23500
2016-03-31,424.17300,224.05900,200.11400,,-60.74000,97.56500,102.54900,102.54900,40.47900,62.07000,62.07000,60.61900,139.85100,112.44600,271.09600,273.88000,0.22500,0.22000
2015-12-31,404.59700,211.53300,193.06400,,-60.91300,98.02690,95.03710,95.03700,37.10200,57.93500,57.93500,56.60700,132.19010,104.88110,275.62000,280.22400,0.20500,0.20500
2015-09-30,432.16700,216.15600,216.01100,,-65.92600,103.18100,112.83000,112.83000,45.40300,67.42700,67.42700,65.86200,149.32000,122.71200,275.36800,280.08200,0.24000,0.23500
2015-06-30,419.44700,217.60100,201.84600,,-64.40100,100.93200,100.91400,100.91400,39.90900,61.00500,61.00500,59.56600,137.89900,110.58500,275.03600,279.65600,0.21500,0.21500
2015-03-31,404.29800,211.66200,192.63600,,-62.19900,98.85800,93.77800,93.77800,36.82700,56.95100,56.95100,55.58800,130.86600,103.62900,278.72000,282.97400,0.20000,0.19500
2014-12-31,393.02000,227.47900,165.54110,,-108.19400,127.09490,38.44610,38.44600,14.05100,24.39500,24.39500,23.79700,76.54210,48.48000,281.88800,285.78200,0.08500,0.08000
2014-09-30,421.41800,203.12600,218.29200,5.64000,-65.23000,105.60700,112.68500,112.68500,44.35400,68.33100,68.33100,66.65000,147.42200,119.98300,281.83000,285.92800,0.23500,0.23500
2014-06-30,397.76400,196.39700,201.36700,5.99400,-60.72300,99.58600,101.78100,101.78100,40.02600,61.75500,61.75500,60.22400,134.65000,108.78500,282.50000,286.06400,0.21500,0.21000
2014-03-31,363.59400,184.11000,179.48400,7.51500,-58.54400,92.64700,86.83700,86.83700,34.42200,52.41500,52.41500,51.03900,113.42500,90.90900,283.22000,286.61800,0.18000,0.18000
2013-12-31,343.16510,179.46000,163.70510,7.69900,-52.85900,87.26310,76.44200,76.44200,29.21700,47.22500,47.22500,45.87000,103.14700,80.76600,282.06600,285.24800,0.16000,0.16000
2013-09-30,359.31000,180.52800,178.78200,7.43100,-49.43700,83.32700,95.45500,95.45500,37.70600,57.74900,57.74900,56.12300,121.91400,99.59000,282.27800,285.57800,0.20000,0.19500
2013-06-30,325.79200,163.51400,162.27800,3.62300,-48.05300,76.05700,86.22100,86.22100,34.21400,52.00700,52.00700,50.85000,110.60200,90.21800,281.67200,286.04200,0.18000,0.18000
2013-03-31,335.01200,159.49800,175.51400,3.85000,-47.86100,76.02300,99.49100,99.49100,39.36000,60.13100,60.13100,58.82300,123.80300,103.47500,281.59200,285.89400,0.21000,0.20500
2012-12-31,302.83000,158.46700,144.36310,4.47200,-46.54700,75.13600,69.22710,69.22700,26.59000,42.63700,42.63700,41.49900,93.34410,73.23100,278.72800,284.02000,0.15000,0.14500
2012-09-30,303.80000,149.69100,154.10900,3.90800,-44.63200,72.46000,81.64900,81.64900,32.14500,49.50400,49.50400,48.07600,105.56900,85.65500,278.93000,284.19400,0.17000,0.17000
2012-06-30,290.91600,150.75200,140.16400,3.73800,-41.61600,69.01900,71.14500,71.14500,28.67400,42.47100,42.47100,41.22300,94.81000,75.14500,278.17200,283.65600,0.15000,0.14500
2012-03-31,302.48600,149.59600,152.89000,3.74700,-43.01200,70.10000,82.79000,82.79000,33.35700,49.43300,49.43300,47.93400,106.13100,86.87700,278.00200,283.00000,0.17000,0.17000
2011-12-31,244.09700,129.38900,114.70800,2.85600,-31.72800,55.01710,59.69090,59.69100,23.19700,36.49400,36.49400,35.34600,80.12390,63.04290,277.16400,280.52800,0.13000,0.12500
2011-09-30,260.40100,126.87700,133.52400,2.85600,-37.62400,60.83200,72.69200,72.69200,28.51900,44.17300,44.17300,42.77800,93.04400,76.25700,277.38000,280.88600,0.15500,0.15000
2011-06-30,246.81600,125.85200,120.96400,2.70900,-36.54400,59.49600,61.46800,61.46800,24.43300,37.03500,37.03500,35.87000,81.71100,65.07600,276.75800,279.88400,0.13000,0.13000
2011-03-31,262.22800,126.55700,135.67100,2.77300,-35.97700,59.00100,76.67000,76.67000,30.37700,46.29300,46.29300,44.90200,96.92100,80.27700,276.70200,281.29600,0.16000,0.16000
2010-12-31,229.93800,122.26400,107.67400,1.61500,-33.95700,55.70700,51.96700,51.96700,19.82100,32.14600,32.14600,31.09900,72.10200,55.59100,275.84800,278.63600,0.11500,0.10500
2010-09-30,247.61600,122.00100,125.61500,1.49500,-31.49400,52.58100,73.03400,73.03400,28.74100,44.29300,44.29300,42.93200,92.62600,76.64100,276.18600,279.01400,0.15500,0.15500
2010-06-30,243.66500,121.37200,122.29300,1.78000,-33.08900,54.28000,68.01300,68.01300,26.82800,41.18500,41.18500,39.89000,87.42400,71.64500,275.37000,278.21000,0.14500,0.14500
2010-03-31,252.27300,122.18300,130.09000,1.95500,-35.63700,57.00600,73.08400,73.08400,28.95600,44.12800,44.12800,42.73400,92.49800,76.69200,275.24600,275.58200,0.15500,0.15500
2009-12-31,214.16200,115.10700,99.05500,2.11500,-36.38200,57.97790,41.07710,41.07700,17.42400,23.65300,23.65300,22.91100,60.55810,44.78810,274.34600,275.01400,0.08000,0.08000
2009-09-30,243.76600,119.60700,124.15900,1.73200,-35.52300,56.66800,67.49100,67.49100,26.53000,40.96100,40.96100,39.65100,86.90400,71.11300,274.55800,275.34200,0.14500,0.14500
2009-06-30,246.36900,122.62500,123.74400,1.69500,-35.62000,56.76500,66.97900,66.97900,26.31100,40.66800,40.66800,39.35100,86.42900,70.61100,273.87800,274.60800,0.14500,0.14500
2009-03-31,263.58000,127.34100,136.23900,1.81600,-35.86400,57.03200,79.20700,79.20700,31.19500,48.01200,48.01200,46.44400,98.55900,82.84100,273.87000,274.44000,0.17000,0.17000
