,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2015-06-30,492.19100,36.89100,455.30000,275.17900,280.12000,175.18000,175.18000,43.83500,131.34500,131.34500,116.93400,141.92700,145.71300,0.82000,0.80000
2015-03-31,459.82200,36.88400,422.93800,262.40500,267.56000,155.37800,155.37800,39.46600,115.91200,115.91200,102.02300,138.83900,142.79100,0.73000,0.71000
2014-12-31,454.83300,38.14400,416.68900,252.85800,258.22600,158.46300,158.46300,43.00400,115.45900,115.45900,101.57000,136.42000,140.49700,0.73000,0.72000
2014-09-30,481.06700,40.40700,440.66000,246.31200,251.89200,188.76800,188.76800,52.75700,136.01100,136.01100,122.12200,137.66100,141.54800,0.89000,0.86000
2014-06-30,447.14100,37.09000,410.05100,238.73600,244.52800,165.52300,165.52300,44.69100,120.83200,120.83200,106.94300,137.27900,141.47300,0.78000,0.76000
2014-03-31,418.32300,36.60800,381.71500,218.58200,224.58600,157.12900,157.12900,42.42500,114.70400,114.70400,100.81500,132.88000,137.29500,0.76000,0.73000
2013-12-31,409.67790,38.65400,371.02390,202.52600,208.74400,162.27990,162.28000,46.98100,115.29900,115.29900,102.49900,131.32600,135.94900,0.78000,0.75000
2013-09-30,399.68200,37.84000,361.84200,195.26800,201.69800,160.14400,160.14400,48.39600,111.74800,111.74800,101.35900,131.43600,136.13300,0.77000,0.74000
2013-06-30,394.99400,29.65200,365.34200,194.86900,201.51200,163.83000,163.83000,51.36000,112.47000,112.47000,102.76400,131.10200,135.59500,0.78000,0.76000
2013-03-31,396.01400,25.69700,370.31700,186.15600,193.01200,177.30500,177.30500,54.75200,122.55300,122.55300,114.77700,130.84600,135.25200,0.88000,0.85000
2012-12-31,384.19820,26.25300,357.94520,174.54800,179.47500,178.47020,178.47000,69.66700,108.80300,108.80300,102.26900,130.05100,134.18900,0.78000,0.76000
2012-09-30,371.17500,28.51500,342.66000,189.80800,194.89500,147.76500,147.76500,45.06900,102.69600,102.69600,97.02900,130.19400,134.37400,0.75000,0.72000
2012-06-30,358.76600,31.53000,327.23600,181.26000,186.43000,140.80600,140.80600,42.27400,98.53200,98.53200,80.61600,129.89000,134.00200,0.62000,0.60000
2012-03-31,341.80100,27.88800,313.91300,174.31900,179.60700,134.30600,134.30600,41.63500,92.67100,92.67100,89.30700,129.49800,133.62100,0.69000,0.67000
2011-12-31,344.16310,29.22400,314.93910,158.79600,164.24000,150.69910,150.69900,56.63600,94.06300,94.06300,92.99100,129.06100,132.72400,0.72000,0.70000
2011-09-30,330.60600,31.43500,299.17100,154.71800,160.32000,138.85100,138.85100,49.98600,88.86500,88.86500,87.79300,129.20700,132.43700,0.68000,0.66000
2011-06-30,313.13100,29.13200,283.99900,146.09500,151.85500,132.14400,132.14400,46.14200,86.00200,86.00200,84.83200,128.85800,133.09100,0.66000,0.64000
2011-03-31,312.98700,27.42700,285.56000,136.68500,142.60200,142.95800,142.95800,52.89500,90.06300,90.06300,88.77200,128.85800,132.50900,0.69000,0.67000
2010-12-31,310.39100,26.37000,284.02100,189.40100,195.47100,88.55000,126.70000,49.54000,77.16000,75.96700,75.96700,125.10900,127.54600,0.61000,0.60000
2010-09-30,282.85600,27.58800,255.26800,134.47300,140.70300,114.56500,114.56500,46.97200,67.59300,67.59300,66.39500,124.13300,125.85800,0.53000,0.53000
2010-06-30,269.01500,45.72100,223.29400,115.29400,115.29400,108.00000,108.00000,46.25500,61.74500,61.74500,60.54700,,,,0.00000
2010-03-31,289.28100,49.87800,239.40300,119.02200,119.02200,120.38100,120.38100,50.88300,69.49800,69.49800,68.30000,,,,0.00000
2009-12-31,,,,,,,,,,,,,,,0.00000
