,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2013-12-31,18458.00000,12728.00000,5730.00000,,-4462.00000,4462.00000,1268.00000,1268.00000,353.00000,915.00000,915.00000,1.00000,877.00000,1268.00000,1268.00000,1105.58000,1116.20300,0.79000,0.77000
2013-09-30,16337.00000,11384.00000,4953.00000,,-3977.00000,3977.00000,976.00000,976.00000,3.00000,973.00000,973.00000,2.00000,942.00000,976.00000,976.00000,1104.89300,1117.29700,0.85000,0.84000
2013-06-30,15721.00000,11135.00000,4586.00000,,-4025.00000,4025.00000,561.00000,561.00000,53.00000,508.00000,508.00000,2.00000,471.00000,561.00000,561.00000,1097.88900,1106.68000,0.43000,0.43000
2013-03-31,17683.00000,12298.00000,5385.00000,,-4138.00000,4138.00000,1247.00000,1247.00000,252.00000,995.00000,995.00000,-3.00000,956.00000,1247.00000,1247.00000,1096.92600,1103.88500,0.87000,0.87000
2012-12-31,17333.00000,13396.00000,3937.00000,,-4414.00000,4414.00000,-477.00000,-477.00000,-582.00000,105.00000,105.00000,31.00000,96.00000,-477.00000,-477.00000,1070.75600,1076.84000,0.07000,0.08000
2012-09-30,16503.00000,11400.00000,5103.00000,,-4245.00000,6113.00000,-1010.00000,-1010.00000,-53.00000,-957.00000,-957.00000,,-984.00000,-1010.00000,-1010.00000,1065.04200,1065.04200,-0.92000,-0.92000
2012-06-30,18398.00000,10285.00000,8113.00000,,-4775.00000,4775.00000,3338.00000,3338.00000,1038.00000,2300.00000,2300.00000,3.00000,2264.00000,3338.00000,3338.00000,1064.68800,1069.98000,2.13000,2.12000
2012-03-31,15916.00000,12004.00000,3912.00000,,-4321.00000,4321.00000,-409.00000,-409.00000,-275.00000,-134.00000,-134.00000,14.00000,-174.00000,-409.00000,-409.00000,1064.25300,1064.25300,-0.16000,-0.16000
2011-12-31,16734.00000,10910.00000,5824.00000,,-4550.00000,4550.00000,1274.00000,1274.00000,311.00000,963.00000,963.00000,25.00000,959.00000,1274.00000,1274.00000,1059.58000,1068.09400,0.91000,0.89000
2011-09-30,20453.00000,10140.00000,10313.00000,,-5198.00000,5198.00000,5115.00000,5115.00000,1673.00000,3442.00000,3442.00000,8.00000,3426.00000,5115.00000,5115.00000,1060.20000,1066.20100,3.23000,3.21000
2011-06-30,17146.00000,10937.00000,6209.00000,,-4699.00000,4699.00000,1510.00000,1510.00000,448.00000,1062.00000,1062.00000,31.00000,1069.00000,1510.00000,1510.00000,1059.75100,1070.97600,1.01000,1.00000
2011-03-31,15908.00000,10533.00000,5375.00000,,-4090.00000,4090.00000,1285.00000,1285.00000,361.00000,924.00000,924.00000,-40.00000,701.00000,1285.00000,1285.00000,1058.51800,1069.52400,0.66000,0.66000
2010-12-31,12671.00000,9278.00000,3393.00000,,-3597.00000,3597.00000,-204.00000,-204.00000,-141.00000,-63.00000,-63.00000,25.00000,-72.00000,-204.00000,-204.00000,882.43700,889.56800,-0.27000,-0.26000
2010-09-30,12338.00000,8964.00000,3374.00000,,-2989.00000,2989.00000,385.00000,385.00000,68.00000,317.00000,317.00000,3.00000,286.00000,385.00000,385.00000,875.78200,883.10000,0.33000,0.32000
2010-06-30,14138.00000,8366.00000,5772.00000,,-3409.00000,3409.00000,2363.00000,2363.00000,827.00000,1536.00000,1536.00000,11.00000,1526.00000,2363.00000,2363.00000,822.90600,830.47300,1.85000,1.84000
2010-03-31,13100.00000,8983.00000,4117.00000,,-2932.00000,2932.00000,1185.00000,1185.00000,356.00000,829.00000,829.00000,5.00000,805.00000,1185.00000,1185.00000,822.65500,828.62100,0.97000,0.96000
2009-12-31,11940.00000,8844.00000,3096.00000,,-2945.00000,2945.00000,151.00000,151.00000,-141.00000,292.00000,292.00000,21.00000,289.00000,151.00000,151.00000,818.46200,818.46200,0.35000,0.35000
2009-09-30,10238.00000,8870.00000,1368.00000,,-2543.00000,2543.00000,-1175.00000,-1175.00000,-551.00000,-624.00000,-624.00000,-1.00000,-650.00000,-1175.00000,-1175.00000,821.76400,821.76400,-0.79000,-0.79000
2009-06-30,8265.00000,8609.00000,-344.00000,,-2031.00000,2031.00000,-2375.00000,-2375.00000,-956.00000,-1419.00000,-1419.00000,1.00000,-1433.00000,-2375.00000,-2375.00000,821.59400,821.59400,-1.74000,-1.74000
2009-03-31,10214.00000,8174.00000,2040.00000,,-3002.00000,3002.00000,-962.00000,-962.00000,-377.00000,-585.00000,-585.00000,37.00000,-574.00000,-962.00000,-962.00000,809.10200,809.10200,-0.71000,-0.71000
