,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2019-06-30,3972.60000,2476.00000,1496.60000,-1046.30000,1046.30000,450.30000,450.30000,58.20000,392.10000,392.10000,386.30000,450.30000,450.30000,279.00000,281.20000,1.38000,1.37000
2019-03-31,3743.90000,2225.20000,1518.70000,-992.70000,992.70000,525.99980,526.00000,73.90000,452.10000,452.10000,429.90000,525.99980,525.99980,278.70000,280.90000,1.54000,1.53000
2018-12-31,3770.60000,2471.10000,1299.50000,-1056.60000,1056.60000,242.89990,242.90000,11.20000,231.70010,231.70010,236.50000,413.29990,242.90040,285.80000,288.80000,0.85000,0.83000
2018-09-30,4348.10000,2674.00000,1674.10000,-1105.00000,1105.00000,569.10010,569.10000,109.10000,460.00000,460.00000,456.30000,641.90010,569.10010,284.90000,287.80000,1.60000,1.59000
2018-06-30,3234.90000,1729.40000,1505.50000,-990.10000,990.10000,515.39990,515.40000,55.90000,459.50000,459.50000,456.60000,630.99990,515.39990,286.40000,289.20000,1.59000,1.58000
2018-03-31,2883.60000,1441.60000,1442.00000,-985.00000,985.00000,457.00000,457.00000,54.50000,402.50000,402.50000,397.10000,580.60000,457.00000,289.40000,292.90000,1.37000,1.36000
2017-12-31,3237.70100,1833.80000,1403.90100,-1089.10000,1089.10000,314.80100,314.79990,-528.10000,842.89990,842.89990,841.79990,426.50100,314.80080,288.90000,293.10000,2.92000,2.87000
2017-09-30,4627.80000,2537.20000,2090.60000,-932.80000,932.80000,1157.80000,1157.80000,344.60000,813.20010,813.20010,810.20000,1274.00000,1157.80000,289.30000,293.10000,2.80000,2.76000
2017-06-30,3178.30000,1884.00000,1294.30000,-928.70000,928.70000,365.60010,365.60000,50.80000,314.80000,314.80000,309.50000,467.60010,365.60010,288.90000,292.70000,1.07000,1.06000
2017-03-31,3049.40000,1692.20000,1357.20000,-943.20000,943.20000,413.99980,414.00000,60.40000,353.60000,353.60000,348.90000,514.39980,413.99980,288.30000,292.40000,1.21000,1.19000
2016-12-31,3513.79900,2146.90000,1366.89900,-985.60000,985.60100,381.29860,381.30000,43.10000,338.19990,338.19990,318.00000,449.39860,381.29910,289.40000,292.70000,1.11000,1.09000
2016-09-30,2818.00000,1527.70000,1290.30000,-919.60000,919.60000,370.70020,370.70000,43.30000,327.40000,327.40000,308.20000,509.50020,370.70020,288.10000,291.40000,1.07000,1.06000
2016-06-30,3025.70000,1697.90000,1327.80000,-927.90000,927.90000,399.89990,399.90000,72.90000,327.00000,327.00000,322.30000,519.29990,399.89990,289.90000,292.60000,1.11000,1.10000
2016-03-31,3036.60000,1697.30000,1339.30000,-899.50000,899.50000,439.80000,439.80000,70.60000,369.20000,369.20000,368.00000,585.20010,439.80000,291.50000,294.30000,1.26000,1.25000
2015-12-31,2807.00000,1577.20000,1229.80000,-920.80000,920.79900,309.00050,309.00010,50.70000,258.30000,258.30000,253.60000,400.30050,309.00100,294.40000,298.00000,0.86000,0.85000
2015-09-30,3240.90000,1910.30000,1330.60000,-961.40000,961.40000,369.20000,369.20000,68.30000,300.90000,300.90000,300.40000,556.79990,369.20000,295.00000,298.50000,1.02000,1.01000
2015-06-30,3259.20000,2095.70000,1163.50000,-869.00000,869.00000,294.49980,294.50000,29.60000,264.90000,264.90000,241.10000,376.29970,294.49980,295.00000,298.40000,0.82000,0.81000
2015-03-31,2657.30000,1278.00000,1379.30000,-921.20000,921.20000,458.10010,458.10000,29.00000,429.10000,429.10000,414.20000,561.20010,458.10010,294.80000,298.50000,1.41000,1.39000
2014-12-31,2908.00000,1664.20000,1243.79900,-926.60010,926.60000,317.19950,317.20010,36.90000,280.30000,280.30000,270.70000,448.29950,317.19920,294.70000,298.70000,0.92000,0.90000
2014-09-30,2484.30000,1158.00000,1326.30000,-932.50000,932.50000,393.80000,393.80000,141.00000,252.80000,252.80000,230.40000,574.90000,393.80000,294.20000,298.20000,0.78000,0.77000
2014-06-30,2606.70000,1313.00000,1293.70000,-886.20000,886.20000,407.50000,407.50000,88.30000,319.20000,319.20000,306.30000,516.60000,407.50000,294.70000,298.30000,1.04000,1.03000
2014-03-31,2478.60000,1273.20000,1205.40000,-829.00000,829.00000,376.40010,376.40000,52.30000,324.10000,324.10000,284.00000,491.80010,376.40010,295.80000,299.50000,0.96000,0.95000
2013-12-31,2672.60000,1441.90000,1230.70000,-920.79970,920.80000,309.89970,309.90000,59.50000,250.40000,250.40000,233.40000,400.39970,309.89980,294.60000,298.20000,0.79000,0.77000
2013-09-30,2239.60000,1144.70000,1094.90000,-774.60000,774.60000,320.30020,320.30000,61.20000,259.10000,259.10000,245.70000,394.00020,320.30020,294.90000,298.60000,0.83000,0.82000
2013-06-30,2210.60000,1143.20000,1067.40000,-801.80000,801.80000,265.60010,265.60000,29.00000,236.60000,236.60000,222.30000,351.90010,265.60010,294.10000,297.20000,0.76000,0.75000
2013-03-31,2166.70000,1142.80000,1023.90000,-795.70000,795.70000,228.20000,228.20000,38.20000,190.00000,190.00000,178.30000,318.70000,228.20000,294.10000,297.10000,0.61000,0.61000
2012-12-31,2295.89900,1202.60000,1093.30000,-832.40010,832.39900,260.90000,260.90000,34.20000,226.70000,226.70000,214.90000,361.20000,260.90010,297.50000,300.40000,0.72000,0.71000
2012-09-30,2704.70000,1696.70000,1008.00000,-816.40000,816.40000,191.59990,191.60000,-7.20000,198.80000,198.80000,187.20000,308.49980,191.59990,294.70000,297.50000,0.64000,0.63000
2012-06-30,2118.60000,1159.50000,959.10010,-729.60000,729.60000,229.50010,229.50000,50.90000,178.60000,178.60000,167.60000,335.80010,229.50010,299.40000,301.90000,0.56000,0.56000
2012-03-31,2095.90000,1262.80000,833.09990,-555.10000,555.10000,277.99990,278.00000,56.70000,221.30000,221.30000,203.90000,181.49990,277.99990,301.80000,304.70000,0.68000,0.68000
2011-12-31,2058.80000,1170.40000,888.40000,-738.40010,738.40000,150.00010,149.99990,8.00000,142.00000,142.00000,134.10000,231.00010,150.00000,314.50000,317.60000,0.44000,0.45000
2011-09-30,2093.60000,1167.10000,926.50010,-775.40000,775.40000,151.10010,151.10000,76.60000,74.50000,74.50000,71.90000,302.00010,151.10010,311.90000,314.80000,0.23000,0.23000
2011-06-30,2296.40000,1246.80000,1049.60000,-739.40000,739.40000,310.19980,310.20000,61.00000,249.20000,249.20000,217.30000,400.39980,310.19980,320.00000,323.20000,0.68000,0.67000
2011-03-31,2221.90000,1242.50000,979.39990,-717.90000,717.90000,261.49990,261.50000,52.70000,208.80000,208.80000,182.00000,330.69990,261.49990,321.30000,324.70000,0.57000,0.56000
2010-12-31,2412.10000,1326.90000,1085.20000,-877.10000,877.10000,208.10010,208.10000,26.40000,181.70000,181.70000,162.90000,298.70010,208.10020,320.30000,323.00000,0.51000,0.50000
2010-09-30,2288.50000,1373.50000,915.00000,-751.50000,751.50000,163.50000,163.50000,12.20000,151.30000,151.30000,142.20000,297.10000,163.50000,320.70000,323.30000,0.44000,0.44000
2010-06-30,2233.60000,1392.00000,841.60010,-683.80000,683.80000,157.80000,157.80000,13.60000,144.20000,144.20000,134.00000,264.30000,157.80000,320.10000,322.90000,0.42000,0.42000
2010-03-31,2264.00000,1331.80000,932.20000,-675.90000,675.90000,256.29990,256.30000,52.70000,203.60000,203.60000,190.80000,358.99990,256.29990,319.80000,322.10000,0.60000,0.59000
2009-12-31,2232.40000,1430.40000,802.00000,-632.50010,632.50000,169.49950,169.50000,14.60000,154.90000,154.90000,141.90000,225.39950,169.49930,297.30000,298.90000,0.45000,0.45000
2009-09-30,2270.30000,1379.00000,891.30000,-643.00000,643.00000,248.30000,248.30000,44.10000,204.20000,204.20000,184.70000,318.10000,248.30000,319.10000,321.50000,0.58000,0.57000
2009-06-30,2157.80000,1397.20000,760.60000,-562.70000,562.70000,197.89990,197.90000,33.90000,164.00000,164.00000,150.30000,184.49990,197.89990,289.90000,291.40000,0.52000,0.52000
2009-03-31,2188.60000,1370.10000,818.50010,-688.40000,688.40000,130.10010,130.10000,7.50000,122.60000,122.60000,112.80000,248.50010,130.10010,260.00000,260.50000,0.43000,0.43000
