,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2017-12-31,5424.00000,3328.00000,2096.00000,1038.00000,,1096.00000,1000.00000,1000.00000,-1583.00000,2583.00000,2583.00000,2583.00000,1342.00000,1058.00000,792.04200,797.86100,3.26000,3.25000
2017-09-30,5506.00000,3415.00000,2091.00000,957.00000,,1016.00000,1075.00000,1075.00000,359.00000,716.00000,716.00000,716.00000,1405.00000,1134.00000,788.95800,794.76200,0.91000,0.90000
2017-06-30,5428.00000,3374.00000,2054.00000,948.00000,,1009.00000,1045.00000,1045.00000,332.00000,713.00000,713.00000,713.00000,1389.00000,1106.00000,792.86500,798.69500,0.90000,0.89000
2017-03-31,5309.00000,3380.00000,1929.00000,969.00000,,1031.00000,898.00000,898.00000,306.00000,592.00000,592.00000,592.00000,1254.00000,960.00000,802.25900,808.13800,0.74000,0.73000
2016-12-31,5955.00000,3599.00000,2356.00000,1187.00000,,1203.00000,1153.00000,1153.00000,402.00000,751.00000,751.00000,751.00000,1225.00000,1225.00000,822.94200,827.84100,0.92000,0.91500
2016-09-30,5716.00000,3731.00000,1985.00000,957.00000,,1022.00000,963.00000,963.00000,334.00000,629.00000,629.00000,629.00000,1028.00000,1028.00000,817.03800,822.28000,0.77000,0.76500
2016-06-30,5437.00000,3599.00000,1838.00000,938.00000,,1004.00000,834.00000,834.00000,286.00000,548.00000,548.00000,548.00000,900.00000,900.00000,823.70600,828.65200,0.66500,0.66000
2016-03-31,5451.00000,3358.00000,2093.00000,855.00000,-56.00000,976.00000,1117.00000,1117.00000,386.00000,731.00000,731.00000,731.00000,1182.00000,1182.00000,837.49600,841.84000,0.87500,0.87000
2015-12-31,5319.00000,3252.00000,2067.00000,1248.00000,,956.00000,1111.00000,1111.00000,381.00000,730.00000,730.00000,730.00000,1176.00000,1176.00000,861.30800,866.34400,0.85500,0.85000
2015-09-30,5040.00000,3253.00000,1787.00000,812.00000,-44.00000,923.00000,864.00000,864.00000,297.00000,567.00000,567.00000,567.00000,931.00000,931.00000,857.47000,862.20400,0.66000,0.66000
2015-06-30,5287.00000,3262.00000,2025.00000,805.00000,-272.00000,1151.00000,874.00000,874.00000,301.00000,573.00000,573.00000,573.00000,948.00000,948.00000,863.34400,868.51400,0.66500,0.66000
2015-03-31,5226.00000,3282.00000,1944.00000,807.00000,-41.00000,931.00000,1013.00000,1013.00000,350.00000,663.00000,663.00000,663.00000,1096.00000,1096.00000,874.61200,879.85400,0.76000,0.75500
2014-12-31,5514.00000,3409.00000,2105.00000,891.00000,-60.00000,1030.00000,1075.00000,1075.00000,372.00000,703.00000,703.00000,703.00000,1154.00000,1154.00000,902.40800,908.00000,0.79000,0.78000
2014-09-30,5736.00000,3716.00000,2020.00000,837.00000,-32.00000,946.00000,1074.00000,1074.00000,368.00000,706.00000,706.00000,706.00000,1151.00000,1151.00000,902.49200,907.96200,0.78000,0.78000
2014-06-30,5838.00000,3662.00000,2176.00000,813.00000,-44.00000,938.00000,1238.00000,1238.00000,428.00000,810.00000,810.00000,810.00000,1319.00000,1319.00000,905.11800,910.76000,0.89500,0.89000
2014-03-31,5640.00000,3586.00000,2054.00000,828.00000,-42.00000,950.00000,1104.00000,1104.00000,372.00000,732.00000,732.00000,732.00000,1184.00000,1184.00000,909.46200,915.39800,0.80500,0.80000
2013-12-31,5801.00000,3766.00000,2035.00000,875.00000,-50.00000,1007.00000,1028.00000,1028.00000,353.00000,675.00000,675.00000,675.00000,1110.00000,1110.00000,929.00400,934.81600,0.73500,0.73000
2013-09-30,5886.00000,3873.00000,2013.00000,824.00000,-49.00000,944.00000,1069.00000,1069.00000,367.00000,702.00000,702.00000,702.00000,1140.00000,1140.00000,928.64800,934.78200,0.75500,0.75000
2013-06-30,6044.00000,3789.00000,2255.00000,780.00000,-48.00000,897.00000,1358.00000,1358.00000,469.00000,889.00000,889.00000,889.00000,1427.00000,1427.00000,930.42600,935.95000,0.95500,0.95000
2013-03-31,6208.00000,3913.00000,2295.00000,817.00000,-46.00000,934.00000,1361.00000,1361.00000,469.00000,892.00000,892.00000,892.00000,1432.00000,1432.00000,932.92400,938.24800,0.95500,0.95000
2012-12-31,6375.00000,4424.00000,1951.00000,949.00000,-48.00000,1072.00000,879.00000,879.00000,298.00000,581.00000,581.00000,581.00000,954.00000,954.00000,933.73600,938.57400,0.62500,0.62000
2012-09-30,6847.00000,4374.00000,2473.00000,876.00000,-50.00000,993.00000,1480.00000,1480.00000,463.00000,1017.00000,1017.00000,1017.00000,1547.00000,1547.00000,934.84400,939.44200,1.08500,1.08000
2012-06-30,5902.00000,4195.00000,1707.00000,856.00000,-48.00000,966.00000,741.00000,741.00000,258.00000,483.00000,483.00000,483.00000,803.00000,803.00000,933.57600,937.18000,0.52000,0.51500
2012-03-31,6240.00000,4081.00000,2159.00000,851.00000,-49.00000,957.00000,1202.00000,1202.00000,417.00000,785.00000,785.00000,785.00000,1259.00000,1259.00000,931.77400,937.06600,0.84000,0.84000
2011-12-31,5979.00000,4138.00000,1841.00000,915.00000,-50.00000,1018.00000,823.00000,823.00000,285.00000,538.00000,538.00000,538.00000,876.00000,876.00000,933.03800,938.74000,0.58000,0.57000
2011-09-30,5987.00000,3955.00000,2032.00000,843.00000,-45.00000,940.00000,1092.00000,1092.00000,356.00000,736.00000,736.00000,736.00000,1144.00000,1144.00000,931.82000,935.58600,0.79000,0.78500
2011-06-30,5088.00000,3737.00000,1351.00000,816.00000,-45.00000,907.00000,444.00000,444.00000,170.00000,274.00000,274.00000,274.00000,490.00000,490.00000,932.99600,939.50400,0.29500,0.29000
2011-03-31,5117.00000,3644.00000,1473.00000,795.00000,-42.00000,882.00000,591.00000,591.00000,202.00000,389.00000,389.00000,389.00000,636.00000,636.00000,936.02400,944.20800,0.41500,0.41500
2010-12-31,5293.00000,3686.00000,1607.00000,871.00000,-49.00000,964.00000,643.00000,643.00000,222.00000,421.00000,421.00000,421.00000,687.00000,687.00000,938.07600,946.17000,0.44500,0.44000
2010-09-30,5394.00000,3514.00000,1880.00000,748.00000,-38.00000,825.00000,1055.00000,1055.00000,365.00000,690.00000,690.00000,690.00000,1094.00000,1094.00000,939.73600,947.13800,0.73500,0.73000
2010-06-30,4980.00000,3283.00000,1697.00000,737.00000,-38.00000,808.00000,889.00000,889.00000,308.00000,581.00000,581.00000,581.00000,922.00000,922.00000,937.64800,945.07800,0.62000,0.61500
2010-03-31,5065.00000,3260.00000,1805.00000,761.00000,-37.00000,831.00000,974.00000,974.00000,338.00000,636.00000,636.00000,636.00000,1007.00000,1007.00000,935.85200,944.90000,0.68000,0.67500
2009-12-31,4597.00000,3367.00000,1230.00000,1270.00000,-41.00000,888.00000,342.00000,342.00000,91.00000,251.00000,251.00000,251.00000,-81.00000,-81.00000,933.10400,938.12600,0.27000,0.26500
2009-09-30,4526.00000,3205.00000,1321.00000,703.00000,-44.00000,772.00000,549.00000,549.00000,186.00000,363.00000,363.00000,363.00000,574.00000,574.00000,933.17200,939.42800,0.39000,0.38500
2009-06-30,4313.00000,3104.00000,1209.00000,239.00000,-35.00000,736.00000,473.00000,473.00000,159.00000,314.00000,314.00000,314.00000,935.00000,935.00000,932.80200,936.57000,0.33500,0.33500
2009-03-31,4818.00000,3200.00000,1618.00000,707.00000,-32.00000,747.00000,871.00000,871.00000,302.00000,569.00000,569.00000,569.00000,879.00000,879.00000,932.19400,934.26400,0.61000,0.61000
