,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2019-06-30,882.00000,882.00000,444.00000,6.00000,302.00000,-75.00000,227.00000,57.00000,170.00000,170.00000,,170.00000,444.00000,302.00000,181.00000,181.00000,0.94000,0.94000
2019-03-31,813.00000,813.00000,434.00000,3.00000,238.00000,-86.00000,152.00000,39.00000,113.00000,113.00000,,113.00000,382.00000,238.00000,181.00000,181.00000,0.62000,0.62000
2018-12-31,850.00000,850.00000,461.00000,,248.00000,-78.00000,170.00000,58.00000,112.00000,112.00000,,112.00000,389.00000,248.00000,180.00000,180.00000,0.62000,0.62000
2018-09-30,976.00000,976.00000,461.00000,-39.00000,335.00000,-80.00000,255.00000,70.00000,185.00000,185.00000,,187.00000,476.00000,335.00000,181.00000,181.00000,1.04000,1.04000
2018-06-30,853.00000,853.00000,417.00000,,302.00000,-80.00000,222.00000,60.00000,162.00000,162.00000,,162.00000,436.00000,302.00000,179.00000,179.00000,0.90000,0.90000
2018-03-31,761.00000,761.00000,417.00000,2.00000,217.00000,-77.00000,140.00000,34.00000,106.00000,106.00000,,106.00000,346.00000,217.00000,178.00000,179.00000,0.60000,0.59000
2017-12-31,821.00000,821.00000,433.00000,7.00000,281.00000,-80.00000,201.00000,202.00000,-1.00000,-1.00000,,-1.00000,395.00000,281.00000,178.00000,179.00000,-0.01000,0.00000
2017-09-30,936.00000,936.00000,383.00000,7.00000,432.00000,-92.00000,340.00000,137.00000,203.00000,203.00000,,203.00000,560.00000,432.00000,178.00000,179.00000,1.14000,1.13000
2017-06-30,844.00000,844.00000,410.00000,2.00000,310.00000,-84.00000,226.00000,95.00000,131.00000,131.00000,,131.00000,436.00000,310.00000,178.00000,179.00000,0.74000,0.73000
2017-03-31,756.00000,756.00000,402.00000,,230.00000,-85.00000,145.00000,52.00000,93.00000,93.00000,,93.00000,354.00000,230.00000,178.00000,179.00000,0.52000,0.52000
2016-12-31,802.00000,802.00000,431.00000,2.00000,253.00000,-87.00000,166.00000,65.00000,101.00000,101.00000,,101.00000,373.00000,253.00000,178.00000,179.00000,0.57000,0.56000
2016-09-30,930.00000,930.00000,497.00000,5.00000,319.00000,-76.00000,243.00000,95.00000,148.00000,148.00000,,148.00000,438.00000,319.00000,178.00000,178.00000,0.83000,0.83000
2016-06-30,827.00000,827.00000,415.00000,2.00000,299.00000,-74.00000,225.00000,88.00000,137.00000,137.00000,,137.00000,414.00000,299.00000,178.00000,178.00000,0.77000,0.77000
2016-03-31,743.00000,743.00000,414.00000,1.00000,214.00000,-78.00000,136.00000,54.00000,82.00000,82.00000,,82.00000,330.00000,214.00000,178.00000,179.00000,0.46000,0.46000
2015-12-31,783.00000,783.00000,439.00000,1.00000,232.00000,-74.00000,158.00000,59.00000,99.00000,99.00000,,99.00000,345.00000,232.00000,179.00000,180.00000,0.55000,0.56000
2015-09-30,896.00000,896.00000,424.00000,,361.00000,-74.00000,287.00000,113.00000,174.00000,174.00000,,174.00000,472.00000,361.00000,179.00000,180.00000,0.97000,0.96000
2015-06-30,782.00000,782.00000,396.00000,1.00000,278.00000,-74.00000,204.00000,81.00000,123.00000,123.00000,,123.00000,387.00000,278.00000,180.00000,180.00000,0.69000,0.68000
2015-03-31,698.00000,698.00000,388.00000,1.00000,204.00000,-71.00000,133.00000,53.00000,80.00000,80.00000,,80.00000,311.00000,204.00000,179.00000,180.00000,0.45000,0.44000
2014-12-31,731.05000,731.05000,403.34700,1.38500,223.48600,-74.15400,149.33200,55.22700,94.10500,94.10500,-0.71200,93.39300,328.43600,223.48600,179.00000,180.00000,0.52000,0.51000
2014-09-30,846.16900,846.16900,402.15500,0.06000,337.28500,-73.47200,263.81300,107.20500,156.60800,156.60800,-4.42300,152.18500,444.39500,337.28500,178.99200,179.94800,0.85000,0.85000
2014-06-30,754.77800,754.77800,394.65100,0.34500,254.78700,-72.28400,182.50300,72.32900,110.17400,110.17400,-0.87500,109.29900,360.99800,254.78700,178.86300,179.69300,0.61000,0.61000
2014-03-31,679.00300,679.00300,385.84700,0.21000,187.44200,-73.09000,114.35200,45.23900,69.11300,69.11300,-0.99000,68.12300,293.17100,187.44200,178.53900,179.45700,0.38000,0.38000
2013-12-31,696.40800,696.40800,373.76400,-0.44000,218.71410,-115.52700,103.18700,41.00200,62.18500,62.18500,-2.75600,59.42900,323.83800,218.71390,178.00000,179.00000,0.34000,0.33000
2013-09-30,822.19000,822.19000,395.76100,-0.76800,323.16600,-74.88300,248.28300,98.37400,149.90900,149.90900,0.75600,150.66500,424.77800,323.16600,177.96500,179.15400,0.85000,0.84000
2013-06-30,724.26500,724.26500,381.12600,0.11400,241.88700,-74.16800,167.71900,66.45600,101.26300,101.26300,,101.26300,342.50200,241.88700,177.71600,178.91000,0.57000,0.57000
2013-03-31,636.13700,636.13700,372.34900,0.09400,164.23300,-75.42200,88.81100,31.16800,57.64300,57.64300,,57.64300,263.88200,164.23300,177.32700,178.46500,0.32000,0.32000
2012-12-31,657.95010,657.95010,392.28700,0.18100,166.09410,-72.63900,93.45500,39.87900,53.57600,53.57600,1.90200,55.47800,265.42710,166.09410,176.44500,177.67100,0.31000,0.31000
2012-09-30,831.81500,831.81500,407.98700,0.03100,327.64000,-72.61600,255.02400,100.91300,154.11100,154.11100,-0.29900,153.81200,423.85900,327.64000,176.62100,177.84100,0.87000,0.86000
2012-06-30,745.60700,745.60700,382.85900,0.21300,270.63200,-73.36700,197.26500,80.60200,116.66300,116.66300,-9.63700,107.02600,362.96100,270.63200,176.33100,177.49100,0.61000,0.60000
2012-03-31,618.55400,618.55400,367.12500,0.41300,159.73800,-75.09300,84.64500,35.39300,49.25200,49.25200,-7.49800,41.75400,251.84200,159.73800,175.91400,177.02800,0.24000,0.24000
2011-12-31,639.77910,639.77910,373.07290,-0.34600,177.08220,-75.02000,102.06200,41.14400,60.91800,60.91800,3.93000,64.84800,266.36020,177.08210,175.48400,176.53100,0.37000,0.36000
2011-09-30,760.86900,760.86900,392.77200,1.63500,281.40910,-74.51900,206.89000,78.39500,128.49500,128.49500,8.92700,137.42200,369.73210,281.40910,175.54700,176.59300,0.78000,0.78000
2011-06-30,668.87300,668.87300,380.10800,-0.02800,201.39500,-75.31100,126.08400,51.26700,74.81700,74.81700,6.29300,81.11000,288.73700,201.39500,175.46900,176.41900,0.46000,0.46000
2011-03-31,596.71500,596.71500,366.31900,-0.26800,143.25000,-74.60600,68.64400,27.94500,40.69900,40.69900,-14.46600,26.23300,230.12800,143.25000,175.25900,176.04800,0.15000,0.15000
2010-12-31,604.40990,604.40990,373.29610,0.05500,151.87160,-80.50700,71.36500,33.35100,38.01400,38.01400,2.14000,40.15400,235.37660,151.87180,174.83300,175.12400,0.22000,0.22000
2010-09-30,748.95300,748.95300,398.20900,-0.21100,265.25300,-70.13400,195.11900,75.76200,119.35700,119.35700,4.75700,124.11400,349.25800,265.25300,174.85900,175.06200,0.71000,0.71000
2010-06-30,634.91000,634.91000,364.90500,-0.02600,187.54900,-72.95800,114.59100,46.57000,68.02100,68.02100,4.73000,72.75100,268.24700,187.54900,174.77400,174.85000,0.42000,0.42000
2010-03-31,566.76200,566.76200,360.12800,0.07100,123.44810,-75.09900,48.34900,18.66900,29.68000,29.68000,1.12800,30.80800,205.50410,123.44810,174.72000,174.79600,0.18000,0.18000
2009-12-31,447.58000,447.58000,228.32100,21.28300,146.15610,-77.78100,68.37500,18.91900,49.45600,49.45600,,36.37100,207.26110,146.15620,168.16400,168.16400,0.35000,0.35000
2009-09-30,679.95600,679.95600,391.48000,0.78400,212.27100,-70.47000,141.80100,50.16500,91.63600,91.63600,,91.63600,297.39790,212.27100,174.59500,174.69100,0.52000,0.52000
2009-06-30,612.74000,612.74000,382.29600,-0.01000,155.65700,-69.53100,86.12600,34.13700,51.98900,51.98900,,51.98900,239.03400,155.65700,163.22900,163.30100,0.32000,0.32000
2009-03-31,550.17000,550.17000,366.89900,-449.79800,-336.85800,-65.65000,-402.50800,10.57100,-413.07900,-413.07900,,-413.07900,-258.00600,-336.85800,160.01100,160.01100,-2.58000,-2.58000
