,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2020-03-31,2032.75000,1510.81900,521.93090,395.89000,-1108.11800,1828.33800,-1306.40700,-130.62800,-1437.03500,-1437.03500,-1437.03500,-1444.47900,-965.65820,-1306.40700,209.09700,209.09700,-6.91000,-6.91000
2019-12-31,2517.41300,1481.51900,1035.89300,414.70710,,736.46900,299.42480,-18.95100,280.47400,280.47400,280.47400,273.13600,636.79190,299.42500,209.40500,209.93000,1.31000,1.31000
2019-09-30,3186.85000,1623.03800,1563.81200,352.72500,,673.02000,890.79200,-0.42700,890.36500,890.36500,890.36500,883.24000,1222.27200,890.79200,209.57500,210.12100,4.21000,4.20000
2019-06-30,2806.63100,1544.50400,1262.12700,376.87400,,688.47400,573.65310,-93.69800,479.95510,479.95510,479.95510,472.83000,903.78810,573.65310,209.53100,210.05200,2.26000,2.25000
2019-03-31,2439.76700,1413.70400,1026.06300,414.94700,,707.23200,318.83110,-62.02500,256.80610,256.80610,256.80610,249.68100,629.39810,318.83110,209.32200,209.87400,1.19000,1.19000
2018-12-31,2332.30100,1360.41300,971.88770,327.69310,,607.86200,364.02600,-43.57400,320.45210,320.45210,320.45210,315.70290,661.67610,364.02610,210.57000,211.55400,1.49000,1.49000
2018-09-30,2796.18700,1411.36400,1384.82300,325.16700,,585.09000,799.73320,10.65800,810.39120,810.39120,810.39120,810.39100,1078.87300,799.73320,209.05400,209.92800,3.88000,3.86000
2018-06-30,2337.60500,1314.41100,1023.19400,312.92300,,566.29900,456.89500,9.40000,466.29500,466.29500,466.29500,466.29500,716.44600,456.89500,211.67300,212.50900,2.20000,2.19000
2018-03-31,2027.75600,1176.01900,851.73690,337.36100,,577.59100,274.14600,-55.49300,218.65300,218.65300,218.65300,218.65300,524.48400,274.14600,212.61000,213.60200,1.03000,1.02000
2017-12-31,2004.46700,1145.70100,858.76590,311.05910,,551.41700,307.34900,-19.31000,288.03880,288.03880,288.03880,288.03910,556.08800,307.34880,214.61700,215.69400,1.34000,1.34000
2017-09-30,2569.54400,1318.26900,1251.27500,273.63700,,513.78700,737.48790,15.35400,752.84190,752.84190,752.84190,752.84200,989.16490,737.48790,214.69400,215.82400,3.51000,3.49000
2017-06-30,2195.27400,1256.78500,938.48890,283.85500,,518.79200,419.69690,-50.17100,369.52590,369.52590,369.52590,369.52600,667.41290,419.69690,215.08500,216.06200,1.72000,1.71000
2017-03-31,2008.56000,1175.82400,832.73610,317.46500,,553.21400,279.52210,-64.79600,214.72610,214.72610,214.72610,214.72600,528.52710,279.52210,214.87000,215.81300,1.00000,0.99000
2016-12-31,1909.60300,1123.25100,786.35210,256.30690,,489.51000,296.84220,-35.75600,261.08620,261.08620,261.08620,261.08590,543.41520,296.84220,215.39300,216.31600,1.20000,1.20000
2016-09-30,2563.74100,1340.12300,1223.61800,259.32700,,488.65500,734.96290,-41.70600,693.25690,693.25690,693.25690,693.25700,977.86880,734.96290,214.81900,215.66700,3.23000,3.21000
2016-06-30,2105.26200,1310.58700,794.67490,290.78200,,512.40200,282.27290,-52.36800,229.90490,229.90490,229.90490,229.90500,517.37490,282.27290,215.26500,216.13100,1.07000,1.06000
2016-03-31,1917.79500,1241.57800,676.21700,302.32600,,513.09000,163.12710,-63.98700,99.14010,99.14010,99.14010,99.14000,386.25610,163.12710,216.91400,217.86900,0.46000,0.46000
2015-12-31,1902.05300,1173.34100,728.71190,269.46400,,478.79400,249.91850,-43.11900,206.79950,206.79950,206.79950,206.79900,511.40150,249.91850,219.53700,220.68900,0.94000,0.95000
2015-09-30,2523.10000,1387.02600,1136.07400,256.06000,-411.26700,878.06900,258.00490,-29.21800,228.78690,228.78690,228.78690,228.78700,468.74690,258.00490,219.96300,221.13700,1.04000,1.03000
2015-06-30,2058.32200,1316.40900,741.91310,274.14800,,480.61600,261.29710,-76.33000,184.96710,184.96710,184.96710,184.96700,467.76510,261.29710,219.91300,220.90200,0.84000,0.84000
2015-03-31,1815.59900,1222.61700,592.98190,286.83200,,487.30000,105.68190,-60.45200,45.22990,45.22990,45.22990,45.23000,306.14990,105.68190,219.62600,220.84200,0.21000,0.20000
2014-12-31,1817.82600,1244.74500,573.08040,257.99500,,453.73700,119.34350,-9.57600,109.76780,109.76780,109.76780,109.76800,367.71850,119.34390,221.65800,223.04400,0.51000,0.50000
2014-09-30,2388.76200,1426.88200,961.88000,239.66200,,432.41800,529.46200,-39.21400,490.24800,490.24800,490.24800,490.24800,721.91000,529.46200,222.52300,223.85900,2.20000,2.19000
2014-06-30,1980.04300,1330.67400,649.36890,260.98800,,453.78200,195.58690,-57.91400,137.67290,137.67290,137.67290,137.67300,388.46690,195.58690,222.18900,223.38100,0.62000,0.62000
2014-03-31,1887.22400,1303.98000,583.24400,290.30700,,485.77800,97.46610,-71.00900,26.45710,26.45710,26.45710,26.45700,291.20100,97.46610,221.29500,222.67100,0.12000,0.12000
2013-12-31,1854.15800,1282.66000,571.49830,262.88300,,496.52800,74.96970,-67.95100,7.01890,7.01890,7.01890,7.01800,265.59170,74.96990,219.63800,220.94100,0.04000,0.03000
2013-09-30,2311.74900,1416.80100,894.94800,249.95400,,450.73900,444.20900,-78.50800,365.70100,365.70100,365.70100,365.70100,632.75000,444.20900,219.74400,221.00400,1.66000,1.65000
2013-06-30,1882.76700,1323.61900,559.14790,257.94800,,445.81000,113.33800,-88.59100,24.74700,24.74700,24.74700,24.74700,299.52200,113.33800,219.50200,220.64800,0.11000,0.11000
2013-03-31,1911.22000,1282.19000,629.03000,274.03400,,463.39800,165.63210,-89.40600,76.22610,76.22610,76.22610,76.22600,354.99610,165.63210,219.09700,220.48400,0.35000,0.35000
2012-12-31,1806.15000,1257.98300,548.16700,255.49400,,829.47400,-281.30710,-111.49600,-392.80290,-392.80290,-392.80290,-392.80300,-92.77110,-281.30690,217.93000,219.45700,-1.81000,-1.79000
2012-09-30,2226.39000,1348.32500,878.06490,243.87700,,425.92800,452.13700,-84.35800,367.77900,367.77900,367.77900,367.77900,634.18790,452.13700,217.94000,219.29600,1.69000,1.68000
2012-06-30,1821.00400,1296.01400,524.98990,247.57100,,428.08500,96.90480,-100.55800,-3.65320,-3.65320,-3.65320,-3.65300,277.41880,96.90480,217.86600,217.86600,-0.02000,-0.02000
2012-03-31,1834.48000,1255.11200,579.36790,264.60100,,443.99300,135.37500,-88.41100,46.96400,46.96400,46.96400,46.96400,314.76700,135.37500,217.58400,219.23000,0.22000,0.21000
2011-12-31,1775.40100,1250.86100,524.54090,238.44500,,418.37700,106.16320,-69.60000,36.56290,36.56290,36.56290,36.56200,286.09630,106.16300,216.98300,219.22900,0.17000,0.16000
2011-09-30,2321.99400,1405.30000,916.69400,231.76100,,408.95200,507.74190,-108.78400,398.95790,398.95790,398.95790,398.95800,684.93290,507.74190,217.10500,218.93400,1.84000,1.82000
2011-06-30,1767.87300,1185.37500,582.49800,242.25800,,414.30800,168.18990,-74.69900,93.49090,93.49090,93.49090,93.49100,340.23990,168.18990,217.02800,219.37000,0.43000,0.43000
2011-03-31,1671.99500,1101.07100,570.92400,248.13800,,421.39000,149.53410,-71.12400,78.41010,78.41010,78.41010,78.41000,322.78610,149.53410,216.51100,219.62600,0.36000,0.36000
2010-12-31,1604.49800,1106.98900,497.50850,211.93600,,375.81400,121.69490,-97.39900,24.29590,24.29590,24.29590,24.29600,285.57290,121.69480,215.02600,217.71100,0.11000,0.11000
2010-09-30,2060.65900,1239.62500,821.03390,213.30000,,375.53200,445.50200,-95.32300,350.17900,350.17900,350.17900,350.17900,607.73400,445.50200,215.15000,217.51200,1.63000,1.61000
2010-06-30,1601.69700,1086.18700,515.51000,211.79500,,371.82600,143.68400,-89.95300,53.73100,53.73100,53.73100,53.73100,303.71500,143.68400,215.04300,217.56100,0.25000,0.25000
2010-03-31,1485.65000,1025.27500,460.37500,211.04800,,368.62300,91.75210,-4.30500,87.44710,87.44710,87.44710,87.44700,249.32710,91.75210,214.31400,216.97500,0.41000,0.40000
2009-12-31,1451.66700,1037.24500,414.42190,185.65500,,332.06700,82.35510,-88.93800,-6.58280,-6.58280,-6.58280,-6.58300,228.76710,82.35520,213.80900,215.29500,-0.04000,-0.03000
2009-09-30,1763.54200,1116.08600,647.45610,196.59400,,340.61500,306.84110,-76.44900,230.39210,230.39210,230.39210,230.39200,450.86210,306.84110,213.83900,215.66900,1.08000,1.07000
2009-06-30,1349.01500,965.43510,383.58000,190.59300,,328.51790,55.06190,-90.14800,-35.08610,-35.08610,-35.08610,-35.08600,192.98690,55.06190,213.78000,213.78000,-0.16000,-0.16000
2009-03-31,1325.60200,952.33600,373.26610,189.15700,,329.01300,44.25310,-80.49100,-36.23800,-36.23800,-36.23800,-36.23800,184.10910,44.25310,213.68700,213.68700,-0.17000,-0.17000
