,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2019-03-31,3118.00000,3118.00000,1705.00000,-670.00000,523.00000,-53.00000,470.00000,75.00000,395.00000,395.00000,,395.00000,773.00000,727.00000,138.80000,140.10000,2.85000,2.82000
2018-12-31,3179.00000,3179.00000,1702.00000,-444.00000,716.00000,-64.00000,652.00000,113.00000,539.00000,539.00000,,539.00000,937.00000,891.00000,145.60000,147.70000,3.82000,3.76000
2018-09-30,3292.00000,3292.00000,1722.00000,-729.00000,638.00000,-50.00000,588.00000,85.00000,503.00000,503.00000,,503.00000,861.00000,816.00000,144.40000,146.50000,3.48000,3.43000
2018-06-30,3196.00000,3196.00000,1690.00000,-635.00000,628.00000,-80.00000,548.00000,86.00000,462.00000,462.00000,,462.00000,859.00000,808.00000,147.00000,149.00000,3.14000,3.10000
2018-03-31,3168.00000,3168.00000,1694.00000,-494.00000,747.00000,-51.00000,696.00000,102.00000,594.00000,594.00000,,594.00000,944.00000,888.00000,149.50000,152.10000,3.97000,3.91000
2017-12-31,3180.00000,3180.00000,1726.00000,-581.00000,648.00000,-53.00000,595.00000,418.00000,177.00000,177.00000,,177.00000,853.00000,795.00000,154.10000,156.70000,1.20000,1.16000
2017-09-30,3014.00000,3014.00000,1631.00000,-474.00000,685.00000,-52.00000,633.00000,126.00000,507.00000,507.00000,,507.00000,916.00000,861.00000,153.00000,155.40000,3.31000,3.26000
2017-06-30,3012.00000,3012.00000,1598.00000,-611.00000,563.00000,-52.00000,511.00000,118.00000,393.00000,393.00000,,393.00000,792.00000,734.00000,155.10000,157.50000,2.53000,2.50000
2017-03-31,2926.00000,2926.00000,1600.00000,-567.00000,525.00000,-50.00000,475.00000,72.00000,403.00000,403.00000,,403.00000,750.00000,687.00000,157.50000,160.10000,2.56000,2.52000
2016-12-31,3166.00000,3166.00000,1692.00000,-712.00000,549.00000,-81.00000,468.00000,69.00000,399.00000,399.00000,,399.00000,768.00000,707.00000,166.30000,168.20000,2.49000,2.45000
2016-09-30,2998.00000,2998.00000,1529.00000,-855.00000,290.00000,-52.00000,238.00000,23.00000,215.00000,215.00000,,215.00000,511.00000,451.00000,164.00000,165.80000,1.31000,1.30000
2016-06-30,2871.00000,2871.00000,1566.00000,-597.00000,463.00000,-53.00000,410.00000,75.00000,335.00000,335.00000,,335.00000,683.00000,621.00000,168.30000,170.10000,1.99000,1.97000
2016-03-31,2765.00000,2765.00000,1497.00000,-482.00000,530.00000,-55.00000,475.00000,111.00000,364.00000,364.00000,,364.00000,741.00000,676.00000,172.60000,174.40000,2.11000,2.09000
2015-12-31,3103.00000,3103.00000,1610.00000,-714.00000,562.00000,-116.00000,446.00000,66.00000,380.00000,380.00000,,357.00000,752.00000,727.00000,181.70000,184.20000,2.03000,2.00000
2015-09-30,2886.00000,2886.00000,1550.00000,-471.00000,561.00000,-98.00000,463.00000,111.00000,352.00000,352.00000,,397.00000,832.00000,732.00000,180.40000,182.70000,2.20000,2.17000
2015-06-30,3128.00000,3128.00000,1627.00000,-543.00000,704.00000,-89.00000,615.00000,139.00000,476.00000,476.00000,,415.00000,921.00000,864.00000,183.80000,186.40000,2.26000,2.23000
2015-03-31,3053.00000,3053.00000,1571.00000,-533.00000,702.00000,-84.00000,618.00000,139.00000,479.00000,479.00000,,393.00000,940.00000,874.00000,186.30000,189.10000,2.11000,2.08000
2014-12-31,3089.00000,3089.00000,1602.00000,-568.00000,649.00000,-91.00000,558.00000,104.00000,454.00000,454.00000,-1.00000,425.00000,894.00000,833.00000,191.60000,195.00000,2.25000,2.21000
2014-09-30,3111.00000,3111.00000,1570.00000,-458.00000,799.00000,-79.00000,720.00000,155.00000,565.00000,565.00000,0.00000,420.00000,1031.00000,967.00000,190.30000,193.70000,2.21000,2.17000
2014-06-30,3072.00000,3072.00000,1615.00000,-506.00000,698.00000,-79.00000,619.00000,152.00000,467.00000,467.00000,,374.00000,939.00000,873.00000,192.70000,196.20000,1.94000,1.91000
2014-03-31,2996.00000,2996.00000,1544.00000,-450.00000,729.00000,-79.00000,650.00000,134.00000,516.00000,516.00000,-1.00000,400.00000,978.00000,915.00000,195.50000,199.10000,2.05000,2.01000
2013-12-31,2946.00000,2946.00000,1557.00000,-563.00000,566.00000,-87.00000,479.00000,97.00000,382.00000,382.00000,-2.00000,296.00000,836.00000,772.00000,203.20000,207.10000,1.48000,1.46000
2013-09-30,2813.00000,2813.00000,1461.00000,-492.00000,670.00000,-68.00000,602.00000,154.00000,448.00000,448.00000,1.00000,382.00000,933.00000,874.00000,201.30000,205.10000,1.90000,1.86000
2013-06-30,2749.00000,2749.00000,1507.00000,-490.00000,462.00000,-60.00000,402.00000,120.00000,282.00000,282.00000,-1.00000,321.00000,718.00000,660.00000,204.90000,208.60000,1.57000,1.54000
2013-03-31,2691.00000,2691.00000,1456.00000,-409.00000,553.00000,-66.00000,487.00000,121.00000,366.00000,366.00000,-1.00000,335.00000,809.00000,751.00000,208.40000,212.30000,1.61000,1.58000
2012-12-31,2674.00000,2674.00000,1448.00000,-443.00000,485.00000,-67.00000,418.00000,87.00000,331.00000,331.00000,1.00000,389.00000,751.00000,694.00000,218.70000,222.80000,1.82000,1.79000
2012-09-30,2468.00000,2468.00000,1385.00000,-542.00000,267.00000,-68.00000,199.00000,47.00000,152.00000,152.00000,-1.00000,173.00000,532.00000,474.00000,215.00000,219.10000,0.80000,0.79000
2012-06-30,2514.00000,2514.00000,1426.00000,-409.00000,371.00000,-72.00000,299.00000,128.00000,171.00000,171.00000,-1.00000,223.00000,634.00000,580.00000,221.70000,225.60000,1.01000,0.99000
2012-03-31,2561.00000,2561.00000,1428.00000,-505.00000,391.00000,-69.00000,322.00000,73.00000,249.00000,249.00000,-1.00000,244.00000,653.00000,597.00000,227.30000,231.70000,1.07000,1.05000
2011-12-31,2582.00000,2582.00000,1347.00000,-560.00000,422.00000,-96.00000,326.00000,58.00000,268.00000,268.00000,13.00000,236.00000,693.00000,644.00000,241.40000,246.30000,1.02000,1.00000
2011-09-30,2455.00000,2455.00000,1384.00000,-258.00000,397.00000,-71.00000,326.00000,109.00000,217.00000,217.00000,2.00000,324.00000,612.00000,611.00000,238.00000,242.00000,1.36000,1.34000
2011-06-30,2623.00000,2623.00000,1433.00000,-405.00000,484.00000,-75.00000,409.00000,118.00000,291.00000,291.00000,-4.00000,315.00000,733.00000,696.00000,245.50000,251.00000,1.28000,1.25000
2011-03-31,2532.00000,2532.00000,1405.00000,-383.00000,461.00000,-75.00000,386.00000,92.00000,294.00000,294.00000,-71.00000,241.00000,692.00000,669.00000,251.60000,257.70000,0.96000,0.94000
2010-12-31,2445.00000,2445.00000,1410.00000,-463.00000,278.00000,-78.00000,200.00000,30.00000,170.00000,170.00000,-24.00000,172.00000,532.00000,501.00000,257.40000,262.30000,0.68000,0.66000
2010-09-30,2334.00000,2334.00000,1197.00000,-636.00000,520.00000,-74.00000,446.00000,132.00000,314.00000,314.00000,-2.00000,344.00000,454.00000,747.00000,255.30000,259.90000,1.35000,1.32000
2010-06-30,2462.00000,2462.00000,1227.00000,-297.00000,536.00000,-74.00000,462.00000,66.00000,396.00000,396.00000,2.00000,259.00000,987.00000,767.00000,261.10000,265.30000,0.99000,0.98000
2010-03-31,2271.00000,2271.00000,1146.00000,-354.00000,425.00000,-64.00000,361.00000,65.00000,296.00000,296.00000,,214.00000,805.00000,653.00000,260.80000,265.00000,0.82000,0.81000
2009-12-31,1861.00000,1861.00000,812.00000,-341.00000,359.00000,-28.00000,331.00000,58.00000,273.00000,273.00000,,237.00000,512.00000,588.00000,242.20000,244.40000,0.99000,0.96000
2009-09-30,1946.00000,1946.00000,1087.00000,-306.00000,385.00000,-45.00000,340.00000,80.00000,260.00000,260.00000,,260.00000,565.00000,617.00000,258.70000,260.70000,1.00000,1.00000
2009-06-30,1874.00000,1874.00000,1032.00000,-587.00000,143.00000,-28.00000,115.00000,28.00000,87.00000,87.00000,,95.00000,237.00000,380.00000,228.80000,230.00000,0.41000,0.41000
2009-03-31,1716.00000,1716.00000,965.00000,-100.00000,160.00000,-26.00000,134.00000,18.00000,116.00000,116.00000,,130.00000,756.00000,365.00000,222.30000,223.50000,0.58000,0.58000
