,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2020-03-31,64421.00000,48687.00000,15734.00000,-10015.00000,10738.00000,4996.00000,-437.00000,4559.00000,1094.00000,3465.00000,3465.00000,3382.00000,5719.00000,4996.00000,949.00000,962.00000,3.56000,3.52000
2019-12-31,60901.00000,45787.00000,15114.00000,-9301.00000,10019.00000,5095.00000,-437.00000,4658.00000,990.00000,3668.00000,3668.00000,3541.00000,5813.00000,5095.00000,951.00000,966.00000,3.73000,3.68000
2019-09-30,60351.00000,45668.00000,14683.00000,-8960.00000,9669.00000,5014.00000,-449.00000,4565.00000,936.00000,3629.00000,3629.00000,3538.00000,5723.00000,5014.00000,949.00000,963.00000,3.73000,3.67000
2019-06-30,60595.00000,46782.00000,13813.00000,-8415.00000,9069.00000,4744.00000,-418.00000,4326.00000,941.00000,3385.00000,3385.00000,3293.00000,5398.00000,4744.00000,950.00000,964.00000,3.47000,3.42000
2019-03-31,60308.00000,46320.00000,13988.00000,-8517.00000,9156.00000,4832.00000,-400.00000,4432.00000,875.00000,3557.00000,3557.00000,3467.00000,5471.00000,4832.00000,958.00000,975.00000,3.62000,3.56000
2018-12-31,58417.00000,44580.00000,13837.00000,-8703.00000,9340.00000,4497.00000,-374.00000,4123.00000,959.00000,3164.00000,3164.00000,3040.00000,5134.00000,4497.00000,963.00000,983.00000,3.16000,3.10000
2018-09-30,56556.00000,42876.00000,13680.00000,-8479.00000,9090.00000,4590.00000,-353.00000,4237.00000,953.00000,3284.00000,3284.00000,3188.00000,5201.00000,4590.00000,962.00000,983.00000,3.31000,3.24000
2018-06-30,56086.00000,42898.00000,13188.00000,-8386.00000,8984.00000,4204.00000,-344.00000,3860.00000,850.00000,3010.00000,3010.00000,2922.00000,4802.00000,4204.00000,961.00000,982.00000,3.04000,2.98000
2018-03-31,55188.00000,42047.00000,13141.00000,-8506.00000,9088.00000,4053.00000,-329.00000,3724.00000,800.00000,2924.00000,2924.00000,2836.00000,4635.00000,4053.00000,966.00000,987.00000,2.94000,2.87000
2017-12-31,52061.00000,39686.00000,12375.00000,-7820.00000,8398.00000,3977.00000,-308.00000,3669.00000,-52.00000,3721.00000,3721.00000,3617.00000,4555.00000,3977.00000,964.00000,985.00000,3.73000,3.66000
2017-09-30,50322.00000,38269.00000,12053.00000,-7387.00000,7965.00000,4088.00000,-294.00000,3794.00000,1233.00000,2561.00000,2561.00000,2485.00000,4666.00000,4088.00000,968.00000,989.00000,2.57000,2.51000
2017-06-30,50053.00000,38438.00000,11615.00000,-7328.00000,7884.00000,3731.00000,-301.00000,3430.00000,1080.00000,2350.00000,2350.00000,2284.00000,4287.00000,3731.00000,964.00000,985.00000,2.37000,2.32000
2017-03-31,48723.00000,37755.00000,10968.00000,-7022.00000,7555.00000,3413.00000,-283.00000,3130.00000,939.00000,2191.00000,2191.00000,2172.00000,3946.00000,3413.00000,954.00000,975.00000,2.28000,2.23000
2016-12-31,47535.00000,36004.00000,11531.00000,-7817.00000,8344.00000,3187.00000,-268.00000,2919.00000,1211.00000,1708.00000,1708.00000,1684.00000,3714.00000,3187.00000,952.00000,968.00000,1.77000,1.74000
2016-09-30,46293.00000,35165.00000,11128.00000,-7033.00000,7548.00000,3580.00000,-269.00000,3311.00000,1333.00000,1978.00000,1978.00000,1968.00000,4095.00000,3580.00000,952.00000,969.00000,2.07000,2.03000
2016-06-30,46485.00000,35978.00000,10507.00000,-6793.00000,7304.00000,3203.00000,-271.00000,2932.00000,1172.00000,1760.00000,1760.00000,1754.00000,3714.00000,3203.00000,951.00000,967.00000,1.84000,1.81000
2016-03-31,44527.00000,34307.00000,10220.00000,-6758.00000,7260.00000,2960.00000,-259.00000,2701.00000,1074.00000,1627.00000,1627.00000,1611.00000,3462.00000,2960.00000,953.00000,967.00000,1.69000,1.67000
2015-12-31,43599.00000,34085.00000,9514.00000,-6562.00000,7046.00000,2468.00000,-260.00000,2208.00000,956.00000,1252.00000,1252.00000,1218.00000,2952.00000,2468.00000,953.00000,967.00000,1.28000,1.26000
2015-09-30,41489.00000,31841.00000,9648.00000,-6178.00000,6630.00000,3018.00000,-229.00000,2789.00000,1171.00000,1618.00000,1618.00000,1597.00000,3470.00000,3018.00000,953.00000,967.00000,1.68000,1.65000
2015-06-30,36263.00000,27251.00000,9012.00000,-5738.00000,6117.00000,2895.00000,-151.00000,2744.00000,1159.00000,1585.00000,1585.00000,1585.00000,3274.00000,2895.00000,952.00000,966.00000,1.66000,1.64000
2015-03-31,35756.00000,26904.00000,8852.00000,-5834.00000,6212.00000,2640.00000,-150.00000,2490.00000,1077.00000,1413.00000,1413.00000,1413.00000,3018.00000,2640.00000,954.00000,969.00000,1.48000,1.46000
2014-12-31,33433.00000,24860.00000,8573.00000,-5427.00000,5808.00000,2765.00000,-151.00000,2614.00000,1104.00000,1510.00000,1510.00000,1510.00000,3146.00000,2765.00000,972.00000,986.00000,1.57000,1.55000
2014-09-30,32759.00000,24047.00000,8712.00000,-5436.00000,5809.00000,2903.00000,-152.00000,2751.00000,1149.00000,1602.00000,1602.00000,1602.00000,3276.00000,2903.00000,969.00000,982.00000,1.65000,1.63000
2014-06-30,32574.00000,24452.00000,8122.00000,-5206.00000,5570.00000,2552.00000,-155.00000,2397.00000,989.00000,1408.00000,1408.00000,1408.00000,2916.00000,2552.00000,979.00000,991.00000,1.44000,1.42000
2014-03-31,31708.00000,24100.00000,7608.00000,-5194.00000,5554.00000,2054.00000,-160.00000,1894.00000,795.00000,1099.00000,1099.00000,1099.00000,2414.00000,2054.00000,983.00000,996.00000,1.12000,1.10000
2013-12-31,31117.00000,23682.00000,7435.00000,-4633.00000,4983.00000,2452.00000,-176.00000,2276.00000,849.00000,1427.00000,1427.00000,1427.00000,2802.00000,2452.00000,1006.00000,1023.00000,1.44000,1.41000
2013-09-30,30624.00000,22775.00000,7849.00000,-4869.00000,5218.00000,2631.00000,-178.00000,2453.00000,883.00000,1570.00000,1570.00000,1570.00000,2980.00000,2631.00000,1004.00000,1024.00000,1.56000,1.53000
2013-06-30,30408.00000,22842.00000,7566.00000,-4825.00000,5165.00000,2401.00000,-176.00000,2225.00000,789.00000,1436.00000,1436.00000,1436.00000,2741.00000,2401.00000,1009.00000,1026.00000,1.42000,1.40000
2013-03-31,30340.00000,23251.00000,7089.00000,-4614.00000,4950.00000,2139.00000,-178.00000,1961.00000,721.00000,1240.00000,1240.00000,1192.00000,2475.00000,2139.00000,1016.00000,1029.00000,1.17000,1.16000
2012-12-31,28769.00000,21445.00000,7324.00000,-4853.00000,5223.00000,2101.00000,-173.00000,1928.00000,684.00000,1244.00000,1244.00000,1244.00000,2471.00000,2101.00000,1027.00000,1046.00000,1.22000,1.20000
2012-09-30,27302.00000,20098.00000,7204.00000,-4277.00000,4594.00000,2610.00000,-158.00000,2452.00000,895.00000,1557.00000,1557.00000,1557.00000,2927.00000,2610.00000,1022.00000,1039.00000,1.52000,1.50000
2012-06-30,27265.00000,20633.00000,6632.00000,-4080.00000,4406.00000,2226.00000,-153.00000,2073.00000,736.00000,1337.00000,1337.00000,1337.00000,2552.00000,2226.00000,1028.00000,1049.00000,1.30000,1.27000
2012-03-31,27282.00000,20573.00000,6709.00000,-4096.00000,4392.00000,2317.00000,-148.00000,2169.00000,781.00000,1388.00000,1388.00000,1388.00000,2613.00000,2317.00000,1039.00000,1060.00000,1.34000,1.31000
2011-12-31,25916.00000,19244.00000,6672.00000,-4308.00000,4598.00000,2074.00000,-139.00000,1935.00000,677.00000,1258.00000,1258.00000,1258.00000,2364.00000,2074.00000,1070.00000,1087.00000,1.20000,1.18000
2011-09-30,25280.00000,19017.00000,6263.00000,-3899.00000,4193.00000,2070.00000,-129.00000,1941.00000,670.00000,1271.00000,1271.00000,1271.00000,2364.00000,2070.00000,1065.00000,1083.00000,1.19000,1.17000
2011-06-30,25234.00000,19132.00000,6102.00000,-3733.00000,4003.00000,2099.00000,-119.00000,1980.00000,713.00000,1267.00000,1267.00000,1267.00000,2369.00000,2099.00000,1075.00000,1094.00000,1.18000,1.16000
2011-03-31,25432.00000,19324.00000,6108.00000,-3617.00000,3887.00000,2221.00000,-118.00000,2103.00000,757.00000,1346.00000,1346.00000,1346.00000,2491.00000,2221.00000,1086.00000,1099.00000,1.24000,1.22000
2010-12-31,24030.00000,17821.00000,6209.00000,-4087.00000,4407.00000,1802.00000,-118.00000,1684.00000,641.00000,1043.00000,1043.00000,1043.00000,2122.00000,1802.00000,1120.00000,1131.00000,0.95000,0.94000
2010-09-30,23668.00000,17728.00000,5940.00000,-3548.00000,3795.00000,2145.00000,-119.00000,2026.00000,749.00000,1277.00000,1277.00000,1277.00000,2392.00000,2145.00000,1115.00000,1124.00000,1.15000,1.14000
2010-06-30,23264.00000,17755.00000,5509.00000,-3359.00000,3608.00000,1901.00000,-119.00000,1782.00000,659.00000,1123.00000,1123.00000,1123.00000,2150.00000,1901.00000,1127.00000,1135.00000,1.00000,0.99000
2010-03-31,23193.00000,17653.00000,5540.00000,-3276.00000,3524.00000,2016.00000,-125.00000,1891.00000,700.00000,1191.00000,1191.00000,1191.00000,2264.00000,2016.00000,1145.00000,1156.00000,1.04000,1.03000
2009-12-31,21784.00000,16538.00000,5246.00000,-3413.00000,3671.00000,1575.00000,-144.00000,1431.00000,487.00000,944.00000,944.00000,944.00000,1833.00000,1575.00000,1168.00000,1179.00000,0.82000,0.81000
2009-09-30,21695.00000,16613.00000,5082.00000,-3156.00000,3406.00000,1676.00000,-137.00000,1539.00000,504.00000,1035.00000,1035.00000,1035.00000,1926.00000,1676.00000,1153.00000,1164.00000,0.90000,0.89000
2009-06-30,21655.00000,16929.00000,4726.00000,-3037.00000,3286.00000,1440.00000,-139.00000,1301.00000,442.00000,859.00000,859.00000,859.00000,1689.00000,1440.00000,1170.00000,1180.00000,0.73000,0.73000
2009-03-31,22004.00000,16974.00000,5030.00000,-3128.00000,3362.00000,1668.00000,-131.00000,1537.00000,553.00000,984.00000,984.00000,984.00000,1902.00000,1668.00000,1198.00000,1210.00000,0.82000,0.81000
