,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2019-03-31,6642.00000,1092.00000,5550.00000,3424.00000,3464.00000,2086.00000,,2086.00000,378.00000,1708.00000,1708.00000,1613.00000,1602.00000,1605.00000,1.01000,1.00000
2018-12-31,6809.00000,1008.00000,5801.00000,3607.00000,3648.00000,2153.00000,,2153.00000,291.00000,1862.00000,1862.00000,1777.00000,1634.00000,1638.00000,1.10000,1.10000
2018-09-30,6541.00000,872.00000,5669.00000,3346.00000,3387.00000,2282.00000,,2282.00000,460.00000,1822.00000,1822.00000,1732.00000,1629.00000,1633.00000,1.06000,1.06000
2018-06-30,6362.00000,751.00000,5611.00000,3372.00000,3412.00000,2199.00000,,2199.00000,441.00000,1758.00000,1758.00000,1678.00000,1642.00000,1646.00000,1.02000,1.02000
2018-03-31,6063.00000,623.00000,5440.00000,3357.00000,3396.00000,2044.00000,,2044.00000,362.00000,1682.00000,1682.00000,1597.00000,1652.00000,1657.00000,0.97000,0.96000
2017-12-31,6100.00000,555.00000,5545.00000,4190.00000,4234.00000,1311.00000,,1311.00000,-375.00000,1686.00000,1686.00000,1611.00000,1677.00000,1683.00000,0.97000,0.96000
2017-09-30,6044.00000,528.00000,5516.00000,3314.00000,3358.00000,2158.00000,,2158.00000,589.00000,1569.00000,1569.00000,1485.00000,1672.00000,1678.00000,0.89000,0.88000
2017-06-30,5867.00000,470.00000,5397.00000,3291.00000,3334.00000,2063.00000,,2063.00000,551.00000,1512.00000,1512.00000,1430.00000,1684.00000,1690.00000,0.85000,0.85000
2017-03-31,5652.00000,413.00000,5239.00000,3210.00000,3254.00000,1985.00000,,1985.00000,499.00000,1486.00000,1486.00000,1387.00000,1694.00000,1701.00000,0.82000,0.82000
2016-12-31,5485.00000,248.00000,5237.00000,3152.00000,3197.00000,2040.00000,,2040.00000,549.00000,1491.00000,1491.00000,1391.00000,1718.00000,1724.00000,0.81000,0.81000
2016-09-30,5765.00000,427.00000,5338.00000,3211.00000,3256.00000,2082.00000,,2082.00000,566.00000,1516.00000,1516.00000,1434.00000,1710.00000,1716.00000,0.84000,0.84000
2016-06-30,5804.00000,407.00000,5397.00000,3275.00000,3319.00000,2078.00000,,2078.00000,542.00000,1536.00000,1536.00000,1435.00000,1725.00000,1731.00000,0.83000,0.83000
2016-03-31,5370.00000,386.00000,4984.00000,3034.00000,3079.00000,1905.00000,,1905.00000,504.00000,1401.00000,1401.00000,1329.00000,1737.00000,1743.00000,0.77000,0.76000
2015-12-31,5496.00000,337.00000,5159.00000,3068.00000,3114.00000,2045.00000,,2045.00000,556.00000,1489.00000,1489.00000,1404.00000,1764.00000,1772.00000,0.80000,0.79000
2015-09-30,5443.00000,349.00000,5094.00000,3015.00000,3057.00000,2037.00000,,2037.00000,534.00000,1503.00000,1503.00000,1422.00000,1758.00000,1766.00000,0.81000,0.81000
2015-06-30,5340.00000,352.00000,4988.00000,2920.00000,2963.00000,2025.00000,,2025.00000,528.00000,1497.00000,1497.00000,1417.00000,1771.00000,1779.00000,0.80000,0.80000
2015-03-31,5215.00000,363.00000,4852.00000,2886.00000,2929.00000,1923.00000,,1923.00000,479.00000,1444.00000,1444.00000,1365.00000,1781.00000,1789.00000,0.77000,0.76000
2014-12-31,5472.00000,358.00000,5114.00000,3041.00000,3092.00000,2022.00000,,2022.00000,521.00000,1501.00000,1501.00000,1420.00000,1803.00000,1813.00000,0.80000,0.79000
2014-09-30,5299.00000,365.00000,4934.00000,2874.00000,2925.00000,2009.00000,,2009.00000,523.00000,1486.00000,1486.00000,1405.00000,1798.00000,1807.00000,0.78000,0.78000
2014-06-30,5491.00000,358.00000,5133.00000,3029.00000,3077.00000,2056.00000,,2056.00000,547.00000,1509.00000,1509.00000,1427.00000,1811.00000,1821.00000,0.79000,0.78000
2014-03-31,5130.00000,372.00000,4758.00000,2801.00000,2850.00000,1908.00000,,1908.00000,496.00000,1412.00000,1412.00000,1331.00000,1818.00000,1828.00000,0.73000,0.73000
2013-12-31,5224.00000,391.00000,4833.00000,2903.00000,2959.00000,1874.00000,,1874.00000,403.00000,1471.00000,1471.00000,1389.00000,1839.00000,1849.00000,0.77000,0.75000
2013-09-30,5245.00000,410.00000,4835.00000,2808.00000,2863.00000,1972.00000,,1972.00000,542.00000,1430.00000,1430.00000,1400.00000,1832.00000,1843.00000,0.76000,0.76000
2013-06-30,5314.00000,422.00000,4892.00000,2864.00000,2919.00000,1973.00000,,1973.00000,529.00000,1444.00000,1444.00000,1405.00000,1843.00000,1853.00000,0.76000,0.76000
2013-03-31,5276.00000,458.00000,4818.00000,2816.00000,2873.00000,1945.00000,,1945.00000,558.00000,1387.00000,1387.00000,1358.00000,1858.00000,1867.00000,0.73000,0.73000
2012-12-31,5525.00000,469.00000,5056.00000,3063.00000,3129.00000,1927.00000,,1927.00000,552.00000,1375.00000,1375.00000,1349.00000,1887.00000,1896.00000,0.72000,0.72000
2012-09-30,5623.00000,501.00000,5122.00000,3030.00000,3097.00000,2025.00000,,2025.00000,593.00000,1432.00000,1432.00000,1404.00000,1886.00000,1897.00000,0.74000,0.74000
2012-06-30,5583.00000,570.00000,5013.00000,3001.00000,3071.00000,1942.00000,,1942.00000,564.00000,1378.00000,1378.00000,1345.00000,1888.00000,1898.00000,0.71000,0.71000
2012-03-31,5471.00000,598.00000,4873.00000,2970.00000,3041.00000,1832.00000,,1832.00000,527.00000,1305.00000,1305.00000,1285.00000,1901.00000,1910.00000,0.68000,0.67000
2011-12-31,5651.00000,603.00000,5048.00000,3119.00000,3193.00000,1855.00000,,1855.00000,527.00000,1328.00000,1328.00000,1314.00000,1914.00000,1923.00000,0.69000,0.70000
2011-09-30,5371.00000,634.00000,4737.00000,2920.00000,2995.00000,1742.00000,,1742.00000,490.00000,1252.00000,1252.00000,1237.00000,1915.00000,1922.00000,0.65000,0.64000
2011-06-30,5265.00000,631.00000,4634.00000,2922.00000,2997.00000,1637.00000,,1637.00000,458.00000,1179.00000,1179.00000,1167.00000,1921.00000,1929.00000,0.61000,0.60000
2011-03-31,5112.00000,648.00000,4464.00000,2994.00000,3069.00000,1395.00000,,1395.00000,366.00000,1029.00000,1029.00000,1003.00000,1918.00000,1928.00000,0.52000,0.52000
2010-12-31,5315.00000,647.00000,4668.00000,3308.00000,3397.00000,1271.00000,,1271.00000,315.00000,956.00000,956.00000,951.00000,1912.00000,1921.00000,0.49000,0.49000
2010-09-30,5187.00000,653.00000,4534.00000,3290.00000,3380.00000,1154.00000,,1154.00000,260.00000,894.00000,894.00000,871.00000,1913.00000,1920.00000,0.46000,0.45000
2010-06-30,5105.00000,638.00000,4467.00000,3425.00000,3516.00000,951.00000,,951.00000,199.00000,752.00000,752.00000,862.00000,1912.00000,1921.00000,0.45000,0.45000
2010-03-31,4911.00000,641.00000,4270.00000,3349.00000,3446.00000,824.00000,,824.00000,161.00000,663.00000,663.00000,648.00000,1910.00000,1919.00000,0.34000,0.34000
2009-12-31,4990.00000,664.00000,4326.00000,3509.00000,3616.00000,710.00000,,710.00000,108.00000,602.00000,602.00000,580.00000,1851.00000,1859.00000,0.30000,0.31000
2009-09-30,4950.00000,750.00000,4200.00000,3415.00000,3509.00000,691.00000,,691.00000,86.00000,605.00000,605.00000,583.00000,1908.00000,1917.00000,0.31000,0.30000
2009-06-30,4895.00000,786.00000,4109.00000,3429.00000,3524.00000,585.00000,,585.00000,100.00000,485.00000,485.00000,221.00000,1833.00000,1840.00000,0.12000,0.12000
2009-03-31,4655.00000,820.00000,3835.00000,3098.00000,3189.00000,646.00000,,646.00000,101.00000,545.00000,545.00000,419.00000,1754.00000,1760.00000,0.24000,0.24000
