,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2016-09-30,1259.80000,46.10000,1213.70000,840.00000,840.00000,373.70010,373.70000,116.10000,257.60000,257.60000,251.70000,226.54000,228.05500,1.09000,1.08000
2016-06-30,1361.70000,45.00000,1316.70000,922.00000,922.00000,394.70000,394.70000,131.70000,263.00000,263.00000,257.20000,227.53600,229.28000,1.11000,1.10000
2016-03-31,1234.20000,44.20000,1190.00000,830.80000,830.80000,359.20000,359.20000,113.80000,245.40000,245.40000,235.40000,228.61900,229.79800,1.03000,1.03000
2015-12-31,1198.00000,41.30000,1156.70000,806.30020,806.30020,350.39980,350.40000,111.10000,239.29990,239.29990,218.00000,232.28000,234.22200,1.00000,0.99000
2015-09-30,1192.30000,36.80000,1155.50000,802.30000,802.30000,353.20000,353.20000,118.60000,234.60000,234.60000,228.80000,232.23200,234.16300,0.97000,0.96000
2015-06-30,1293.50000,37.60000,1255.90000,844.50000,844.50000,411.40000,411.40000,142.20000,269.20000,269.20000,263.40000,233.14900,235.23300,1.11000,1.10000
2015-03-31,1172.70000,38.20000,1134.50000,784.50000,784.50000,349.99990,350.00000,119.30000,230.70000,230.70000,224.80000,233.38100,235.28900,0.95000,0.94000
2014-12-31,1170.10000,40.00000,1130.10000,784.30000,784.30000,345.80030,345.79990,101.80000,243.99990,243.99990,221.20000,235.83000,237.72000,0.98000,0.98000
2014-09-30,1123.40000,44.50000,1078.90000,774.70000,774.70000,304.20000,304.20000,99.70000,204.50000,204.50000,204.50000,235.70100,237.73700,0.85000,0.84000
2014-06-30,1128.90000,47.20000,1081.70000,811.00000,811.00000,270.69990,270.70000,88.80000,181.90000,181.90000,181.90000,236.01300,237.75400,0.76000,0.75000
2014-03-31,1090.20000,49.70000,1040.50000,771.00000,771.00000,269.49990,269.50000,88.10000,181.40000,181.40000,181.40000,237.20800,239.05100,0.75000,0.75000
2013-12-31,1097.70000,52.50000,1045.20000,799.50000,799.50000,245.70020,245.70000,76.00000,169.70000,169.70000,161.00000,239.26500,240.55500,0.70000,0.70000
2013-09-30,1101.30000,54.10000,1047.20000,745.70000,745.69990,301.50010,301.50000,95.00000,206.50000,206.50000,206.50000,239.93000,241.33100,0.85000,0.84000
2013-06-30,1075.70000,55.20000,1020.50000,734.70000,734.70000,285.79990,285.80000,94.70000,191.10000,191.10000,187.90000,239.73900,241.04100,0.78000,0.78000
2013-03-31,1037.00000,60.60000,976.40000,733.90000,733.90000,242.50000,242.50000,78.50000,164.00000,164.00000,164.00000,239.16800,240.18900,0.68000,0.67000
2012-12-31,1037.60000,67.90000,969.70010,746.49990,746.50000,223.20010,223.19990,55.50000,167.70000,167.70000,165.30000,240.41800,240.88100,0.70000,0.69000
2012-09-30,1050.00000,77.50000,972.50000,706.40000,706.40000,266.10000,266.10000,87.30000,178.80000,178.80000,176.00000,240.23700,240.69700,0.73000,0.73000
2012-06-30,1055.90000,67.40000,988.50000,722.30000,722.30000,266.20000,266.20000,86.60000,179.60000,179.60000,176.90000,240.90100,241.36800,0.73000,0.73000
2012-03-31,1050.00000,84.60000,965.40000,728.60000,728.60000,236.80000,236.80000,75.60000,161.20000,161.20000,159.10000,241.09000,241.55600,0.66000,0.66000
2011-12-31,1038.60000,82.90000,955.69970,784.29990,784.29990,171.39980,171.40000,41.20000,130.20000,130.20000,128.60000,241.40100,241.81100,0.53000,0.54000
2011-09-30,1061.80000,90.30000,971.50010,718.70000,718.70000,252.80000,252.80000,82.40000,170.40000,170.40000,168.40000,240.99150,241.19400,0.70000,0.70000
2011-06-30,1058.40000,113.60000,944.80000,715.30000,715.30000,229.50000,229.50000,77.50000,152.00000,152.00000,150.20000,241.48420,241.91210,0.62000,0.62000
2011-03-31,1010.60000,112.70000,897.90000,667.90000,667.90000,229.99990,230.00000,79.00000,151.00000,151.00000,149.30000,242.12620,242.96960,0.62000,0.61000
2010-12-31,1008.40000,112.30000,896.10000,681.70000,681.69990,214.40000,214.40000,57.30000,157.10010,157.10010,151.50000,242.02900,242.50300,0.63000,0.64000
2010-09-30,986.20000,96.70000,889.50000,652.10000,652.10000,237.40000,237.40000,81.80000,155.60000,155.60000,155.60000,242.12450,242.15840,0.64000,0.64000
2010-06-30,1049.30000,85.10000,964.20010,664.40000,664.40000,299.80000,299.80000,100.20000,199.60000,199.60000,199.60000,242.04580,242.59700,0.82000,0.82000
2010-03-31,981.80000,83.90000,897.90000,659.70010,659.70010,238.19990,238.20000,81.00000,157.20000,157.20000,157.20000,241.72420,242.51340,0.65000,0.64000
2009-12-31,1030.50000,90.10000,940.40000,661.29990,661.30000,279.10000,279.09990,78.80000,200.29990,200.29990,200.29990,235.51190,236.41600,0.84000,0.83000
2009-09-30,1012.60000,94.90000,917.70000,659.20000,659.20000,258.50000,258.50000,70.60000,187.90000,187.90000,187.90000,241.41570,242.63120,0.77000,0.77000
2009-06-30,1139.70000,104.50000,1035.20000,562.70000,562.70000,472.49990,472.50000,158.30000,314.20000,314.20000,226.10000,235.45510,236.34650,0.95000,0.95000
2009-03-31,1010.30000,116.70000,893.60000,648.49990,648.50000,245.10000,245.10000,83.30000,161.80000,161.80000,138.80000,223.35750,224.40120,0.62000,0.61000
