,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2017-12-31,9500.00000,537.00000,8963.00000,5826.00000,-666.00000,6492.00000,2471.00000,2471.00000,1810.00000,661.00000,661.00000,2.00000,473.00000,2884.00000,2471.00000,1780.00000,1821.00000,0.28000,0.27000
2017-09-30,9197.00000,522.00000,8675.00000,5620.00000,-573.00000,6193.00000,2482.00000,2482.00000,697.00000,1785.00000,1785.00000,6.00000,1688.00000,2933.00000,2482.00000,1776.00000,1818.00000,0.95000,0.93000
2017-06-30,9503.00000,525.00000,8978.00000,5734.00000,-602.00000,6336.00000,2642.00000,2642.00000,846.00000,1796.00000,1796.00000,-5.00000,1587.00000,3097.00000,2642.00000,1791.00000,1830.00000,0.89000,0.87000
2017-03-31,9745.00000,509.00000,9236.00000,5884.00000,-544.00000,6428.00000,2808.00000,2808.00000,815.00000,1993.00000,1993.00000,-22.00000,1840.00000,3242.00000,2808.00000,1801.00000,1842.00000,1.02000,1.00000
2016-12-31,9021.00000,480.00000,8541.00000,5601.00000,-694.00000,6295.00000,2246.00000,2246.00000,566.00000,1680.00000,1680.00000,,1510.00000,2625.00000,2246.00000,1849.00000,1887.00000,0.83000,0.81000
2016-09-30,8909.00000,491.00000,8418.00000,5511.00000,-526.00000,6037.00000,2381.00000,2381.00000,749.00000,1632.00000,1632.00000,8.00000,1518.00000,2859.00000,2381.00000,1838.00000,1879.00000,0.83000,0.81000
2016-06-30,8909.00000,484.00000,8425.00000,5474.00000,-468.00000,5942.00000,2483.00000,2483.00000,833.00000,1650.00000,1650.00000,-4.00000,1425.00000,2947.00000,2483.00000,1866.00000,1899.00000,0.76000,0.75000
2016-03-31,7792.00000,465.00000,7327.00000,5102.00000,-487.00000,5589.00000,1738.00000,1738.00000,578.00000,1160.00000,1160.00000,-3.00000,1055.00000,2153.00000,1738.00000,1883.00000,1915.00000,0.56000,0.55000
2015-12-31,7738.00000,457.00000,7281.00000,5297.00000,-545.00000,5842.00000,1439.00000,1439.00000,496.00000,943.00000,943.00000,-7.00000,753.00000,1849.00000,1439.00000,1909.00000,1953.00000,0.41000,0.39000
2015-09-30,7767.00000,485.00000,7282.00000,4959.00000,-849.00000,5808.00000,1474.00000,1474.00000,423.00000,1051.00000,1051.00000,-2.00000,939.00000,1843.00000,1474.00000,1904.00000,1949.00000,0.49000,0.48000
2015-06-30,9743.00000,487.00000,9256.00000,5971.00000,-558.00000,6529.00000,2727.00000,2727.00000,894.00000,1833.00000,1833.00000,-2.00000,1665.00000,3060.00000,2727.00000,1919.00000,1960.00000,0.87000,0.85000
2015-03-31,9907.00000,463.00000,9444.00000,5917.00000,-672.00000,6589.00000,2855.00000,2855.00000,387.00000,2468.00000,2468.00000,-5.00000,2314.00000,3176.00000,2855.00000,1924.12200,1962.99600,1.20000,1.18000
2014-12-31,7764.00000,468.00000,7296.00000,6669.00000,-3558.00000,10227.00000,-2931.00000,-2931.00000,-1353.00000,-1578.00000,-1578.00000,-8.00000,-1746.00000,-2518.00000,-2931.00000,1924.00000,1971.00000,-0.90000,-0.89000
2014-09-30,8907.00000,437.00000,8470.00000,5642.00000,-608.00000,6250.00000,2220.00000,2220.00000,463.00000,1757.00000,1757.00000,-5.00000,1629.00000,2356.00000,2220.00000,1922.99600,1970.92200,0.85000,0.83000
2014-06-30,8608.00000,458.00000,8150.00000,5665.00000,-553.00000,6218.00000,1932.00000,1932.00000,15.00000,1917.00000,1917.00000,0.00000,1820.00000,2218.00000,1932.00000,1928.25000,1969.69800,0.94000,0.92000
2014-03-31,8996.00000,443.00000,8553.00000,5691.00000,-492.00000,6183.00000,2370.00000,2370.00000,785.00000,1585.00000,1585.00000,-1.00000,1449.00000,2696.00000,2370.00000,1924.27000,1969.65300,0.75000,0.74000
2013-12-31,7872.00000,411.00000,7461.00000,5552.00000,-2095.00000,7647.00000,-186.00000,-186.00000,-368.00000,182.00000,182.00000,-9.00000,36.00000,241.00000,-186.00000,1905.82400,1956.52000,0.02000,0.02000
2013-09-30,7956.00000,416.00000,7540.00000,5343.00000,-832.00000,6175.00000,1365.00000,1365.00000,363.00000,1002.00000,1002.00000,16.00000,880.00000,1733.00000,1365.00000,1909.35100,1964.81300,0.46000,0.45000
2013-06-30,8515.00000,456.00000,8059.00000,5568.00000,-695.00000,6263.00000,1796.00000,1796.00000,574.00000,1222.00000,1222.00000,-31.00000,803.00000,2152.00000,1796.00000,1907.73700,1951.36300,0.42000,0.41000
2013-03-31,8150.00000,428.00000,7722.00000,5613.00000,-526.00000,6139.00000,1583.00000,1583.00000,333.00000,1250.00000,1250.00000,-19.00000,936.00000,1943.00000,1583.00000,1901.20500,1940.26400,0.49000,0.48000
2012-12-31,7032.00000,368.00000,6664.00000,5209.00000,-515.00000,5724.00000,940.00000,940.00000,86.00000,854.00000,854.00000,-66.00000,572.00000,1303.00000,940.00000,1885.77400,1918.81100,0.29000,0.30000
2012-09-30,5280.00000,359.00000,4921.00000,5421.00000,-983.00000,6404.00000,-1483.00000,-1483.00000,-525.00000,-958.00000,-958.00000,2.00000,-1047.00000,-1058.00000,-1483.00000,1889.30100,1889.30100,-0.55000,-0.55000
2012-06-30,6942.00000,405.00000,6537.00000,5128.00000,-472.00000,5600.00000,937.00000,937.00000,224.00000,713.00000,713.00000,37.00000,564.00000,1355.00000,937.00000,1885.17900,1911.70900,0.30000,0.29000
2012-03-31,6924.00000,403.00000,6521.00000,5835.00000,-484.00000,6319.00000,202.00000,202.00000,54.00000,148.00000,148.00000,-14.00000,-119.00000,577.00000,202.00000,1876.96200,1876.96200,-0.06000,-0.06000
2011-12-31,5636.00000,379.00000,5257.00000,5259.00000,-444.00000,5703.00000,-446.00000,-446.00000,-295.00000,-151.00000,-151.00000,-33.00000,-264.00000,-229.00000,-446.00000,1654.70900,1675.27200,-0.04000,-0.04000
2011-09-30,9810.00000,443.00000,9367.00000,5059.00000,-623.00000,5682.00000,3685.00000,3685.00000,1415.00000,2270.00000,2270.00000,23.00000,2153.00000,4113.00000,3685.00000,1848.24600,1868.74400,1.16000,1.15000
2011-06-30,9207.00000,410.00000,8797.00000,6079.00000,-748.00000,6827.00000,1970.00000,1970.00000,538.00000,1432.00000,1432.00000,-26.00000,-558.00000,2350.00000,1970.00000,1464.29600,1464.29600,-0.38000,-0.38000
2011-03-31,7574.00000,401.00000,7173.00000,5667.00000,-605.00000,6272.00000,901.00000,901.00000,-244.00000,1145.00000,1145.00000,-15.00000,736.00000,1280.00000,901.00000,1456.01600,1472.30800,0.51000,0.50000
2010-12-31,7415.00000,365.00000,7050.00000,5262.00000,-609.00000,5871.00000,1179.00000,1179.00000,90.00000,1089.00000,1089.00000,-23.00000,696.00000,761.00000,1179.00000,1361.67100,1411.26900,0.44000,0.62000
2010-09-30,6780.00000,332.00000,6448.00000,5090.00000,-557.00000,5647.00000,801.00000,801.00000,-23.00000,824.00000,824.00000,-183.00000,-91.00000,1447.00000,801.00000,1377.23000,1443.10100,-0.07000,-0.07000
2010-06-30,7963.00000,371.00000,7592.00000,5352.00000,-537.00000,5889.00000,1703.00000,1703.00000,240.00000,1463.00000,1463.00000,521.00000,1578.00000,2740.00000,1703.00000,1317.68600,1748.20900,1.20000,1.09000
2010-03-31,9072.00000,348.00000,8724.00000,5730.00000,-479.00000,6209.00000,2515.00000,2515.00000,436.00000,2079.00000,2079.00000,-68.00000,1411.00000,2669.00000,2515.00000,1314.60800,1626.20700,1.07000,0.99000
2009-12-31,6718.00000,390.00000,6328.00000,5138.00000,-339.00000,5477.00000,851.00000,851.00000,96.00000,755.00000,755.00000,15.00000,429.00000,1246.00000,851.00000,1185.41500,1185.41500,0.51000,0.52000
2009-09-30,8468.00000,285.00000,8183.00000,6170.00000,-520.00000,6690.00000,1493.00000,1493.00000,521.00000,972.00000,972.00000,-179.00000,498.00000,1959.00000,1493.00000,1294.29800,1300.07000,0.39000,0.38000
2009-06-30,5197.00000,267.00000,4930.00000,4993.00000,-521.00000,5514.00000,-584.00000,-584.00000,-319.00000,-265.00000,-265.00000,298.00000,-1256.00000,-376.00000,-584.00000,1138.44400,1138.44400,-1.10000,-1.10000
2009-03-31,2897.00000,248.00000,2649.00000,3010.00000,-269.00000,3279.00000,-630.00000,-630.00000,-595.00000,-35.00000,-35.00000,-155.00000,-578.00000,-475.00000,-630.00000,1011.74100,1011.74100,-0.57000,-0.57000
