,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2017-12-31,10287.00000,580.00000,9707.00000,7909.00000,7909.00000,1798.00000,1798.00000,3004.00000,-1206.00000,-1206.00000,,-1215.00000,883.00000,886.00000,-1.35000,-1.34000
2017-09-30,9858.00000,568.00000,9290.00000,7459.00000,7459.00000,1831.00000,1831.00000,472.00000,1359.00000,1359.00000,,1327.00000,878.00000,881.00000,1.51000,1.51000
2017-06-30,9693.00000,521.00000,9172.00000,7215.00000,7215.00000,1957.00000,1957.00000,613.00000,1344.00000,1344.00000,,1314.00000,890.00000,893.00000,1.48000,1.47000
2017-03-31,9152.00000,443.00000,8709.00000,6870.00000,6870.00000,1839.00000,1839.00000,588.00000,1251.00000,1251.00000,,1220.00000,899.00000,903.00000,1.36000,1.35000
2016-12-31,11755.00000,414.00000,11341.00000,10234.00000,10234.00000,1107.00000,1107.00000,315.00000,792.00000,792.00000,,767.00000,933.00000,935.00000,0.86000,0.86000
2016-09-30,8204.00000,430.00000,7774.00000,6039.00000,6039.00000,1735.00000,1735.00000,593.00000,1142.00000,1142.00000,,1112.00000,920.00000,923.00000,1.21000,1.20000
2016-06-30,8671.00000,436.00000,8235.00000,5219.00000,5219.00000,3016.00000,3016.00000,1001.00000,2015.00000,2015.00000,,1979.00000,938.00000,941.00000,2.11000,2.10000
2016-03-31,8513.00000,425.00000,8088.00000,5904.00000,5904.00000,2184.00000,2184.00000,758.00000,1426.00000,1426.00000,,1394.00000,961.00000,963.00000,1.45000,1.45000
2015-12-31,8791.00000,400.00000,8391.00000,6937.00000,6937.00000,1454.00000,1454.00000,555.00000,899.00000,899.00000,,873.00000,999.00000,1003.00000,0.91000,0.91000
2015-09-30,8592.00000,399.00000,8193.00000,6255.00000,6255.00000,1938.00000,1938.00000,672.00000,1266.00000,1266.00000,,1234.00000,994.00000,997.00000,1.24000,1.24000
2015-06-30,8698.00000,414.00000,8284.00000,6054.00000,6054.00000,2230.00000,2230.00000,757.00000,1473.00000,1473.00000,,1442.00000,1009.00000,1013.00000,1.43000,1.42000
2015-03-31,8360.00000,410.00000,7950.00000,5634.00000,5634.00000,2316.00000,2316.00000,791.00000,1525.00000,1525.00000,,1514.00000,1019.00000,1023.00000,1.49000,1.48000
2014-12-31,9486.00000,405.00000,9081.00000,6856.00000,6856.00000,2225.00000,2225.00000,778.00000,1447.00000,1447.00000,,1424.00000,1045.00000,1051.00000,1.39000,1.40000
2014-09-30,8723.00000,420.00000,8303.00000,6057.00000,6057.00000,2246.00000,2246.00000,769.00000,1477.00000,1477.00000,,1466.00000,1041.00000,1047.00000,1.41000,1.40000
2014-06-30,9074.00000,443.00000,8631.00000,6319.00000,6319.00000,2312.00000,2312.00000,783.00000,1529.00000,1529.00000,,1517.00000,1052.00000,1058.00000,1.44000,1.43000
2014-03-31,8612.00000,439.00000,8173.00000,5965.00000,5965.00000,2208.00000,2208.00000,776.00000,1432.00000,1432.00000,,1432.00000,1060.00000,1067.00000,1.34000,1.33000
2013-12-31,8906.00000,463.00000,8443.00000,6463.00000,6463.00000,1980.00000,1980.00000,672.00000,1308.00000,1308.00000,,1297.00000,1082.00000,1089.00000,1.22000,1.21000
2013-09-30,8785.00000,484.00000,8301.00000,6297.00000,6297.00000,2004.00000,2004.00000,638.00000,1366.00000,1366.00000,,1354.00000,1074.00000,1081.00000,1.26000,1.25000
2013-06-30,8737.00000,492.00000,8245.00000,6250.00000,6250.00000,1995.00000,1995.00000,590.00000,1405.00000,1405.00000,,1392.00000,1090.00000,1097.00000,1.28000,1.27000
2013-03-31,8400.00000,519.00000,7881.00000,5972.00000,5972.00000,1909.00000,1909.00000,629.00000,1280.00000,1280.00000,,1269.00000,1099.00000,1106.00000,1.15000,1.15000
2012-12-31,8685.00000,544.00000,8141.00000,8549.00000,8549.00000,-408.00000,929.00000,292.00000,637.00000,637.00000,,616.00000,1135.00000,1141.00000,0.58000,0.58000
2012-09-30,8420.00000,558.00000,7862.00000,5992.00000,5992.00000,1870.00000,1870.00000,620.00000,1250.00000,1250.00000,,1250.00000,1126.00000,1132.00000,1.10000,1.09000
2012-06-30,8515.00000,550.00000,7965.00000,6086.00000,6086.00000,1879.00000,1879.00000,540.00000,1339.00000,1339.00000,,1325.00000,1145.00000,1152.00000,1.16000,1.15000
2012-03-31,8161.00000,574.00000,7587.00000,5814.00000,5814.00000,1773.00000,1773.00000,517.00000,1256.00000,1256.00000,,1242.00000,1160.00000,1166.00000,1.07000,1.07000
2011-12-31,8317.00000,575.00000,7742.00000,7212.00000,7212.00000,530.00000,1748.00000,556.00000,1192.00000,1192.00000,,1149.00000,1178.00000,1184.00000,1.01000,1.02000
2011-09-30,8146.00000,575.00000,7571.00000,5860.00000,5860.00000,1711.00000,1711.00000,476.00000,1235.00000,1235.00000,,1220.00000,1175.00000,1181.00000,1.04000,1.03000
2011-06-30,8195.00000,577.00000,7618.00000,5853.00000,5853.00000,1765.00000,1765.00000,470.00000,1295.00000,1295.00000,36.00000,1331.00000,1190.00000,1197.00000,1.11000,1.10000
2011-03-31,7624.00000,593.00000,7031.00000,5299.00000,5299.00000,1732.00000,1732.00000,555.00000,1177.00000,1177.00000,,1177.00000,1192.00000,1198.00000,0.98000,0.97000
2010-12-31,7849.00000,605.00000,7244.00000,5767.00000,5767.00000,1477.00000,1477.00000,415.00000,1062.00000,1062.00000,,1024.00000,1188.00000,1195.00000,0.88000,0.88000
2010-09-30,7583.00000,610.00000,6973.00000,5333.00000,5333.00000,1640.00000,1640.00000,547.00000,1093.00000,1093.00000,,1080.00000,1193.00000,1199.00000,0.91000,0.90000
2010-06-30,7415.00000,610.00000,6805.00000,5210.00000,5210.00000,1595.00000,1595.00000,578.00000,1017.00000,1017.00000,,1017.00000,1190.00000,1197.00000,0.84000,0.84000
2010-03-31,7158.00000,598.00000,6560.00000,5308.00000,5308.00000,1252.00000,1252.00000,367.00000,885.00000,885.00000,,885.00000,1185.00000,1191.00000,0.74000,0.73000
2009-12-31,6864.00000,562.00000,6302.00000,5341.00000,5341.00000,961.00000,961.00000,251.00000,710.00000,710.00000,6.00000,1027.00000,1168.00000,1171.00000,0.60000,0.61000
2009-09-30,6559.00000,543.00000,6016.00000,5098.00000,5098.00000,918.00000,918.00000,276.00000,642.00000,642.00000,-2.00000,640.00000,1178.00000,1181.00000,0.54000,0.53000
2009-06-30,6639.00000,547.00000,6092.00000,5674.00000,5674.00000,418.00000,418.00000,76.00000,342.00000,342.00000,-5.00000,102.00000,1162.00000,1165.00000,0.09000,0.09000
2009-03-31,6481.00000,555.00000,5926.00000,5382.00000,5382.00000,544.00000,544.00000,101.00000,443.00000,443.00000,-6.00000,361.00000,1156.00000,1156.00000,0.31000,0.31000
