,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2020-03-31,439.91900,129.10300,310.81600,31.96300,207.45900,103.35700,-69.56300,33.79400,33.79400,,30.67800,,16.84000,264.24800,103.35700,121.43300,121.78500,0.14000,0.14000
2019-12-31,408.11400,121.85200,286.26210,29.78200,170.30000,115.96210,100.76300,216.72510,216.72510,,216.05310,,200.84000,248.97710,115.96200,112.20400,112.52400,1.78000,1.77000
2019-09-30,390.48400,116.45000,274.03400,27.93000,163.50000,110.53400,-146.53700,-36.00300,-36.00300,,-36.00300,,-49.77300,241.29400,110.53400,112.12000,112.12000,-0.44000,-0.44000
2019-06-30,373.85600,105.68900,268.16700,26.43400,160.87100,107.29600,-20.11700,87.17900,87.17900,,87.17900,,76.33000,235.27700,107.29600,111.43300,111.50100,0.68000,0.68000
2019-03-31,358.84200,101.50100,257.34100,24.67700,158.76400,98.57700,37.09500,135.67200,135.67200,,136.81800,,123.59800,226.94800,98.57700,111.05400,111.05400,1.11000,1.11000
2018-12-31,340.46300,97.68200,242.78100,22.38500,147.37500,95.40600,-79.78900,15.61700,15.61700,,-18.63100,,-29.36000,216.83600,95.40600,103.01000,103.32100,-0.32000,-0.30000
2018-09-30,341.82300,99.75900,242.06400,22.66000,142.26000,99.80400,78.83700,178.64100,178.64100,,219.35900,,208.94000,216.30400,99.80400,104.17900,105.38500,2.01000,1.99000
2018-06-30,325.03400,91.90800,233.12600,22.93900,141.79100,91.33500,-31.87800,59.45700,59.45700,,60.54700,,52.01600,206.97600,91.33500,101.88100,102.23600,0.51000,0.51000
2018-03-31,320.13900,91.77100,228.36800,22.42100,136.64000,91.72800,48.64600,140.37400,140.37400,,141.51800,,132.38700,201.74500,91.72800,99.85500,100.12500,1.33000,1.32000
2017-12-31,298.79110,88.07300,210.71810,18.91000,126.62400,84.09410,-23.43700,60.65700,60.65700,,45.60700,,36.83100,189.59310,84.09400,91.54600,92.06300,0.40000,0.39000
2017-09-30,285.37000,83.46900,201.90100,17.63600,125.42400,76.47700,-31.03100,45.44600,45.44600,,59.54600,,51.27300,181.90800,76.47700,92.59800,93.29600,0.55000,0.55000
2017-06-30,273.05900,76.98000,196.07900,19.23400,123.33200,72.74700,-31.95100,40.79600,40.79600,,41.38500,,31.63000,174.05900,72.74700,90.21500,90.74500,0.35000,0.35000
2017-03-31,270.87700,77.08700,193.79000,19.22900,116.41200,77.37800,-30.45400,46.92400,46.92400,0.27000,47.55500,,25.66100,171.50100,77.37800,88.14700,88.20000,0.29000,0.29000
2016-12-31,249.16200,73.24400,175.91800,17.45800,112.67990,63.23810,-47.28500,15.95310,15.95310,,19.79200,,-25.12700,158.33910,63.23810,76.10300,76.10300,-0.29000,-0.29000
2016-09-30,230.37900,72.00200,158.37700,15.85400,92.98700,65.39000,-37.19400,28.19600,28.19600,,28.46900,,5.45200,144.63300,65.39000,76.65100,77.40200,0.07000,0.07000
2016-06-30,226.07600,67.32500,158.75100,15.38400,85.55300,73.19800,-181.31400,-108.11600,-108.11600,,-108.11600,,-127.64800,145.32700,73.19800,74.31900,74.31900,-1.72000,-1.72000
2016-03-31,216.08900,65.83700,150.25200,15.18800,86.05400,64.19800,-53.83500,10.36300,10.36300,,9.96600,,-3.81800,136.76400,64.19800,72.58400,72.58400,-0.05000,-0.05000
2015-12-31,223.95500,68.91300,155.04200,15.10200,87.34690,67.69510,-38.08500,29.61000,29.61000,,42.97700,,35.13100,141.50800,67.69500,71.52900,71.52900,0.48000,0.48000
2015-09-30,218.61000,68.84600,149.76400,15.14300,83.09600,66.66800,-27.67900,38.98900,38.98900,,39.69900,,32.65900,133.96400,66.66800,71.50000,71.50000,0.46000,0.46000
2015-06-30,204.15600,62.25000,141.90600,14.98900,77.16000,64.74600,-26.31600,38.43000,38.43000,,38.43000,,31.29100,128.70000,64.74600,71.41200,71.41200,0.44000,0.44000
2015-03-31,196.75300,61.22300,135.53000,14.38700,73.30700,62.22300,-37.17200,25.05100,25.05100,,25.05100,-0.04300,17.78600,122.96200,62.22300,71.36600,71.36600,0.25000,0.25000
2014-12-31,188.67400,56.88100,131.79300,13.86100,71.83400,59.95910,-73.30900,-13.35000,-13.35000,,-13.35000,7.32000,-16.15400,120.11400,59.95900,71.17000,71.17000,-0.23000,-0.23000
2014-09-30,185.61500,57.42300,128.19200,12.60900,70.99700,57.19500,-21.08000,36.11500,36.11500,,36.11500,-0.17200,27.62600,117.57600,57.19500,71.19500,71.19500,0.39000,0.39000
2014-06-30,176.40200,52.35300,124.04900,13.83600,71.15000,52.89900,-17.43300,35.46600,35.46600,,35.46600,0.65000,27.93200,112.26900,52.89900,71.12600,71.12600,0.39000,0.39000
2014-03-31,176.18600,52.50700,123.67900,13.22400,63.64500,60.03400,-19.12300,40.91100,40.91100,,40.91100,-0.16200,32.70900,112.40500,60.03400,71.07300,71.07300,0.46000,0.46000
2013-12-31,168.82300,49.89200,118.93100,12.75100,60.83500,58.09610,-17.78300,40.31310,40.31310,,40.31300,-0.14300,36.24700,108.15310,58.09610,68.03800,68.03800,0.51000,0.51000
2013-09-30,158.31500,47.68400,110.63100,11.66600,60.53200,50.09900,-17.60300,32.49600,32.49600,,32.49600,-0.04300,24.57900,101.00400,50.09900,70.90000,70.90000,0.35000,0.35000
2013-06-30,153.93000,46.27700,107.65300,12.45500,58.79900,48.85400,-16.53800,32.31600,32.31600,,32.31600,0.24900,25.48300,97.15300,48.85400,66.97300,66.97300,0.38000,0.38000
2013-03-31,150.08300,45.18600,104.89700,11.64800,57.47700,47.42000,-18.02000,29.40000,29.40000,,29.40000,0.83700,22.44200,96.08600,47.42000,63.16100,63.16100,0.36000,0.36000
2012-12-31,150.34300,45.99800,104.34500,12.62200,59.19800,45.14700,-19.99400,25.15300,25.15300,,25.15300,3.65400,21.00000,94.99010,45.14700,62.16000,62.16000,0.33000,0.33000
2012-09-30,142.85000,44.20300,98.64700,12.47000,59.05400,39.59300,-17.09200,22.50100,22.50100,,22.50100,-4.19600,10.64600,89.57000,39.59300,62.36400,62.36400,0.17000,0.17000
2012-06-30,145.59300,42.10200,103.49100,12.29800,63.03900,40.45200,-19.52400,20.92800,20.92800,,20.92800,4.71300,17.61600,94.35300,40.45200,61.66300,61.66400,0.29000,0.29000
2012-03-31,135.71100,40.45300,95.25800,10.35700,52.14300,43.11500,-16.84900,26.26600,26.26600,,26.26600,4.64500,18.36800,88.54200,43.11500,61.50700,61.50900,0.30000,0.30000
2011-12-31,115.48500,35.11900,80.36600,10.56200,45.96600,34.40000,-14.72300,19.67700,19.67700,,19.67700,15.78500,26.96000,77.67000,34.40000,59.07800,59.07800,0.45000,0.45000
2011-09-30,138.05400,40.85900,97.19500,10.28900,49.03600,48.15900,-17.01500,31.14400,31.14400,,31.14400,1.80500,24.66200,90.10300,48.15900,61.29600,61.30400,0.40000,0.40000
2011-06-30,143.32100,40.59500,102.72600,10.76400,50.93700,51.78900,-17.81500,33.97400,33.97400,,33.97400,0.33700,25.98600,92.92200,51.78900,58.50000,58.51300,0.44000,0.44000
2011-03-31,139.92000,41.06100,98.85900,9.49700,46.07900,52.78000,-20.30500,32.47500,32.47500,,32.47500,0.15000,24.36500,88.24600,52.78000,54.94800,54.96800,0.44000,0.44000
2010-12-31,106.80400,28.27200,78.53200,8.55800,37.99600,40.53600,-19.46300,21.07300,21.07300,,21.07300,11.48500,83.55700,76.75400,40.53600,48.37500,48.40500,1.72000,1.72000
2010-09-30,120.31400,33.15400,87.16000,8.04200,39.80000,47.36000,-17.37800,29.98200,29.98200,,29.98200,0.47900,22.23500,81.32900,47.36000,49.80700,49.83000,0.45000,0.45000
2010-06-30,117.01000,30.33500,86.67500,8.26600,38.56500,48.11000,-60.27400,-12.16400,-12.16400,,-12.16400,-0.06000,-20.39300,81.99700,48.11000,44.87000,44.87000,-0.45000,-0.45000
2010-03-31,116.49300,31.54800,84.94500,9.47900,39.19100,45.75400,-17.56200,28.19200,28.19200,,28.19200,0.59300,20.54200,78.34300,45.75400,43.82200,43.85800,0.47000,0.47000
2009-12-31,113.12900,29.26200,83.86700,8.46300,36.85500,47.01200,-19.31400,27.69800,27.69800,,27.69800,2.20700,21.70500,79.63800,47.01200,38.58700,38.60000,0.41000,0.42000
2009-09-30,115.82600,31.21800,84.60800,9.61100,37.72300,46.88500,-21.22500,25.66000,25.66000,,25.66000,0.71800,18.20300,78.69500,46.88500,39.09400,39.10600,0.47000,0.47000
2009-06-30,121.03900,29.22400,91.81500,8.80400,38.30400,53.51100,-10.11900,43.39200,43.39200,,43.39200,0.72400,32.29800,86.59900,53.51100,38.93000,43.07200,0.83000,0.82000
2009-03-31,131.55900,32.43400,99.12500,9.41800,40.66000,58.46500,-20.19900,38.26600,38.26600,,38.26600,2.98300,32.76800,88.74700,58.46500,32.47900,32.49800,1.01000,1.01000
