,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2020-06-30,1817.00000,957.00000,860.00000,402.00000,222.00000,-1.00000,1005.00000,-145.00000,-96.00000,-241.00000,-33.00000,-208.00000,,-209.00000,,-214.00000,398.00000,-145.00000,279.14200,279.14200,-0.77000,-0.77000
2020-03-31,2021.00000,1024.00000,997.00000,425.00000,233.00000,110.00000,929.00000,68.00000,-78.00000,-10.00000,2.00000,-12.00000,,-13.00000,,-21.00000,608.00000,68.00000,279.93300,279.93300,-0.08000,-0.08000
2019-12-31,2301.00000,1092.00000,1209.00000,424.00000,225.00000,2.00000,1012.00000,197.00000,-93.00000,104.00000,-20.00000,124.00000,,123.00000,,114.00000,719.00000,197.00000,282.05600,285.91100,0.39000,0.40000
2019-09-30,2265.00000,1079.00000,1186.00000,396.00000,221.00000,22.00000,953.00000,233.00000,-85.00000,148.00000,28.00000,120.00000,,119.00000,,109.00000,750.00000,233.00000,279.07400,283.51800,0.39000,0.38000
2019-06-30,2217.00000,1066.00000,1151.00000,408.00000,230.00000,-1.00000,994.00000,157.00000,-89.00000,68.00000,21.00000,47.00000,,46.00000,,41.00000,663.00000,157.00000,281.24100,285.08800,0.15000,0.14000
2019-03-31,2094.00000,1022.00000,1072.00000,415.00000,248.00000,2.00000,1018.00000,54.00000,-83.00000,-29.00000,-9.00000,-20.00000,,-16.00000,,-21.00000,556.00000,54.00000,287.22700,287.22700,-0.07000,-0.07000
2018-12-31,2403.00000,1160.00000,1243.00000,403.00000,251.00000,-1.00000,1019.00000,224.00000,-77.00000,147.00000,-141.00000,288.00000,,289.00000,,276.00000,727.00000,224.00000,325.78100,328.60600,0.81000,0.79000
2018-09-30,2445.00000,1189.00000,1256.00000,433.00000,252.00000,2002.00000,-955.00000,2211.00000,-119.00000,2092.00000,311.00000,1781.00000,,1833.00000,,1820.00000,2708.00000,2211.00000,322.53300,325.26700,5.64000,5.60000
2018-06-30,2290.00000,1110.00000,1180.00000,438.00000,242.00000,,1043.00000,137.00000,-71.00000,66.00000,4.00000,62.00000,,66.00000,,54.00000,633.00000,137.00000,344.12000,347.02700,0.16000,0.16000
2018-03-31,2269.00000,1097.00000,1172.00000,426.00000,248.00000,,1034.00000,138.00000,-68.00000,70.00000,2.00000,68.00000,,70.00000,,58.00000,629.00000,138.00000,343.66100,346.89900,0.17000,0.17000
2017-12-31,2456.00000,1214.00000,1242.00000,414.00000,269.00000,-2.00000,1032.00000,210.00000,-79.00000,131.00000,-629.00000,760.00000,,768.00000,,753.00000,752.00000,210.00000,338.64600,345.80200,2.19000,2.17000
2017-09-30,2387.00000,1172.00000,1215.00000,392.00000,292.00000,-5.00000,1052.00000,163.00000,-76.00000,87.00000,-30.00000,117.00000,,123.00000,,108.00000,700.00000,163.00000,338.58600,346.15200,0.32000,0.31000
2017-06-30,2202.00000,1119.00000,1083.00000,381.00000,263.00000,-16.00000,1033.00000,50.00000,-75.00000,-25.00000,-54.00000,29.00000,,63.00000,,49.00000,610.00000,50.00000,337.53700,344.98300,0.15000,0.14000
2017-03-31,2211.00000,1132.00000,1079.00000,367.00000,266.00000,1598.00000,-600.00000,1679.00000,-136.00000,1543.00000,230.00000,1313.00000,,1318.00000,,1305.00000,2213.00000,1679.00000,336.39600,344.01100,3.88000,3.79000
2016-12-31,2440.00000,1251.00000,1189.00000,362.00000,292.00000,1.00000,1016.00000,173.00000,-96.00000,77.00000,-456.00000,533.00000,,537.00000,,520.00000,703.00000,173.00000,338.47700,347.60700,1.52000,1.52000
2016-09-30,2469.00000,1285.00000,1184.00000,379.00000,270.00000,,1010.00000,174.00000,-115.00000,59.00000,-44.00000,103.00000,,108.00000,,91.00000,700.00000,174.00000,335.85800,344.36500,0.27000,0.26000
2016-06-30,2365.00000,1266.00000,1099.00000,416.00000,283.00000,10.00000,1125.00000,-26.00000,-126.00000,-152.00000,-152.00000,,,1.00000,,-13.00000,594.00000,-26.00000,341.29900,341.29900,-0.04000,-0.04000
2016-03-31,2224.00000,1627.00000,597.00000,403.00000,296.00000,-2.00000,1068.00000,-471.00000,-116.00000,-587.00000,-199.00000,-388.00000,,-387.00000,,-398.00000,58.00000,-471.00000,341.83000,341.83000,-1.16000,-1.16000
2015-12-31,1606.00000,987.00000,619.00000,318.00000,413.00000,1258.00000,-394.00000,1013.00000,-174.00000,839.00000,-148.00000,987.00000,,989.00000,,972.00000,1243.00000,1013.00000,239.76400,250.11600,3.97000,3.84000
2015-09-30,1522.00000,782.00000,740.00000,178.00000,162.00000,4.00000,365.00000,375.00000,16.00000,391.00000,15.00000,376.00000,,379.00000,,361.00000,469.00000,375.00000,231.54500,242.12200,1.56000,1.49000
2015-06-30,1506.00000,782.00000,724.00000,195.00000,167.00000,1.00000,392.00000,332.00000,2.00000,334.00000,14.00000,320.00000,,321.00000,,300.00000,430.00000,332.00000,232.68100,243.28800,1.29000,1.23000
2015-03-31,1467.00000,763.00000,704.00000,199.00000,180.00000,,409.00000,295.00000,-373.00000,-78.00000,15.00000,-93.00000,,-90.00000,,-107.00000,390.00000,295.00000,233.11600,233.11600,-0.46000,-0.46000
2014-12-31,1537.00000,833.00000,704.00000,198.00000,46.00000,2.00000,394.00000,310.00000,-137.00000,173.00000,9.00000,164.00000,,167.00000,,149.00000,407.00000,310.00000,237.95400,248.60900,0.65000,0.61000
2014-09-30,1515.00000,802.00000,713.00000,196.00000,211.00000,1.00000,406.00000,307.00000,-168.00000,139.00000,4.00000,135.00000,,138.00000,,121.00000,410.00000,307.00000,235.09500,246.55000,0.51000,0.49000
2014-06-30,1349.00000,711.00000,638.00000,180.00000,216.00000,7.00000,389.00000,249.00000,-60.00000,189.00000,12.00000,177.00000,,178.00000,,159.00000,352.00000,249.00000,239.85100,250.12400,0.66000,0.64000
2014-03-31,1246.00000,661.00000,585.00000,189.00000,213.00000,,402.00000,183.00000,-45.00000,138.00000,15.00000,123.00000,,124.00000,,110.00000,285.00000,183.00000,245.30000,255.16700,0.45000,0.43000
2013-12-31,1293.00000,704.00000,589.00000,168.00000,-8.00000,1.00000,391.00000,198.00000,-79.00000,119.00000,10.00000,109.00000,,115.00000,,96.00000,311.00000,198.00000,248.52600,255.05000,0.40000,0.39000
2013-09-30,1249.00000,679.00000,570.00000,163.00000,239.00000,,402.00000,168.00000,3.00000,171.00000,1.00000,170.00000,,172.00000,,155.00000,305.00000,168.00000,248.79400,256.77700,0.62000,0.60000
2013-06-30,1188.00000,653.00000,535.00000,155.00000,211.00000,1.00000,365.00000,170.00000,-46.00000,124.00000,-2.00000,126.00000,,129.00000,,111.00000,302.00000,170.00000,249.44900,255.26500,0.44000,0.43000
2013-03-31,1085.00000,602.00000,483.00000,153.00000,222.00000,7.00000,368.00000,115.00000,-152.00000,-37.00000,11.00000,-48.00000,,-1.00000,,-14.00000,247.00000,115.00000,249.66800,249.66800,-0.06000,-0.06000
2012-12-31,1116.00000,626.00000,490.00000,171.00000,288.00000,2.00000,457.00000,33.00000,-153.00000,-120.00000,-7.00000,-113.00000,,-98.00000,,-116.00000,165.00000,33.00000,248.06400,248.06400,-0.46000,-0.45000
2012-09-30,1170.00000,634.00000,536.00000,153.00000,236.00000,21.00000,368.00000,168.00000,-33.00000,135.00000,6.00000,129.00000,,131.00000,,115.00000,296.00000,168.00000,247.49800,253.06000,0.46000,0.45000
2012-06-30,1094.00000,556.00000,538.00000,156.00000,231.00000,5.00000,382.00000,156.00000,-178.00000,-22.00000,7.00000,-29.00000,,-74.00000,,-90.00000,295.00000,156.00000,248.27200,248.27200,-0.36000,-0.36000
2012-03-31,978.00000,554.00000,424.00000,148.00000,222.00000,1.00000,369.00000,55.00000,-73.00000,-18.00000,-5.00000,-13.00000,,-12.00000,1.00000,-24.00000,189.00000,55.00000,247.97900,247.97900,-0.10000,-0.10000
2011-12-31,931.00000,542.00000,389.00000,151.00000,236.00000,5.00000,382.00000,7.00000,-165.00000,-158.00000,2.00000,-160.00000,,-175.00000,2.00000,-182.00000,158.00000,7.00000,248.81200,248.81200,-0.73000,-0.70000
2011-09-30,1060.00000,572.00000,488.00000,165.00000,219.00000,5.00000,379.00000,109.00000,-174.00000,-65.00000,20.00000,-85.00000,,-110.00000,421.00000,301.00000,261.00000,109.00000,248.31800,248.31800,1.21000,1.21000
2011-06-30,1121.00000,598.00000,523.00000,165.00000,229.00000,4.00000,390.00000,133.00000,-19.00000,114.00000,,114.00000,,99.00000,-2.00000,84.00000,276.00000,133.00000,249.95700,256.27300,0.34000,0.33000
2011-03-31,1082.00000,576.00000,506.00000,154.00000,234.00000,-10.00000,398.00000,108.00000,101.00000,209.00000,-1.00000,210.00000,,188.00000,13.00000,187.00000,253.00000,108.00000,250.40200,256.58900,0.75000,0.73000
2010-12-31,1078.00000,583.00000,495.00000,131.00000,251.00000,,382.00000,113.00000,-192.00000,-86.00000,-5.00000,-81.00000,34.00000,-129.00000,11.00000,-118.00000,297.00000,113.00000,215.25200,215.25200,-0.47000,-0.47000
2010-09-30,1120.00000,644.00000,476.00000,146.00000,225.00000,1.00000,370.00000,106.00000,279.00000,385.00000,27.00000,358.00000,,353.00000,23.00000,369.00000,261.00000,106.00000,237.29500,238.73500,1.56000,1.55000
2010-06-30,1119.00000,673.00000,446.00000,133.00000,237.00000,,370.00000,76.00000,-413.00000,-337.00000,-3.00000,-334.00000,,-363.00000,13.00000,-362.00000,236.00000,76.00000,215.25200,215.25200,-1.68000,-1.68000
2010-03-31,1085.00000,679.00000,406.00000,151.00000,253.00000,-17.00000,421.00000,-15.00000,-302.00000,-317.00000,5.00000,-322.00000,,-348.00000,12.00000,-345.00000,170.00000,-15.00000,215.25200,215.25200,-1.60000,-1.60000
2009-12-31,,,,,,,,,,,,,,,,,,,,,,0.00000
2009-09-30,1077.00000,,1077.00000,,,,,1077.00000,,1077.00000,,1077.00000,,418.00000,0.00000,418.00000,1077.00000,1077.00000,215.25200,216.42900,1.94000,1.93000
