,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2016-12-31,4197.00000,323.00000,3874.00000,2508.00000,2508.00000,1366.00000,1366.00000,319.00000,1047.00000,1047.00000,,968.00000,494.00000,500.00000,2.01000,1.96000
2016-09-30,4142.00000,313.00000,3829.00000,2481.00000,2481.00000,1348.00000,1348.00000,342.00000,1006.00000,1006.00000,,924.00000,490.00000,496.00000,1.87000,1.84000
2016-06-30,4110.00000,316.00000,3794.00000,2487.00000,2487.00000,1307.00000,1307.00000,318.00000,989.00000,989.00000,,917.00000,497.00000,503.00000,1.84000,1.82000
2016-03-31,3974.00000,309.00000,3665.00000,2433.00000,2433.00000,1232.00000,1232.00000,289.00000,943.00000,943.00000,,853.00000,501.00000,507.00000,1.70000,1.68000
2015-12-31,4119.00000,266.00000,3853.00000,2470.00000,2470.00000,1383.00000,1383.00000,361.00000,1022.00000,1022.00000,,948.00000,514.00000,521.00000,1.88000,1.86000
2015-09-30,4054.00000,279.00000,3775.00000,2433.00000,2433.00000,1342.00000,1342.00000,269.00000,1073.00000,1073.00000,,991.00000,512.00000,520.00000,1.93000,1.90000
2015-06-30,4119.00000,253.00000,3866.00000,2412.00000,2412.00000,1454.00000,1454.00000,410.00000,1044.00000,1044.00000,,992.00000,517.00000,525.00000,1.92000,1.88000
2015-03-31,3978.00000,247.00000,3731.00000,2403.00000,2403.00000,1328.00000,1328.00000,324.00000,1004.00000,1004.00000,,933.00000,521.00000,529.00000,1.79000,1.75000
2014-12-31,4187.00000,240.00000,3947.00000,2591.00000,2591.00000,1356.00000,1356.00000,299.00000,1057.00000,1057.00000,,980.00000,529.00000,537.00000,1.88000,1.84000
2014-09-30,4065.00000,224.00000,3841.00000,2412.00000,2412.00000,1429.00000,1429.00000,391.00000,1038.00000,1038.00000,,963.00000,529.00000,537.00000,1.82000,1.79000
2014-06-30,4037.00000,227.00000,3810.00000,2400.00000,2400.00000,1410.00000,1410.00000,358.00000,1052.00000,1052.00000,,1001.00000,532.00000,539.00000,1.88000,1.85000
2014-03-31,3992.00000,215.00000,3777.00000,2358.00000,2358.00000,1419.00000,1419.00000,359.00000,1060.00000,1060.00000,,992.00000,532.00000,539.00000,1.86000,1.82000
2013-12-31,4286.00000,213.00000,4073.00000,2627.00000,2627.00000,1446.00000,1446.00000,372.00000,1074.00000,1074.00000,,993.00000,528.00000,532.00000,1.89000,1.87000
2013-09-30,4134.00000,214.00000,3920.00000,2531.00000,2531.00000,1389.00000,1389.00000,361.00000,1028.00000,1028.00000,,955.00000,529.00000,534.00000,1.80000,1.77000
2013-06-30,4275.00000,211.00000,4064.00000,2562.00000,2562.00000,1502.00000,1502.00000,387.00000,1115.00000,1115.00000,,1058.00000,528.00000,531.00000,2.00000,1.98000
2013-03-31,4177.00000,222.00000,3955.00000,2604.00000,2604.00000,1351.00000,1351.00000,356.00000,995.00000,995.00000,,928.00000,526.00000,528.00000,1.76000,1.74000
2012-12-31,4316.00000,247.00000,4069.00000,3051.00000,3051.00000,1018.00000,1018.00000,306.00000,712.00000,712.00000,,643.00000,526.00000,529.00000,1.22000,1.22000
2012-09-30,4359.00000,271.00000,4088.00000,2878.00000,2878.00000,1210.00000,1210.00000,285.00000,925.00000,925.00000,,876.00000,526.00000,529.00000,1.66000,1.64000
2012-06-30,3893.00000,270.00000,3623.00000,2904.00000,2904.00000,719.00000,719.00000,173.00000,546.00000,546.00000,,525.00000,527.00000,530.00000,1.00000,0.98000
2012-03-31,4038.00000,306.00000,3732.00000,2640.00000,2640.00000,1092.00000,1092.00000,281.00000,811.00000,811.00000,,762.00000,526.00000,529.00000,1.45000,1.44000
2011-12-31,3884.00000,335.00000,3549.00000,2909.00000,2909.00000,640.00000,640.00000,147.00000,493.00000,493.00000,,459.00000,524.00000,526.00000,0.85000,0.85000
2011-09-30,3899.00000,355.00000,3544.00000,2401.00000,2401.00000,1143.00000,1143.00000,309.00000,834.00000,834.00000,,822.00000,524.00000,526.00000,1.57000,1.55000
2011-06-30,3999.00000,397.00000,3602.00000,2456.00000,2456.00000,1146.00000,1146.00000,234.00000,912.00000,912.00000,,884.00000,524.00000,527.00000,1.69000,1.67000
2011-03-31,4038.00000,407.00000,3631.00000,2491.00000,2491.00000,1140.00000,1140.00000,308.00000,832.00000,832.00000,,833.00000,524.00000,526.00000,1.59000,1.57000
2010-12-31,4373.00000,470.00000,3903.00000,2782.00000,2782.00000,1121.00000,1121.00000,301.00000,820.00000,820.00000,,798.00000,517.00000,520.00000,1.56000,1.54000
2010-09-30,4084.00000,486.00000,3598.00000,2644.00000,2644.00000,954.00000,954.00000,179.00000,775.00000,775.00000,328.00000,1094.00000,523.00000,526.00000,2.08000,2.07000
2010-06-30,4350.00000,438.00000,3912.00000,2825.00000,2825.00000,1087.00000,1087.00000,306.00000,781.00000,781.00000,22.00000,786.00000,524.00000,527.00000,1.49000,1.47000
2010-03-31,4289.00000,526.00000,3763.00000,2864.00000,2864.00000,899.00000,899.00000,251.00000,648.00000,648.00000,23.00000,333.00000,498.00000,500.00000,0.67000,0.66000
2009-12-31,5479.00000,593.00000,4886.00000,3258.00000,3258.00000,1628.00000,1628.00000,525.00000,1103.00000,1103.00000,4.00000,1011.00000,454.00000,455.00000,2.21000,2.19000
2009-09-30,4517.00000,664.00000,3853.00000,3128.00000,3128.00000,725.00000,725.00000,185.00000,540.00000,540.00000,19.00000,467.00000,460.00000,461.00000,1.01000,1.00000
2009-06-30,4610.00000,807.00000,3803.00000,3579.00000,3579.00000,224.00000,224.00000,29.00000,195.00000,195.00000,12.00000,65.00000,451.00000,453.00000,0.14000,0.14000
2009-03-31,4625.00000,939.00000,3686.00000,3038.00000,3038.00000,648.00000,648.00000,128.00000,520.00000,520.00000,10.00000,460.00000,443.00000,444.00000,1.04000,1.03000
