,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2015-12-31,2517.00000,2517.00000,1317.00000,,1107.00000,-82.00000,1025.00000,135.00000,890.00000,890.00000,890.00000,1404.00000,1107.00000,1134.00000,1137.00000,0.80000,0.79000
2015-09-30,2530.00000,2530.00000,1067.00000,,1369.00000,-17.00000,1352.00000,375.00000,977.00000,977.00000,977.00000,1665.00000,1369.00000,1130.00000,1133.00000,0.86000,0.86000
2015-06-30,2390.00000,2390.00000,986.00000,-61.00000,1251.00000,-10.00000,1241.00000,320.00000,921.00000,921.00000,921.00000,1517.00000,1251.00000,1138.00000,1141.00000,0.81000,0.81000
2015-03-31,2230.00000,2230.00000,792.00000,,1351.00000,-11.00000,1340.00000,320.00000,1020.00000,1020.00000,1020.00000,1622.00000,1351.00000,1148.00000,1152.00000,0.89000,0.89000
2014-12-31,2411.00000,2411.00000,1309.00000,,1018.00000,-11.00000,1007.00000,206.00000,801.00000,801.00000,801.00000,1280.00000,1018.00000,1165.00000,1169.00000,0.70000,0.70000
2014-09-30,2490.00000,2490.00000,987.00000,,1420.00000,-2.00000,1418.00000,403.00000,1015.00000,1015.00000,1015.00000,1691.00000,1420.00000,1157.00000,1160.00000,0.88000,0.87000
2014-06-30,2368.00000,2368.00000,904.00000,,1383.00000,-10.00000,1373.00000,442.00000,931.00000,931.00000,931.00000,1625.00000,1383.00000,1165.00000,1169.00000,0.80000,0.80000
2014-03-31,2172.00000,2172.00000,814.00000,,1285.00000,-4.00000,1281.00000,411.00000,870.00000,870.00000,870.00000,1522.00000,1285.00000,1185.00000,1189.00000,0.73000,0.73000
2013-12-31,2092.00000,2092.00000,1006.00000,,920.00000,-9.00000,911.00000,288.00000,623.00000,623.00000,623.00000,1594.00000,920.00000,1211.00000,1215.00000,0.52000,0.51000
2013-09-30,2218.00000,2218.00000,906.00000,,1248.00000,6.00000,1254.00000,375.00000,879.00000,879.00000,879.00000,1312.00000,1248.00000,1205.00000,1209.00000,0.73000,0.73000
2013-06-30,2096.00000,2096.00000,807.00000,,1228.00000,5.00000,1233.00000,385.00000,848.00000,848.00000,848.00000,1289.00000,1228.00000,1214.00000,1217.00000,0.70000,0.70000
2013-03-31,1906.00000,1906.00000,737.00000,,1107.00000,-5.00000,1102.00000,336.00000,766.00000,766.00000,766.00000,1169.00000,1107.00000,1226.00000,1230.00000,0.62000,0.62000
2012-12-31,1895.00000,1895.00000,934.00000,,899.00000,-5.00000,894.00000,289.00000,605.00000,605.00000,605.00000,1480.00000,899.00000,1253.00000,1258.00000,0.48700,0.48200
2012-09-30,1918.00000,1918.00000,796.00000,,1064.00000,2.00000,1066.00000,294.00000,772.00000,772.00000,772.00000,1122.00000,1064.00000,1250.00000,1250.00000,0.61900,0.61700
2012-06-30,1820.00000,1820.00000,770.00000,-20.00000,974.00000,-1.00000,973.00000,273.00000,700.00000,700.00000,700.00000,1030.00000,974.00000,1260.00000,1260.00000,0.55600,0.55500
2012-03-31,1758.00000,1758.00000,704.00000,,1000.00000,,1000.00000,318.00000,682.00000,682.00000,682.00000,1054.00000,1000.00000,1270.00000,1270.00000,0.53800,0.53600
2011-12-31,1728.00000,1728.00000,916.00000,,-10.00000,,-10.00000,-30.00000,20.00000,20.00000,19.00000,42.00000,-10.00000,1279.00000,1284.00000,0.01700,0.01200
2011-09-30,1818.00000,1818.00000,765.00000,,1002.00000,28.00000,1030.00000,314.00000,716.00000,716.00000,717.00000,1053.00000,1002.00000,1270.00000,1270.00000,0.56500,0.56300
2011-06-30,1667.00000,1667.00000,733.00000,,885.00000,7.00000,892.00000,284.00000,608.00000,608.00000,608.00000,934.00000,885.00000,1270.00000,1280.00000,0.47700,0.47600
2011-03-31,1501.00000,1501.00000,623.00000,,836.00000,,836.00000,274.00000,562.00000,562.00000,562.00000,878.00000,836.00000,1300.00000,1310.00000,0.43100,0.42900
2010-12-31,1438.00000,1438.00000,827.00000,,569.00000,13.00000,582.00000,167.00000,415.00000,415.00000,412.00000,582.00000,569.00000,1310.00000,1310.00000,0.31700,0.31600
2010-09-30,1428.00000,1428.00000,626.00000,,766.00000,1.00000,767.00000,248.00000,519.00000,519.00000,518.00000,810.00000,766.00000,1310.00000,1310.00000,0.39600,0.39400
2010-06-30,1365.00000,1365.00000,613.00000,,717.00000,-4.00000,713.00000,255.00000,458.00000,458.00000,458.00000,762.00000,717.00000,1310.00000,1310.00000,0.35000,0.34900
2010-03-31,1308.00000,1308.00000,573.00000,,700.00000,-5.00000,695.00000,240.00000,455.00000,455.00000,455.00000,746.00000,700.00000,1300.00000,1310.00000,0.34700,0.34600
2009-12-31,1299.00000,1299.00000,798.00000,,469.00000,-10.00000,459.00000,164.00000,295.00000,295.00000,295.00000,520.00000,469.00000,1300.00000,1300.00000,0.22500,0.22400
2009-09-30,1364.00000,1364.00000,649.00000,-6.00000,673.00000,,673.00000,221.00000,452.00000,452.00000,452.00000,732.00000,673.00000,1300.00000,1300.00000,0.34600,0.34500
2009-06-30,1280.00000,1280.00000,687.00000,,557.00000,-21.00000,536.00000,187.00000,349.00000,349.00000,349.00000,617.00000,557.00000,1300.00000,1300.00000,0.26700,0.26700
2009-03-31,1156.00000,1156.00000,564.00000,,561.00000,-11.00000,550.00000,183.00000,367.00000,367.00000,367.00000,618.00000,561.00000,1300.00000,1300.00000,0.28100,0.28000
