,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-07-31,1.80720,0.33210,0.50470,37.40380,9.46640,9.46640,9.05590,5.61830,0.53490,1.21700,8.19920,8.19920,3.00540,5.47640,6.51460,1.0383,0.6719
2015-04-30,1.89420,0.31620,0.46960,37.79050,10.55510,10.55510,10.44570,6.53540,0.48790,1.13180,8.30150,8.30150,3.18880,5.67700,6.87110,0.49760,0.14390
2015-01-31,1.93240,0.30870,0.45360,35.21670,11.02380,11.02380,10.66270,6.77570,0.61220,1.61460,10.69390,10.69390,4.14820,7.39280,7.08550,2.2894,1.8273
2014-10-31,1.71410,0.32230,0.48340,40.18130,13.94760,13.94760,13.49450,8.83690,0.50800,0.93070,12.29420,12.29420,4.48910,8.33140,6.73350,0.3009,-0.1174
2014-07-31,1.87620,0.31730,0.47280,39.41220,14.24270,14.24270,13.79050,8.33960,0.51850,1.23820,11.26950,11.26950,4.32400,7.69410,6.78800,1.1108,1.0027
2014-04-30,1.96100,0.31080,0.45880,38.84470,11.73820,11.73820,11.28780,6.88920,0.49040,1.20900,8.56390,8.56390,3.37880,5.90240,6.85330,1.13750,0.77830
2014-01-31,1.81190,0.30900,0.45530,34.81970,11.40980,11.40980,11.01640,6.71040,0.58290,1.54670,10.02610,10.02610,3.91130,6.92850,6.86550,1.6147,1.2206
2013-10-31,1.66860,0.29670,0.42190,39.96480,14.48690,14.48690,13.98390,8.47590,0.51070,0.96600,11.40050,11.40050,4.32830,8.01810,6.58350,0.2245,-0.1502
2013-07-31,2.01320,0.26500,0.36060,40.51190,13.46950,13.46950,13.00410,7.83350,0.48840,1.25260,8.76230,8.76230,3.82580,6.44000,7.38890,1.056,0.7107
2013-04-30,1.96530,0.28290,0.39450,41.40520,14.21290,14.21290,14.21290,8.93000,0.50130,1.26810,10.53460,10.53460,4.47640,7.55440,6.78330,0.75580,0.43520
2013-01-31,1.76280,0.30100,0.43050,37.58730,12.74070,12.74070,12.35980,7.42860,0.63250,1.67750,12.12850,12.12850,4.69880,8.47830,6.25050,1.457,1.0266
2012-10-31,1.83900,0.28270,0.39480,41.22670,13.45760,13.45760,12.91410,7.97100,0.48260,1.00090,9.74380,9.74380,3.84660,6.98890,6.58540,0.5346,0.2195
2012-07-31,2.02860,0.35080,0.55690,39.91610,11.88810,11.88810,11.32870,6.79720,0.46660,1.28780,8.38510,8.38510,3.17190,5.44350,6.05010,1.2388,0.9335
2012-04-30,2.16410,0.34170,0.53860,39.43220,11.32780,11.32780,10.69690,6.68200,0.46050,1.32750,7.72290,7.72290,3.07710,5.08400,6.14460,0.73680,0.43720
2012-01-31,2.02490,0.36830,0.60440,32.80410,8.68550,8.68550,8.17180,5.08990,0.57710,1.78200,7.91290,7.91290,2.93720,4.99890,5.68040,1.2938,1.0895
2011-10-31,1.83480,0.37660,0.62350,36.65270,9.65130,9.65130,9.06560,5.38350,0.46820,0.97800,7.25840,7.25840,2.52060,4.52520,5.43760,0.2377,-0.1072
2011-07-31,2.16910,0.33950,0.52780,36.94630,9.86410,9.86410,9.24390,5.58180,0.43380,1.22000,6.04990,6.04990,2.42120,3.99580,5.92790,0.6328,0.3699
2011-04-30,2.33010,0.24840,0.33120,39.57510,11.71470,11.71470,11.56300,7.07130,0.41050,1.16230,6.17870,6.17870,2.90270,4.64420,6.62740,0.39290,0.17690
2011-01-31,1.87400,,0.00070,38.24470,13.58850,13.58850,13.68010,8.36390,0.61770,1.66360,8.94610,8.94610,5.16630,8.94610,6.93880,1.2255,1.0163
2010-10-31,1.85610,,0.00070,41.18770,13.79310,13.79310,13.73840,8.29230,0.47280,0.99490,6.97510,6.97510,3.92080,6.97510,7.05190,0.6657,0.387
2010-07-31,1.99750,,,39.61410,11.96870,11.96870,11.99880,7.05460,0.45390,1.22730,5.40790,5.40790,3.20200,5.40790,6.86830,0.3428,0.1201
2010-04-30,2.23050,,,42.08470,14.23850,14.23850,14.56890,9.07180,0.41900,1.25680,6.15450,6.15450,3.80110,6.15450,7.35680,0.48670,0.32840
2010-01-31,2.18860,,,39.49480,13.85740,13.85740,13.85740,8.30970,0.53050,1.73530,7.19690,7.19690,4.40830,7.19690,7.23520,1.1218,0.9594
2009-10-31,2.04280,,,42.46310,13.93150,13.93150,13.93150,8.55390,0.42570,1.03300,6.16340,6.16340,3.64180,6.16340,7.16690,0.6078,0.481
2009-07-31,2.16950,,,39.69180,11.55620,11.55620,11.58710,7.02620,0.42120,1.32860,4.80510,4.80510,2.95910,4.80510,6.80770,0.7388,0.642
2009-04-30,2.23680,,,39.62260,11.28880,11.28880,11.28880,6.87560,0.43300,1.35530,4.73570,4.73570,2.97740,4.73570,6.52300,0.28980,0.19940
2009-01-31,1.85590,,0.01140,34.02740,9.75010,9.75010,9.82360,5.95300,0.53970,1.78820,5.53910,5.53910,3.21260,5.53910,6.32130,1.9638,1.3658
