,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2012-03-31,1.24620,0.15720,0.18650,69.04410,2.29240,2.29240,1.30710,1.18520,0.18160,1.47290,61.10200,0.41600,9.84120,0.21520,0.35060,7.18060,0.7932,0.7191
2011-12-31,1.37320,0.19090,0.23590,69.14030,10.21280,10.21280,9.38240,6.95090,0.19730,1.43730,62.61620,2.60970,86.21910,1.37120,2.11150,7.14660,0.30260,0.23980
2011-09-30,1.27280,0.19560,0.24310,70.97240,15.09850,15.09850,14.04170,11.08370,0.20830,1.47440,61.04380,4.57290,-295.73910,2.30850,3.67860,7.03530,0.006,-0.0746
2011-06-30,1.27420,0.23760,0.31170,69.01500,8.40690,8.40690,6.25770,5.32110,0.17350,1.56140,57.64100,1.93560,-31.21550,0.92330,1.47570,6.82580,0.4004,0.3446
2011-03-31,1.42790,,,69.62320,8.99960,8.99960,8.69430,7.06460,0.19980,1.50760,59.69870,2.36820,7.27850,1.41170,2.36820,6.76050,0.6454,0.5949
2010-12-31,1.35340,,,67.71320,6.41900,6.41900,5.71150,4.97460,0.21030,1.52680,58.94640,1.73550,5.77840,1.04610,1.73550,6.47380,-0.39650,-0.44120
2010-09-30,1.25440,,,71.22090,10.79770,10.79770,14.08420,-4.92980,0.20510,1.58360,56.83410,-1.76840,-6.57910,-1.01100,-1.76840,6.45200,0.1207,0.08
2010-06-30,1.21680,,,69.25450,4.92930,4.92930,4.79760,4.41070,0.19150,1.63050,55.19820,1.45900,5.34330,0.84460,1.45900,6.37210,0.4287,0.3892
2010-03-31,1.16240,,0.04520,67.92180,4.78520,4.78520,4.53370,3.74220,0.18340,1.59190,56.53790,1.21360,4.93750,0.68620,1.21360,6.39590,0.5689,0.4912
2009-12-31,1.19230,,0.07340,69.55800,8.64490,8.64490,8.44220,6.91220,0.19180,1.60980,55.90800,2.31410,9.42680,1.32550,2.31410,6.56260,0.18790,0.12290
2009-09-30,1.11200,,0.07600,70.22450,6.16660,6.16660,6.04000,6.45440,0.18240,1.47870,60.86310,2.08780,9.63260,1.17760,2.08780,6.56820,0.0453,-0.0077
2009-06-30,1.06100,,0.07420,67.36540,0.87860,0.87860,0.66150,1.67490,0.17440,1.51580,59.37340,0.50840,2.49610,0.29220,0.50840,6.42080,-0.2181,-0.2895
2009-03-31,1.10580,,0.07520,64.81100,-0.63070,-0.63070,-0.74170,3.18480,0.17780,1.70820,52.68600,1.01130,4.99080,0.56640,1.01130,6.12370,0.7665,0.6345
