,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-03-31,0.53770,1.16310,26.34120,26.34120,13.50670,17.48000,0.03830,1.27540,1.42990,0.55410,0.58960,28.65460,0.81710,0.74710
2015-12-31,0.53800,1.16430,25.79920,25.79920,13.30200,14.82610,0.03780,1.28030,1.43660,0.55360,0.59150,28.78920,1.1493,1.0529
2015-09-30,0.53820,1.16540,25.96630,25.96630,4.28860,2.76120,0.03690,0.46780,0.52490,0.20180,0.21600,29.04100,0.89,0.7946
2015-06-30,0.50920,1.03730,26.45880,26.45880,14.13640,18.45270,0.03340,1.12290,1.12290,0.51320,0.55120,33.42120,1.1032,1.0375
2015-03-31,0.51080,1.04420,25.73690,25.73690,11.10980,14.95060,0.03300,0.86830,0.86830,0.39480,0.42480,33.58600,1.04550,0.98120
2014-12-31,0.55330,1.23870,10.92570,10.92570,2.48620,18.50790,0.02740,0.31140,0.32490,0.12880,0.13910,29.33080,1.1269,1.0217
2014-09-30,0.54830,1.21410,27.14560,27.14560,12.20230,15.48120,0.03410,1.01890,1.01890,0.42540,0.46020,29.29790,1.0937,1.0239
2014-06-30,0.52380,1.09990,31.77950,31.77950,17.28550,18.42230,0.03800,1.45390,1.45390,0.64140,0.69240,29.66000,1.049,0.9837
2014-03-31,0.51830,1.07620,30.21010,30.21010,16.24180,16.32530,0.03760,1.33080,1.33080,0.59510,0.64100,29.93080,0.96010,0.90560
2013-12-31,0.51260,1.05180,2.38090,2.38100,-1.04550,24.73820,0.02220,-0.07750,-0.07750,-0.03490,-0.03770,30.26560,1.2184,1.1134
2013-09-30,0.51220,1.05010,30.79360,30.79360,17.55830,16.63220,0.03580,1.42530,1.42530,0.64270,0.69530,30.52970,1.1098,1.0483
2013-06-30,0.48320,0.93490,31.29660,31.29660,17.76530,16.74880,0.03640,1.47770,1.47770,0.70810,0.76370,30.71360,0.9367,0.8941
2013-03-31,0.48000,0.92310,30.72550,30.72550,17.91510,16.42870,0.03650,1.35230,1.35230,0.64960,0.70320,30.76760,0.78360,0.71620
2012-12-31,0.48070,0.92570,28.78750,28.78750,15.21210,13.21950,0.03440,1.13400,1.13400,0.54310,0.58890,31.14230,0.9863,0.8927
2012-09-30,0.44200,0.79210,26.51060,26.51060,14.02710,17.51840,0.03460,1.22120,1.22120,0.62660,0.68140,32.01570,0.8101,0.7494
2012-06-30,0.43070,0.75660,25.76670,25.76670,6.00510,12.09630,0.03360,0.44570,0.44570,0.23290,0.25370,32.23960,0.7326,0.6856
2012-03-31,0.40980,0.69430,29.12660,29.12660,10.19540,15.99970,0.03300,0.50450,0.50450,0.27180,0.29780,32.04740,0.84230,0.80790
2011-12-31,0.40730,0.68720,49.43120,49.43130,33.62930,35.18460,0.03180,2.05280,2.05280,1.11200,1.21670,32.39490,1.8237,1.7035
2011-09-30,0.40360,0.67660,44.96290,44.96290,15.89530,18.52520,0.03230,1.09530,1.09530,0.59390,0.65330,32.40520,0.4795,0.4572
2011-06-30,0.56090,1.27750,31.24200,31.24200,3.48170,5.47310,0.03730,0.47310,0.47310,0.19250,0.20770,20.83710,0.2399,0.212
2011-03-31,0.49280,0.97160,40.96490,40.96490,16.85830,18.24820,0.04710,1.82430,1.82430,0.84790,0.92530,16.22410,0.80710,0.75880
2010-12-31,0.54820,1.21330,42.40410,42.40410,22.33830,30.81610,0.04370,2.22230,2.22230,0.92250,1.00410,15.19860,0.6478,0.6058
2010-09-30,0.54510,1.19840,41.80490,41.80490,22.82170,21.87600,0.04560,2.41500,2.41500,1.00590,1.09850,15.38040,0.8721,0.8436
2010-06-30,0.51490,1.06150,44.48420,44.48420,21.99660,23.86450,0.04450,2.18440,2.18440,0.97240,1.05970,15.49940,0.5831,0.5656
2010-03-31,0.52270,1.09520,41.10290,41.10290,21.88110,21.84380,0.04280,2.12790,2.12790,0.93050,1.01560,15.70670,0.73620,0.70880
2009-12-31,0.51800,1.07490,40.54590,40.54590,22.08450,23.67070,0.04070,2.04600,2.04600,0.90490,0.98610,15.86120,0.6983,0.6718
2009-09-30,0.51100,1.04510,42.04710,42.04710,21.07130,21.22640,0.04200,1.99220,1.99220,0.89220,0.97410,15.97850,0.8019,0.7821
2009-06-30,0.51010,1.04130,43.15800,43.15800,20.05340,38.18550,0.04150,1.86310,1.86310,0.84020,0.91270,16.05010,0.4697,0.4706
2009-03-31,0.57380,1.34620,40.77690,40.77690,19.77120,32.42760,0.04090,2.09560,2.09560,0.81880,0.89320,15.23640,0.79330,0.76630
