,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-03-31,1.54140,0.47540,0.90780,69.25130,26.89080,26.89080,21.69600,13.59820,0.07560,2.17570,2.85500,31.52410,3.06740,3.06740,1.02860,1.60930,4.04730,0.26100,0.11390
2015-12-31,1.45490,0.47400,0.90290,66.95430,28.44300,28.44300,26.64510,16.75660,0.08000,2.62570,2.83200,31.77990,3.99380,3.99380,1.34120,2.10070,4.02830,0.2889,0.1032
2015-09-30,1.30180,0.46390,0.86670,68.79890,31.74550,31.74550,27.18610,17.25080,0.08640,2.96760,2.93020,30.71450,4.34820,4.34820,1.49050,2.33120,3.98660,0.3195,0.1054
2015-06-30,1.50110,0.46610,0.87460,69.87600,33.19190,33.19190,28.94910,18.04830,0.09070,3.12880,2.99800,30.01960,4.77670,4.77670,1.63720,2.55030,3.92280,0.3013,0.084
2015-03-31,1.20560,0.45620,0.85910,66.63360,27.84940,27.84940,23.48860,14.60190,0.09130,3.47080,2.74430,32.79490,3.89840,3.89840,1.33290,2.11980,3.82530,0.23190,0.03090
2014-12-31,1.22070,0.45980,0.87170,65.78950,28.22680,28.22680,24.27950,15.38220,0.09660,4.00000,2.82730,31.83270,4.39330,4.39330,1.48550,2.37310,3.75690,0.344,0.0504
2014-09-30,1.19950,0.45730,0.86310,65.56970,30.30120,30.30120,25.24060,15.80260,0.09870,4.01810,2.86820,31.37850,4.56830,4.56830,1.56020,2.47940,3.73120,0.2879,0.0928
2014-06-30,0.84810,0.43540,0.85370,64.51910,30.73370,30.73370,26.20220,16.30700,0.10150,4.18550,3.05460,29.46360,4.85140,4.85140,1.65440,2.73890,3.63620,0.2821,0.1338
2014-03-31,1.03480,0.45870,0.87800,60.95620,24.53520,24.53520,20.11950,13.21380,0.09510,4.54050,2.80710,32.06180,3.73880,3.73880,1.25630,2.02380,3.53290,0.19810,0.04100
2013-12-31,1.07340,0.46210,0.90970,62.56600,26.81400,26.81400,22.22960,14.05010,0.09540,4.50400,2.88210,31.22690,4.05560,4.05560,1.34040,2.18170,3.47060,0.2504,0.0635
2013-09-30,0.97730,0.47100,0.91720,63.91960,28.14070,28.14070,23.75210,15.24290,0.09650,4.03370,3.04280,29.57790,4.61090,4.61090,1.47040,2.43900,3.24500,0.3038,0.1049
2013-06-30,1.02940,0.47700,0.97030,65.43010,30.86010,30.86010,26.55940,17.10440,0.09860,3.98860,3.21990,27.95140,5.39230,5.39230,1.68710,2.82030,3.16110,0.2763,0.0828
2013-03-31,1.03760,0.48620,1.00750,64.69790,29.69960,29.69960,24.63720,15.59230,0.09690,3.69610,3.03590,29.64560,4.94220,4.94220,1.51050,2.53930,3.04900,0.23820,0.07820
2012-12-31,1.11640,0.49770,1.07620,63.43830,28.05260,28.05260,25.07780,15.46180,0.09410,3.85770,2.59520,34.68000,4.89270,4.89270,1.45490,2.45770,2.98420,0.2057,0.1016
2012-09-30,0.79210,0.47760,1.00350,64.82380,29.50930,29.50930,24.91360,15.72220,0.09670,3.85610,2.48840,36.16790,5.03820,5.03820,1.52020,2.63190,2.91870,0.3259,0.1302
2012-06-30,0.92120,0.49100,1.02180,64.74100,31.30810,31.30810,26.85920,16.99870,0.10180,4.14840,2.65140,33.94420,5.75600,5.75600,1.73040,2.92970,2.85100,0.2715,0.0296
2012-03-31,0.95180,0.50350,1.07300,63.48620,28.86040,28.86040,24.14030,15.13820,0.10160,4.31470,2.55470,35.22930,5.27990,5.27990,1.53840,2.62160,2.72790,0.14110,-0.00790
2011-12-31,1.09700,0.50770,1.09130,63.53650,29.73690,29.73690,25.44120,16.28370,0.10230,4.56250,3.00300,29.97000,5.77470,5.77470,1.66640,2.84270,2.69040,0.2685,0.0833
2011-09-30,0.89600,0.49670,1.04670,63.92170,29.63210,29.63210,25.17720,15.65980,0.10490,4.52970,2.58100,34.87010,5.61200,5.61200,1.64260,2.82440,2.62490,0.3237,0.1632
2011-06-30,1.19400,0.47800,0.97080,64.12720,30.67240,30.67240,26.23390,16.76050,0.10520,4.31470,2.71490,33.15010,5.65930,5.65930,1.76280,2.95440,2.72110,0.3284,0.1577
2011-03-31,0.97700,0.46590,0.92960,63.38080,27.50890,27.50890,22.70460,14.05690,0.10190,4.34180,2.63110,34.20640,4.51120,4.51120,1.43240,2.40960,2.64670,0.14800,0.03470
2010-12-31,1.12530,0.48060,0.99590,66.72590,30.04260,30.04260,24.89350,15.26990,0.10010,4.29820,2.83590,31.73650,4.94250,4.94250,1.52800,2.56700,2.61020,0.279,0.0999
2010-09-30,0.86810,0.45790,0.91480,67.06680,30.94520,30.94520,26.33160,15.52890,0.09860,3.90220,2.66330,33.79220,4.79280,4.79280,1.53170,2.59810,2.56500,0.2539,0.1304
2010-06-30,0.91040,0.46050,0.92500,64.55130,28.83970,28.83970,24.10820,15.54640,0.09960,4.23320,2.83900,31.70110,4.82690,4.82690,1.54800,2.60430,2.44840,0.1994,0.0942
2010-03-31,1.04730,0.45350,0.89920,63.78960,25.37130,25.37130,20.11240,12.24410,0.09160,4.13760,2.56540,35.08230,3.43280,3.43280,1.12160,1.87610,2.53640,0.20960,0.11720
2009-12-31,1.37800,0.47380,0.91330,63.01720,24.87070,24.87070,19.56900,13.01720,0.08630,4.22660,2.33170,38.59910,3.44430,3.44430,1.12320,1.81240,2.47600,0.1271,0.0284
2009-09-30,1.33430,0.47640,0.94630,64.39490,25.95020,25.95020,20.09610,12.66930,0.08470,3.41000,2.46660,36.48760,3.33760,3.33760,1.07330,1.74750,2.45940,0.1726,0.0682
2009-06-30,1.34420,0.48400,0.97580,66.72770,26.40730,26.40730,20.50340,13.95880,0.08170,2.86220,2.46890,36.45310,3.33490,3.33490,1.05480,1.72070,2.39570,0.1463,0.0487
2009-03-31,1.25600,0.49350,1.01270,62.66130,23.23100,23.23100,17.08950,10.94790,0.08460,3.35600,2.34550,38.37120,3.09570,3.09570,0.95610,1.56790,2.32460,0.12660,0.03950
