,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2013-03-31,1.06310,0.33360,0.62500,92.84230,48.67160,48.67160,46.74030,33.39100,0.06700,0.19150,470.08150,6.57790,-13.13130,2.23710,4.38390,12.08420,-0.16310,-0.21980
2012-12-31,1.04650,0.34680,0.68620,91.31420,45.98380,45.98380,44.01360,29.64760,0.07440,0.24610,365.76250,6.57360,-12.60270,2.20700,4.29370,11.27650,1.1958,1.131
2012-09-30,0.97240,0.21220,0.49030,93.08310,45.91720,45.91720,44.18240,31.90890,0.06580,0.20020,449.59460,5.76270,-16.82920,2.09870,4.53970,12.26600,0.8134,0.7536
2012-06-30,1.05560,0.23290,0.44150,89.72700,47.40310,47.40310,45.80140,31.66160,0.06860,0.19730,456.12640,5.77550,-22.42790,2.17200,4.43050,11.27930,0.9086,0.8522
2012-03-31,1.02920,0.23740,0.51440,92.88950,44.11110,44.11110,41.27120,28.78870,0.05710,0.15540,579.29670,4.76520,-16.57580,1.64310,3.63400,10.64930,-1.33780,-1.37970
2011-12-31,0.99800,0.25550,0.52290,89.51630,38.69290,38.69290,36.23000,26.94850,0.05970,0.18400,489.16380,4.65480,-11.27810,1.60780,3.46570,9.91250,2.4996,2.4393
2011-09-30,1.30260,0.26980,0.38950,90.05540,45.98880,45.98880,44.04270,30.18640,0.07720,0.23570,381.91310,5.31800,-35.19590,2.32900,3.88320,9.37730,0.8136,0.7839
2011-06-30,1.39350,0.28580,0.42150,88.91240,44.62460,44.62460,40.10640,27.35580,0.08290,0.24410,368.68260,5.14920,-48.71630,2.26790,3.67770,8.88500,0.1349,0.0952
2011-03-31,1.36690,0.32210,0.49190,92.54360,45.48170,45.48170,42.48280,29.12930,0.06840,0.20830,432.10300,4.84300,-25.98940,1.99330,3.28290,8.34550,-0.10550,-0.13660
2010-12-31,1.34230,0.33390,0.51990,91.09600,22.26900,22.26900,18.91180,16.43780,0.07180,0.26360,341.39550,2.79800,-10.32780,1.18010,1.86370,7.85820,0.4057,0.3548
2010-09-30,,,,87.72020,43.94070,43.94070,39.58710,25.85550,,,,,,,,,0.6708,0.6451
2010-06-30,,,,87.21340,45.36820,45.36820,40.50810,22.63520,,,,,,,,,0.1186,0.0836
2010-03-31,,,,88.87830,45.20070,45.20070,40.10670,22.00050,,,,,,,,,0.53170,0.50500
2009-12-31,,,,,,,,,,,,,,,,,0,0
