,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-06-30,1.27160,0.44510,0.91260,41.83380,13.40520,13.40520,12.41060,9.52140,0.18490,1.37780,1.40000,64.28500,4.47110,-11.07700,1.77230,2.48110,27.37450,1.0143,0.3844
2018-03-31,1.15420,0.45480,0.96680,40.29500,10.20770,10.20770,9.14170,7.12500,0.17200,1.34410,1.34830,66.75130,3.23600,-6.80880,1.22970,1.76430,26.58540,1.66450,0.97160
2017-12-31,1.32200,0.46890,0.95670,42.38420,16.69500,16.69500,15.02330,15.41790,0.18280,1.45340,1.41910,63.42180,7.42640,-16.09790,2.84720,3.94390,26.45630,2.1886,1.2811
2017-09-30,1.22840,0.47040,1.03540,42.07880,15.82550,15.82550,14.75380,11.03100,0.17950,1.36820,1.40710,63.96070,5.43350,-10.18280,1.99730,2.87730,25.26550,2.0015,1.2684
2017-06-30,1.04950,0.45820,1.09890,40.88440,12.12720,12.12720,10.89020,8.52020,0.17720,1.39160,1.41410,63.64510,4.23970,-7.26810,1.51770,2.29730,24.14890,1.4801,0.7688
2017-03-31,1.02430,0.45920,1.09630,41.44320,11.29520,11.29520,9.85010,8.03190,0.16450,1.29650,1.34110,67.10730,3.74060,-6.19210,1.33850,2.02280,23.71900,1.44310,0.87690
2016-12-31,1.41730,0.46850,0.95930,28.97560,15.28160,15.28160,14.55050,10.91280,0.18280,1.80390,1.43140,62.87730,5.32790,-11.49880,2.02620,2.83150,23.88930,1.493,0.6724
2016-09-30,0.99950,0.42310,0.95980,48.69610,16.95460,16.95460,15.03800,11.04810,0.18420,1.29410,1.44110,62.45060,5.46690,-10.88020,2.06490,3.15380,23.80590,2.0942,1.5276
2016-06-30,0.96630,0.43320,1.02660,46.18350,12.43520,12.43520,10.46670,7.78970,0.18200,1.34050,1.43110,62.89040,3.95230,-6.91300,1.44640,2.24020,22.87240,1.3648,0.7786
2016-03-31,1.00850,0.43310,1.02820,47.33000,11.99390,11.99390,9.85990,7.45140,0.16890,1.17700,1.37740,65.34250,3.48760,-6.01990,1.26490,1.97700,22.68020,1.58560,1.11110
2015-12-31,0.93350,0.37900,0.92620,46.31590,9.46070,9.46070,7.63480,6.12250,0.18300,1.31950,1.42750,63.04750,3.19320,-6.15810,1.19570,1.98300,23.58240,1.9843,1.2164
2015-09-30,1.30530,0.45680,0.98830,47.19130,11.98350,11.98350,10.31220,7.48030,0.18250,1.26460,1.40670,63.97980,3.65500,-6.53170,1.32450,1.98550,23.17170,2.5365,1.762
2015-06-30,1.11810,0.42690,1.06250,46.69680,12.91790,12.91790,11.11210,8.91090,0.17640,1.23500,1.35850,66.25120,4.48870,-7.98990,1.60690,2.57250,23.31310,1.7432,1.1834
2015-03-31,1.19430,0.43810,1.03900,46.46710,11.75700,11.75700,9.86170,7.07790,0.17130,1.17450,1.29480,69.51150,3.39390,-6.00560,1.22270,1.90690,23.29080,0.37100,-0.18170
2014-12-31,1.11110,0.39620,0.88700,46.21010,14.14090,14.14100,12.45650,9.11490,0.18950,1.34970,1.40130,64.22600,4.65040,-9.05400,1.76710,2.80810,24.61520,2.1898,1.3049
2014-09-30,1.09360,0.38560,0.87520,46.66700,15.46460,15.46460,13.75140,9.87580,0.18770,1.34570,1.37130,65.62990,4.75640,-10.07670,1.87650,2.92240,25.87900,2.0027,1.4154
2014-06-30,1.20300,0.42610,0.95560,46.48840,14.35460,14.35460,12.49930,8.72710,0.18190,1.35010,1.35300,66.52010,4.22250,-7.79950,1.60600,2.42320,24.90020,1.0433,0.4458
2014-03-31,1.20450,0.43920,0.99050,45.47740,10.51670,10.51670,8.56560,5.72440,0.17060,1.33070,1.32430,67.96260,2.67420,-4.53930,0.99420,1.49960,24.22750,0.69950,0.20950
2013-12-31,1.34670,0.44920,0.93190,45.35190,13.22100,13.22100,11.32180,8.06570,0.18130,1.47150,1.38610,64.93050,3.90850,-6.83210,1.47480,2.15270,24.60780,2.0874,1.4069
2013-09-30,1.49850,0.48850,1.05910,46.43800,13.66250,13.66250,11.73940,8.84040,0.17760,1.35410,1.39980,64.29420,4.48740,-6.37610,1.56630,2.29540,22.72130,1.7482,1.2242
2013-06-30,1.44760,0.49610,1.11420,45.76670,10.55490,10.55490,8.57150,6.38440,0.16980,1.31810,1.37000,65.69210,3.20240,-4.25760,1.09800,1.61360,22.35800,0.6604,0.2001
2013-03-31,1.71500,0.47930,1.00030,46.39110,9.11180,9.11180,6.97050,5.55690,0.16610,1.34440,1.31620,68.37820,2.58320,-4.35310,0.93080,1.34510,21.05570,0.61810,0.17080
2012-12-31,1.60250,0.48220,1.06200,49.23830,12.99490,12.99490,10.94290,7.59730,0.17330,1.42090,1.36880,65.74920,3.80680,-6.16380,1.33450,1.97120,20.90300,1.6109,0.9768
2012-09-30,1.44500,0.47200,0.99860,46.53520,13.27030,13.27030,11.14680,7.87220,0.18080,1.46440,1.37490,65.46160,3.97100,-6.02650,1.43100,2.09680,20.57430,1.706,1.2142
2012-06-30,1.13270,0.46110,1.10910,45.62140,11.03520,11.03520,8.87550,6.23580,0.17970,1.50130,1.42460,63.17670,3.21630,-4.30470,1.11390,1.73320,19.49470,0.337,-0.0925
2012-03-31,1.12920,0.45830,1.07800,42.58070,5.89850,5.89850,2.83540,1.76810,0.16670,1.48430,1.37180,65.60530,0.75970,-1.00700,0.26150,0.41150,19.88730,0.37090,-0.05300
2011-12-31,1.70420,0.53530,1.33010,47.62370,8.89830,8.89830,7.03410,4.80680,0.10150,0.90360,0.88070,102.19320,1.54670,-2.02310,0.48830,0.71880,19.66130,0.5414,0.0657
2011-09-30,1.29260,0.22080,0.41970,49.43260,13.80110,13.80110,13.04070,8.88770,0.31530,1.73880,1.51880,59.25870,6.25280,28.18830,2.80620,4.87210,10.64580,1.0106,0.6442
2011-06-30,1.21630,0.23090,0.47250,49.32890,11.67300,11.67300,10.90180,7.41110,0.31420,1.73720,1.53500,58.63140,5.38760,30.83310,2.33380,4.14350,10.10090,1.0417,0.6904
2011-03-31,1.14460,0.23590,0.53740,49.25900,9.99140,9.99140,9.10230,6.16480,0.28850,1.60430,1.45630,61.80200,4.23530,30.26790,1.78250,3.23630,9.55850,0.23780,-0.06820
2010-12-31,1.41150,0.23530,0.39640,50.25710,12.92290,12.92290,12.02160,8.33390,0.32340,1.75090,1.57610,57.10190,6.16970,25.24940,2.70100,4.71790,9.17420,1.3072,0.9723
2010-09-30,1.28910,0.24750,0.50360,51.12360,15.69240,15.69240,14.73850,11.15310,0.32130,1.67230,1.53160,58.76300,8.85760,48.04300,3.58530,6.66510,8.48560,1.1553,0.8594
2010-06-30,1.29510,0.25490,0.51770,50.66440,13.43900,13.43900,12.45230,8.50550,0.32600,1.69950,1.60000,56.24850,6.95640,41.54640,2.77670,5.18290,7.97260,0.971,0.6058
2010-03-31,1.25420,0.26620,0.55610,49.95460,10.73950,10.73950,9.69210,6.66850,0.30030,1.52850,1.50720,59.71510,5.12180,41.48240,2.00660,3.75820,7.98850,0.56650,0.32050
2009-12-31,1.45110,0.30180,0.48130,50.07350,12.51520,12.51520,11.55000,7.40170,0.31160,1.58310,1.53970,58.45250,5.78720,41.09540,2.31630,4.04040,8.49370,0.6879,0.31
2009-09-30,1.40460,0.30140,0.49290,50.60140,14.42060,14.42060,13.44410,9.37660,0.31000,1.60890,1.52660,58.95630,7.37060,50.41670,2.91050,5.14890,8.29470,0.959,0.6641
2009-06-30,1.30600,0.31750,0.59850,49.69820,11.44640,11.44640,10.39200,6.87480,0.29250,1.52110,1.48520,60.59940,5.49090,72.94730,2.01900,3.74780,7.65570,1.135,0.863
2009-03-31,1.18410,0.33380,0.76530,47.49300,7.23190,7.23190,6.05990,4.25750,0.28660,1.51390,1.47620,60.96800,3.62410,421.17310,1.22670,2.41430,6.73760,0.11510,-0.13060
