,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,4.95980,67.13960,25.73900,25.73900,28.02180,28.51300,0.11120,0.58250,2.08400,43.18690,3.70670,4.10250,3.19680,3.70670,24.38680,0.98160,0.68890
2019-12-31,4.52590,70.12600,31.11840,31.11840,33.78730,27.99560,0.13130,0.64100,1.98030,45.44730,4.37790,4.81280,3.72640,4.37790,23.80660,1.5381,1.143
2019-09-30,4.63740,69.63300,32.41450,32.41450,35.36610,35.17110,0.12360,0.59110,1.76560,50.97500,5.12660,5.65000,4.36630,5.12660,22.42530,1.1073,0.865
2019-06-30,5.04220,69.06910,32.66900,32.66900,35.65380,28.96530,0.12880,0.66280,1.73490,51.87550,4.34640,4.75730,3.70860,4.34640,21.06370,0.8852,0.6551
2019-03-31,5.43770,68.76860,25.90120,25.90120,28.72550,31.47790,0.11820,0.64940,1.77810,50.61520,4.31790,4.73950,3.69160,4.31790,20.33620,0.92870,0.60870
2018-12-31,5.28050,70.30100,31.72480,31.72480,34.28570,27.95030,0.13340,0.75990,1.53380,58.67850,4.35590,4.70910,3.71240,4.35590,19.46870,0.9565,0.7995
2018-09-30,6.04660,69.74700,34.02110,34.02110,36.39920,31.76240,0.12580,0.75280,1.58670,56.72280,4.64020,5.01810,3.98710,4.64020,18.35520,0.8858,0.7558
2018-06-30,5.98150,69.53700,30.50700,30.50700,32.50850,28.07650,0.13280,0.83560,1.70760,52.70540,4.33790,4.68270,3.71700,4.33790,17.20670,0.6479,0.5224
2018-03-31,5.81850,70.06490,32.64900,32.64900,34.20650,33.93510,0.13190,0.89460,1.78460,50.43190,5.21760,5.63170,4.47080,5.21760,16.20010,0.79150,0.67820
2017-12-31,4.23790,71.07630,36.88340,36.88340,38.26230,-3.53140,0.15440,1.06970,1.75630,51.24550,-0.65890,-0.71860,-0.54530,-0.65890,14.18940,0.9615,0.8707
2017-09-30,4.75700,70.32680,34.73630,34.73630,36.07330,36.96460,0.14310,1.06440,1.72610,52.14160,6.02030,6.48570,5.29000,6.02030,14.76160,0.9919,0.8494
2017-06-30,4.40510,69.86030,34.25150,34.25150,35.58250,29.38850,0.14450,1.06770,1.57720,57.06250,4.93110,5.34930,4.24700,4.93110,13.54390,0.6282,0.4679
2017-03-31,3.88340,69.12890,28.45790,28.45790,29.73810,26.60390,0.14130,0.98270,1.64590,54.68070,4.38040,4.77520,3.76040,4.38040,12.46230,0.69700,0.54400
2016-12-31,5.44910,69.82870,35.42820,35.42820,36.96970,27.19370,0.11700,1.25620,1.76430,51.01190,3.57230,3.70110,3.18180,3.57230,16.54580,0.9537,0.9023
2016-09-30,5.51300,71.31350,37.54580,37.54580,39.06870,30.89760,0.11060,1.06760,1.58080,56.93370,3.80740,4.05390,3.41720,3.80740,15.91100,0.7349,0.6934
2016-06-30,5.77610,70.27310,36.62140,36.62140,37.81530,27.53320,0.11590,1.17730,1.65950,54.23370,3.56070,3.81510,3.19160,3.56070,14.95380,0.7301,0.6983
2016-03-31,5.31330,68.12450,30.10930,30.10930,31.03450,22.94370,0.11200,1.16260,1.82420,49.33730,2.87130,3.08750,2.57050,2.87130,13.85360,0.65450,0.62680
2015-12-31,4.46330,67.81970,36.34880,36.34880,37.22100,28.08570,0.13790,1.29660,1.71570,52.45680,4.39870,4.75520,3.87180,4.39870,12.83270,0.9351,0.877
2015-09-30,5.01210,67.11890,32.20280,32.20280,32.83030,28.37040,0.12590,0.99950,1.76190,51.08190,4.06540,4.42110,3.57300,4.06540,12.25860,0.5207,0.4378
2015-06-30,4.55990,65.94440,29.65360,29.65360,30.43850,22.94830,0.13460,0.99160,1.82300,49.36870,3.54630,3.88060,3.08880,3.54630,11.38950,0.5431,0.5033
2015-03-31,4.28820,63.29640,24.50670,24.50670,25.31480,18.22970,0.12900,0.96490,1.81980,49.45690,2.70540,2.96900,2.35080,2.70540,10.82550,0.36460,0.30800
2014-12-31,3.61510,65.05710,30.77560,30.77560,30.56060,24.27650,0.15270,1.16290,1.91910,46.89770,4.34400,4.80510,3.70760,4.34400,10.25930,0.5423,0.3527
2014-09-30,3.31300,65.55170,28.92200,28.92200,29.28560,22.48680,0.15070,0.95270,2.12310,42.39050,4.01080,4.49560,3.38760,4.01080,9.44050,0.4714,0.4284
2014-06-30,3.09220,67.23940,27.91880,27.91880,27.84070,20.30460,0.15040,0.82910,1.88930,47.63570,3.68480,4.18280,3.05470,3.68480,8.71110,0.4739,0.4183
2014-03-31,4.52140,67.87170,12.17990,12.17990,13.01920,9.53300,0.11080,0.80490,1.94350,46.30730,1.21150,1.30420,1.05620,1.21150,10.58040,0.47260,0.44960
2013-12-31,5.07320,69.07320,36.20270,36.20270,37.22670,28.84420,0.14590,0.99220,1.91170,47.07740,4.74670,5.08270,4.20730,4.74670,10.18440,0.598,0.5223
2013-09-30,4.71960,71.48300,34.90980,34.90980,35.69140,31.42290,0.13500,0.71110,1.77830,50.60920,4.80350,5.16540,4.24080,4.80350,9.51970,0.6227,0.5222
2013-06-30,4.76080,70.04320,37.77010,37.77010,38.51340,27.50220,0.13770,1.02360,1.61320,55.78910,4.27830,4.55970,3.78690,4.27830,10.40810,0.5252,0.4564
2013-03-31,5.01770,71.03370,41.08600,41.08600,41.78930,30.89630,0.14430,1.30700,1.77170,50.79980,5.00770,5.34460,4.45960,5.00770,10.42620,0.69240,0.64760
2012-12-31,4.71310,71.86940,40.71890,40.71890,41.32610,28.70510,0.15010,1.41070,1.64540,54.69720,4.88530,5.23870,4.30870,4.88530,9.89520,0.6131,0.422
2012-09-30,4.53030,72.53630,39.30830,39.30830,40.10790,34.08330,0.14410,1.17410,1.59960,56.26260,5.56550,5.94050,4.91130,5.56550,9.19460,0.577,0.6111
2012-06-30,4.91150,72.02240,41.99440,41.99440,42.74000,28.87230,0.14800,1.25710,1.66000,54.21810,4.86740,5.21720,4.27180,4.86740,8.86220,0.5638,0.543
2012-03-31,4.57940,71.87000,39.03470,39.03470,39.80210,28.97820,0.14860,1.17260,1.65230,54.46890,4.90210,5.29950,4.30560,4.90210,8.19280,0.44720,0.31630
2011-12-31,4.57360,73.04750,40.15700,40.15700,40.88160,30.43480,0.16220,1.19450,1.66770,53.96740,5.71520,6.15210,4.93620,5.71520,7.47980,0.5875,0.5459
2011-09-30,4.61770,72.86770,40.04930,40.04930,40.47460,27.40090,0.16270,1.11600,1.68500,53.41170,5.16670,5.62320,4.45740,5.16670,6.74930,0.4409,0.4
2011-06-30,4.98280,72.02260,39.48790,39.48790,40.45100,27.57810,0.16060,1.18980,1.70080,52.91760,5.13000,5.58120,4.43040,5.13000,6.50330,0.5532,0.4471
2011-03-31,5.88030,71.83720,38.21180,38.21180,39.57740,26.82300,0.15110,1.17150,1.49330,60.27060,4.66630,5.09920,4.05330,4.66630,6.30730,0.29130,0.25070
2010-12-31,4.65960,72.46340,39.48110,39.48110,40.38020,31.13280,0.16290,1.23500,1.57740,57.05630,5.94880,6.53580,5.07030,5.94880,5.81950,0.3962,0.369
2010-09-30,4.86910,72.76420,38.35660,38.35660,39.80840,25.14520,0.14640,1.10350,1.65660,54.32930,4.31210,4.75620,3.68230,4.31210,5.67800,0.31,0.1726
2010-06-30,5.19560,73.22500,39.83460,39.83460,41.11780,25.29230,0.15630,1.26890,1.80120,49.96580,4.60920,5.02860,3.95430,4.60920,5.42700,0.4791,0.4238
2010-03-31,5.86590,73.18930,39.47050,39.47050,40.71820,25.95860,0.16290,1.28610,1.82350,49.35480,4.81920,5.30840,4.22990,4.81920,5.01700,0.31950,0.27470
2009-12-31,4.17700,72.17580,39.74000,39.74000,41.03990,24.01730,0.17850,1.56080,1.57300,57.21450,5.04780,5.66260,4.28800,5.04780,4.43670,0.3481,0.3262
2009-09-30,4.20920,71.04610,37.30810,37.30810,38.84330,23.02750,0.17100,1.43170,1.50160,59.93470,4.63940,5.28940,3.93820,4.63940,4.04490,0.2653,0.2518
2009-06-30,3.56460,72.98540,38.18110,38.18110,40.17650,23.94470,0.17360,1.18820,1.48730,60.51210,4.90880,5.69110,4.15640,4.90880,3.72370,0.2436,0.2053
2009-03-31,3.46370,68.31210,23.88540,23.88540,26.53930,14.91510,0.13590,0.92730,1.35210,66.56420,2.39120,2.82040,2.02730,2.39120,3.44950,0.25470,0.17700
