,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-06-30,0.89730,0.60220,1.66960,100.00000,33.61980,33.61980,24.91940,18.90440,0.03880,3.12420,28.80770,2.77690,3.68900,0.73310,1.10480,34.97770,1.9392,-0.6133
2020-03-31,0.65090,0.58010,1.65230,100.00000,28.31750,28.31750,18.83890,14.69190,0.03580,2.89040,31.13740,1.98620,2.64960,0.52660,0.83400,34.48770,0.99450,-1.24860
2019-12-31,0.62840,0.58540,1.54520,100.00000,29.71180,29.71180,15.07760,10.86480,0.03980,3.06800,29.33480,1.60100,2.15240,0.43210,0.66370,33.85270,2.4199,-0.3867
2019-09-30,0.53700,0.58280,1.47800,100.00000,40.07900,40.07900,31.39190,23.69200,0.04560,3.02390,29.76310,3.87720,5.28630,1.07920,1.61770,34.24240,2.5691,0.3481
2019-06-30,0.56260,0.58930,1.50490,100.00000,34.24040,34.24040,25.73700,19.27440,0.04040,2.61720,34.38780,2.82060,3.88660,0.77790,1.15840,33.36250,1.7237,-0.4033
2019-03-31,0.32050,0.56060,1.48970,100.00000,29.27430,29.27430,18.69620,13.89910,0.03790,2.64820,33.98520,1.90490,2.64200,0.52650,0.83700,32.86190,0.92820,-0.79010
2018-12-31,0.37300,0.56370,1.46850,100.00000,29.17650,29.17650,20.00000,13.17650,0.04010,2.82390,31.87060,1.91000,2.66350,0.52770,0.83330,32.45450,2.2193,-0.3034
2018-09-30,0.45770,0.56390,1.43410,100.00000,34.32380,34.32380,26.12710,19.15980,0.04670,2.81270,31.99800,3.15700,4.40690,0.88600,1.37680,32.44810,2.5477,0.5431
2018-06-30,0.28230,0.52550,1.45830,100.00000,35.40450,35.40450,26.02580,18.99180,0.04170,2.63270,34.18520,2.82430,4.03590,0.79140,1.34020,31.78020,1.7095,-0.3799
2018-03-31,0.28710,0.54020,1.46890,100.00000,28.51510,28.51510,18.39690,13.92900,0.03860,2.78750,32.28650,1.94460,2.60310,0.53730,0.89420,30.61670,1.22350,-0.77650
2017-12-31,0.30970,0.54680,1.43450,100.00000,34.22660,34.22660,24.48230,-0.12180,0.04210,3.01840,29.81730,-0.01860,-0.02500,-0.00510,-0.00840,30.17740,2.3967,-0.1955
2017-09-30,0.49230,0.54770,1.35390,100.00000,46.15390,46.15390,36.32480,21.68800,0.04830,3.00000,30.00000,3.67890,4.89750,1.04850,1.66410,30.93500,2.7709,0.7765
2017-06-30,0.30360,0.51250,1.38600,100.00000,36.72990,36.72990,26.77730,15.52130,0.04450,2.93060,30.71090,2.43310,3.26600,0.69070,1.18630,30.19990,1.3799,-0.4525
2017-03-31,0.31720,0.52110,1.38210,100.00000,30.42330,30.42330,19.17990,12.30160,0.04060,3.02400,29.76190,1.75900,2.35920,0.49970,0.84240,29.74750,1.54750,0.03910
2016-12-31,0.32780,0.52460,1.37640,100.00000,31.54610,31.54610,20.69830,12.59350,0.04340,2.98140,30.18700,1.93560,2.60780,0.54650,0.92010,29.29860,1.8921,-0.1962
2016-09-30,0.41550,0.52770,1.30910,100.00000,34.30110,34.30110,26.12900,15.91400,0.05180,3.07950,29.22580,2.82550,3.77070,0.82350,1.33440,29.42710,2.2978,0.4551
2016-06-30,0.39710,0.53210,1.33220,100.00000,36.15480,36.15480,27.20680,16.56590,0.04670,3.44580,26.11850,2.65860,3.56770,0.77370,1.24390,28.96590,1.5587,-0.203
2016-03-31,0.39530,0.53560,1.32900,100.00000,28.80220,28.80220,18.30420,11.03630,0.04270,3.37730,26.64870,1.61350,2.17560,0.47080,0.74930,28.59310,1.45250,-0.12850
2015-12-31,0.42860,0.53780,1.29850,100.00000,29.62960,29.62960,20.17880,12.64370,0.04540,3.07060,29.31030,1.96080,2.64210,0.57420,0.90630,28.32030,1.8833,-0.1667
2015-09-30,0.75430,0.53550,1.23070,100.00000,40.29020,40.29020,32.03130,19.41960,0.05240,2.92630,30.75530,3.36850,4.51650,1.01720,1.56470,28.76860,2.4334,0.7
2015-06-30,0.58860,0.51880,1.25270,100.00000,35.54990,35.54990,26.08700,15.72890,0.04670,3.13880,28.67380,2.43400,3.20020,0.73510,1.17130,28.05690,1.2222,-0.1611
2015-03-31,0.59390,0.52160,1.21150,100.00000,29.22640,29.22640,19.05440,11.46130,0.04290,2.91160,30.91110,1.60230,2.11370,0.49190,0.76660,27.75070,1.10000,-0.15000
2014-12-31,0.46330,0.52540,1.21120,100.00000,30.57060,30.57060,20.42710,12.77520,0.04560,3.15110,28.56170,1.91460,2.53860,0.58680,0.90860,27.42730,1.4249,-0.1136
2014-09-30,0.71480,0.53040,1.20460,100.00000,39.86020,39.86020,31.17730,17.98520,0.05380,3.26330,27.57980,3.18330,4.21940,0.99650,1.49490,27.44350,2.1618,0.6992
2014-06-30,0.57300,0.51780,1.22120,100.00000,33.75660,33.75660,24.17970,14.48100,0.04890,3.06570,29.35720,2.26080,3.00610,0.71420,1.09010,27.20270,1.1432,-0.0179
2014-03-31,0.57440,0.52110,1.22430,100.00000,27.60550,27.60550,16.84120,10.03280,0.04450,2.90540,30.97710,1.43950,1.92350,0.45250,0.68940,26.82530,1.36450,0.29340
2013-12-31,0.46280,0.52520,1.24260,100.00000,31.40600,31.40600,14.81700,8.53360,0.04620,3.25610,27.64080,1.31530,1.76660,0.41210,0.62450,26.50430,1.1616,-0.6002
2013-09-30,0.53720,0.52840,1.22920,100.00000,39.30550,39.30550,30.19780,18.32480,0.05400,3.02660,29.73630,3.23570,4.37670,0.98440,1.52580,26.01000,2.222,0.9137
2013-06-30,0.52020,0.53200,1.26390,100.00000,33.39760,33.39760,23.15710,13.98150,0.04840,2.96010,30.40420,2.21480,3.00950,0.67610,1.03640,25.69430,0.7836,-0.4232
2013-03-31,0.51320,0.53570,1.25340,100.00000,25.81720,25.81720,13.96100,9.06140,0.04310,3.24580,27.72820,1.27870,1.74540,0.39030,0.59350,25.38170,0.83840,-0.35400
2012-12-31,0.50200,0.53960,1.25880,100.00000,25.24420,25.24420,14.20400,8.43190,0.04470,3.21930,27.95620,1.20580,1.65470,0.36400,0.55490,25.11460,1.2455,-0.143
2012-09-30,0.63880,0.53910,1.24440,100.00000,39.38860,39.38860,30.65870,18.49110,0.05700,3.05420,29.46770,3.46500,4.75390,1.05560,1.59650,25.17340,2.3477,1.1999
2012-06-30,0.59570,0.54690,1.31870,100.00000,36.29690,36.29690,26.45700,14.35420,0.05170,3.06060,29.40600,2.69960,3.74110,0.80940,1.22180,24.53520,0.9487,0.1323
