,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,0.82100,0.62760,1.74440,37.58850,16.61420,16.61420,13.79880,12.29380,0.16450,8.43190,8.43190,2.02240,3.14020,19.12160,0.57440,0.35780
2019-12-31,0.90120,0.66060,1.94660,36.60610,8.38630,8.38620,2.73130,10.73580,0.16090,7.74150,7.74150,1.72760,2.62730,17.27900,-3.2346,-3.473
2019-09-30,0.73410,0.64420,1.81090,40.93470,18.68940,18.68940,19.30110,12.68360,0.16950,9.69530,9.69530,2.15000,3.44910,15.65660,-1.1142,-1.2149
2019-06-30,0.84760,0.67350,2.06270,38.94810,14.34900,14.34900,10.17480,5.49750,0.16320,4.43290,4.43290,0.89700,1.44740,13.94490,-1.202,-1.2894
2019-03-31,0.60790,0.64370,1.80690,36.50480,10.15450,10.15450,8.84010,7.61010,0.16610,6.03280,6.03280,1.26400,2.14920,13.04480,-0.84040,-0.97400
2018-12-31,1.49430,0.66420,1.97760,34.71450,5.15350,5.15350,2.85170,3.19890,0.16120,2.55660,2.55660,0.51560,0.85860,11.99900,-2.7418,-2.8976
2018-09-30,1.38610,0.62460,1.66410,36.71190,12.01860,12.01860,9.47170,10.07250,0.17120,8.04120,8.04120,1.72400,3.01830,11.48780,-1.5264,-1.6133
2018-06-30,1.53740,0.64980,1.85520,38.51380,11.82960,11.82960,10.97020,9.83680,0.17240,8.54750,8.54750,1.69590,2.99370,10.32610,-1.1463,-1.2066
2018-03-31,1.30170,0.61940,1.62720,37.83660,12.06690,12.06690,8.09590,7.83940,0.18360,7.21570,7.21570,1.43960,2.74660,9.25040,-0.52570,-0.60820
2017-12-31,1.40310,0.64470,1.81450,24.50170,7.46560,7.46570,3.99700,5.64610,0.17280,5.17920,5.17920,0.97580,1.84020,8.26490,-1.0957,-1.1443
2017-09-30,1.20240,0.59500,1.46930,33.23040,6.98950,6.98950,3.89420,4.34160,0.17610,3.89470,3.89470,0.76450,1.57730,7.68920,-0.9331,-1.0084
2017-06-30,1.30800,0.60840,1.55390,31.70590,4.58840,4.58840,0.50120,2.35510,0.16860,2.10760,2.10760,0.39720,0.82530,7.20900,-1.1964,-1.3424
2017-03-31,1.15250,0.53090,1.13170,37.15380,9.74510,9.74510,8.48780,6.75940,0.18360,5.99330,5.99330,1.24120,2.81150,6.89960,-0.77190,-0.88980
2016-12-31,1.24720,0.55660,1.25540,24.03840,6.21320,6.21320,3.64350,2.69410,0.18240,2.49080,2.49080,0.49130,1.10430,6.23130,-1.269,-1.408
2016-09-30,1.17740,0.48420,0.93870,33.06910,4.63000,4.63000,3.45500,2.24950,0.18550,2.03710,2.03710,0.41720,1.05070,5.89300,-1.0531,-1.1156
