,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,0.97720,0.44520,1.01030,40.74770,8.67620,8.67620,4.70260,3.40940,0.07950,0.90230,1.96900,45.70890,0.87360,-1.08690,0.34200,0.48460,77.08920,1.7553,0.9483
2019-12-31,0.95720,0.44430,0.91520,46.81660,11.85800,11.85800,9.32540,5.68050,0.08130,0.81410,2.03710,44.17990,1.30670,-1.63340,0.53320,0.72610,78.18630,2.59320,1.96400
2019-09-30,1.17840,0.46170,0.91980,49.44380,2.44270,2.44270,-0.02180,2.72630,0.08860,0.89880,1.95520,46.03050,0.77320,-0.94370,0.31490,0.41620,77.95450,4.9781,3.6788
2019-06-30,1.08720,0.45600,0.93890,47.67820,14.39080,14.39080,10.57470,9.49430,0.08330,0.86570,1.95950,45.93100,2.09810,-2.60060,0.86340,1.14140,79.63210,3.3355,2.4934
2019-03-31,0.96290,0.45170,0.96730,47.05600,3.24200,3.24200,0.07150,-0.42910,0.07980,0.84550,1.84070,48.89390,0.09390,-0.11170,0.03800,0.05150,79.00060,2.9121,2.1796
2018-12-31,0.97140,0.45430,0.98440,47.42790,21.29810,21.29810,17.16350,13.50960,0.07860,0.86720,1.87730,47.94230,2.79890,-3.29790,1.13160,1.52720,79.55020,0.89330,0.28440
2018-09-30,1.02700,0.47370,1.02390,47.55850,13.08200,13.08200,9.42540,-3.92910,0.08170,0.94210,1.89870,47.40180,-0.64310,0.70880,-0.25040,-0.33840,78.27040,5.1355,3.8998
2018-06-30,1.23240,0.48790,1.04180,47.12480,11.94480,11.94480,15.12390,12.99670,0.07930,0.88290,1.90730,47.18790,2.78140,-3.16130,1.10050,1.42420,79.82020,1.8872,1.2032
2018-03-31,1.69720,0.51640,1.07750,38.03890,4.42920,4.42920,0.14210,-1.18430,0.07740,1.02870,1.84130,48.87970,-0.05670,0.06210,-0.02200,-0.02740,79.16110,2.413,1.7243
2017-12-31,1.54080,0.50980,1.07300,50.42210,7.62990,7.62990,3.40910,-5.64940,0.05560,0.51470,1.54000,58.44160,-0.64020,0.67570,-0.24570,-0.31380,79.80330,1.39110,0.61730
2017-09-30,5.57540,0.59040,1.45740,49.82630,15.50360,15.50360,10.29370,9.12540,0.08390,0.87400,1.81590,49.56110,2.53360,-64.56690,0.86920,1.03750,56.80390,4.9558,3.8193
2017-06-30,5.56430,0.59590,1.51080,49.52220,-7.38060,-7.38060,-13.31140,-5.43660,0.08170,0.83760,1.73530,51.86490,-1.05690,14.55140,-0.35790,-0.42700,55.31170,1.6755,0.809
2017-03-31,1.21730,0.53280,1.29420,48.23170,14.98820,14.98820,12.19270,11.58640,0.12310,0.87980,1.89230,47.56150,4.31940,-6.27390,1.42610,2.01820,37.33150,3.3269,2.5928
2016-12-31,1.13500,0.54390,1.45290,49.69200,27.72070,27.72070,23.68240,19.23340,0.12020,0.86880,1.92490,46.75570,7.39810,-9.49400,2.30690,3.37420,35.63020,1.44670,0.93230
2016-09-30,1.44700,0.58020,1.51330,48.05070,3.00120,3.00120,0.30940,0.58790,0.12630,0.97670,1.99750,45.05570,0.26200,-0.32970,0.07820,0.11000,35.78680,3.2344,1.9119
2016-06-30,1.54870,0.56800,1.48290,48.37400,16.13510,16.13510,13.19580,12.19510,0.12290,0.89970,1.97650,45.53470,4.85500,-6.72650,1.49910,2.09750,37.72670,3.8187,3.147
2016-03-31,1.50960,0.58630,1.63250,48.35340,15.16140,15.16140,12.25950,11.02050,0.11690,0.85810,1.94850,46.18850,4.40910,-5.35400,1.28830,1.82410,36.12600,2.5699,1.9979
2015-12-31,1.24550,0.60050,1.77340,47.15340,11.78840,11.78840,8.90820,7.66910,0.11460,0.79500,1.97360,45.60280,3.17040,-3.26400,0.87920,1.26650,34.10020,2.14060,1.52110
2015-09-30,1.29170,0.61350,1.78980,46.73200,9.64050,9.64050,6.20920,5.91500,0.11560,0.83210,1.89120,47.58820,2.54010,-2.46050,0.68740,0.98200,34.00160,3.4423,2.4917
2015-06-30,1.39540,0.61050,1.81590,37.62820,4.39100,4.39100,1.25000,1.98720,0.11520,0.96340,1.89670,47.45190,0.85480,-0.84530,0.22900,0.33300,34.49640,2.3239,1.7477
2015-03-31,1.55570,0.62880,1.93300,50.99950,14.28570,14.28570,10.97030,10.53150,0.07250,0.44120,1.30470,68.98100,3.01720,-2.67960,0.76340,1.11990,34.19040,1.119,0.3523
2014-12-31,5.81980,0.66230,2.00120,50.95080,17.01610,17.01610,13.89570,11.50660,0.11080,0.66530,1.98930,45.24130,4.63600,7.56110,1.27010,1.56580,26.26740,1.45180,0.87310
2014-09-30,2.74320,0.42720,0.78590,50.04540,18.21070,18.21070,17.12080,13.66940,0.17690,0.73580,1.85510,48.51500,5.95690,9.39740,2.41830,3.41230,26.33250,2.7045,1.3304
