,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-03-31,2.92030,,59.99410,34.36490,34.36490,34.44700,26.25330,0.21760,1.20610,1.58390,56.82280,7.20330,18.76170,5.71210,7.20330,7.34750,0.35360,0.33340
2019-12-31,3.50370,,60.04370,31.16820,31.16820,31.57990,25.06420,0.19750,1.12670,1.88260,47.80720,6.11210,14.26290,4.95020,6.11210,7.77210,0.5405,0.4362
2019-09-30,3.30540,,59.36980,34.88450,34.88450,35.15990,26.36990,0.22070,1.44950,1.74940,51.44640,7.27660,17.29020,5.81860,7.27660,7.59910,0.6675,0.6258
2019-06-30,3.29800,,59.89640,34.32740,34.32740,34.59670,26.49100,0.21710,1.47820,1.60430,56.10070,7.20810,17.40770,5.75240,7.20810,7.44750,0.6045,0.582
2019-03-31,3.02280,,60.62760,32.92430,32.92430,33.21420,27.64140,0.20320,1.23830,1.58550,56.76530,7.06940,19.74460,5.61630,7.06940,6.80500,0.22510,0.20990
2018-12-31,3.00120,,59.74720,33.16390,33.16390,33.63820,25.87080,0.20420,1.33970,1.90740,47.18590,6.62180,19.38620,5.28190,6.62180,6.64160,0.5923,0.5721
2018-09-30,3.27970,,59.79950,33.41730,33.41730,33.71130,26.34750,0.20860,1.55870,1.63850,54.92700,6.87680,17.62130,5.49610,6.87680,7.04090,0.5817,0.5545
2018-06-30,2.97730,,61.05670,35.20330,35.20330,35.25020,26.58960,0.22370,1.43560,1.71440,52.49780,7.49250,21.88740,5.94700,7.49250,6.52570,0.6257,0.5878
2018-03-31,3.81730,,60.55290,32.89550,32.89550,33.10770,25.39010,0.17950,1.24960,1.61940,55.57700,5.57460,14.33360,4.55790,5.57460,6.88870,0.25940,0.24260
2017-12-31,3.72330,,62.14680,32.96230,32.96230,33.05280,24.84360,0.16910,1.19940,1.80290,49.91990,5.16840,13.16270,4.20210,5.16840,6.87840,0.3454,0.3189
2017-09-30,3.23630,,62.64150,34.89610,34.89610,35.33550,24.05170,0.19310,1.59260,1.69890,52.97580,5.80510,15.59080,4.64530,5.80510,6.68160,0.4435,0.3967
2017-06-30,3.35030,,64.32780,38.59040,38.59040,38.30910,24.54420,0.19360,1.69760,1.68890,53.28970,5.89600,15.77280,4.75290,5.89600,6.64650,0.591,0.5542
2017-03-31,3.44130,,64.79510,35.60780,35.60780,35.69650,23.98180,0.17060,1.52530,1.29750,69.36360,5.04160,15.26810,4.09170,5.04160,6.21770,0.33150,0.29950
2016-12-31,3.04360,,66.08330,33.39600,33.39600,32.73240,22.94430,0.18150,1.57840,1.31540,68.42270,5.19400,17.91390,4.16390,5.19400,5.87700,0.448,0.43
2016-09-30,3.27950,,63.83310,36.85180,36.85180,36.72020,24.32160,0.18600,1.69790,1.33020,67.65790,5.63920,18.53510,4.52370,5.63920,5.94880,0.3187,0.1716
2016-06-30,2.59940,,62.57660,34.86730,34.86730,34.84050,22.26240,0.20490,1.77560,1.40080,64.24710,5.77050,22.28590,4.56210,5.77050,5.59070,0.2261,-0.9091
2016-03-31,7.01530,,62.20330,37.44750,37.44750,37.53690,24.09300,0.11560,1.54940,1.25560,71.67650,3.28290,4.99080,2.78540,3.28290,8.19510,0.17650,0.16390
2015-12-31,8.77340,,62.49460,35.39440,35.39450,35.55540,21.49580,0.11580,1.55050,1.35040,66.64680,2.88480,4.47310,2.49030,2.88480,7.90110,0.3413,0.3216
2015-09-30,7.43280,,61.52050,38.51850,38.51850,38.07410,23.07290,0.13500,1.82320,1.41830,63.45820,3.75060,5.94080,3.11530,3.75060,7.65310,0.268,0.2564
2015-06-30,7.97350,,56.86830,52.77890,52.77890,52.63260,33.01090,0.11980,1.65410,1.39210,64.65150,4.71700,7.29570,3.95410,4.71700,7.87520,0.098,0.0781
2015-03-31,3.35320,,58.86440,1.21720,1.21720,1.41390,0.70420,0.30060,1.30280,1.82180,49.40240,0.30060,0.31170,0.21170,0.30060,2.87650,0.19740,0.18860
2014-12-31,4.64740,,54.78900,31.85810,31.85810,31.69110,20.69660,0.31230,1.56830,2.15690,41.72610,8.27190,8.55860,6.46420,8.27190,3.01120,0.3641,0.348
2014-09-30,4.36440,,53.76340,29.86090,29.86090,29.69770,19.12030,0.34140,1.43130,1.90890,47.14810,8.77070,9.09270,6.52750,8.77070,2.75680,0.2824,0.2752
2014-06-30,3.67390,,55.19330,31.40470,31.40470,31.43060,20.51850,0.38850,1.48100,1.72320,52.22840,11.22970,11.85620,7.97070,11.22970,2.50370,0.2345,0.2247
2014-03-31,3.56290,,53.49790,27.76630,27.76630,27.79500,17.76630,0.33640,1.22170,1.55050,58.04710,8.63770,9.18340,5.97710,8.63770,2.20010,0.26170,0.24320
2013-12-31,3.74360,,51.24540,24.91530,24.91530,24.35840,14.07140,0.38070,1.19070,1.82610,49.28590,7.66970,8.21420,5.35760,7.66970,1.98270,0.129,0.1136
2013-09-30,2.91700,,52.07630,25.64760,25.64760,25.52800,15.61380,0.39050,1.14390,1.72030,52.31590,9.59890,10.27980,6.09760,9.59890,1.90950,0.3368,0.3177
2013-06-30,3.15970,,53.29590,28.43830,28.43830,27.89910,16.93890,0.47880,1.26170,1.81200,49.66880,12.48490,13.42130,8.10970,12.48490,1.70490,0.1031,0.0934
2013-03-31,2.84050,,52.05020,22.16050,22.16050,21.76770,13.11300,0.42200,1.07820,1.52440,59.04090,9.05310,9.86930,5.53400,9.05310,1.41130,0.08870,0.07180
2012-12-31,2.89410,,51.72390,24.15180,24.15180,23.66240,14.41810,0.45190,1.12070,1.99200,45.18160,10.55000,11.52760,6.51610,10.55000,1.29570,0.1286,0.0972
2012-09-30,3.56090,,50.48380,25.95950,25.95950,26.06160,15.89510,0.41090,1.38370,1.87360,48.03630,9.68240,10.29390,6.53120,9.68240,1.73070,0.1982,0.1871
2012-06-30,4.71680,,51.80350,28.64690,28.64690,28.63680,18.52640,0.37000,1.43500,1.93420,46.52970,9.24260,9.65610,6.85570,9.24260,2.24450,0.1308,0.1215
2012-03-31,4.45810,,53.05020,27.77910,27.77910,27.85520,16.73960,0.30910,1.19150,1.77290,50.76530,7.12990,7.47390,5.17420,7.12990,2.01920,0.06620,0.04030
2011-12-31,4.44470,,52.26010,25.22120,25.22120,25.49780,15.74210,0.30090,1.25770,1.87420,48.02140,6.59100,6.93370,4.73690,6.59100,1.87280,0.18,0.1702
2011-09-30,6.26010,0.00110,52.72850,27.82550,27.82550,27.64390,17.35630,0.38960,1.36430,3.40180,26.45630,8.83520,9.30900,6.76220,8.83520,1.77800,0.1954,0.1819
2011-06-30,6.51300,0.00130,52.84510,28.66680,28.66680,28.72610,18.22980,0.37460,1.39000,2.84750,31.60680,8.86500,9.32290,6.82960,8.86500,1.78730,0.1787,0.1685
2011-03-31,6.15680,0.00190,52.05590,24.81770,24.81770,24.90220,15.44330,0.31490,0.98360,2.39200,37.62530,6.44870,6.81010,4.86250,6.44870,1.60940,0.04200,0.03080
2010-12-31,4.97270,,51.59340,25.04130,25.04130,25.15650,15.41810,0.27780,1.00660,1.91440,47.01130,5.93100,6.25820,4.28370,5.93100,1.55170,0.1038,0.0957
2010-09-30,6.02770,0.00030,51.88560,28.19520,28.19520,28.14640,17.43170,0.37160,1.23230,2.89480,31.09060,8.72680,9.23880,6.47680,8.72680,1.43400,0.0794,0.073
2010-06-30,4.84030,0.00020,52.87110,29.99060,29.99060,30.07840,17.45630,0.37900,1.23790,2.78140,32.35760,9.40920,9.99480,6.61610,9.40920,1.28260,0.1054,0.1001
2010-03-31,5.15350,0.00030,52.30940,21.32840,21.32840,21.74250,13.67560,0.26430,0.95310,2.02290,44.48970,5.12020,5.43590,3.61440,5.12020,1.19410,0.12180,0.11930
2009-12-31,6.99280,0.00040,53.37520,29.50500,29.50490,29.73420,18.34120,0.36360,1.25420,2.67130,33.69190,9.12160,9.67590,6.66900,9.12160,1.10590,0.0583,0.0472
2009-09-30,5.46290,0.00070,53.59420,30.17420,30.17420,30.12250,18.35000,0.38430,1.15290,3.16510,28.43520,10.07290,10.67570,7.05170,10.07290,1.04940,0.1626,0.152
2009-06-30,5.67860,0.00140,53.89810,30.90190,30.90190,31.03550,19.08040,0.38180,1.17960,2.38470,37.74070,10.41100,11.00750,7.28410,10.41100,1.01190,0.0607,0.0482
2009-03-31,4.89160,0.00240,53.30700,26.93500,26.93500,25.90190,17.02050,0.33330,1.03570,2.03330,44.26330,8.56400,9.10810,5.67290,8.56400,0.89310,-0.00650,-0.01230
