,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-03-31,1.54890,0.26790,0.39500,100.00000,-7.46140,-7.46140,-10.19310,-7.32130,0.06680,1.74630,51.53820,-0.97160,-0.97160,-0.48930,-0.71130,31.83260,1.76250,-1.07140
2014-12-31,1.60030,0.25000,0.33370,100.00000,26.40520,26.40520,24.72490,9.57030,0.13360,2.50980,35.85920,2.51000,2.51000,1.27890,1.88260,32.30480,3.8686,1.062
2014-09-30,1.44570,0.24990,0.33350,100.00000,34.89540,34.89540,33.50750,21.56090,0.14840,2.52510,35.64170,6.22810,6.22810,3.19880,4.67180,32.34150,4.2401,0.4373
2014-06-30,1.33560,0.26110,0.35370,100.00000,27.33650,27.33650,26.28770,16.86790,0.12570,2.17340,41.41070,4.22750,4.22750,2.12100,3.12390,30.52110,3.5213,-0.4302
2014-03-31,1.42020,0.26910,0.36860,100.00000,26.55160,26.55160,25.24170,16.18470,0.12710,2.26640,39.71110,4.12220,4.12220,2.05630,3.01290,29.33850,4.13760,0.70230
2013-12-31,1.42290,0.27700,0.38350,100.00000,26.14880,26.14880,24.51520,15.47590,0.12260,2.25350,39.93800,3.76300,3.76300,1.89770,2.72070,28.23000,3.6803,0.861
2013-09-30,1.25230,0.28440,0.42480,100.00000,21.73630,21.73630,20.37490,13.05980,0.11750,1.87200,48.07800,3.11200,3.11200,1.53410,2.22700,27.22710,3.6594,0.1765
2013-06-30,1.40410,0.29110,0.43890,100.00000,28.43730,28.43730,26.95780,17.17870,0.13210,2.09570,42.94490,4.58610,4.58610,2.26880,3.25120,26.40980,3.4618,0.4649
2013-03-31,1.32730,0.30040,0.45890,100.00000,24.81960,24.81960,22.67290,14.73930,0.11890,1.75220,51.36500,3.59640,3.59630,1.75230,2.51610,25.28190,2.61680,0.38210
2012-12-31,1.22770,0.30770,0.47510,100.00000,-12.55260,-12.55260,-14.80250,-16.76730,0.11020,1.78660,50.37510,-3.80130,-3.80130,-1.84730,-2.63150,24.45360,2.2721,-0.4209
2012-09-30,1.55140,0.31370,0.45710,100.00000,20.50010,20.50010,18.95830,12.03070,0.10540,1.80850,49.76560,2.57720,2.57720,1.26810,1.76870,25.46330,2.6328,-0.3702
2012-06-30,1.10000,0.27290,0.37530,100.00000,23.79730,23.79730,22.21270,13.60380,0.11190,2.07280,43.41860,2.96350,2.96350,1.52230,2.15480,24.74940,2.7717,0.2634
2012-03-31,1.09730,0.27830,0.38570,100.00000,19.94450,19.94450,18.53220,11.54430,0.10980,1.78990,50.28330,2.49390,2.49390,1.26790,1.79980,24.09640,1.99380,-0.96540
2011-12-31,1.29010,0.28380,0.39630,100.00000,10.91140,10.91140,8.71370,4.35260,0.11160,1.87640,47.96410,0.95480,0.95480,0.48590,0.68380,23.49440,2.3931,-0.777
2011-09-30,1.40090,0.28610,0.41840,100.00000,32.92150,32.92150,31.16080,18.74310,0.11640,2.25860,39.84750,4.32920,4.32920,2.18140,3.09050,23.23630,2.3629,-0.1533
2011-06-30,1.46910,0.29300,0.43270,100.00000,22.88700,22.88700,21.13510,11.49980,0.10730,1.96590,45.78120,2.44740,2.44740,1.23360,1.73020,22.48540,1.9917,0.0746
2011-03-31,1.43890,0.29800,0.44320,100.00000,14.36140,14.36140,11.89820,7.06200,0.08060,1.50670,59.73230,1.13650,1.13650,0.56900,0.79780,21.95880,1.84970,-0.90810
2010-12-31,1.13840,0.32840,0.51050,100.00000,9.75940,9.75930,7.80100,2.99990,0.08270,1.53160,58.76360,0.52460,0.52460,0.24820,0.35230,20.13480,1.1668,-0.8331
2010-09-30,0.79160,0.27140,0.37250,100.00000,-0.73920,-0.73920,-2.45330,-4.48180,0.07930,1.60280,56.15280,-0.70080,-0.70080,-0.35550,-0.51060,19.93010,1.598,-1.4057
2010-06-30,1.22980,0.26930,0.36860,100.00000,10.34640,10.34640,8.10470,4.40890,0.06980,1.61500,55.72640,0.59100,0.59100,0.30760,0.43180,19.99060,1.3349,-1.0974
2010-03-31,1.03540,0.21350,0.27520,100.00000,16.04310,16.04310,14.38380,8.60990,0.07410,1.50420,59.83430,1.16100,1.16100,0.63760,0.91310,20.08860,1.22170,-0.98640
2009-12-31,1.36710,0.21630,0.27980,100.00000,37.14710,37.14710,35.56410,22.74040,0.09720,2.17810,41.31970,4.00510,4.00510,2.21000,3.13860,19.79750,1.654,0.0851
2009-09-30,1.52490,0.22480,0.29390,100.00000,3.50630,3.50630,0.45260,0.41670,0.05850,1.59460,56.43890,0.04410,0.04410,0.02440,0.03420,18.86250,1.5743,-0.1975
2009-06-30,1.85800,0.22960,0.30210,100.00000,0.00210,0.00210,-2.73580,-1.94020,0.05130,1.46100,61.60070,-0.18040,-0.18040,-0.09950,-0.13900,18.53830,1.3622,-0.057
2009-03-31,1.41020,0.18760,0.23090,100.00000,24.29720,24.29720,22.86070,13.70310,0.07250,2.05600,43.77330,1.74110,1.74110,0.99290,1.41440,18.21090,1.21070,-0.56220
