,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-04-30,2.10830,0.40660,0.68520,30.60300,7.87940,7.87940,3.73440,2.89000,0.35090,1.18650,2.18200,-14.28700,1.01410,1.29480,30.93230,1.62520,0.86580
2018-01-31,1.60060,0.39870,0.79060,33.03150,12.03660,12.03660,10.87160,16.35220,0.38940,1.34400,14.48140,-78.90300,6.36820,8.70780,30.26340,3.8614,3.0932
2017-10-31,1.94740,0.47600,0.93560,31.33580,7.99760,7.99760,6.67910,4.51230,0.33800,1.07440,,-9.95150,1.52510,2.05510,25.79710,-0.3521,-1.1067
2017-07-31,1.83010,0.48840,0.98310,30.82250,7.94330,7.94330,6.50610,4.42700,0.34000,1.24750,,-8.69050,1.50530,2.04100,24.74750,1.0291,0.349
2017-04-30,1.90940,0.52230,1.12280,30.77490,7.35380,7.35380,5.93520,3.79220,0.33060,1.27150,,-6.76950,1.25350,1.70770,23.69670,1.81500,1.35950
2017-01-31,1.87000,0.53370,1.17300,32.06820,10.40720,10.40720,8.83150,5.70850,0.35890,1.33590,5.96900,-10.02900,2.04880,2.78310,22.82370,4.3002,3.8125
2016-10-31,2.03470,0.57890,1.40340,30.40030,6.84580,6.84580,4.60250,3.43090,0.30880,1.06330,,-4.80110,1.05960,1.43170,21.38860,-0.108,-0.5115
2016-07-31,2.04100,0.59570,1.50330,30.27040,7.14930,7.14930,5.40200,3.40650,0.30600,1.17100,,-4.48950,1.04230,1.41680,20.60630,1.5585,0.8007
2016-04-30,2.03610,0.60690,1.56980,30.56750,8.23270,8.23270,6.52010,4.57550,0.31670,1.20540,,-5.81050,1.44890,1.95890,19.82000,1.31560,0.57610
2016-01-31,1.87840,0.62160,1.66700,30.80160,8.75630,8.75630,6.57000,4.26820,0.33740,1.28670,5.19640,-5.33800,1.44010,1.96650,18.75530,3.7136,2.9954
2015-10-31,2.14140,0.66570,2.01430,28.31030,4.52360,4.52360,2.52160,1.65620,0.29610,1.11300,,-1.78700,0.49040,0.66100,17.64140,-0.0091,-0.6579
2015-07-31,2.18240,0.67130,2.06290,28.40060,4.09800,4.09800,-4.72240,-3.25450,0.18180,0.76320,,2.10170,-0.59160,-0.79590,17.24330,-0.8401,-1.2977
2015-04-30,9.19580,0.80690,4.17990,34.40530,10.69510,10.69510,5.20050,3.19290,0.20030,1.30570,,4.08010,0.63940,0.71720,9.07270,0.72620,0.40320
2015-01-31,2.31500,0.27670,0.38250,37.08190,15.49520,15.49520,13.10790,8.33740,0.70880,1.50390,11.56300,12.74940,5.90950,8.36410,8.67840,2.6742,2.3321
2014-10-31,2.07280,0.32320,0.47760,34.61720,10.48590,10.48590,9.98950,6.34780,0.62210,1.04980,,9.40200,3.94930,5.67870,7.70590,0.1122,-0.3369
2014-07-31,2.12410,0.33830,0.51120,34.17360,10.09310,10.09310,9.67950,5.98200,0.64890,1.23340,,9.53320,3.88190,5.55230,7.04330,0.8139,0.3847
2014-04-30,2.12150,0.36360,0.57130,34.82480,11.59330,11.59330,11.18830,6.91400,0.67720,1.25010,,12.04490,4.68190,6.67890,6.37230,0.95430,0.60950
2014-01-31,2.00860,0.39270,0.65760,36.92340,15.57560,15.57560,15.17290,9.53510,0.80630,1.36160,18.20280,21.28020,7.68790,11.05460,5.62480,1.9314,1.7328
2013-10-31,1.94030,0.51220,1.06340,35.01350,10.83990,10.83990,10.54810,6.65360,0.65380,0.98980,,15.92580,4.34990,6.37840,4.60840,0.3542,-0.0677
2013-07-31,2.28220,0.12340,0.14780,34.97220,10.85230,10.85230,10.82540,6.72270,0.63780,1.18450,,7.53840,4.28770,5.98680,8.18790,0.7646,0.3331
2013-04-30,2.24710,0.12870,0.15590,35.15920,11.60900,11.60900,11.55540,7.15510,0.66360,1.19840,,8.52060,4.74780,6.68600,7.77350,0.57420,0.11590
2013-01-31,2.17910,0.13360,0.16270,37.88410,16.18580,16.18580,16.15910,10.17900,0.81610,1.43560,13.71080,15.30120,8.30670,11.87960,7.42390,1.5776,1.2491
2012-10-31,2.00930,0.13980,0.17170,34.85030,10.70620,10.70620,14.18770,9.03230,0.65190,0.98910,,11.37960,5.88790,8.68690,6.77330,0.1597,-0.2671
2012-07-31,2.27550,0.14100,0.17350,35.17540,10.81780,10.81780,10.75330,6.99280,0.68190,1.23920,,8.83030,4.76860,6.72310,6.61020,0.6252,0.3038
2012-04-30,1.59850,,0.17930,34.96750,10.90740,10.90740,10.94220,6.73590,0.70320,1.28100,,8.88570,4.73660,7.84140,6.38190,0.57770,0.29680
2012-01-31,2.08160,0.15680,0.19750,37.75190,15.52220,15.52220,15.49650,9.65770,0.83550,1.39620,13.97440,16.03930,8.06920,11.78350,5.81660,1.5124,1.2955
2011-10-31,2.26960,0.14730,0.18350,35.11210,10.32820,10.32820,10.28440,6.54520,0.65670,1.03040,,8.20640,4.29830,6.15830,6.07940,0.2665,-0.0555
2011-07-31,2.84050,0.13600,0.16720,35.16600,9.95200,9.95200,9.87420,6.15270,0.62220,1.22870,,6.71760,3.82830,5.16410,6.49100,0.4204,0.1635
2011-04-30,2.62630,0.14400,0.17930,34.98290,10.45990,10.45990,10.44700,6.53340,0.64920,1.30330,,7.69990,4.24140,5.81560,6.07810,0.63280,0.39680
2011-01-31,2.50240,0.14630,0.18270,37.55290,14.99450,14.99450,14.95970,9.41870,0.72480,1.34160,11.13780,12.63710,6.82630,9.50850,5.91200,1.3423,1.2182
2010-10-31,2.41200,0.15040,0.18870,35.46900,9.87660,9.87660,10.14300,6.53300,0.60400,0.98470,,7.28750,3.94560,5.60700,5.62180,0.0836,-0.1387
2010-07-31,2.56500,0.15320,0.19290,35.08960,9.27500,9.27500,9.07180,5.66080,0.61040,1.19000,,6.24900,3.45550,4.78090,5.42190,0.4629,0.2843
2010-04-30,2.44510,0.16200,0.20690,33.28410,7.58540,7.58540,7.54840,4.70210,0.63130,1.27510,,5.48420,2.96820,4.12180,5.08250,0.13740,-0.03570
2010-01-31,2.74340,0.14890,0.18720,37.11020,14.01260,14.01260,13.91630,8.66160,0.68070,1.44190,9.44580,10.41750,5.89600,8.03950,5.44320,1.3262,1.1379
2009-10-31,2.60500,0.15870,0.20190,35.33280,8.61700,8.61700,8.48880,5.46170,0.57270,0.95430,,5.72340,3.12770,4.33040,5.00340,0.3309,0.1599
2009-07-31,2.64090,0.16020,0.20410,34.49460,7.29470,7.29470,7.18840,4.65330,0.57270,1.08070,4.34220,4.83390,2.66500,3.64650,4.88590,0.295,0.1687
2009-04-30,2.67660,0.16320,0.20880,34.58500,8.12590,8.12590,8.05930,5.02870,0.57920,1.14170,,5.26040,2.91270,3.94380,4.73580,0.19980,0.07500
2009-01-31,2.61820,0.16630,0.21350,35.57160,11.91490,11.91490,11.85000,7.58750,0.68110,1.32180,8.39450,9.39370,5.16780,6.99840,4.60210,1.4809,0.9985
