,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-03-31,0.55090,2.53080,35.30730,25.29210,0.00930,2.80600,3.19770,0.25320,1.13180,72.01720,-6.21390,-6.21390
2016-12-31,0.53740,2.48640,37.06920,26.68600,0.00940,2.94890,3.36440,0.27010,1.22430,71.37780,11.0303,11.0303
2016-09-30,0.56760,2.58680,38.19760,24.83550,0.00930,2.75380,3.12420,0.24930,1.06860,71.07660,1.081,1.081
2016-06-30,0.55560,2.60620,40.64760,24.92820,0.00930,2.73910,3.11350,0.25140,1.09160,69.88490,-0.4596,-0.4596
2016-03-31,0.55380,2.54330,35.38640,23.56290,0.00880,2.46330,2.81280,0.22770,0.98460,68.41140,-5.72110,-5.72110
2015-12-31,0.55580,2.44330,34.07140,23.81900,0.00920,2.45320,2.82100,0.23110,0.97500,67.57870,4.0886,4.0886
2015-09-30,0.56570,2.69230,30.45520,28.37360,0.00910,3.09750,3.57030,0.28150,1.20240,66.75340,6.7851,6.7851
2015-06-30,0.56770,2.81630,36.61760,25.24810,0.00930,2.90820,3.39880,0.25680,1.12730,65.22460,4.6349,4.6349
2015-03-31,0.56760,3.05320,35.59100,23.59460,0.00900,2.75880,3.27390,0.22950,1.08410,63.55660,3.95980,3.95980
2014-12-31,0.56950,3.09790,29.67140,20.48380,0.00850,2.32960,2.81050,0.19170,0.91600,62.37960,7.5649,7.5649
2014-09-30,0.56520,3.03780,33.37550,21.62620,0.00940,2.63480,3.20200,0.22020,1.04630,61.86870,-0.6294,-0.6294
2014-06-30,0.57270,3.18350,35.66660,23.21350,0.00950,2.86330,3.52760,0.23730,1.12420,60.43530,-1.1353,-1.1353
2014-03-31,0.58250,3.30220,34.55850,21.87790,0.00900,2.57560,3.26150,0.21270,1.00150,58.03740,3.83590,3.83590
2013-12-31,0.58350,3.18520,34.69110,20.89200,0.00990,2.62020,3.45110,0.21700,1.03360,56.22260,-2.1953,-2.1953
2013-09-30,0.58710,3.45670,0.14370,-2.74730,0.00960,-0.19440,-0.25800,-0.01540,-0.07590,54.97730,7.295,7.295
2013-06-30,0.58640,3.63600,36.94960,24.24500,0.01030,3.28440,4.33370,0.26630,1.28420,55.51550,18.0085,18.0085
2013-03-31,0.58800,3.51720,37.06180,25.01940,0.01030,3.31210,4.38220,0.27330,1.29890,54.64330,5.18950,5.18950
2012-12-31,0.57460,3.44510,30.22130,23.13350,0.00970,2.91880,3.89740,0.24130,1.18650,53.64660,-1.1971,-1.1971
2012-09-30,0.56880,3.61060,34.19100,22.88820,0.01010,2.99420,4.02560,0.24590,1.23260,52.55690,-4.347,-4.347
2012-06-30,0.57690,3.76100,31.86740,21.09620,0.00960,2.69900,3.71510,0.21660,1.09540,50.45570,10.9926,10.9926
2012-03-31,0.59930,3.85950,27.56460,18.07230,0.01090,2.71340,3.78790,0.21220,1.04230,49.52060,1.11290,1.11290
2011-12-31,0.60290,3.73440,24.61240,17.77880,0.00850,2.12090,2.98350,0.16450,0.80650,48.65840,7.2922,7.2922
2011-09-30,0.62440,4.10620,27.24800,18.43390,0.00930,2.44260,3.46850,0.18620,0.87820,47.98440,2.4352,2.4352
2011-06-30,0.62850,4.17350,32.54840,20.29320,0.01110,3.10200,4.59960,0.24170,1.10320,46.76980,16.2327,16.2327
2011-03-31,0.62910,4.31440,33.49830,21.35370,0.01090,3.21470,4.83920,0.25270,1.14080,45.30100,-1.48950,-1.48950
2010-12-31,0.63390,4.33350,30.41420,19.11950,0.01090,2.87040,4.40930,0.22810,1.00420,45.03650,0.281,0.281
2010-09-30,0.63870,4.70470,30.11020,19.50880,0.00960,2.66100,3.98710,0.20630,0.91840,44.27830,-12.6402,-12.6402
2010-06-30,0.63130,4.12850,32.69390,20.07080,0.01080,2.94230,4.49100,0.23810,1.03300,43.04030,7.0615,7.0615
2010-03-31,0.65440,4.84780,21.95930,14.39430,0.00970,2.12430,3.44850,0.15570,0.69790,41.43550,4.35430,4.35430
2009-12-31,0.66070,4.53750,24.40810,18.53280,0.00780,2.08510,3.38440,0.16130,0.67250,41.95000,3.6643,3.6643
2009-09-30,0.66560,5.06330,27.34100,17.49650,0.00910,2.27900,3.68160,0.17210,0.72380,41.19400,0.9847,0.9847
2009-06-30,0.69090,5.25160,23.14690,6.09370,0.00870,1.85590,3.13490,0.13430,0.54350,39.43950,13.4986,13.4986
2009-03-31,0.68730,4.85820,18.60130,9.24580,0.00790,1.54920,2.01960,0.10300,0.39340,45.29170,13.50360,13.50360
