,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-12-31,4.94660,89.00500,-53.05060,-53.05060,-52.37520,-52.37520,0.12560,0.16990,1.70000,52.94250,-8.69570,-8.69560,-6.57660,-8.69560,4.45930,-0.1077,-0.1714
2016-09-30,5.91620,89.48880,-30.48680,-30.48680,-29.86600,-29.86600,0.12510,0.15600,1.63260,55.12760,-4.79430,-4.79430,-3.73590,-4.79430,4.68030,-0.2225,-0.2804
2016-06-30,5.87710,89.50970,-35.05380,-35.05380,-34.32110,-34.32110,0.11050,0.13960,1.65220,54.47240,-4.89780,-4.89780,-3.79280,-4.89780,4.75900,-0.2313,-0.255
2016-03-31,5.99900,91.40030,-18.91230,-18.91230,-18.42290,-18.42290,0.12640,0.15920,2.12160,42.42080,-2.99340,-2.99340,-2.32870,-2.99340,4.88340,-0.12750,-0.17990
2015-12-31,5.74280,88.89670,-26.89860,-26.89860,-26.59050,-26.59050,0.10440,0.18220,1.76610,50.96120,-3.62380,-3.62380,-2.77690,-3.62380,4.91080,-0.1362,-0.1692
2015-09-30,6.64870,87.98890,-31.52060,-31.52060,-31.44690,-31.44690,0.09270,0.22680,1.32400,67.97530,-3.79730,-3.79730,-2.91380,-3.79730,4.99230,-0.3057,-0.3368
2015-06-30,2.64740,88.87230,-61.69320,-61.69320,-61.61410,-61.61410,0.18900,0.18070,1.70380,52.82380,-26.44610,-26.44610,-11.64790,-26.44610,1.43350,-0.371,-0.3915
2015-03-31,3.09720,89.79510,-26.46520,-26.46520,-26.40070,-26.40070,0.18400,0.19470,1.65680,54.32080,-10.36370,-10.36370,-4.85810,-10.36370,1.67700,-0.21820,-0.23730
2014-12-31,3.24070,88.46700,-37.30060,-37.30060,-35.90130,-35.90130,0.16190,0.19730,1.89380,47.52470,-12.65640,-12.65640,-5.81400,-12.65640,1.70060,-0.1689,-0.229
2014-09-30,3.60270,89.94630,-20.59910,-20.59910,-20.52130,-20.52130,0.15860,0.20310,1.73110,51.98910,-6.91250,-6.91250,-3.25480,-6.91250,1.81780,-0.0947,-0.1159
2014-06-30,4.07370,90.14460,-25.82860,-25.82860,-25.75100,-25.75100,0.14550,0.22080,1.95700,45.98950,-7.78900,-7.78900,-3.74560,-7.78900,1.83090,-0.0335,-0.0658
2014-03-31,4.33560,91.02400,-23.97940,-23.97940,-23.87690,-23.87690,0.14340,0.21100,1.80150,49.95740,-7.05690,-7.05690,-3.42410,-7.05690,1.87620,-0.18910,-0.21470
2013-12-31,4.40790,89.85750,-23.26240,-23.26240,-23.24760,-23.24760,0.13930,0.25250,2.28440,39.39710,-6.80800,-6.80800,-3.23850,-6.80800,1.87730,0.0528,-0.0082
2013-09-30,4.36560,92.31360,-33.51320,-33.51320,-33.37510,-33.37510,0.14860,0.20980,2.41160,37.31940,-10.10580,-10.10580,-4.95910,-10.10580,1.91380,0.2455,0.1933
2013-06-30,4.77460,93.53160,-9.52850,-9.52850,-9.37900,-9.37900,0.15760,0.12310,1.52350,59.07420,-2.90960,-2.90960,-1.47860,-2.90960,1.95190,-0.0594,-0.0766
2013-03-31,4.84270,92.85860,-28.58460,-28.58460,-28.37010,-28.37010,0.12300,0.12140,1.24950,72.03080,-6.97230,-6.97230,-3.48990,-6.97230,1.92600,-0.24800,-0.29990
2012-12-31,4.38330,94.45170,-16.75430,-16.75430,-16.57900,-16.57910,0.13560,0.09390,1.86140,48.35150,-4.68540,-4.68540,-2.24770,-4.68540,1.88910,0.4242,0.3748
2012-09-30,5.22670,93.26740,-27.60680,-27.60680,-27.39600,-27.39610,0.12000,0.09780,1.35960,66.19600,-6.13360,-6.13360,-3.28700,-6.13360,1.87020,-0.2075,-0.2272
2012-06-30,4.66770,92.83740,-35.41570,-35.41570,-35.30300,-35.30300,0.11620,0.13610,1.50540,59.78490,-7.88770,-7.88770,-4.10350,-7.88770,1.85250,0.115,0.1043
2012-03-31,5.23280,93.63460,-32.12350,-32.12350,-25.49070,-25.49070,0.11690,0.19490,0.84020,107.11200,-5.58540,-5.58540,-2.98090,-5.58540,1.88520,-0.23940,-0.24850
2011-12-31,4.38430,95.10910,-38.24530,-38.24530,-55.56690,-55.56690,0.11500,0.25250,0.87930,102.35110,-12.41270,-12.41270,-6.38850,-12.41270,1.88630,-0.3389,-0.3947
2011-09-30,5.23400,96.49670,-198.06930,-198.06930,-196.86920,-196.86920,0.04910,0.21120,1.25550,71.68730,-17.59400,-17.59400,-9.67560,-17.59400,2.01240,-0.3646,-0.3944
2011-06-30,6.15250,100.00000,-396.70600,-396.70600,-394.56110,-394.56110,0.02880,,1.06970,84.13280,-19.50780,-19.50780,-11.35410,-19.50780,2.30760,-0.305,-0.3161
2011-03-31,7.60850,100.00000,-270.93910,-270.93910,-268.45780,-268.45780,0.02530,,1.23580,72.82970,-10.71880,-10.71880,-6.79870,-10.71880,2.68550,-0.08820,-0.09100
2010-12-31,5.54740,100.00000,-428.38180,-428.38190,-424.08530,-424.08530,0.02470,,0.40610,221.64120,-21.38830,-21.38830,-10.47050,-21.38830,1.58960,-0.2168,-0.2209
2010-09-30,6.30420,100.00000,-220.96180,-220.96180,-217.97260,-217.97260,0.04590,,0.98020,91.81790,-18.36590,-18.36590,-9.99550,-18.36590,1.87280,-0.1054,-0.114
2010-06-30,7.43580,100.00000,-24.06860,-24.06860,-22.56900,-22.56900,0.10290,,2.25710,39.87500,-3.80820,-3.80820,-2.32190,-3.80820,2.16120,-0.043,-0.0552
2010-03-31,5.42580,100.00000,23.48080,23.48080,24.66900,24.66900,0.12630,,2.86640,31.39880,5.15920,5.15920,3.11490,5.15920,2.20610,0.43260,0.42240
2009-12-31,3.33570,100.00000,-58.34450,-58.34450,-55.66170,-55.66170,0.05610,,0.26720,336.83130,-5.87630,-5.87630,-3.12030,-5.87630,2.05060,-0.1912,-0.2001
2009-09-30,5.49840,100.00000,-176.65290,-176.65290,-170.24730,-170.24730,0.03570,,2.17150,41.44510,-9.19850,-9.19850,-6.07410,-9.19850,2.14470,-0.1289,-0.1333
2009-06-30,3.21230,100.00000,-247.90600,-247.90600,-238.84990,-238.84990,0.04420,,1.17570,76.54970,-22.45080,-22.45080,-10.55860,-22.45080,1.15200,-0.1365,-0.1511
2009-03-31,3.29750,100.00000,-309.12270,-309.12270,-298.27170,-298.27170,0.04140,,0.65740,136.90990,-25.36770,-25.36770,-12.34180,-25.36770,1.25540,-0.22210,-0.24470
