,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-09-30,1.60130,0.41390,0.83670,25.42100,14.08760,14.08760,13.21310,10.79850,0.22560,1.47210,1.68480,53.42010,6.15510,-28.17540,2.43690,3.60740,46.14400,1.18360,0.95240
2018-06-30,1.59040,0.42410,0.84510,25.86210,14.90690,14.90690,13.04340,9.25370,0.24920,1.74560,1.77930,50.58220,6.02380,-21.35630,2.30630,3.46940,44.29660,5.152,4.8861
2018-03-31,1.58560,0.45060,0.99960,24.79700,13.69030,13.69030,12.53010,9.76080,0.23090,1.62730,1.74690,51.51940,6.23060,-18.26330,2.25480,3.42340,44.19620,3.2843,2.9496
2017-12-31,1.49430,0.46510,1.09560,23.91880,11.80440,11.80440,10.68690,1.66610,0.21110,1.44050,1.81480,49.59110,1.02050,-2.39300,0.35280,0.54590,41.48250,1.6011,1.4701
2017-09-30,1.44340,0.46400,1.07260,25.00580,13.20710,13.20710,11.12450,8.48220,0.21390,1.47820,1.75030,51.41870,5.16280,-12.07910,1.81510,2.76710,41.51340,1.75270,1.26010
2017-06-30,1.40750,0.48000,1.11450,26.07060,15.73840,15.73840,11.45840,8.38920,0.22570,1.66810,1.81080,49.70130,5.56940,-11.16700,1.89390,2.89620,39.54700,3.7948,3.4048
2017-03-31,1.51530,0.52540,1.27040,23.57540,11.00670,11.00670,10.10100,7.65190,0.20350,1.54930,1.66860,53.93710,5.03080,-7.70640,1.55850,2.38780,35.64810,2.8232,2.3069
2016-12-31,2.16360,0.36930,0.71400,23.45060,10.84850,10.84850,12.00840,9.03490,0.22770,1.64670,1.89270,47.55000,5.32780,27.80950,2.05770,3.36000,33.99240,2.1372,1.8548
2016-09-30,2.11760,0.36320,0.69860,23.22620,11.45250,11.45250,10.65370,7.66020,0.22910,1.68750,1.83070,49.16080,4.52070,25.09150,1.75620,2.87860,34.86250,0.83880,0.63250
2016-06-30,2.20120,0.36680,0.65830,23.15390,11.70460,11.70460,11.36930,8.17670,0.24570,1.93680,1.85530,48.51050,5.28340,32.12330,2.01020,3.34540,34.16620,3.6838,3.4381
2016-03-31,2.18220,0.34730,0.64680,21.89250,10.01730,10.01730,9.65090,6.61390,0.23440,1.77010,1.78150,50.51880,3.72280,16.74660,1.55050,2.42980,37.32510,2.5139,2.294
2015-12-31,2.17520,0.36200,0.68690,20.88140,9.25120,9.25120,8.49650,6.76310,0.23020,1.67270,1.90540,47.23330,3.81320,20.03380,1.55810,2.43290,35.54860,2.5019,2.2651
2015-09-30,2.08930,0.35950,0.69130,23.29600,10.39360,10.39360,9.60670,6.79520,0.23910,1.66710,1.83810,48.96400,4.01720,21.58780,1.62500,2.57280,35.70200,0.14390,-0.10750
2015-06-30,2.31620,0.34780,0.57700,23.01560,10.55590,10.55590,9.66680,5.70690,0.25610,1.86150,1.94080,46.37210,3.51610,15.59640,1.46250,2.29310,36.86210,3.7917,3.4468
2015-03-31,2.09050,0.34580,0.65760,24.95940,13.18620,13.18620,12.28110,9.02330,0.25630,1.71010,1.85910,48.41130,5.53760,23.02470,2.31380,3.62270,37.17230,1.9687,1.6783
2014-12-31,2.44870,0.32120,0.51520,23.39430,11.27930,11.27930,10.94950,8.52480,0.24940,1.65170,1.99320,45.15410,4.64110,16.13100,2.12700,3.15040,40.43480,1.9072,1.5367
