,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-12-31,2.31660,0.28910,0.40690,32.13400,18.15570,18.15570,17.93820,12.22060,0.25790,1.18110,1.39090,64.70680,5.98230,25.30100,3.15150,4.25290,18.52580,2.0255,1.8704
2015-09-30,2.52060,0.18500,0.22720,31.75550,18.78600,18.78600,17.88580,12.25170,0.24340,1.06760,1.29450,69.52330,4.99540,14.26130,2.98190,4.07140,20.57920,1.4836,1.3598
2015-06-30,2.25860,0.16990,0.20490,31.61220,18.40080,18.40080,17.70100,11.98360,0.25680,1.08270,1.24510,72.28120,5.18850,15.93780,3.07760,4.30710,20.23810,0.6902,0.5633
2015-03-31,2.16150,0.18790,0.23160,31.19430,18.13110,18.13110,17.25500,11.74750,0.25840,1.09170,1.22970,73.18670,5.29140,17.74790,3.03600,4.29730,18.81120,0.44830,0.36290
2014-12-31,2.21690,0.22350,0.28820,30.97910,16.68520,16.68520,15.98390,11.42660,0.24850,1.10890,1.30040,69.20780,5.12560,17.71690,2.80540,3.98020,18.78280,2.503,2.3312
2014-09-30,2.27320,0.22550,0.29170,31.03810,17.05530,17.05530,16.45980,11.26310,0.24700,1.12420,1.11490,80.72500,5.03770,18.95540,2.79260,3.90160,18.59240,0.9544,0.8255
2014-06-30,2.28430,0.22080,0.28370,30.73010,18.10000,18.10000,17.51420,12.08530,0.23110,1.05170,1.01960,88.27430,5.02380,17.43790,2.80370,3.91480,18.33360,1.1475,1.0115
2014-03-31,2.46890,0.21130,0.26820,30.14300,17.52550,17.52550,16.88300,11.46840,0.23840,1.15620,1.09200,82.41490,4.76880,15.64390,2.74760,3.76100,17.42270,0.27080,0.21990
2013-12-31,2.30070,0.22100,0.28400,29.36610,16.32000,16.32000,15.78060,10.95980,0.24150,1.19380,1.22900,73.23050,4.66500,17.83880,2.62370,3.63400,16.54850,1.5589,1.3744
2013-09-30,2.48160,0.26240,0.35580,29.79630,17.40120,17.40120,16.53220,11.71100,0.22410,1.10730,1.10720,81.28760,4.87410,21.11720,2.62490,3.59530,15.75260,0.4103,0.3213
2013-06-30,2.26980,0.22020,0.28240,30.23200,17.64160,17.64160,17.19260,11.65170,0.25350,1.09650,1.30620,68.90320,5.30960,20.68010,2.96610,4.14050,14.60160,0.1326,0.1016
2013-03-31,2.08380,0.23880,0.31370,29.71330,16.84250,16.84250,16.16090,11.25330,0.24560,1.00940,1.42220,63.28370,5.22910,25.04520,2.77770,3.98060,13.84030,0.33180,0.27240
