,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-03-31,1.71630,,19.53110,8.08150,8.08150,8.20290,5.17640,0.54750,53.09720,43.02560,2.09180,4.35810,4.42930,2.83420,4.35810,49.02050,7.19560,5.13750
2017-12-31,1.94370,,14.86980,5.40750,5.40750,5.53700,3.94500,0.54270,47.58460,22.28850,4.03800,3.20960,3.26200,2.14070,3.20960,48.68500,3.0559,1.2857
2017-09-30,2.02820,,16.05690,2.73630,2.73630,2.84930,1.73840,0.54640,43.77090,30.60760,2.94040,1.41370,1.43640,0.94990,1.41370,49.03760,4.8783,3.007
2017-06-30,2.47950,,18.84710,9.12640,9.12640,9.21610,5.70630,0.56530,49.61880,46.88890,1.91940,4.60140,4.67210,3.22590,4.60140,50.73280,3.2395,1.2699
2017-03-31,2.16750,,17.74020,6.84610,6.84610,6.95720,4.31500,0.51830,47.99480,49.52410,1.81730,3.27620,3.32810,2.23640,3.27620,49.08720,5.21980,3.24100
2016-12-31,1.85380,,13.49810,2.95290,2.95300,3.00980,1.54410,0.51060,59.58550,22.70810,3.96330,1.13900,1.15710,0.78850,1.13900,48.67400,2.2948,0.1906
2016-09-30,1.67760,,14.14610,0.93790,0.93790,1.00270,0.75210,0.50170,48.43270,22.48640,4.00240,0.54120,0.54960,0.37730,0.54120,49.72120,3.5117,1.24
2016-06-30,1.40210,,15.52960,4.09610,4.09610,4.17490,2.56370,0.47500,49.70750,20.61970,4.36480,1.72240,1.74820,1.21780,1.72240,50.97920,4.0603,1.8463
2016-03-31,1.37790,,6.81050,-5.58490,-5.58490,-5.33020,-3.16760,0.38980,46.05440,14.20770,6.33460,-1.71610,-1.74090,-1.23470,-1.71610,52.48240,2.06330,-0.04150
2015-12-31,2.91010,,19.60190,10.38720,10.38720,10.56710,6.80440,0.36600,53.31230,10.34380,8.70080,3.18960,3.22280,2.49070,3.18960,69.17090,3.0406,0.631
2015-09-30,4.39410,,28.30930,19.29170,19.29170,19.41650,11.90600,0.41280,49.78300,32.32710,2.78400,6.03310,6.08870,4.91480,6.03310,76.98800,5.9323,3.797
2015-06-30,3.78990,,27.97870,18.98640,18.98640,19.13190,11.70530,0.42680,52.19060,35.68870,2.52180,6.22660,6.28780,4.99620,6.22660,72.27680,5.0409,3.2913
2015-03-31,3.55330,,27.46820,18.16280,18.16280,18.27510,11.26140,0.40280,49.20900,50.70030,1.77510,5.74610,5.80580,4.53600,5.74610,68.73420,7.68290,5.80390
2014-12-31,3.49810,,26.62610,17.56120,17.56130,17.64400,11.33230,0.42330,51.19770,20.84300,4.31800,6.02440,6.09080,4.79690,6.02440,64.85860,4.2181,1.2869
2014-09-30,3.29780,,28.77680,19.13230,19.13230,19.20470,12.06400,0.44490,48.61300,57.21790,1.57290,6.90690,6.98790,5.36720,6.90690,61.05570,5.9749,4.1579
2014-06-30,3.69340,,27.30510,17.12660,17.12660,17.23560,10.50120,0.46100,49.17850,51.87600,1.73490,6.29020,6.37000,4.84150,6.29020,56.51490,5.7419,3.9745
2014-03-31,3.48000,,25.90020,15.00280,15.00280,15.07900,9.18740,0.41940,44.07200,54.52680,1.65060,5.04970,5.11790,3.85350,5.04970,52.91540,5.70980,4.20970
2013-12-31,3.34440,,25.61560,15.29410,15.29410,15.34020,9.43220,0.42010,48.13810,30.50440,2.95040,5.17600,5.25090,3.96270,5.17600,49.56940,4.4836,2.4592
2013-09-30,3.36000,,26.78740,16.58640,16.58640,16.67890,10.08320,0.43260,48.39720,56.73460,1.58630,5.68850,5.77500,4.36210,5.68850,47.38140,3.8322,2.0355
2013-06-30,3.03770,,27.62190,17.92610,17.92610,17.96650,10.75590,0.45150,52.45550,54.59440,1.64850,6.42460,6.52940,4.85660,6.42460,44.28820,4.5777,3.1761
2013-03-31,3.16020,,26.33870,16.51790,16.51790,16.55450,10.53790,0.42430,46.83180,46.96290,1.91640,5.94550,6.04860,4.47160,5.94550,41.64130,4.01070,2.84210
2012-12-31,2.92530,,24.57070,14.61580,14.61580,14.68190,8.77520,0.41900,47.52810,26.47130,3.39990,4.92430,5.01260,3.67680,4.92430,40.07100,3.9835,2.1019
2012-09-30,4.12140,0.00010,27.37960,16.79630,16.79630,16.87440,10.32080,0.41060,51.05640,17.18500,5.23710,5.52910,5.62350,4.23750,5.52910,41.43270,3.882,2.3913
2012-06-30,4.13330,0.00010,29.15030,19.36370,19.36370,19.41830,11.82220,0.41920,46.60350,15.42360,5.83520,6.47650,6.59110,4.95530,6.47650,39.80140,4.4256,2.9129
2012-03-31,4.42790,0.00010,27.37110,15.95750,15.95750,16.02520,9.78200,0.41940,46.44730,14.56640,6.17860,5.35680,5.45920,4.10220,5.35680,36.92300,0.92240,-0.39210
2011-12-31,3.18310,0.00010,26.08950,15.72990,15.72990,15.79930,9.63100,0.41870,49.48500,71.13470,1.26520,5.50390,5.62200,4.03230,5.50390,33.41310,3.8001,1.9607
2011-09-30,3.79720,0.00010,26.65030,16.55980,16.55980,16.63550,10.21080,0.44060,49.51220,102.66330,0.87670,6.04670,6.18240,4.49860,6.04670,31.91880,3.6366,2.5353
2011-06-30,3.76190,0.00010,25.77490,14.67260,14.67260,14.32170,8.86290,0.45230,50.22400,46.42310,1.93870,5.39440,5.52350,4.00900,5.39440,30.00680,3.3474,2.3649
2011-03-31,3.79650,0.00010,25.22420,14.68850,14.68850,14.74490,9.10550,0.43990,43.59080,32.93150,2.73290,5.37610,5.51640,4.00520,5.37610,27.72590,2.15360,1.32000
2010-12-31,3.30120,0.00010,25.93510,15.33450,15.33450,15.39890,9.62550,0.43020,50.34920,16.53260,5.44380,5.72780,5.88710,4.14090,5.72780,26.09490,2.9097,1.5926
2010-09-30,3.33940,0.00020,27.65490,16.26930,16.26930,16.34920,10.11340,0.46190,48.08290,32.80420,2.74360,6.33720,6.52530,4.67160,6.33720,24.59770,2.148,1.2074
2010-06-30,3.37410,0.00010,26.85900,16.05670,16.05670,16.12990,9.95220,0.46260,53.70430,123.27460,0.73010,6.19470,6.38130,4.60410,6.19470,24.03510,2.1732,1.4827
2010-03-31,3.26160,0.00010,26.11630,14.96170,14.96170,15.00950,9.23810,0.41270,47.93970,116.58680,0.77200,5.15360,5.31230,3.81230,5.15360,23.34400,1.88180,1.26250
2009-12-31,2.91180,0.00010,24.51650,13.00110,13.00110,13.06050,8.15290,0.40310,52.10760,81.36550,1.10610,4.49150,4.63610,3.28610,4.49150,22.34420,2.5145,1.3765
2009-09-30,3.08880,0.00010,25.51570,14.14130,14.14130,14.15630,8.89210,0.42140,49.28080,47.79640,1.88300,5.05570,5.22390,3.74680,5.05570,21.54970,2.0441,1.1405
2009-06-30,2.95640,0.00010,26.03360,14.74200,14.74200,14.76950,9.10230,0.44520,50.32510,43.03190,2.09150,5.45300,5.64370,4.05260,5.45300,20.50550,1.6144,0.844
2009-03-31,2.60050,0.00010,23.52480,11.62030,11.62030,11.65560,7.16370,0.41480,47.01200,105.02400,0.85690,4.01430,4.15850,2.97120,4.01430,19.87450,1.94710,1.10830
