Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2016-03-31,0.2007,0.2511,4.8585,4.8585,4.0018,2.4462,0.0837,1.323,1.2865,0.2322,0.9667,54.24,1.8647,1.7289
2015-12-31,0.2037,0.2559,9.1934,9.1934,8.2844,5.2928,0.083,2.6752,2.6002,0.4672,1.9444,52.5591,2.209,2.0088
2015-09-30,0.2015,0.2524,11.4643,11.4643,10.5782,6.8786,0.0853,3.4652,3.3705,0.6141,2.5313,52.5744,3.5219,3.2996
2015-06-30,0.1958,0.2435,6.8693,6.8693,5.8562,3.6295,0.0839,1.8157,1.768,0.3314,1.3404,52.9801,1.8187,1.636
2015-03-31,0.1897,0.2342,12.9468,12.9468,12.0755,7.2386,0.0828,3.3133,3.23,0.6265,2.4732,54.2274,1.3393,1.1997
2014-12-31,0.1873,0.2305,15.036,15.036,14.1797,9.0764,0.0807,4.0082,3.908,0.7596,3.0025,53.3589,1.4363,1.259
2014-09-30,0.1887,0.2327,14.5255,14.5255,13.3169,8.393,0.0825,3.7944,3.6997,0.7211,2.8375,53.2912,3.2233,3.0247
2014-06-30,0.2036,0.2556,11.6817,11.6817,10.7788,6.93,0.0804,3.0531,2.9788,0.5851,2.246,52.7005,1.6784,1.5184
2014-03-31,0.219,0.2805,11.527,11.527,9.7766,6.7596,0.0699,2.9126,2.876,0.4827,2.1198,50.9332,1.0468,0.9254
2013-12-31,0.224,0.2887,15.7757,15.7757,14.1379,9.2129,0.0712,3.9662,4.0569,0.6647,2.9659,47.8397,2.4452,2.2533
2013-09-30,0.2303,0.2992,14.8848,14.8848,6.013,3.6621,0.0692,1.5698,1.6174,0.2584,1.1705,45.5702,3.2968,3.1393
2013-06-30,0.216,0.3007,13.8045,13.8045,6.9876,4.9391,0.0723,2.2153,2.3296,0.3573,1.7124,42.729,1.7387,1.7727
2013-03-31,0.2413,0.318,13.6122,13.6122,12.1706,8.3776,0.0668,3.4386,3.6584,0.56,2.609,44.0577,1.5391,1.4143
2012-12-31,0.2274,0.2943,7.5114,7.5114,6.3648,4.6098,0.0673,1.9145,2.0372,0.3104,1.4791,42.9645,0.8508,0.6319
2012-09-30,0.2252,0.2907,14.0379,14.0379,12.8937,8.8952,0.064,3.4698,3.6897,0.5693,2.6883,43.1408,1.7514,1.6271
2012-06-30,0.2373,0.3111,8.4803,8.4803,7.2723,5.1099,0.0659,2.172,2.32,0.337,1.6567,40.072,1.9833,1.8501
2012-03-31,0.2397,0.3154,14.4702,14.4702,13.2983,9.1605,0.0664,3.9875,4.2631,0.6083,3.0315,38.9655,1.6092,1.5075
2011-12-31,0.2438,0.3224,13.8295,13.8295,12.5546,8.645,0.0658,3.8852,4.1676,0.5687,2.938,36.5788,0.4379,0.2789
2011-09-30,0.2458,0.3258,3.834,3.834,2.6571,2.1233,0.0649,0.9653,1.0142,0.1378,0.7281,35.899,0.841,0.7324
2011-06-30,0.2391,0.3143,-11.6446,-11.6446,-12.8202,-7.7218,0.0626,-3.3204,-3.4823,-0.4836,-2.5263,36.3501,1.0481,0.9355
2011-03-31,0.234,0.3055,10.6609,10.6609,9.1662,6.4731,0.0621,2.7093,2.8375,0.4018,2.0753,36.9103,1.3606,1.2706
2010-12-31,0.2368,0.3102,5.1812,5.1812,4.1672,3.45,0.0618,1.465,1.5355,0.2132,1.1181,35.7298,1.2328,1.1441
2010-09-30,0.2344,0.3061,7.347,7.347,6.1963,4.6409,0.0597,1.9014,1.9915,0.2769,1.4557,35.8773,1.7108,1.628
2010-06-30,0.2465,0.3271,3.5136,3.5136,2.1682,1.8939,0.0585,0.8026,0.8434,0.1108,0.6048,33.5818,2.0771,1.9943
2010-03-31,0.2515,0.336,2.6971,2.6971,1.3808,1.5486,0.0585,0.6823,0.718,0.0906,0.5107,32.6915,1.7793,1.735
2009-12-31,0.2611,0.3534,10.0645,10.0645,8.6001,6.4284,0.0607,3.0979,3.269,0.3905,2.2889,31.1378,1.4604,1.375
2009-09-30,0.2753,0.3799,4.8008,4.8008,2.9676,2.9148,0.056,1.2604,1.3265,0.1631,0.9134,32.7127,1.9,1.8283
2009-06-30,0.306,0.441,6.9376,6.9376,5.4299,4.5819,0.0638,2.5765,2.7348,0.2923,1.788,28.1679,1.7669,1.6729
2009-03-31,0.3156,0.4612,-0.0127,-0.0127,-1.6618,-3.4758,0.0605,-2.2329,-2.4041,-0.2102,-1.5282,22.8937,2.8243,2.7259
