Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2012-12-31,0.2714,0.3732,23.3488,23.3488,20.4031,-0.9922,0.0403,1.9533,2.0355,0.6023,1.4232,62.9803,1.8918,1.0108
2012-09-30,0.2625,0.3566,13.9435,13.9435,11.0094,4.7645,0.0467,1.2469,1.2958,0.3897,0.9196,63.1692,2.5326,2.2308
2012-06-30,0.2718,0.3769,9.5927,9.5927,6.3164,1.6529,0.0438,0.8168,0.8486,0.2561,0.5948,61.2806,1.9597,0.6474
2012-03-31,0.2707,0.3749,22.7564,22.7564,19.7917,9.8024,0.0485,2.1517,2.2358,0.6719,1.5692,60.7835,0.8253,0.3296
2011-12-31,0.2775,0.3879,17.179,17.179,13.8466,7.7851,0.0462,1.7756,1.8479,0.5474,1.2829,58.5438,4.7442,3.1781
2011-09-30,0.2541,0.3918,16.434,16.434,12.7691,4.712,0.0451,1.341,1.3915,0.4141,1.0003,59.2976,2.7972,2.3292
2011-06-30,0.2807,0.3905,19.1135,19.1135,15.4715,7.0582,0.0466,1.7204,1.7855,0.5311,1.2375,57.999,-0.4872,-0.8366
2011-03-31,0.2839,0.4049,24.7546,24.7546,20.638,10.3326,0.0483,2.3971,2.4879,0.7398,1.7165,57.1385,2.7282,2.3657
2010-12-31,0.2765,0.4102,29.0175,29.0175,25.4374,12.5707,0.0487,2.8997,3.0112,0.8784,2.0979,55.7381,-2.2507,-2.8021
2010-09-30,0.2731,0.4033,10.4026,10.4026,6.9711,0.9727,0.0482,0.7405,0.7684,0.2265,0.5382,56.4619,0.2311,0.2342
2010-06-30,0.2793,0.3985,26.6781,26.6781,23.035,10.4991,0.0464,2.3804,2.4736,0.7208,1.7155,54.3381,1.2136,1.9953
2010-03-31,0.3027,0.437,27.6326,27.6326,24.1314,11.3116,0.0489,2.8327,2.9474,0.8213,1.9751,52.3976,0.694,0.1936
2009-12-31,0.31,0.4498,26.4521,26.4521,23.1293,10.5442,0.0516,2.8788,3.0006,0.8195,1.9863,49.6036,4.2155,3.4976
2009-09-30,0.291,0.4108,28.7587,28.7587,25.6287,12.5201,0.0498,3.2663,3.4038,0.9213,2.3159,49.1995,2.5841,0.8152
2009-06-30,0.3156,0.4624,24.5048,24.5048,21.3922,9.6208,0.0493,2.9794,3.1219,0.7804,2.039,43.2286,1.1768,-0.6718
2009-03-31,0.3335,0.5014,8.6669,8.6669,-28.7132,-21.4026,0.0434,-2.7995,-2.9524,-0.6789,-1.866,38.8271,2.6154,1.3123
