Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2014-12-31,0.778,3.5038,50.5188,50.5187,32.5052,31.2267,0.0439,8.0575,7.9978,1.6118,1.7758,19.1497,2.5696,1.5085
2014-09-30,0.7833,3.614,49.2071,49.2071,18.6446,20.4073,0.0416,5.1003,5.0619,1.0008,1.0971,18.8771,2.1269,1.8018
2014-06-30,0.7817,3.5812,47.5076,47.5076,25.9396,34.3988,0.0386,8.0642,8.0059,1.6007,1.7476,19.6792,1.9612,1.4518
2014-03-31,0.7716,3.3779,48.4835,48.4835,26.5104,29.5282,0.0353,5.2728,5.2387,1.0978,1.1966,22.0959,2.1294,1.4609
2013-12-31,0.7687,3.3228,52.1973,52.1973,28.4831,34.7842,0.0329,5.0822,5.0491,1.0337,1.168,21.9653,2.4901,1.8043
2013-09-30,0.7696,3.3404,47.8236,47.8236,24.2204,27.176,0.0357,4.8626,4.8308,1.0237,1.113,21.9264,2.2417,1.487
2013-06-30,0.7692,3.3334,46.9993,46.9993,22.4619,31.3307,0.0339,5.3112,5.2765,1.1217,1.2176,21.932,2.198,1.5721
2013-03-31,0.7679,3.3082,45.8981,45.8981,22.4403,23.3024,0.0381,4.9341,4.9019,1.0489,1.1378,22.0072,1.7759,1.131
2012-12-31,0.7703,3.3531,55.5483,55.5483,23.259,43.7725,0.0221,3.1264,3.1061,0.657,0.7135,22.2427,2.282,1.5739
2012-09-30,0.7679,3.3088,45.9829,45.9829,22.4689,20.7486,0.0384,4.5213,4.4916,0.9581,1.0424,22.0497,2.0538,1.2486
2012-06-30,0.7591,3.1507,44.1328,44.1328,19.8446,18.1341,0.0371,3.6826,3.6594,0.8158,0.8816,23.5077,2.0167,1.3031
2012-03-31,0.7576,3.1261,46.1783,46.1783,23.1143,57.679,0.0345,10.786,10.7195,2.4118,2.5979,24.0634,1.9377,1.5175
2011-12-31,0.7689,3.3271,46.1946,46.1946,25.1497,30.9842,0.0447,8.0362,7.9709,1.6857,1.8421,18.8674,1.7294,1.231
2011-09-30,0.7646,3.248,45.0127,45.0127,22.2657,25.5036,0.042,6.1055,6.0555,1.3051,1.4255,18.7614,2.0425,1.5805
2011-06-30,0.7534,3.0551,44.9217,44.9217,21.4299,19.7069,0.0424,4.5352,4.4984,1.0211,1.1093,18.9687,1.5186,1.1651
2011-03-31,0.7554,3.0884,44.2104,44.2104,19.882,17.5916,0.0415,3.9832,3.9508,0.8941,0.9663,18.9567,1.5422,1.3386
2010-12-31,0.7562,3.1016,45.2488,45.2488,22.707,19.4623,0.045,4.7791,4.7406,1.0744,1.1558,19.2303,1.6385,1.4203
2010-09-30,0.7572,3.118,40.6213,40.6213,-3.7306,23.5505,0.0395,5.0434,5.0025,1.1317,1.2148,19.1459,1.73,1.5082
2010-06-30,0.7622,3.2055,44.5032,44.5032,16.4963,16.3356,0.039,3.5067,3.4767,0.7739,0.8267,18.1869,1.0905,0.87
2010-03-31,0.7767,3.4782,46.1495,46.1495,-0.2884,1.0132,0.037,0.4073,0.4037,0.0831,0.0901,17.7861,1.5654,1.3462
2009-12-31,0.7823,3.5945,27.7309,27.7309,11.5932,8.9034,0.0396,2.2567,2.2368,0.4468,0.4868,18.1382,1.6603,1.3672
2009-09-30,0.7854,3.6599,42.4006,42.4006,14.5196,11.4113,0.0356,2.7534,2.7287,0.5358,0.5856,18.0055,1.4398,1.2248
2009-06-30,0.7845,3.6412,40.4129,40.4129,-2.1851,-2.2974,0.0361,-0.2891,-0.2864,-0.0564,-0.0617,17.5262,1.467,1.1541
2009-03-31,0.8255,4.7312,39.6537,39.6537,15.0442,11.6243,0.0394,4.0304,3.98,0.628,0.6944,14.3981,1.8415,1.2609
