Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2016-03-31,4.6051,0.5884,1.4304,77.679,28.7319,28.7319,27.6556,22.555,0.109,3.5676,25.227,7.6302,28.0886,2.4582,3.1407,5.5267,0.5479,0.4128
2015-12-31,3.4927,0.5065,1.0263,78.7683,28.5099,28.5099,27.9931,20.5426,0.1308,3.7512,23.9923,7.9532,25.7002,2.9456,3.925,5.5541,0.9024,0.7884
2015-09-30,1.8665,0.5121,1.1459,79.3711,27.5369,27.5369,31.6818,25.6789,0.1145,3.5277,25.5122,8.3949,27.8061,2.972,4.0959,5.3965,0.564,0.3657
2015-06-30,1.6734,0.2544,0.3849,79.4313,20.2844,20.2844,26.1611,3.9336,0.0462,0.1756,512.4455,2.1712,3.7005,0.9418,1.6189,16.2603,0.9468,0.7824
2015-03-31,1.5055,0.258,0.3922,80.0582,25.6672,25.6672,26.1524,30.3736,0.046,0.1358,662.5328,2.2981,4.4491,1.0013,1.7051,16.1471,0.9365,0.8584
2014-12-31,1.5134,0.254,0.3832,80.9729,31.4679,31.4679,31.7693,44.0379,0.0515,3.8717,23.2458,3.6622,4.8272,1.6153,2.7321,16.2631,1.3483,1.1844
2014-09-30,1.5556,0.2705,0.3834,80.7907,27.7209,27.7209,28.5116,31.3023,0.0483,0.1549,580.9814,2.5694,5.1166,1.1444,1.8744,15.9501,1.1204,1.1154
2014-06-30,1.276,0.1784,0.2805,71.2162,20.814,20.814,21.0578,16.4758,0.0985,0.2986,301.4112,3.7955,8.0999,1.7291,3.1185,15.2861,1.1857,1.0149
2014-03-31,1.4204,0.1738,0.2105,68.3013,20.6007,20.6007,20.4833,-54.5753,0.1051,0.3228,278.7846,-11.8619,-24.3637,-5.7368,-9.8007,15.4767,0.9201,0.7586
2013-12-31,1.8422,0.1483,0.1744,68.0132,22.5607,22.5607,22.6932,18.7638,0.1092,0.3499,257.245,5.1,8.9739,2.9069,4.3438,18.2743,1.3077,1.5298
2013-09-30,1.9518,0.1533,0.199,68.5509,20.5293,20.5293,22.4306,17.703,0.0971,0.317,283.944,3.0263,5.1657,1.7196,2.5623,17.5943,1.0217,0.7785
2013-06-30,2.0091,0.16,0.2094,68.7645,19.3449,19.3449,19.4996,16.5076,0.1006,0.3223,279.2159,2.956,5.1902,1.6602,2.4831,16.7318,0.7732,0.5034
2013-03-31,1.9058,0.1628,0.2139,69.2636,21.3447,21.3447,21.5848,18.063,0.0986,0.3179,283.111,3.2067,5.8192,1.7816,2.6847,16.3027,0.7104,0.4837
2012-12-31,1.9588,0.1644,0.2166,69.3637,21.8938,21.8938,21.9689,18.8126,0.1077,0.3604,249.7094,4.8071,8.9554,2.7054,4.0167,16.1244,1.0452,0.8228
2012-09-30,2.4657,0.1845,0.2269,69.9765,19.5946,19.5946,19.7415,17.5382,0.1047,0.4667,192.8232,2.998,5.8604,1.8368,2.4448,15.3887,0.8744,0.6007
2012-06-30,1.9526,0.0743,0.1101,70.9535,20.4532,20.4532,25.0441,20.3649,0.1202,0.5177,173.8552,3.6591,7.503,2.4489,3.3872,14.6832,0.5864,0.3139
2012-03-31,1.8793,0.0752,0.1114,70.0031,19.9268,19.9268,20.8728,17.394,0.1162,0.659,136.5792,3.0467,6.3666,2.0208,2.8176,14.4919,0.406,0.2209
2011-12-31,1.8802,0.0784,0.1166,69.2604,22.2485,22.2485,72.0414,58.5503,0.1237,0.5495,163.784,11.0374,24.2554,7.2438,10.1722,13.9425,0.7433,0.5233
2011-09-30,1.5886,0.0864,0.1574,68.9818,18.1052,18.1052,20.7687,16.5543,0.1191,0.7623,118.063,3.0374,7.7072,1.9718,2.775,12.525,0.6232,0.4049
2011-06-30,1.6052,0.0863,0.157,71.9928,18.8044,18.8044,10.5435,10.2536,0.1111,0.7021,128.187,1.7458,4.3523,1.1396,1.5953,12.5813,0.5967,0.4145
2011-03-31,2.4173,0.0857,0.1125,71.3669,22.1917,22.1917,22.3095,18.696,0.1107,0.7971,112.9026,2.9854,5.3382,2.0691,2.7295,12.2871,0.5303,0.4174
2010-12-31,2.45,0.089,0.1173,71.8724,23.6726,23.6726,23.5247,22.4132,0.1134,0.8303,108.397,3.6546,6.5267,2.5415,3.3294,11.7917,0.6452,0.4959
2010-09-30,2.4822,,,71.5372,21.7906,21.7906,22.9831,19.2012,0.1128,0.775,116.1329,2.873,5.1878,2.1653,2.873,11.5334,0.5632,0.4373
2010-06-30,2.434,,,72.2228,21.8728,21.8728,22.5418,18.6059,0.1182,0.8373,107.4904,2.9091,5.3972,2.1986,2.9091,10.8004,0.5455,0.3899
2010-03-31,2.3076,,,72.3798,22.2494,22.2494,22.5247,18.1076,0.1175,0.8108,111.0042,2.8152,5.4534,2.1276,2.8152,10.8085,0.3154,0.2006
2009-12-31,2.323,,,71.7118,7.5655,7.5655,67.1803,57.1465,0.1288,0.9242,97.3839,9.827,19.7027,7.3603,9.827,10.6239,0.5984,0.4644
2009-09-30,1.7752,,0.0157,71.2265,19.7931,19.7931,19.5873,15.6282,0.1289,0.9273,97.0551,2.7428,9.1427,2.015,2.7428,9.8634,0.5541,0.4222
2009-06-30,1.6754,,0.0336,71.7934,19.623,19.623,19.4071,15.6026,0.1266,0.9012,99.8676,2.7458,10.3226,1.976,2.7458,9.2406,0.5569,0.4588
2009-03-31,1.9497,,0.036,71.6228,20.9228,20.9228,21.8182,17.6737,0.1336,1.0221,88.0501,3.2127,9.717,2.3606,3.2127,8.6405,0.5191,0.4485
