,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-03-31,127.24800,28.99900,11.91300,40.91200,,,,-3.95600,-3.95600,164.20400,-30.50800,,11.59900,11.59900,,-18.90900,498.73000,-480.84700,17.88300,-59.46700,-59.46700,-2.44800,1.11400,-42.91800,105.89700,7.49100,-2.44800
2011-12-31,115.005,31.242,130.929,162.171,-9.664,-88.486,-27.547,-1.535,-108.558,168.618,-27.19,-250.28,-43.118,-43.118,0,-320.588,571.3,-459.502,111.798,-136.36,-136.36,-2.494,-0.871,-27.927,-175.093,7.668,-2.494
2011-09-30,136.058,30.989,10.124,41.113,0,0,0,7.071,7.071,184.242,-19.134,-1.104,-5.383,-5.383,0,-25.621,0,107.123,107.123,-170.198,-170.198,-2.547,-1.456,-67.078,78.971,7.63,-2.547
2011-06-30,148.894,29.851,-83.424,-53.573,0,0,0,9.288,9.288,104.609,-22.602,-51.889,13.075,13.075,0,-61.416,0,202.809,202.809,-162.965,-162.965,-2.608,-67.863,-30.627,18.209,7.061,-2.608
2011-03-31,128.88500,27.35700,-42.37000,-15.01300,,,,-6.13400,-6.13400,107.73800,-23.17800,,-0.08100,-0.08100,,-23.25900,,149.57000,149.57000,-176.58200,-176.58200,-2.63300,4.12900,-25.51600,67.11100,6.32000,-2.63300
2010-12-31,132.467,26.846,105.661,132.507,-157.657,-65.179,76.932,11.389,-104.292,160.682,-35.279,-15.481,8.904,8.904,0,-41.856,45.389,-149.786,-104.397,25.345,25.345,-2.612,9.001,-72.663,45.36,6.805,-2.612
2010-09-30,138.799,26.507,-27.935,-1.428,0,0,0,-9.031,-9.031,128.34,-29.242,-151.297,-24.529,-24.529,0,-205.068,0,121.004,121.004,13.874,13.874,-2.604,-24.784,107.49,43.851,6.965,-2.604
2010-06-30,131.009,25.149,-57.19,-32.041,0,0,0,5.06,5.06,104.028,-24.733,-10.624,-36.238,-36.238,0,-71.595,0,-19.824,-19.824,4.224,4.224,-2.602,-0.624,-18.826,4.958,6.172,-2.602
2010-03-31,100.13800,24.34400,-9.84300,14.50100,-82.00000,,,-0.79600,-82.79600,31.84300,-18.35300,-3.00000,-8.35300,-8.35300,,-29.70600,,48.60600,48.60600,3.17300,3.17300,-2.59500,-0.46400,48.72000,47.10600,5.44300,-2.59500
2009-12-31,89.977,25.601,-119.983,-94.382,102.588,76.332,-31.709,4.956,156.119,151.714,-14.227,-7.321,-19.228,-19.228,0,-40.776,-39.107,0,-39.107,20.982,20.982,-2.573,-12.054,-32.752,77.044,4.981,-2.573
2009-09-30,83.364,25.153,38.053,63.206,-3,0,0,2.372,-0.628,145.942,-14.775,-1.115,-13.521,-13.521,0,-29.411,365.97,-395.2,-29.23,1.484,1.484,0,-5.11,-32.856,86.804,5.231,0
2009-06-30,76.825,24.779,47.046,71.825,-12,0,0,5.226,-6.774,141.876,-13.961,-10.114,-2.013,-2.013,0,-26.088,-359.919,309.313,-50.606,2.791,2.791,-2.571,0.589,-49.797,70.246,5.244,-2.571
2009-03-31,77.05000,22.99100,39.03900,62.03000,6.00000,,,-2.31500,3.68500,142.76500,-16.87100,-261.46400,1.42000,1.42000,,-276.91500,,85.88700,85.88700,0.22400,0.22400,-5.13500,0.10700,81.08300,-64.46800,4.78400,-5.13500
