,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-09-30,579.7,633.8,280,913.8,157.6,67.5,8.6,318.3,432.3,1925.8,-1465,-1.9,-8.9,-8.9,26,-1449.8,716.9001,-346.6,370.3,11.6,11.6,-308.3,0.6,74.2,550.2,-308.3
2018-06-30,530.1,577.2,194.2,771.4,-249.6,2.7,75.7,127.8,-96.9,1204.6,-1317.6,-0.4,-14.0999,-14.0999,21,-1311.1,555.6999,-69.6,486.1,18.7,18.7,-308.1,-19.4,177.3,70.8,-308.1
2018-03-31,456.70000,567.10000,-56.40000,510.70000,39.70000,28.50000,-129.30000,-29.80000,-165.20000,802.20000,-1905.80000,-23.80000,-17.30000,-17.30000,19.10000,-1927.80000,280.20000,1020.20000,1300.40000,32.20000,32.20000,-306.10000,3.00000,1029.50000,-96.10000,-306.10000
2017-12-31,401.8,535.6,-15.5,520.1,-172.8,-40.6,33,2.7,224.3,1146.2,-1913.1,-34.8,-11.1998,-11.1998,25.4,-1933.7,433.9001,579.3,1013.2001,12.2,12.2,-316.9,0.8,709.3,-78.2,-316.9
2017-09-30,556.7,551.7,555,1106.7,-69.2,68,79.5,-97.2,-256.2,1407.2,-1267.8002,-34.3,-18.1001,-18.1001,-5.7,-1325.9,1146.4,-792.4,354,0,0,-290.1,1.3,65.2,146.5,-290.1
2017-06-30,376.2,522,180.5,702.5,34.7,-22.9,80.2,-0.9,-168.5,910.2,-1144.5998,-35.2,-11,-11,17.8,-1173,293.3999,315.7,609.0999,0,0,-293.5,-7.9,307.7,44.9,-293.5
2017-03-31,594.20000,517.00000,-100.40000,416.60000,235.80000,13.40000,-250.70000,-389.30000,-204.00000,806.80000,793.80000,-3.70000,-18.10000,-18.10000,4.20000,776.20000,-1220.90000,-177.00000,-1397.90000,,,-291.40000,2.20000,-1687.10000,-104.10000,-291.40000
2016-12-31,375.2,431,-249.6,181.4,14.2,48.6,117.1,-71.5,544.2,1100.8,-1502,-0.9,-17.1001,-17.1001,-97.9,-1617.9,523.2999,234.7,758,0,0,-291.2,-8.9,457.9,-59.2,-291.2
2016-09-30,-764.2,575.8,1823.6,2399.4,-74.8,118.6,70.4,35.1,60,1695.2,-1101.2,-48.4,-7.1,-7.1,27.7,-1129,261.8,-582,-320.2,3.3,3.3,-276.7,-7.2,-600.8,-34.6,-276.7
2016-06-30,503.9,546.5,324.3,870.8,-155.2,-11.6,11.8,-159.3,-448.8,925.9,-1082.3,-33.7,-6.0999,-6.0999,-39.3,-1161.4,-269.5,839.3,569.8,18.8,18.8,-276.6,-17.6,294.4,56.4,-276.6
2016-03-31,503.10000,537.60000,326.80000,864.40000,-10.80000,-95.40000,-34.40000,-257.80000,-567.60000,799.90000,-1203.50000,-45.50000,-14.30010,-14.30010,125.00000,-1138.30000,177.80000,421.00000,598.80000,12.10000,12.10000,-276.50000,18.00000,352.40000,14.00000,-276.50000
2015-12-31,470.7,525.1,-159.5,365.6,217.7,-232.4,29.8,-201.9,1.7,838,-1230.6,-38.7,-12.2001,-12.2001,-42.7,-1324.2,213.8999,18,231.8999,13.7,13.7,-275.6,15.6,-14.4,-10,-275.6
2015-09-30,519.6,571,348.7,919.7,16.5,45.8,-0.1,166.5,272.5,1711.8,-1101.2,-1.1,-26.4,-26.4,74.8,-1053.9,-101.9998,-323,-424.9998,12.1,12.1,-261.3,-1,-675.2,-17.4,-261.3
2015-06-30,431.3,524.9,217.5,742.4,-31.7,15.9,-59,-12.1,-232.5,941.2,-1104.5,-0.4,-7.7,-7.7,-61,-1173.6,227.7001,250,477.7001,25.4,25.4,-261.1,-4.8,237.2,4.8,-261.1
2015-03-31,630.70000,533.70000,130.70000,664.40000,-2.30000,132.10000,45.80000,-246.50000,-37.40000,1257.70000,-1077.00000,-51.80000,-18.00000,-18.00000,125.90000,-1020.90000,507.40000,-491.00000,16.40000,30.40000,30.40000,-261.00000,4.90000,-209.30000,27.90000,-261.00000
2014-12-31,192,509.8,193.2,703,-41.3,-121.2,-34.9,209.4,-7.6,887.4,-1252.8,-7.2,-11.2,-11.2,-55.7,-1326.9,593.4,64,657.4,10.6,10.6,-261.6,2.7,409.1,-31,-261.6
2014-09-30,494,519,81,600,54,15,-1,250,424,1518,-1014,-51,-18,-18,72,-1011,-89,-200,-289,34,34,-246,-2,-503,4,-246
2014-06-30,391,484,144,628,10,-2,-72,179,45,1064,-978,-9,-10,-10,-90,-1087,1,150,151,14,14,-245,1,-79,-102,-245
2014-03-31,561.00000,529.00000,30.00000,559.00000,-83.00000,209.00000,33.00000,-130.00000,13.00000,1133.00000,-950.00000,-49.00000,-17.00000,-17.00000,35.00000,-981.00000,-327.00000,575.00000,248.00000,15.00000,15.00000,-245.00000,4.00000,22.00000,174.00000,-245.00000
2013-12-31,347.2,432.1,-67.2,364.9,18.9,47.2,122.1,-208.3,344.1,1056.2,-1175.4,-43.7,-11,-11,-67.7,-1297.8,895.2002,-458,437.2002,22.2,22.2,-245.3,-0.8,213.3,-29.2,-245.3
2013-09-30,434,485,455,940,57,133,29,-5,150,1524,-843,-51,-20,-20,37,-877,-82,-320,-402,20,20,-240,5,-617,30,-240
2013-06-30,339,472,298,770,-49,-60,-54,-41,-349,760,-785,-12,-10,-10,-64,-871,38,231,269,26,26,-239,-7,49,-62,-239
2013-03-31,364.00000,454.00000,157.00000,611.00000,-4.00000,-1.00000,-3.00000,-142.00000,-219.00000,756.00000,-845.00000,-47.00000,-28.00000,-28.00000,148.00000,-772.00000,-203.00000,326.00000,123.00000,15.00000,15.00000,-230.00000,8.00000,-84.00000,-100.00000,-230.00000
2012-12-31,21,465,63,528,-12,-55,75,31,343,892,-917,-94,-13,-13,-86,-1110,499,-235,264,19,19,-229,0,54,-164,-229
2012-09-30,488,506,271,777,-97,30,-35,74,-66,1199,-733,-2,-17,-17,1,-751,-95,8,-87,14,14,-229,0,-302,146,-229
2012-06-30,363,490,215,705,-114,-73,-74,92,-231,837,-633,0,-10,-10,-95,-738,-37,158,121,19,19,-229,1,-88,11,-229
2012-03-31,390.00000,457.00000,291.00000,748.00000,207.00000,-126.00000,-26.00000,-287.00000,-262.00000,876.00000,-818.00000,-11.00000,-19.00000,-19.00000,56.00000,-792.00000,775.00000,-600.00000,175.00000,31.00000,31.00000,-229.00000,4.00000,-19.00000,65.00000,-229.00000
2011-12-31,311,426,-586,-160,56,-99,22,39,299,450,-822,-2,-12,-12,-87,-923,47,371,418,22,-42,-230,2,148,-325,-230
2011-09-30,930,481,-278,203,-2,129,21,215,473,1606,-714,-11,3,3,35,-687,-231,-360,-591,21,21,-223,3,-790,129,-222
2011-06-30,353,448,222,670,-128,25,39,45,-121,902,-556,-66,37,37,-82,-667,-444,206,-238,18,18,-223,0,-443,-208,-223
2011-03-31,355.00000,437.00000,-4.00000,433.00000,181.00000,121.00000,-126.00000,-38.00000,42.00000,830.00000,-473.00000,-241.00000,30.00000,30.00000,71.00000,-613.00000,220.00000,87.00000,307.00000,31.00000,31.00000,-224.00000,,114.00000,331.00000,-223.00000
2010-12-31,178,430,272,702,-100,-19,127,84,80,960,-828,-22,-36,-36,-62,-948,-491,-120,-611,28,28,-223,-2,-808,-796,-222
2010-09-30,557,468,-367,101,36,169,5,-103,462,1120,-516,-28,-76,-76,37,-583,-98,-6,-104,23,23,-204,0,-285,252,-203
2010-06-30,137,444,149,593,-185,-12,-85,342,-150,580,-499,-3,-17,-17,-43,-562,-219,408,189,16,16,-202,-1,2,20,-202
2010-03-31,346.00000,438.00000,-136.00000,302.00000,-617.00000,83.00000,-83.00000,-75.00000,-646.00000,2.00000,-470.00000,-38.00000,28.00000,28.00000,50.00000,-430.00000,-10.00000,938.00000,928.00000,26.00000,26.00000,-198.00000,,756.00000,328.00000,-197.00000
2009-12-31,239,419,327,746,-27,-81,37,-43,-381,604,-683,-16,-56,-56,-64,-819,217,-226,-9,22,22,-195,10,-172,-387,-194
2009-09-30,446,437,226,663,39,-81,-47,90,-95,1014,-617,-1,-17,-17,16,-619,530,-210,320,18,18,-201,-13,124,519,-200
2009-06-30,317,409,30,439,-73,-195,15,43,-216,540,-593,-76,-11,-11,-71,-751,-170,-1414,-1584,1640,1640,-195,-2,-141,-352,-195
2009-03-31,363.00000,395.00000,-13.00000,382.00000,102.00000,-118.00000,3.00000,-314.00000,-428.00000,317.00000,-725.00000,-76.00000,-21.00000,-21.00000,95.00000,-727.00000,831.00000,,831.00000,48.00000,48.00000,-170.00000,,709.00000,299.00000,-169.00000
