,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-06-30,-335,250,453,703,-199,89,156,46,349,96,0,0,0,0,0,96,0,0,0,-428,-428,-42,3,-467,55,49,-42
2018-03-31,-153.00000,415.00000,323.00000,738.00000,37.00000,4.00000,-16.00000,25.00000,610.00000,-610.00000,,,,,,-610.00000,-1111.00000,,-1111.00000,-71.00000,-71.00000,-32.00000,-38.00000,-1252.00000,-1214.00000,38.00000,-32.00000
2017-12-31,304,-151,-455,-606,-111,-6,6,-111,-413,-239,-44,0,0,0,0,-283,0,0,0,0,0,-32,11,-21,-170,12,-32
2017-09-30,212,385,-84,301,-102,29,61,-12,501,-226,33,0,0,0,0,-193,0,0,0,0,0,-30,-1,-31,485,33,-30
2017-06-30,245,249,-206,43,74,68,-45,97,409,-83,-33,-190,0,-190,3,-303,-226,0,-226,-55,-55,48,236,3,250,26,48
2017-03-31,317.00000,552.00000,-135.00000,417.00000,,,36.00000,36.00000,746.00000,-641.00000,,190.00000,,190.00000,-3.00000,-454.00000,226.00000,,226.00000,55.00000,55.00000,-113.00000,-292.00000,-124.00000,160.00000,55.00000,-113.00000
2016-12-31,2566,189,-2961,-2772,-145,-11,62,-201,-403,557,1641,0,0,0,-7,2191,-1615,0,-1615,-835,-835,193,-150,-2407,-426,40,193
2016-09-30,1007,413,-839,-426,81,-34,93,146,727,2897,-1641,0,0,0,34,1290,-1439,0,-1439,59,59,-109,143,-1346,662,23,-109
2016-06-30,-1563,504,1565,2069,-140,-30,23,-161,345,-309,0,0,0,0,-26,-335,160,0,160,49,49,-107,-12,90,88,32,-107
2016-03-31,-3468.00000,561.00000,2832.00000,3393.00000,146.00000,-121.00000,100.00000,240.00000,165.00000,-2358.00000,,0.00000,,,-1.00000,-2359.00000,137.00000,-626.00000,-489.00000,2196.00000,2196.00000,-198.00000,-16.00000,1493.00000,-675.00000,108.00000,-198.00000
2015-12-31,-3354,1609,2557,4166,229,-55,-260,-216,596,-1063,0,0,0,0,-8,-1071,583,625,1208,12,12,-168,-42,1010,523,244,-168
2015-09-30,-3909,744,4563,5307,273,-33,-183,155,1553,-1166,0,0,0,0,-3,-1169,25,-169,-144,9,9,-167,2,-300,62,0,-167
2015-06-30,-2793,814,3385,4199,36,-87,-670,-305,1101,-1439,0,0,0,0,-8,-1447,1060,-778,282,2,2,-163,89,210,-133,0,-163
2015-03-31,-3589.00000,930.00000,3927.00000,4857.00000,404.00000,-15.00000,-9.00000,380.00000,1648.00000,-2119.00000,,,,,3.00000,-2116.00000,470.00000,15.00000,485.00000,2.00000,2.00000,-152.00000,557.00000,892.00000,378.00000,,-152.00000
2014-12-31,-379,999,1128,2127,153,50,-22,-990,1003,-2264,0,0,0,0,2,-2262,-1782,933,-849,246,246,-147,95,-655,-1928,163,-147
2014-09-30,1041,842,-609,233,209,-163,-465,285,1559,557,0,0,0,0,3,560,163,-456,-293,61,61,-144,-13,-389,1702,0,-144
2014-06-30,700,828,-119,709,221,25,425,640,2049,753,0,0,0,0,47,800,-2039,-1119,-3158,92,92,-140,12,-3194,-321,0,-140
2014-03-31,329.00000,739.00000,569.00000,1308.00000,-455.00000,20.00000,177.00000,-227.00000,1410.00000,-7376.00000,,,57.00000,57.00000,37.00000,-7282.00000,1769.00000,257.00000,2026.00000,11.00000,11.00000,-190.00000,-3.00000,1844.00000,-4039.00000,,-190.00000
2013-12-31,207,711,606,1317,-1,-101,-7,-87,1437,-1436,0,0,0,0,-86,-1522,2233,-295,1938,2,2,-89,-1,1850,1746,0,-89
2013-09-30,429,691,463,1154,-287,127,171,18,1601,-1368,0,869,0,869,1,-498,0,-82,-82,0,0,-89,0,-171,957,0,-89
2013-06-30,683,674,-58,616,0,0,97,97,1396,-1638,0,357,-1,356,85,-1197,0,-2003,-2003,1,1,-89,2,-2089,-1912,0,-89
2013-03-31,-1339.00000,704.00000,1792.00000,2496.00000,,,-155.00000,-155.00000,1002.00000,-1897.00000,,1117.00000,1.00000,1118.00000,-3.00000,-782.00000,,508.00000,508.00000,,,-81.00000,3.00000,430.00000,638.00000,,-81.00000
2012-12-31,-357,731,844,1575,140,-8,-152,-75,1143,-1926,0,-179,0,-179,-5,-2110,-7,361,354,2,2,-82,0,274,-701,0,-82
2012-09-30,-719,716,922,1638,0,0,442,442,1361,-1428,0,-1220,0,-1220,4,-2644,0,600,600,3,3,-80,4,527,-763,0,-80
2012-06-30,477,684,264,948,0,0,1,1,1426,-1315,0,338,0,338,15,-962,1715,-1855,-140,2,2,-82,0,-220,273,0,-82
2012-03-31,393.00000,680.00000,302.00000,982.00000,,,-349.00000,-349.00000,1026.00000,-2088.00000,,221.00000,,221.00000,57.00000,-1810.00000,750.00000,357.00000,1107.00000,20.00000,20.00000,-80.00000,1.00000,1048.00000,273.00000,,-80.00000
2011-12-31,507,626,436,1062,0,0,441,441,2010,-1903,0,-272,0,-272,-22,-2197,0,530,530,-345,-345,-69,2,118,-63,0,-69
2011-09-30,1038,566,197,763,0,0,-397,-397,1404,-1787,0,2136,0,2136,1,350,461,856,1317,-692,-692,-69,-1,555,2267,0,-69
2011-06-30,2743,550,-1622,-1072,60,-45,-126,-121,1550,-1888,0,-1731,0,-1731,3194,-425,0,1143,1143,-576,-576,-72,3,498,1635,0,-72
2011-03-31,416.00000,506.00000,536.00000,1042.00000,-60.00000,45.00000,-193.00000,-198.00000,1260.00000,-1827.00000,,-1491.00000,,-1491.00000,-56.00000,-3374.00000,,1197.00000,1197.00000,-618.00000,-618.00000,-68.00000,9.00000,520.00000,-1574.00000,,-68.00000
2010-12-31,562,489,479,968,-185,-49,-54,-288,1242,-1504,0,-145,0,-145,-106,-1755,0,0,0,-146,-146,-70,9,-207,-708,0,-70
2010-09-30,2090,463,-957,-494,185,49,-486,-252,1344,-1570,0,0,-18,-18,1876,288,0,0,0,-496,-496,-69,1,-564,1082,0,-69
2010-06-30,706,489,-656,-167,78,29,751,858,1397,898,0,0,18,18,528,1444,-350,-240,-590,-423,-423,-70,3,-1080,1734,0,-70
2010-03-31,1192.00000,489.00000,307.00000,796.00000,-78.00000,-29.00000,-386.00000,-493.00000,1495.00000,10.00000,,0.00000,,,-99.00000,-89.00000,,-1192.00000,-1192.00000,8.00000,8.00000,-72.00000,3.00000,-1253.00000,171.00000,,-72.00000
2009-12-31,831,486,-1,485,142,-91,126,129,1445,-1061,0,0,0,0,-139,-1200,-177,63,-114,23,23,-71,2,-160,99,0,-71
2009-09-30,382,488,377,865,0,0,-32,-32,1215,-841,0,0,0,0,-120,-961,0,38,38,10,10,-71,1,-22,256,0,-213
2009-06-30,190,504,337,841,0,0,-1,-1,1030,-1018,0,0,0,0,-145,-1163,0,436,436,5,5,-72,3,372,255,0,70
2009-03-31,-3882.00000,630.00000,4200.00000,4830.00000,,,99.00000,99.00000,1047.00000,-1925.00000,,,,,-105.00000,-2030.00000,1186.00000,-111.00000,1075.00000,4.00000,4.00000,-70.00000,2.00000,1011.00000,17.00000,,-70.00000
