,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2014-06-30,0,0,0,0,0,0,0,0,144.533,-4.912,-6.988,61.406,-75.856,-14.45,0,-26.35,0,-5.897,-5.897,-91.617,-91.617,-16.761,6.732,-107.543,5.787,-16.761
2014-03-31,0.00000,,,,,,,,274.85000,-5.07500,-15.04200,-33.07700,-122.34400,-155.42100,,-175.53800,,18.66700,18.66700,-111.68100,-111.68100,-15.21900,4.36600,-103.86700,3.07300,-15.21900
2013-12-31,528.472,400.869,111.891,512.76,0,578.217,-7.151,571.066,348.137,-6.791,-16.713,59.1,-261.671,-202.571,0,-226.075,0,-3.931,-3.931,-114.75,-114.75,-15.424,6.646,-127.459,-1.849,-15.424
2013-09-30,0,0,0,0,0,0,0,0,278.523,-1.807,-14.473,-32.974,-22.454,-55.428,0,-71.708,-94.05,-30.15,-124.2,-76.678,-76.678,-15.571,4.911,-211.538,-6.145,-15.571
2013-06-30,0,0,0,0,0,0,0,0,202.246,-1.345,-12.252,73.434,-108.586,-35.152,0,-48.749,0,-26.864,-26.864,-95.177,-95.177,-15.78,3.866,-133.955,19.681,-15.78
2013-03-31,0.00000,,,,,,,,290.37400,-0.65500,-7.73800,-125.57700,-133.87600,-259.45300,,-267.84600,,43.12000,43.12000,-97.84300,-97.84300,-14.13600,5.89200,-62.96700,-36.45400,-14.13600
2012-12-31,529.324,385.167,84.705,469.872,-89.677,497.306,-8.115,399.514,245.171,-0.811,-196.359,282.316,-374.529,-92.213,0,-289.383,-123.711,-3.319,-127.03,-61.352,-61.352,-14.234,7.951,-194.665,-237.121,-14.234
2012-09-30,0,0,0,0,0,0,0,0,250.537,-1.176,-14.094,-300.8,163.298,-137.502,0,-152.772,267.899,-87.991,179.908,-41.423,-41.423,-14.308,4.397,128.574,228.165,-14.308
2012-06-30,0,0,0,0,0,0,0,0,163.084,-2.164,-26.764,-28.174,-3.367,-31.541,0,-60.469,0,93.621,93.621,-190.858,-190.858,-14.898,0.981,-111.154,-7.636,-14.898
2012-03-31,0.00000,,,,,,,,284.04700,-0.46000,-21.59500,-23.31100,-150.04900,-173.36000,,-195.41500,,6.45700,6.45700,-95.51000,-95.51000,-12.08700,9.27300,-91.86700,-5.81100,-12.08700
2011-12-31,497.161,364.583,5.45,370.033,-22.565,431.362,-2.776,406.021,174.982,-2.182,4.453,27.123,-220.9269,-193.8039,0,-191.533,0,16.607,16.607,-80.224,-80.224,-12.237,4.024,-71.83,-91.847,-12.237
2011-09-30,0,0,0,0,0,0,0,0,231.749,-1.471,-9.841,-28.128,5.191,-22.937,0,-34.249,0,17.622,17.622,-119.874,-119.874,-12.1,2.173,-112.179,85.73,-12.1
2011-06-30,0,0,0,0,0,0,0,0,152.686,2.08,-15.975,250.608,-147.467,103.141,0,89.246,0,-7.351,-7.351,-419.103,-419.103,-12.28,1.259,-437.475,-193.443,-12.28
2011-03-31,0.00000,,,,,,,,300.04700,-0.72400,-6.86100,-51.50400,-116.50800,-168.01200,,-175.59700,,-5.41600,-5.41600,-190.74200,-190.74200,-12.50800,5.66500,-203.00100,-82.00600,-12.50800
2010-12-31,498.866,376.988,63.149,440.137,-24.716,544.086,1.11,520.48,283.639,-6.267,331.24,-140.312,-46.3169,-186.6288,0,138.344,0,-9.642,-9.642,-65.946,-65.946,-13,3.135,-85.453,333.213,-13
2010-09-30,0,0,0,0,0,0,0,0,270.099,-0.619,-14.855,162.83,-329.3302,-166.5002,0,-181.974,0,-0.207,-0.207,-67.344,-67.344,-12.226,0.32,-79.457,5.174,-12.226
2010-06-30,0,0,0,0,0,0,0,0,171.573,-1.894,-14.878,78.878,-150.8839,-72.006,0,-88.778,-8.913,-11.953,-20.866,-63.041,-63.041,-12.41,0,-96.317,-12.647,-12.41
2010-03-31,0.00000,,,,,,,,303.28200,-0.32400,-11.78700,26.57700,-439.69900,-413.12200,,-425.23300,,-44.15700,-44.15700,-11.81200,-11.81200,-12.42500,,-68.39400,-191.97900,-12.42500
2009-12-31,404.953,429.253,235.711,664.964,-43.471,533.466,-18.172,471.823,387.362,-1.598,-5.498,-138.522,-65.7181,-204.2401,0,-211.336,-0.401,-101.804,-102.205,2.041,2.041,-11.591,0.115,-111.64,60.398,-11.591
2009-09-30,0,0,0,0,0,0,0,0,228.392,-1.655,-10.107,361.758,-713.1681,-351.4101,0,-363.172,-99.05,73.492,-25.558,1.64,1.64,-11.582,0.138,-35.362,-168.088,-11.582
2009-06-30,0,0,0,0,0,0,0,0,141.977,-1.162,-3.841,-290.756,117.355,-173.401,0,-178.404,296.308,44.626,340.934,0,0,-11.584,0,329.35,292.923,-11.584
2009-03-31,0.00000,,,,,,,,218.38200,-2.08400,-5.11000,-172.95400,-4.03900,-176.99300,,-184.18700,,24.76300,24.76300,-46.81500,-46.81500,-11.85800,,-33.91000,0.28500,-11.85800
