,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-06-30,1191,356,263,619,-3613,9371,6339,0,12097,13907,-320,49,-2001,-2001,-1192,-3464,712,-109,603,-8,-8,-120,-6702,-6227,4297,294,-120
2013-03-31,1231.00000,360.00000,188.00000,548.00000,2730.00000,-6990.00000,6976.00000,,2716.00000,4495.00000,-263.00000,481.00000,-1294.00000,-1294.00000,-2063.00000,-3139.00000,-1972.00000,337.00000,-1635.00000,-306.00000,-306.00000,-119.00000,-2102.00000,-4162.00000,-4002.00000,265.00000,-119.00000
2012-12-31,788,363,-565,-202,13716,-1192,-11048,0,1476,1993,-447,189,-49,-49,-1964,-2271,744,15,759,-5,-5,-120,10078,10712,10318,-7,-120
2012-09-30,-956,425,517,942,-12774,13633,4455,0,5314,5300,-429,0,-8313,-8313,-133,-8875,-3167,135,-3032,-31,-31,-119,1112,-2070,-5420,280,-119
2012-06-30,750,418,197,615,-5793,19151,-5257,0,8101,9466,-224,1536,1505,1505,-1031,1786,-6300,-29,-6329,-8,-8,-118,-1203,-7658,3281,246,-118
2012-03-31,134.00000,375.00000,399.00000,774.00000,-5179.00000,1704.00000,10567.00000,,7092.00000,8000.00000,-212.00000,,-2484.00000,-2484.00000,-569.00000,-3265.00000,-10723.00000,-826.00000,-11549.00000,-183.00000,-183.00000,-112.00000,-1037.00000,-12881.00000,-8587.00000,372.00000,-112.00000
2011-12-31,-184,217,805,1022,2636,30504,-29486,0,3654,4492,-216,0,-3444,-3444,-1575,-5235,-4634,-38,-4672,-6,-6,-120,-749,-5547,-6595,294,-120
2011-09-30,2293,428,258,686,9534,-5492,9043,0,13085,16064,-363,0,-2772,-2772,-7252,-10387,-277,-685,-962,-28,-28,-120,-1239,-2349,3160,278,-120
2011-06-30,1406,380,379,759,1146,-19271,12108,0,-6017,-3852,-316,0,2659,2659,0,2343,-2835,264,-2571,-10,-10,-292,2805,-68,-1861,388,-292
2011-03-31,1130.00000,379.00000,1014.00000,1393.00000,-7417.00000,2222.00000,1350.00000,,-3845.00000,-1322.00000,-409.00000,,2954.00000,2954.00000,,2545.00000,1239.00000,46.00000,1285.00000,-273.00000,-273.00000,-302.00000,2106.00000,2816.00000,4993.00000,340.00000,-302.00000
2010-12-31,1066,-418,-479,-897,-411,23402,-1798,0,21193,21362,-401,26,-4658,-4658,-307,-5340,-1664,-1393,-3057,-19,-19,-289,1948,-1417,14500,283,-289
2010-09-30,641,646,626,1272,-6424,-7253,1623,0,-12054,-10141,-364,0,-4110,-4110,-36,-4510,4220,814,5034,5556,5556,-285,-225,10080,-3232,306,-285
2010-06-30,1984,1037,-246,791,-4275,14414,-4622,0,5517,8292,-298,-228,-559,-559,283,-802,-1875,512,-1363,-12,-12,-289,-4414,-6078,869,301,-289
2010-03-31,2011.00000,154.00000,1215.00000,1369.00000,4618.00000,7609.00000,5494.00000,,17721.00000,21101.00000,-138.00000,,-18674.00000,-18674.00000,,-18812.00000,-1938.00000,945.00000,-993.00000,-261.00000,-261.00000,-293.00000,3125.00000,1578.00000,3487.00000,370.00000,-293.00000
2009-12-31,770,395,-662,-267,-1416,1674,3476,0,3734,4237,-570,0,0,0,0,-570,2989,-535,2454,-11,10939,-11237,-2293,-137,3381,244,-287
2009-09-30,793,466,702,1168,1433,-18992,6879,0,-10680,-8719,-428,-300,0,0,0,-728,3666,-117,3549,-6,-956,-367,157,2383,-6396,394,-367
2009-06-30,33,208,-200,8,-5233,-11937,8181,0,-8989,-8948,-752,-1287,0,0,0,-2039,-889,-381,-1270,6217,-3783,-433,2076,-3410,-13535,423,-433
2009-03-31,-190.00000,155.00000,268.00000,423.00000,2771.00000,-17758.00000,-17767.00000,,-32754.00000,-32521.00000,-1127.00000,-8.00000,,,,-1135.00000,5019.00000,-6691.00000,-1672.00000,5.00000,5.00000,-645.00000,6500.00000,4188.00000,-30129.00000,204.00000,-645.00000
