,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,245.00000,175.00000,27.00000,202.00000,-249.00000,-49.00000,53.00000,-45.00000,-325.00000,84.00000,-232.00000,-3.00000,2.00000,,,,-2.00000,-235.00000,-16.00000,234.00000,218.00000,-226.00000,-226.00000,-57.00000,-34.00000,-99.00000,-246.00000,15.00000,-57.00000
2018-12-31,257,204,69,273,183,130,-16,-44,240,757,-182,-16,-685,0,0,0,4,-879,-5,279,274,-285,-285,-62,0,-73,-204,25,-62
2018-09-30,231,164,19,183,-37,-93,-67,-117,-230,171,-208,0,0,0,0,0,0,-208,-3,-1,-4,-65,-65,-84,-8,-161,-199,6,-84
2018-06-30,303,158,-25,133,115,-38,5,38,120,545,-203,0,-507,0,0,0,-6,-716,-5,-45,-50,0,0,-58,-8,-116,-375,14,-58
2018-03-31,316.00000,157.00000,-35.00000,122.00000,-206.00000,-119.00000,140.00000,-89.00000,-272.00000,155.00000,-240.00000,,-5.00000,,,,,-245.00000,,35.00000,35.00000,-149.00000,-149.00000,-59.00000,-32.00000,-205.00000,-251.00000,13.00000,-59.00000
2017-12-31,277,156,-48,108,-165,42,185,-157,56,428,-217,0,-284,0,0,0,-69,-570,-2,-7,-9,0,0,-105,465,351,243,19,-105
2017-09-30,413,138,43,181,-57,-91,4,-10,-431,151,-165,-25,0,0,0,0,-29,-219,796,-3,793,-94,-94,-77,-4,618,561,15,-77
2017-06-30,386,131,126,257,31,-65,24,-26,-32,599,-145,-10,0,0,0,0,-38,-193,0,-1,-1,-95,-95,-78,-7,-181,245,15,-78
2017-03-31,352.00000,128.00000,-56.00000,72.00000,-96.00000,-110.00000,55.00000,-30.00000,-131.00000,290.00000,-164.00000,-15.00000,-40.00000,,,,-51.00000,-270.00000,,-4.00000,-4.00000,-194.00000,-194.00000,-88.00000,-46.00000,-332.00000,-291.00000,13.00000,-88.00000
2016-12-31,306,-35,-185,-220,23,148,-39,67,641,683,-38,0,193,1,0,1,-147,9,0,-20,-20,-104,-104,-97,0,-221,443,15,-97
2016-09-30,306,176,89,265,-89,-57,-1,-5,-135,415,-196,0,0,-1,0,-1,0,-197,-10,-65,-75,-95,-95,-91,-4,-265,-42,19,-91
2016-06-30,271,192,116,308,37,-31,-5,-7,16,575,-165,0,0,0,0,0,-1,-166,0,-270,-270,-77,-77,-79,-3,-429,-26,11,-79
2016-03-31,443.00000,165.00000,-73.00000,92.00000,-178.00000,-105.00000,80.00000,-4.00000,-248.00000,268.00000,-239.00000,-3.00000,37.00000,,,,-19.00000,-224.00000,,321.00000,321.00000,-358.00000,-358.00000,-92.00000,-37.00000,-166.00000,-116.00000,17.00000,-92.00000
2015-12-31,221,-47,212,165,34,165,17,80,287,695,36,20,-819,1,0,1,-202,-964,1290,-613,677,-213,-213,-70,-1,393,120,15,-70
2015-09-30,418,134,-116,18,86,-38,-57,-80,-75,339,-175,0,-764,-1,0,-1,-3,-943,0,392,392,-404,-404,-121,0,-133,-776,17,-121
2015-06-30,667,138,-218,-80,-26,-73,77,-27,-35,534,-144,-23,653,0,0,0,-28,458,0,-3,-3,-302,-302,-72,0,-377,634,22,-72
2015-03-31,229.00000,130.00000,145.00000,275.00000,-277.00000,-68.00000,105.00000,10.00000,-350.00000,135.00000,-213.00000,,,,,,-37.00000,-250.00000,207.00000,10.00000,217.00000,-240.00000,-240.00000,-86.00000,-58.00000,-167.00000,-303.00000,13.00000,-86.00000
2014-12-31,368,136,34,170,206,124,-22,71,379,873,-170,-5,-345,1,0,1,-10,-529,0,-2,-2,-362,-362,-85,0,-449,-122,20,-85
2014-09-30,325,139,39,178,210,37,-155,-47,19,499,-182,0,0,3,0,3,-12,-191,0,3,3,-304,-304,-129,0,-430,-140,21,-129
2014-06-30,406,138,53,191,9,-13,-4,22,49,627,-141,0,0,1,0,1,-26,-166,0,3,3,-205,-205,-76,0,-278,188,19,-76
2014-03-31,341.00000,136.00000,52.00000,188.00000,-358.00000,-127.00000,175.00000,-6.00000,-369.00000,136.00000,-271.00000,,,-3.00000,,-3.00000,-26.00000,-300.00000,1.00000,3.00000,4.00000,-153.00000,-153.00000,-84.00000,-8.00000,-241.00000,-411.00000,13.00000,-84.00000
2013-12-31,321,101,-20,81,218,141,-69,-12,322,680,-84,0,0,2,0,2,-78,-160,-4,-1,-5,-104,-104,-81,0,-190,336,10,-81
2013-09-30,293,140,50,190,12,-71,10,-24,-61,398,-156,0,-12,0,0,0,0,-168,-3,-5,-8,-113,-113,-71,0,-192,52,12,-71
2013-06-30,389,135,27,162,-73,-14,102,-50,-6,523,-121,0,0,-1,0,-1,0,-122,-6,-47,-53,-118,-118,-53,0,-224,171,14,-53
2013-03-31,298.00000,134.00000,65.00000,199.00000,-370.00000,-82.00000,194.00000,-11.00000,-329.00000,149.00000,-211.00000,,2.00000,4.00000,,4.00000,,-205.00000,-552.00000,533.00000,-19.00000,-122.00000,-122.00000,-61.00000,-14.00000,-216.00000,-275.00000,10.00000,-61.00000
2012-12-31,155,150,37,187,285,118,-131,-70,-5,310,-140,0,-980,3,0,3,12,-1105,-5,371,366,-103,-103,-8,0,255,-529,1,-8
2012-09-30,292,118,15,133,99,-12,-101,-32,5,414,-161,0,0,1,0,1,0,-160,0,17,17,-150,-150,-34,0,-167,111,8,-34
2012-06-30,350,117,3,120,209,26,-122,-16,3,461,-127,0,0,1,0,1,0,-126,0,-20,-20,-150,-150,0,0,-170,111,8,0
2012-03-31,363.00000,118.00000,29.00000,147.00000,-395.00000,-83.00000,201.00000,22.00000,-203.00000,293.00000,-257.00000,,-16.00000,-4.00000,,-4.00000,37.00000,-240.00000,,-18.00000,-18.00000,,,-5.00000,,-23.00000,49.00000,4.00000,-5.00000
2011-12-31,312,123,-34,124,185,92,-87,73,175,468,-168,0,5,1,0,1,-23,-185,-1491,-69,-840,0,0,-107,-109,-286,-23,8,-107
2011-09-30,285,128,12,140,221,-7,-186,-13,3,410,-147,0,0,7,0,7,4,-136,-1409,1354,-55,0,0,-24,-72,-151,64,2,-24
2011-06-30,316,117,-5,112,-68,-49,100,1,-69,343,-109,0,-22,5,0,5,4,-122,2386,-2925,-539,0,0,-5,-9,-553,-311,2,-5
2011-03-31,310.00000,117.00000,-8.00000,109.00000,-487.00000,-100.00000,271.00000,-86.00000,-246.00000,156.00000,-134.00000,,,575.00000,,575.00000,-8.00000,433.00000,-57.00000,2410.00000,2353.00000,,,,-4557.00000,-2204.00000,-1586.00000,2.00000,
2010-12-31,-8641,-258,-68,-326,0,0,0,0,-167,1240,-108,0,0,0,0,-671,35,-744,0,-390,-91,0,0,0,-2022,-2503,-2036,0,0
2009-12-31,9344,679,68,747,0,0,0,0,337,-98,-299,0,0,0,0,170,-38,-167,0,341,41,0,0,0,1995,2377,2148,0,0
