,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-03-31,302.02200,13.58600,-8.09900,5.48700,-89.36500,129.24800,-14.71200,59.58800,367.09700,,-152.71500,-250.36100,-403.07600,18.64100,-384.43500,,,-247.86200,-247.86200,-34.74200,70.70000,-211.90400,-225.97800,4.42700,-34.74200
2013-12-31,366.748,16.194,-69.624,-53.43,380.073,-409.29,-94.644,-40.021,273.297,0,-350.043,39.267,-310.776,32.102,-278.674,0,0,-72.131,-72.131,-35.961,143,34.908,21.848,16.756,-35.961
2013-09-30,238.527,14.787,-34.397,-19.61,-192.504,251.858,34.472,167.105,386.022,0,-139.544,51.8562,-87.6878,-64.95,-152.638,0,-40,-94.898,-94.898,-23.174,87.5,-70.572,150.398,4.923,-23.174
2013-06-30,275.642,16.914,-19.945,-3.031,-140.481,106.603,-51.651,-93.027,179.584,0,53.629,112.8949,166.5239,88.572,255.096,-329.897,-289.897,-191.672,-191.672,-23.315,0,-504.884,-85,4.551,-23.315
2013-03-31,384.34300,18.62000,-87.43500,-68.81500,-145.80300,74.35800,-48.95200,-56.17000,259.35800,,78.50700,-167.84310,-89.33610,41.54900,-47.78700,,,-211.71400,-211.71400,-24.23100,,-235.94500,-12.91400,5.61400,-24.23100
2012-12-31,58.777,16.063,-28.538,-12.475,-53.073,276.021,-70.746,168.894,215.196,0,112.153,-178.6702,-66.5172,-30.168,-96.685,0,0,-38.358,-38.358,-24.735,0,-63.093,58.492,9.158,-24.735
2012-09-30,250.922,14.842,-38.356,-23.514,-250.278,59.026,118.843,-52.482,174.926,0,-24.466,-131.5008,-155.9668,92.006,-63.961,0,0,-23.113,-23.113,-24.897,0,-48.01,79.707,9.452,-24.897
2012-06-30,214.551,16.212,28.188,44.4,36.33,-302.68,141.403,-120.179,138.772,0,-5.025,-72.2829,-77.3079,-20.058,-97.366,0,0,-84.656,-84.656,-25.129,0,-109.785,-73.196,7.652,-25.129
2012-03-31,304.70400,14.77900,-62.99200,-48.21300,58.05300,-128.22800,-17.26900,-90.75300,165.73800,,-257.70500,204.12790,-53.57710,47.04100,-6.53600,,,-122.38800,-122.38800,-25.64100,,-148.02900,23.39600,5.72200,-25.64100
2011-12-31,41.042,13.501,-194.796,-181.295,-85.753,310.7319,10.859,311.335,171.082,0,149.585,-205.738,-56.1531,-56.845,-112.998,0,0,-4.49,-4.49,-25.786,0,-30.276,4.945,4.74,-25.786
2011-09-30,63.054,8.826,67.75,76.576,83.484,-80.966,51.124,68.28,207.91,0,-51.333,-20.0209,-71.3538,4.168,-67.186,0,-40,-45.677,-45.677,-25.936,0,-111.613,32.183,5.295,-25.936
2011-06-30,131.312,12.83,-8.525,4.305,-34.537,40.206,-40.519,15.023,150.64,0,-130.222,-90.4049,-220.6269,215.596,-5.031,0,0,5.879,5.879,-26.081,0,-20.202,127.376,4.212,-26.081
2011-03-31,-315.89400,12.76400,10.53000,23.29400,-101.20500,539.09800,100.11900,480.70600,188.10600,-63.10000,132.93900,-110.24710,22.69190,-41.30100,-81.70900,,-10.00000,-35.93300,-35.93300,-26.04500,,-71.97800,25.73900,3.44600,-26.04500
2010-12-31,302.533,9.917,-31.971,-22.054,78.056,-162.157,-58.565,-152.617,127.862,0,-193.976,180.0547,-13.9213,49.301,35.38,0,-33,-50.097,-50.097,-26.063,0,-109.16,57.268,2.857,-26.063
2010-09-30,174.2,14.862,-4.172,10.69,59.402,114.637,-61.158,112.881,297.771,0,-208.162,108.9395,-99.2225,-1.701,-100.924,-200,-250,-99.129,-99.129,-26.574,200,-175.703,9.687,4.799,-26.574
2010-06-30,156.673,10.465,33.429,43.894,-26.523,1.67,45.796,20.943,221.51,0,209.878,-330.2232,-120.3452,-38.863,-159.208,200,333,-199.951,-199.951,-27.556,-200,-94.507,-22.706,3.589,-27.556
2010-03-31,-22.65200,10.92700,-62.38800,-51.46100,-40.90300,460.40800,-74.06000,345.44500,271.33200,,82.01900,-185.30790,-103.28890,58.02800,-45.26100,-200.00000,-200.00000,-46.31100,-46.31100,-28.28400,,-274.59500,-33.43900,3.54100,-28.28400
2009-12-31,197.227,19.429,81.839,101.268,-28.358,35.61,-119.679,-112.427,186.068,0,666.868,-782.492,-115.6237,35.967,-79.657,0,0,-94.32,-94.32,-28.668,0,-122.988,-17.477,3.057,-28.668
2009-09-30,228.618,5.96,-21.758,-15.798,45.594,129.014,-72.685,101.923,314.743,0,-229.898,-327.7251,-557.6233,104.102,-453.521,0,0,-39.963,-39.963,-29.1,0,-69.063,-207.225,3.534,-29.1
2009-06-30,272.588,4.439,-10.614,-6.175,31.088,-205.992,11.912,-162.992,103.421,0,78.14,-190.1638,-112.0238,49.629,-62.395,0,0,-49.162,-49.162,-29.549,0,-78.711,5.052,3.62,-29.549
2009-03-31,108.55600,2.53600,34.99200,37.52800,-46.61600,38.44700,42.59100,34.42200,180.50600,,712.92200,-493.40410,219.51790,3.69900,223.21700,-83.02600,-83.02600,0.13200,0.13200,-29.54000,,-112.43400,261.55400,3.13600,-29.54000
