,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-03-31,209.00000,155.00000,-109.00000,46.00000,-149.00000,-122.00000,-42.00000,53.00000,-260.00000,-5.00000,-106.00000,-19.00000,,,,-125.00000,-50.00000,370.00000,320.00000,-125.00000,-125.00000,-87.00000,-6.00000,102.00000,-31.00000,-87.00000
2018-12-31,35,153,67,220,245,37,83,120,485,740,-142,-3,0,0,-3,-148,33,-485,-452,-25,-25,-78,-3,-558,33,-78
2018-09-30,413,151,23,174,-16,-103,17,-90,-192,395,-137,0,0,0,1,-136,-125,71,-54,-125,-125,-78,-2,-259,0,-78
2018-06-30,346,148,-10,138,10,-78,-18,45,-41,443,-116,0,0,0,15,-101,-178,69,-109,-150,-150,-82,2,-339,-1,-82
2018-03-31,290.00000,152.00000,-152.00000,,-223.00000,-80.00000,8.00000,-30.00000,-325.00000,-35.00000,-128.00000,,,,50.00000,-78.00000,100.00000,199.00000,299.00000,-100.00000,-100.00000,-80.00000,-3.00000,116.00000,3.00000,-80.00000
2017-12-31,491,147,-465,-318,135,72,143,123,473,646,-197,-14,0,0,-2,-213,-200,-90,-290,-75,-75,-68,-5,-438,-4,-68
2017-09-30,324,148,58,206,-22,-35,8,47,-2,528,-160,14,0,0,-1,-147,-400,166,-234,-100,-100,-78,2,-410,-27,-78
2017-06-30,294,147,35,182,-17,-26,-2,0,-45,431,-146,0,0,0,-1,-147,0,-95,-95,-102,-102,-75,12,-260,25,-75
2017-03-31,279.00000,145.00000,-89.00000,56.00000,-149.00000,-82.00000,-26.00000,-26.00000,-283.00000,52.00000,-132.00000,-4.00000,,,,-136.00000,250.00000,,250.00000,-73.00000,-73.00000,-75.00000,,102.00000,16.00000,-75.00000
2016-12-31,118,144,81,225,76,42,73,-144,47,390,-210,-41,0,0,-45,-296,-128,105,-23,-41,-41,-68,15,-117,-26,-68
2016-09-30,233,145,37,182,46,-29,10,8,35,450,-182,37,0,0,-2,-147,-150,-47,-197,-67,-67,-72,0,-336,-33,-72
2016-06-30,257,144,44,188,-7,43,-14,27,49,494,-89,-1,0,0,4,-86,10,-290,-280,-17,-17,-72,0,-369,38,-72
2016-03-31,251.00000,147.00000,-123.00000,24.00000,-144.00000,-2.00000,-62.00000,-16.00000,-224.00000,51.00000,-104.00000,-21.00000,,,-1.00000,-126.00000,-10.00000,82.00000,72.00000,-20.00000,-20.00000,-68.00000,,-16.00000,-91.00000,-68.00000
2015-12-31,125,142,174,316,168,-3,37,-69,133,574,-226,0,0,0,0,-226,-275,38,-237,-67,-67,-59,0,-363,-16,-59
2015-09-30,258,142,11,153,49,-66,-30,4,-43,368,-160,-45,0,0,3,-202,-50,0,-50,-9,-9,-63,0,-122,41,-63
2015-06-30,299,142,-4,138,-12,22,-1,145,154,591,-141,0,0,0,-2,-143,-375,64,-311,-4,-4,-61,0,-376,72,-61
2015-03-31,172.00000,145.00000,2.00000,147.00000,-91.00000,21.00000,-108.00000,-50.00000,-228.00000,91.00000,-121.00000,,,,-1.00000,-122.00000,,93.00000,93.00000,-15.00000,-15.00000,-61.00000,,17.00000,-18.00000,-61.00000
2014-12-31,17,122,282,404,137,15,-18,-71,63,484,-185,-3184,0,0,-4,-3373,2950,-5,2945,-4,-4,-51,0,2890,2,-51
2014-09-30,212,111,53,164,73,-22,32,101,184,560,-152,-42,0,0,0,-194,0,-211,-211,-58,-58,-53,0,-322,37,-53
2014-06-30,294,110,31,141,-73,62,-23,18,-16,419,-120,-283,0,0,-2,-405,365,-231,134,-102,-102,-59,0,-27,-10,-59
2014-03-31,234.00000,107.00000,-65.00000,42.00000,-118.00000,-116.00000,-21.00000,-51.00000,-306.00000,-30.00000,-123.00000,,,,4.00000,-119.00000,125.00000,257.00000,382.00000,-228.00000,-228.00000,-56.00000,,98.00000,-52.00000,-56.00000
2013-12-31,349,107,-39,68,81,8,65,-68,86,503,-175,0,31,31,-5,-149,-300,125,-175,-121,-121,-46,0,-342,15,-46
2013-09-30,309,108,-53,55,95,21,-35,-18,63,427,-125,0,0,0,8,-117,-250,0,-250,-27,-27,-50,0,-327,-12,-50
2013-06-30,266,108,57,165,-59,18,-5,-23,-69,362,-95,0,0,0,-13,-108,-205,100,-105,-45,-45,-50,0,-200,56,-50
2013-03-31,248.00000,110.00000,-56.00000,54.00000,-155.00000,-53.00000,-27.00000,-62.00000,-297.00000,5.00000,-88.00000,,,,5.00000,-83.00000,-200.00000,200.00000,,14.00000,14.00000,-4.00000,,10.00000,-71.00000,-4.00000
2012-12-31,-52,108,288,396,111,8,-3,-20,96,440,-176,-1,7,7,3,-167,-200,0,-200,24,24,-85,0,-261,12,-85
2012-09-30,157,112,40,152,40,32,44,-72,44,353,-114,-2658,0,0,-4,-2776,-320,0,-320,17,17,-39,0,-342,-2763,-39
2012-06-30,180,71,27,98,0,-16,-11,65,38,316,-95,0,0,0,86,-9,2160,0,2160,0,0,-36,0,2124,2431,-36
2012-03-31,159.00000,69.00000,-85.00000,-16.00000,-103.00000,14.00000,-20.00000,-15.00000,-124.00000,19.00000,-85.00000,-10.00000,0.00000,,85.00000,-10.00000,5.00000,-1.00000,4.00000,15.00000,15.00000,-36.00000,,-17.00000,-8.00000,-36.00000
2011-12-31,13,69,165,234,74,69,-85,47,105,352,-126,-2,0,0,2,-126,-36,0,-36,-22,-22,-39,0,-97,129,-39
2011-09-30,174,69,43,112,65,-104,-36,1,-74,212,-129,-154,651,651,-611,-243,0,0,0,-123,-123,-33,0,-156,-186,-33
2011-06-30,220,67,47,114,17,-72,62,-134,-127,207,-729,0,0,0,649,-80,-2,0,-2,-98,-98,-33,0,-133,-6,-33
2011-03-31,240.00000,68.00000,-288.00000,-220.00000,-229.00000,-49.00000,8.00000,104.00000,-166.00000,-146.00000,518.00000,,-200.00000,-200.00000,-11.00000,307.00000,,1.00000,1.00000,-4.00000,-4.00000,-34.00000,,-37.00000,124.00000,-34.00000
2010-12-31,8,68,167,235,39,-60,96,-40,35,278,-112,-1,0,0,-6,-119,-120,1,-119,-135,-135,-31,0,-285,-126,-31
2010-09-30,170,73,40,113,36,-10,-34,41,33,316,-59,0,-11,-11,4,-66,-4,0,-4,-7,-7,-32,0,-43,207,-32
2010-06-30,148,70,-4,66,-19,-32,-4,47,-8,206,-50,-171,11,11,0,-210,0,-1,-1,-12,-12,-32,0,-45,-48,-32
2010-03-31,101.00000,69.00000,16.00000,85.00000,-414.00000,-58.00000,94.00000,-33.00000,-411.00000,-225.00000,-29.00000,-18.00000,,,,-47.00000,,2.00000,2.00000,-8.00000,-8.00000,-32.00000,,-38.00000,-310.00000,-32.00000
2009-12-31,-32,71,199,270,37,-41,24,-168,-148,90,-39,-68,0,52,-1,-56,163,-20,143,-19,-19,-32,0,92,125,-32
2009-09-30,101,69,25,94,17,-50,47,122,136,331,-66,36,0,-52,-5,-87,-14,14,0,6,6,-32,0,-26,218,-32
2009-06-30,65,67,153,220,-57,121,-38,-56,-30,255,-71,-36,0,20,-31,-118,-2,3,1,4,4,-32,0,-27,110,-32
2009-03-31,2.00000,67.00000,-13.00000,54.00000,5.00000,70.00000,-17.00000,-32.00000,26.00000,82.00000,-112.00000,,,-20.00000,24.00000,-108.00000,,6.00000,6.00000,5.00000,5.00000,-32.00000,,-21.00000,-47.00000,-32.00000
