,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2016-09-30,0,0,0,0,0,0,0,0,-31,-71,-70,-64,-64,0,-205,0,0,0,35,35,0,-1,34,-201,0
2016-06-30,0,0,0,0,0,0,0,0,421,-79,0,-23,-23,0,-102,-285,0,-285,46,46,0,22,-217,100,0
2016-03-31,0.00000,,,,,,,,116.00000,-30.00000,,-18.00000,-18.00000,,-48.00000,,,,27.00000,27.00000,,-78.00000,-51.00000,19.00000,
2015-12-31,-239,788,-184,604,-17,3,360,326,420,-85,-92,-57,-57,64,-170,-195,0,-195,17,17,0,-58,-237,14,107
2015-09-30,0,0,0,0,0,0,0,0,408,-70,-1577,-69,-69,-3,-1719,749,0,749,27,27,0,-15,761,-553,0
2015-06-30,0,0,0,0,0,0,0,0,60,-46,-65,-138,-138,3,-246,831,0,831,16,16,0,-1,846,661,0
2015-03-31,0.00000,,,,,,,,-197.00000,-46.00000,,-2.00000,-2.00000,-3.00000,-51.00000,,,,54.00000,54.00000,,-148.00000,-94.00000,-345.00000,
2014-12-31,-119,920,-494,426,53,-81,370,962,440,-79,-25,9,9,12,-83,0,0,0,8,8,0,-22,-14,341,103
2014-09-30,0,0,0,0,0,0,0,0,346,-56,-415,0,0,-2,-473,0,0,0,19,19,0,-1,18,-111,0
2014-06-30,0,0,0,0,0,0,0,0,285,-65,-64,15,15,-10,-124,0,0,0,9,9,0,-3,6,166,0
2014-03-31,0.00000,,,,,,,,198.00000,-59.00000,4.00000,-10.00000,-10.00000,,-65.00000,,,,-101.00000,-101.00000,,-59.00000,-160.00000,-26.00000,
2013-12-31,-121,1165,-117,1048,-101,-7,300,183,275,-84,-274,-18,-18,13,-363,-160,0,-160,-210,-210,0,105,-265,-354,105
2013-09-30,0,0,0,0,0,0,0,0,251,-57,0,-11,-11,-5,-73,-10,0,-10,-35,-35,0,-93,-138,41,0
2013-06-30,0,0,0,0,0,0,0,0,397,-51,30,-4,-4,-3,-28,0,0,0,-91,-91,0,-16,-107,262,0
2013-03-31,0.00000,,,,,,,,187.00000,,,-11.00000,-11.00000,,-11.00000,,,,-90.00000,-90.00000,,-24.00000,-114.00000,61.00000,
2012-12-31,-4068,5175,-131,5044,37,66,312,304,389,-46,-232,-4,-4,9,-273,-147,0,-147,-99,-99,0,-16,-262,-145,108
2012-09-30,0,0,0,0,0,0,0,0,272,-46,10,-17,-17,0,-53,260,-260,0,-239,-239,0,0,-239,-19,0
2012-06-30,0,0,0,0,0,0,0,0,407,-52,-134,-1,-1,0,-187,-149,131,-18,-112,-112,0,-1,-131,87,0
2012-03-31,0.00000,,,,,,,,212.00000,-66.00000,,,,,-66.00000,-120.00000,120.00000,,-129.00000,-129.00000,,-3.00000,-132.00000,17.00000,
2011-12-31,441,1435,-631,804,42,-54,46,-237,349,-67,14,-3,-3,5,-51,425,-425,0,-301,-301,0,-7,-308,-9,128
2011-09-30,0,0,0,0,0,0,0,0,366,-69,9,1,1,0,-59,-175,175,0,-179,-179,0,0,-179,122,0
2011-06-30,0,0,0,0,0,0,0,0,390,-83,1,0,0,0,-82,-750,0,-750,0,0,0,0,-750,-441,0
2011-03-31,0.00000,,,,,,,,-97.00000,-69.00000,1046.00000,-9.00000,-9.00000,,968.00000,-750.00000,250.00000,-500.00000,9.00000,9.00000,,,-491.00000,382.00000,
2010-12-31,-1065,2698,65,2763,52,-5,-272,-1373,449,-58,-201,4,4,4,-251,-612,0,-612,3,3,0,0,-609,-411,150
2010-09-30,0,0,0,0,0,0,0,0,-126,-78,0,-1,-1,0,-79,-200,200,0,14,14,0,0,14,-187,0
2010-06-30,0,0,0,0,0,0,0,0,286,-61,-4,1,1,0,-64,-700,773,73,0,0,0,0,73,292,0
2010-03-31,0.00000,,,,,,,,-284.00000,-70.00000,,-4.00000,-4.00000,,-74.00000,-200.00000,200.00000,,14.00000,14.00000,,,14.00000,-345.00000,
2009-12-31,-1025,846,89,935,1,-92,554,925,-329,-82,-6,-63,-63,91,-60,-2100,1972,-128,1,1,0,0,-127,-517,144
2009-09-30,0,0,0,0,0,0,0,0,484,-91,-486,484,484,0,-93,-225,0,-225,19,19,0,0,-206,187,0
2009-06-30,0,0,0,0,0,0,0,0,419,-74,471,-521,-521,1,-123,0,0,0,1,1,0,0,1,297,0
2009-03-31,0.00000,,,,,,,,261.00000,-60.00000,-506.00000,50.00000,50.00000,-1.00000,-517.00000,-500.00000,,-500.00000,12.00000,12.00000,,,-488.00000,-744.00000,
