,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-03-31,0.00000,,,,,,,,,1296.00000,,-160.00000,-214.00000,-374.00000,-111.00000,-485.00000,-31.00000,,-31.00000,-1041.00000,-547.00000,-422.00000,1218.00000,218.00000,1226.00000,-416.00000
2017-12-31,4020,-249,2903,2654,-991,0,-280,9676,5609,2050,0,2296,-1019,1277,-995,282,-1112,0,-1112,-622,-622,-467,-394,-2595,-322,-422
2017-09-30,0,0,0,0,0,0,0,0,0,4734,-211,-1123,-7189,-8312,-1486,-10009,601,0,601,-495,-495,-433,1210,883,-4296,-427
2017-06-30,0,0,0,0,0,0,0,0,0,3401,0,2806,-4550,-1744,-1129,-2873,160,0,160,-952,-952,-477,576,-693,-92,-431
2017-03-31,0.00000,,,,,,,,,2098.00000,,-1892.00000,-1366.00000,-3258.00000,-1018.00000,-4276.00000,-16.00000,,-16.00000,-858.00000,-858.00000,-443.00000,2816.00000,1499.00000,-466.00000,-437.00000
2016-12-31,854,-458,6545,6087,-2158,111,-31,11433,7833,5643,-156,3502,7362,10864,-1972,8736,-19,0,-19,-302,-302,-486,-10970,-11777,1994,-441
2016-09-30,0,0,0,0,0,0,0,0,0,2927,156,-1817,-1953,-3770,-1064,-4678,-38,0,-38,0,0,-447,1098,613,-1184,-441
2016-06-30,0,0,0,0,0,0,0,0,0,4291,0,1887,-5342,-3455,-714,-4169,-1273,0,-1273,0,0,-487,5136,3376,3777,-441
2016-03-31,0.00000,,,,,,,,,1913.00000,,-2302.00000,-3915.00000,-6217.00000,478.00000,-5739.00000,-17.00000,,-17.00000,-70.00000,-70.00000,-419.00000,4797.00000,4291.00000,538.00000,-413.00000
2015-12-31,5385,-448,-2511,-2959,-831,784,138,10820,11626,4525,0,5867,-8171,-2304,-1187,-3491,1942,0,1942,-823,-823,-468,983,1634,2536,-419
2015-09-30,0,0,0,0,0,0,0,0,0,2639,0,-411,-182,-593,446,-147,16,0,16,-107,-679,-426,801,-288,2142,-420
2015-06-30,0,0,0,0,0,0,0,0,0,4202,0,-543,1364,821,-681,140,-1045,0,-1045,-14,539,-451,-3330,-4287,-53,-420
2015-03-31,0.00000,,,,,,,,,2686.00000,,-5690.00000,-403.00000,-6093.00000,-807.00000,-6900.00000,1485.00000,,1485.00000,-986.00000,-986.00000,-424.00000,1648.00000,1723.00000,-2681.00000,-394.00000
2014-12-31,6336,102,-2394,-2292,-650,-739,207,11439,12332,5426,-452,3671,-5436,-1765,-1169,-3386,-60,0,-60,443,443,-429,325,279,2025,-398
2014-09-30,0,0,0,0,0,0,0,0,0,4029,0,122,-4772,-4650,-319,-4969,-318,0,-318,-439,-439,-425,3593,2411,1390,-395
2014-06-30,0,0,0,0,0,0,0,0,0,4437,452,1327,-9611,-8284,-1032,-8864,-24,0,-24,-4,-4,-426,3679,3225,-1180,-395
2014-03-31,0.00000,,,,,,,,,2484.00000,,47.00000,2720.00000,2767.00000,-603.00000,2164.00000,-1460.00000,-75.00000,-1535.00000,,,-341.00000,-1783.00000,-3659.00000,988.00000,-311.00000
2013-12-31,3393,547,3917,4464,-582,-1433,293,9125,8274,6147,-1833,-1317,-4044,-5361,-1396,-8590,391,67,458,0,0,-342,-1439,-1323,-3791,-311
2013-09-30,0,0,0,0,0,0,0,0,0,2670,13,392,1579,1971,-706,1278,-409,0,-409,1000,1000,-333,-2052,-1794,2192,-303
2013-06-30,0,0,0,0,0,0,0,0,0,4581,0,577,2739,3316,-1450,1866,-116,0,-116,0,0,-333,-6665,-7114,-799,-302
2013-03-31,0.00000,,,,,,,,,2733.00000,373.00000,3303.00000,-4664.00000,-1361.00000,-8731.00000,-9719.00000,-240.00000,8.00000,-232.00000,,,-233.00000,1789.00000,1324.00000,-5755.00000,-203.00000
2012-12-31,1362,170,4869,5039,-109,1900,219,9632,10759,1872,560,-2232,4833,2601,-1015,2146,-596,-117,-713,1000,1000,-842,-4662,-5217,-1212,-811
2012-09-30,0,0,0,0,0,0,0,0,0,3186,0,3862,-4596,-734,-564,-1298,666,-336,330,0,0,-30,-1339,-1039,915,0
2012-06-30,0,0,0,0,0,0,0,0,0,6344,0,-6559,-8354,-14913,-31,-14944,-1022,-3711,-4733,0,0,-31,10815,6051,-2632,0
2012-03-31,0.00000,,,,,,,,,5758.00000,,5522.00000,-1382.00000,4140.00000,-1973.00000,2167.00000,-349.00000,-635.00000,-984.00000,,,-30.00000,1254.00000,240.00000,8206.00000,0.00000
2011-12-31,6415,202,-4713,-4511,58,648,525,5396,8369,1239,-33,-1441,2898,1457,-299,1125,-1352,-28,-1380,-77,-77,-818,475,-1800,409,-787
2011-09-30,0,0,0,0,0,0,0,0,0,2246,0,-3612,-3538,-7150,700,-6450,-352,986,634,4,4,-30,3988,4596,379,0
2011-06-30,0,0,0,0,0,0,0,0,0,3289,0,-3670,-4865,-8535,-266,-8801,475,316,791,26,26,-31,3538,4324,-1135,0
2011-03-31,0.00000,,,,,,,,,3499.00000,,774.00000,-7814.00000,-7040.00000,-1052.00000,-8092.00000,31.00000,-761.00000,-730.00000,2997.00000,46.00000,-30.00000,2976.00000,2262.00000,-2238.00000,
2010-12-31,2663,-493,80,-413,-1023,-1369,-206,7102,5735,2792,-3021,6185,-1116,5069,-982,1066,128,-824,-696,-32,-32,-815,-3705,-5248,-1511,-784
2010-09-30,0,0,0,0,0,0,0,0,0,1265,0,-1818,-6967,-8785,-464,-9249,3734,716,4450,3535,3535,-30,3813,11768,3855,0
2010-06-30,0,0,0,0,0,0,0,0,0,1057,0,-1720,-1503,-3223,701,-2522,326,282,608,26,26,-31,2413,3016,1500,0
2010-03-31,0.00000,,,,,,,,,2871.00000,,386.00000,-7732.00000,-7346.00000,-252.00000,-7598.00000,-159.00000,-812.00000,-971.00000,,,-30.00000,4846.00000,3845.00000,-910.00000,
2009-12-31,-2278,-447,8775,8328,-1653,-1152,-110,3282,-2247,1085,0,-1488,-4816,-6304,-274,-6578,25,1352,1377,8,8,-641,-721,23,-5450,-610
2009-09-30,0,0,0,0,0,0,0,0,0,3945,-23,1261,877,2138,-591,1524,790,-2098,-1308,0,0,-30,-1786,-3124,2349,0
2009-06-30,0,0,0,0,0,0,0,0,0,-242,0,2779,-8309,-5530,-1733,-7263,1789,-885,904,0,0,-31,293,1166,-6211,0
2009-03-31,0.00000,,,,,,,,,-985.00000,-46.00000,2982.00000,-6020.00000,-3038.00000,1466.00000,-1618.00000,407.00000,3823.00000,4230.00000,1035.00000,1035.00000,-30.00000,-7403.00000,-2168.00000,-4815.00000,
