,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-04-30,392.00000,646.00000,62.00000,708.00000,2774.00000,15.00000,-1364.00000,865.00000,1965.00000,-159.00000,-10.00000,-557.00000,-557.00000,,-726.00000,-12.00000,-12.00000,219.00000,219.00000,,207.00000,1441.00000,343.00000
2019-01-31,362,451,204,655,-2888,208,2604,314,1331,-167,0,-211,-211,0,-378,-522,-522,136,136,0,-386,564,329
2018-10-31,105,447,288,735,-48,-42,-615,-697,143,-136,-130,-279,-279,0,-545,-3,-3,185,185,0,182,-214,351
2018-07-31,299,436,208,644,-149,71,-515,-485,458,-170,-4803,312,312,0,-4661,407,407,182,182,0,589,-3603,351
2018-04-30,344.00000,385.00000,41.00000,426.00000,2162.00000,50.00000,-1010.00000,696.00000,1466.00000,-122.00000,-182.00000,580.00000,580.00000,,276.00000,1424.00000,1424.00000,201.00000,201.00000,,1625.00000,3379.00000,252.00000
2018-01-31,206,337,215,552,-2399,-12,2313,294,1052,-138,-5,-441,-441,0,-584,-146,-146,165,165,0,19,471,238
2017-10-31,107,358,250,608,51,67,-708,-590,125,-111,0,-24,-24,0,-135,-8,-8,142,142,0,134,123,251
2017-07-31,46,347,264,611,-130,203,-399,-326,331,-128,0,-396,-396,0,-524,-66,-66,183,183,0,117,-76,256
2017-04-30,1.00000,334.00000,249.00000,583.00000,1759.00000,-297.00000,-816.00000,646.00000,1230.00000,-157.00000,-20.00000,-591.00000,-591.00000,,-768.00000,-209.00000,-209.00000,160.00000,160.00000,,-49.00000,418.00000,252.00000
2017-01-31,91.928,389.66,453.682,843.342,-1909.798,310.058,1301.418,-229.322,705.948,-144.016,-360.89,7.4001,7.4001,0,-497.506,175.21,175.21,85.135,85.135,0,260.345,461.627,244.02
2016-10-31,-37.309,269.857,-23.047,246.81,42.653,57.836,-155.678,-55.189,154.312,-140.653,-32.117,-21.0141,-21.0141,0,-193.784,-10.997,-10.997,92.846,92.846,0,81.849,30.51,204.751
2016-07-31,229.622,245.012,182.31,427.322,-73.167,-46.666,-286.433,-406.266,250.678,-96.03,-2798.194,1351.792,1351.792,0,-1542.432,482.755,482.755,133.878,133.878,0,616.633,-683.857,182.31
2016-04-30,38.75900,228.47100,176.05500,404.52600,1307.31200,-286.22800,-413.30700,607.77700,1051.06200,-83.30100,-1.79900,-365.17800,-365.17800,,-450.27800,-49.96800,-49.96800,89.14100,89.14100,,39.17300,640.72000,188.91900
2016-01-31,-25.509,225.395,158.972,384.367,-1435.439,253.986,1305.079,111.35,470.208,-68.465,0,-536.7669,-536.7669,0,-605.232,-13.486,-13.486,87.652,87.652,0,74.166,-64.955,158.972
2015-10-31,-25.157,220.308,122.525,342.833,15.262,45.301,-228.001,-155.162,162.514,-80.041,-27.759,-132.012,-132.012,127.066,-112.746,-10.945,-10.945,98.016,98.016,0,87.071,133.967,144.317
2015-07-31,-0.852,215.645,147.779,363.424,-141.418,193.771,-110.647,-58.294,304.278,-64.883,-18.451,-153.875,-153.875,3.432,-233.777,-41.074,-41.074,114.799,114.799,0,73.725,147.395,147.779
2015-04-30,4.09200,210.94300,105.94300,316.88600,979.17000,-239.07200,-325.99500,414.10300,735.08100,-71.08700,-12.47000,-145.05700,-145.05700,-307.50900,-536.12300,-316.82500,-316.82500,155.01500,155.01500,,-161.81000,33.83900,142.56000
2015-01-31,-65.765,197.514,155.345,352.859,-1110.916,159.973,958.908,52.8589,339.953,-85.354,0,-48.394,-48.394,-11.5,-145.248,-191.016,-191.016,82.428,82.428,-3.447,-112.035,61.792,151.802
2014-10-31,-38.924,186.745,123.954,310.699,39.792,42.961,-187.123,-149.2639,122.511,-73.426,38.071,-98.216,-98.216,77.305,-56.266,-72.665,-72.665,91.337,91.337,1.221,19.893,71.6,139.46
2014-07-31,-61.088,178.845,149.587,328.432,-150.168,142.638,-13.921,-21.451,245.893,-71.576,0,-215.9,-215.9,1,-286.476,-61.533,-61.533,61.429,61.429,-6.815,-6.919,-53.166,142.411
2014-04-30,-96.91100,182.45400,130.58000,313.03400,676.68200,-185.59900,-234.11900,256.96400,473.08700,-60.09800,,-180.27200,-180.27200,30.00000,-210.37000,-301.98600,-301.98600,73.79500,73.79500,9.04100,-219.15000,46.25600,131.09200
2014-01-31,-116.623,182.877,130.775,313.652,-756.792,-29.043,733.89,74.209,271.238,-69.849,-2.57,-121.0179,-121.0179,0,-193.437,-21.544,-21.544,72.502,72.502,5.978,56.936,129.885,136.539
2013-10-31,-124.434,175.698,139.958,315.656,-4.502,0,-89.265,-53.363,137.859,-72.702,0,-90.8201,-90.8201,0,-163.522,-19.94,-19.94,110.71,110.71,1.578,92.348,71.869,141.536
2013-07-31,76.603,137.349,111.754,249.103,-33.297,95.808,-38.476,-142.523,183.183,-102.549,-2592.571,839.8001,839.8001,0,-1855.32,286.392,286.392,40.195,40.195,-1.278,325.309,-1348.109,110.476
2013-04-30,-67.72100,117.63400,112.86300,230.49700,369.88900,-95.80800,-153.66800,120.41300,283.18900,-54.01000,-22.16100,-143.10500,-143.10500,,-219.27600,1124.25100,1124.25100,-2.47600,-2.47600,1.86600,1123.64100,1180.74500,114.72900
2013-01-31,-20.844,107.689,121.527,229.216,-454.044,193.358,304.494,73.201,281.573,-50.522,-4.994,-122.802,-122.802,0,-178.318,-9.037,-9.037,147.492,147.492,-13.972,124.483,225.525,107.555
2012-10-31,-220.297,105.501,101.952,207.453,33.664,0,98.299,118.759,105.915,-51.054,-515.76,-91.0849,-91.0849,0,-657.899,-7.664,-7.664,76.483,76.483,3.16,71.979,-479.01,105.112
2012-07-31,-9.829,92.153,70.715,162.868,-75.522,0,-69.391,-16.842,136.197,-29.304,-10.078,411.668,411.668,0,372.286,-7.479,-7.479,33.824,33.824,14.702,41.047,559.945,85.417
2012-04-30,-19.47500,90.35600,70.22300,160.57900,312.66000,,-96.29200,72.10800,213.21200,-44.72100,-48.91300,-377.24700,-377.24700,-4.10600,-474.98700,-7.57400,-7.57400,93.56700,93.56700,11.04300,97.03600,-166.49900,81.26600
2012-01-31,-4.078,80.52,75.094,155.614,-365.099,71.408,377.566,88.811,240.347,-44.602,-57.914,-48.255,-48.255,-6.565,-157.336,-8.737,-8.737,26.203,26.203,-4.994,12.472,104.297,70.1
2011-10-31,-3.756,70.553,50.114,120.667,30.101,5.944,-37.328,11.798,128.709,-34.678,-66.115,17.659,17.659,-6.654,-89.788,-7.685,-7.685,15.794,15.794,6.892,15.001,53.193,57.006
2011-07-31,-4.268,67.232,52.508,119.74,-66.076,4.121,-18.208,-32.539,82.933,-45.051,-285.335,13.88,13.88,-5.422,-321.928,-10.549,-10.549,42.282,42.282,-11.314,20.419,-214.818,54.594
2011-04-30,0.53000,56.52300,45.52400,102.04700,156.12700,-1.13700,-52.40800,36.94100,139.51800,-27.31400,-13.33500,121.02500,121.02500,-1.01400,79.36200,-3.56200,-3.56200,32.28600,32.28600,-0.76600,27.95800,240.32000,47.55800
2011-01-31,10.87,48.325,52.491,100.816,-169.833,126.75,192.479,54.076,165.762,-30.576,-247.994,165.7411,165.7411,-269.944,-382.773,-3.198,-3.198,24.685,24.685,-10.777,10.71,-206.011,41.714
2010-10-31,22.368,46.324,11.054,57.378,-30.212,2.575,-35.995,-5.706,74.04,-20.79,-3.834,276.3399,276.3399,-8,243.716,-3.116,-3.116,-106.617,-106.617,14.578,-95.155,220.378,25.632
2010-07-31,16.583,41.432,3.713,45.145,-41.413,5.583,-7.18,14.368,76.096,-27.831,-151.503,-236.03,-236.03,0,-415.364,-2.123,-2.123,34.127,34.127,22.902,54.906,-280.869,26.615
2010-04-30,19.87600,39.44500,17.18000,56.62500,138.95100,-1.65800,-50.62700,66.68200,143.18300,-11.69000,,-496.44300,-496.44300,,-508.13300,-1.91800,-1.91800,36.24300,36.24300,9.28800,43.61300,-320.51200,26.46800
2010-01-31,22.415,33.947,6.942,40.889,-129.877,-0.826,129.626,28.256,91.56,-7.056,-7.499,109.558,109.558,0,95.003,564.879,564.879,-6.227,-6.227,19.003,577.655,768.418,25.945
2009-10-31,21.443,29.299,13.006,42.305,-22.515,2.228,-34.986,-28.228,35.52,-10.389,-4.5,-44.943,-44.943,0,-59.832,-2.398,-2.398,18.559,18.559,7.401,23.562,-3.281,20.407
2009-07-31,21.841,27.459,5.19,32.649,-22.816,-2.368,-10.508,-8.635,45.855,-18.628,0,-139.093,-139.093,0,-157.721,-2.258,-2.258,5.139,5.139,15.687,18.568,-95.536,20.877
2009-04-30,18.99300,27.09100,12.21500,39.30600,120.68600,-0.62200,-61.45000,39.67700,97.97600,-13.42800,,-242.63800,-242.63800,,-256.06600,-1.24800,-1.24800,9.16800,9.16800,9.44800,17.36800,-142.12900,21.66300
2009-01-31,48.035,94.703,24.552,119.255,-44.798,8.512,43.113,62.267,229.557,-61.059,-27.907,-10.409,-10.409,0,-99.375,-0.997,-0.997,21.689,21.689,54.597,75.289,204.739,77.366
