,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,121.698,130.298,14.265,144.563,27.644,15.918,33.583,124.526,390.787,-135.878,0,0,0,0.06,-135.818,0,0.506,0.506,-0.788,-0.788,-28.487,0,-28.769,226.2,16.002,-28.487
2020-03-31,104.83400,130.09500,46.41600,176.51100,33.54900,-5.39200,-60.02900,-32.18200,249.16300,-128.73600,,,,0.02800,-128.70800,,0.50700,0.50700,-78.82000,-78.82000,-28.68800,,-107.00100,13.45400,18.06300,-28.68800
2019-12-31,144.676,128.417,80.901,209.318,40.731,-149.905,-21.331,-193.242,160.752,-101.5901,-17.422,0,0,-0.034,-119.046,0,0.508,0.508,-54.616,-54.616,-27.73,0,-81.838,-40.132,11.17,-27.73
2019-09-30,118.41,126.804,-3.563,123.241,-10.933,31.563,39.759,89.283,330.934,-111.2759,0.311,0,0,-0.032,-110.997,0,-77.593,-77.593,-46.278,-46.278,-27.809,0,-151.68,68.257,13.85,-27.809
2019-06-30,133.633,123.994,34.84,158.834,-37.597,47.34,31.018,63.453,355.92,-263.185,0,0,0,-0.03,-263.215,0,78.581,78.581,-188.768,-188.768,-28.006,0,-138.193,-45.488,14.733,-28.006
2019-03-31,119.60100,119.93000,49.33700,169.26700,58.10900,-14.32500,-54.42100,-38.12700,250.74100,-212.14600,-98.54300,,,-0.01500,-310.70400,450.00000,-314.48200,135.51800,-2.52000,-2.52000,-28.27200,,104.72600,44.76300,13.57100,-28.27200
2018-12-31,88.681,114.086,138.884,252.97,43.94,20.78,-10.78,-31.413,310.238,-300.508,0,0,0,-0.01,-300.518,0,68.3533,68.3533,-51.851,-51.851,-26.209,0,-9.707,0.013,10.185,-26.209
2018-09-30,131.11,108.801,-21.273,87.528,-76.016,43.541,31.34,29.932,248.57,-230.846,0,0,0,0.015,-230.831,0,69.7339,69.7339,-68.875,-68.875,-26.202,0,-25.343,-7.604,11.183,-26.202
2018-06-30,151.652,107.423,25.193,132.616,-118.719,44.366,22.496,-16.853,267.415,-175.086,0,0,0,-0.994,-176.08,0,-7.908,-7.908,-49.076,-49.076,-26.242,0,-83.226,8.109,13.965,-26.242
2018-03-31,118.14200,105.58300,18.26300,123.84600,19.86400,-10.65000,-49.18900,19.63000,261.61800,-179.04500,,,,-0.29900,-179.34400,,-63.36400,-63.36400,-0.09900,-0.09900,-26.34100,,-89.80400,-7.53000,12.03600,-26.34100
2017-12-31,385.307,102.32,-175.731,-73.411,-52.679,-14.783,11.232,-85.292,226.604,-195.677,0.751,0,0,-0.247,-195.173,0,0.764,0.764,-0.048,-0.048,-25.242,0,-24.526,6.905,7.338,-25.242
2017-09-30,100.385,95.96,3.722,99.682,-109.678,86.751,10.956,-14.965,185.102,-149.746,-137.63,0,0,-0.177,-287.553,0,146.863,146.863,-18.736,-18.736,-25.243,0,102.884,0.433,7.843,-25.243
2017-06-30,97.869,93.049,-25.661,67.388,-41.609,40.17,12.211,-7.443,157.814,-74.085,0,0,0,0.003,-74.082,0,-14.3369,-14.3369,-49.107,-49.107,-25.275,0,-88.719,-4.987,11.94,-25.275
2017-03-31,102.70200,92.18900,14.80700,106.99600,37.85500,-26.90100,35.06300,75.93500,285.63300,-91.00700,,,,-3.46700,-94.47400,,-29.63600,-29.63600,-130.03700,-130.03700,-25.60200,,-185.27500,5.88400,11.17000,-25.60200
2016-12-31,117.556,91.793,73.151,164.944,-2.59,3.991,-87.42,-112.32,170.18,-126.502,0,0,0,-0.115,-126.617,0,56.3631,56.3631,-75.029,-75.029,-24.513,0.512,-42.667,0.896,10.452,-24.513
2016-09-30,109.425,91.001,-2.921,88.08,-42.701,45.56,16.818,12.32,209.825,-100.796,0,0,0,-0.01,-100.806,0,-3.7901,-3.7901,-92.398,-92.398,-24.879,6.252,-114.815,-5.796,7.258,-24.879
2016-06-30,105.011,90.364,0.04,90.404,-48.96,-29.901,11.347,-26.173,169.242,-143.5,0,0,0,-0.005,-143.505,0,3.157,3.157,0.946,0.946,-24.788,0.233,-20.452,5.285,11.943,-24.788
2016-03-31,100.09800,88.35200,26.25900,114.61100,-26.74300,41.16800,22.15400,90.18700,304.89600,-114.45800,,,,-0.00200,-114.46000,,-64.66800,-64.66800,-100.57900,-100.57900,-24.81000,0.04700,-190.01000,0.42600,10.97200,-24.81000
2015-12-31,116.745,88.374,96.016,184.39,25.614,-19.044,-62.084,-124.787,176.348,-125.776,0,0,0,-0.001,-125.777,0,25.249,25.249,-50.158,-50.158,-24.069,-1.569,-50.547,0.024,10.218,-24.069
2015-09-30,115.139,86.201,10.797,96.998,-6.157,9.943,20.627,31.286,243.423,-131.414,0,0,0,0.002,-131.412,99.129,0.288,99.417,-199.87,-199.87,-24.35,12.748,-112.055,-0.044,6.313,-24.35
2015-06-30,103.419,83.66,-21.858,61.802,-34.069,15.959,9.286,32.773,197.994,-157.902,0,0,0,-0.097,-157.999,0,12.106,12.106,-28.32,-28.32,-24.477,0.638,-40.056,-0.061,10.568,-24.477
2015-03-31,91.93200,81.37800,31.41900,112.79700,22.62300,1.74200,5.67800,50.81400,255.54300,-141.34400,,,,-20.00000,-161.34400,,-65.30900,-65.30900,-5.79900,-5.79900,-24.46800,1.06000,-94.51300,-0.31400,10.12900,-24.46800
2014-12-31,110.306,78.387,97.94,176.327,30.44,-23.786,-71.856,-126.219,160.414,-180.485,0,0,0,0.008,-180.477,0,94.9781,94.9781,-50.376,-50.376,-23.437,-1,20.165,0.102,9.211,-23.437
2014-09-30,102.415,75.416,14.362,89.778,-3.678,-7.788,3.685,-6.829,185.364,-126.373,0,0,0,0.012,-126.361,0,-27.992,-27.992,-19.81,-19.81,-23.42,12.208,-59.014,-0.011,7.308,-23.42
2014-06-30,93.407,71.726,-5.962,65.764,-32.509,11.82,17.182,-17.215,141.956,-194.64,0,0,0,0.009,-194.631,-100,123.59,23.59,-71.077,-71.077,-23.297,5.117,-65.667,-118.342,8.842,-23.297
2014-03-31,68.66400,68.96700,1.99400,70.96100,-66.59200,35.03800,8.25900,19.42000,159.04500,-158.21200,,,,,-158.21200,349.64200,-209.13200,140.51000,0.16800,0.16800,-23.45000,0.32000,117.54800,118.38100,9.97200,-23.45000
2013-12-31,91.864,66.076,40.321,106.397,16.395,-25.866,-41.144,-35.138,163.123,-108.88,0,0,0,-0.002,-108.882,0,14.262,14.2621,-49.368,-49.368,-17.585,-1.687,-54.378,-0.137,8.752,-17.585
2013-09-30,89.473,64.291,21.713,86.004,-5.271,-60.077,6.884,-57.82,117.657,-121.932,0,0,0,-0.034,-121.966,-50,71.214,21.214,-14.827,-14.827,-17.671,15.638,4.354,0.045,5.625,-17.671
2013-06-30,87.696,62.283,0.834,63.117,-50.31,-10.773,15.172,-64.001,86.812,-96.634,0,0,0,0.011,-96.623,0,80.057,80.057,-59.448,-59.448,-17.555,6.933,9.987,0.176,8.84,-17.555
2013-03-31,73.34900,60.73000,12.22800,72.95800,-63.32200,108.24600,-4.16600,60.45200,206.75900,-115.05800,,,,-0.01200,-115.07000,-50.00000,-42.95700,-92.95700,0.36000,0.36000,,1.06600,-91.53100,0.15800,9.13700,
2012-12-31,83.977,59.046,18.247,77.293,38.241,-63.274,-25.661,-30.565,130.705,-90.642,0,0,0,0.455,-90.187,0,40.4529,40.4529,-48.737,-48.737,-34.106,1.802,-40.588,-0.07,7.736,-34.106
2012-09-30,78.241,57.773,21.923,79.696,-32.175,27.947,8.058,-1.177,156.76,-108.157,0,0,0,-0.394,-108.551,-50,17.479,-32.521,-8.747,-8.747,-16.545,9.376,-48.437,-0.228,5.59,-16.545
2012-06-30,80.452,56.227,2.643,58.87,-24.371,-1.637,16.929,-25.015,114.307,-87.098,0,0,0,0.008,-87.09,0,-21.28,-21.28,3.855,3.855,-16.394,6.776,-27.043,0.174,8.288,-16.394
2012-03-31,67.68400,56.12000,-9.14800,46.97200,-36.22700,52.06100,-4.15200,31.61600,146.27200,-83.78200,,,,0.01600,-83.76600,,-49.21100,-49.21100,1.21800,1.21800,-16.38600,2.13600,-62.24300,0.26300,8.10100,-16.38600
2011-12-31,72.565,55.631,80.636,136.267,13.155,-26.494,-30.632,-61.349,147.483,-121.603,0,0,0,-0.01,-121.613,0,-16.511,-16.511,1.444,1.444,-15.192,2.092,-28.167,-2.297,9.003,-15.192
2011-09-30,68.65,54.404,30.254,84.658,16.121,1.618,7.66,27.228,180.536,-113.303,0,0,0,0.264,-113.039,0,103.664,103.664,-163.672,-163.672,-15.658,4.767,-70.899,-3.402,5.205,-15.658
2011-06-30,65.696,52.551,30.247,82.798,-37.833,22.301,11.005,22.596,171.09,-98.617,0,0,0,0.098,-98.519,0,-33.062,-33.062,-26.11,-26.11,-15.641,7.998,-66.815,5.756,7.129,-15.641
2011-03-31,50.09500,51.35700,-10.69400,40.66300,-51.73500,58.75400,13.26500,45.82500,136.58300,-112.34600,,,,-0.01200,-112.35800,,42.87000,42.87000,-54.30600,-54.30600,-15.75200,0.70500,-26.48300,-2.25800,5.50400,-15.75200
2010-12-31,57.853,50.094,44.646,94.74,19.934,-29.166,-34.104,-54.752,97.841,-80.572,0,0,0,-0.035,-80.607,0.043,7.521,7.564,-74.139,-74.139,-14.805,3.237,-78.143,-60.909,6.416,-14.805
2010-09-30,52.17,49.808,3.156,52.964,-7.452,21.735,5.383,16.273,121.407,-41.415,0,0,0,0.003,-41.412,249.164,-216.907,32.257,-41.12,-41.12,-14.852,4.566,-19.149,60.846,4.195,-14.852
2010-06-30,52.112,49.148,-2.358,46.79,-22.009,19.599,18.148,23.253,122.155,-56.272,0,0,0,0.016,-56.256,0,74.748,74.748,-129.224,-129.224,-14.982,3.486,-65.972,-0.073,5.593,-14.982
2010-03-31,37.48200,48.01200,14.51000,62.52200,-31.32100,-10.28500,1.14700,-13.32900,86.67500,-47.67300,,,,-0.06800,-47.74100,,-24.97700,-24.97700,0.39300,0.39300,-15.27100,0.86500,-38.99000,-0.05600,5.19300,-15.27100
2009-12-31,41.665,47.49,8.326,55.816,29.653,29.722,-45.579,11.282,108.763,-40.466,0,5.641,5.641,-0.251,-35.076,0,-59.941,-59.941,0.5,0.5,-13.99,2.876,-70.555,3.132,5.148,-13.99
2009-09-30,39.963,47.098,61.223,108.321,-31.9,3.489,9.618,-50.762,97.522,-66.615,0,1.27,1.27,0.075,-65.27,-61.5,43.198,-18.302,0.291,0.291,-13.96,0.86,-31.111,1.141,2.919,-13.96
2009-06-30,24.049,47.094,-14.873,32.221,-29.653,18.401,20.932,21.046,77.316,-88.098,0,0.185,0.185,-2.327,-90.24,-3.5,19.817,16.317,4.223,4.223,-13.873,6.251,12.918,-0.006,4.943,-13.873
2009-03-31,30.75800,47.36300,2.65100,50.01400,1.72000,-37.72100,17.53000,-7.45000,73.32200,-46.59400,,0.55000,0.55000,-7.32100,-53.36500,-3.50000,-1.73000,-5.23000,0.13000,0.13000,-13.86900,0.21500,-18.75400,1.20300,4.55600,-13.86900
