,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2016-03-31,92.00000,312.00000,-39.00000,273.00000,103.00000,-4.00000,56.00000,64.00000,239.00000,604.00000,-4.00000,-13.00000,,,,-17.00000,-423.00000,-423.00000,-164.00000,-164.00000,27.00000,-560.00000,40.00000,9.00000
2015-12-31,169,320,246,566,61,8,-203,-55,-297,438,25,0,-3,-3,0,22,-276,-276,-122,-122,-49,-447,8,12
2015-09-30,215,318,-79,239,-109,3,-206,20,-147,307,-288,-28,0,0,0,-316,100,100,-166,-166,56,-10,-29,12
2015-06-30,86,309,106,415,-44,1,217,-21,74,575,-593,-58,0,0,0,-651,228,228,-157,-157,-54,17,-57,11
2015-03-31,115.00000,307.00000,-25.00000,282.00000,81.00000,-4.00000,184.00000,18.00000,278.00000,675.00000,-225.00000,,,,,-225.00000,32.00000,32.00000,-343.00000,-343.00000,-24.00000,-335.00000,99.00000,14.00000
2014-12-31,194,315,80,395,-2,34,-220,-62,-254,335,-90,-4,0,0,0,-94,-42,-42,-214,-214,11,-245,-10,26
2014-09-30,192,310,40,350,-107,8,-118,15,-130,412,-340,4,0,0,0,-336,75,75,-152,-152,6,-71,-2,17
2014-06-30,94,304,64,368,-39,1,152,-1,84,546,-584,-755,0,0,0,-1339,899,899,-185,-185,16,730,-57,19
2014-03-31,60.00000,282.00000,1.00000,283.00000,47.00000,-32.00000,163.00000,-4.00000,165.00000,508.00000,-230.00000,-1.00000,,,,-231.00000,-145.00000,-145.00000,-60.00000,-60.00000,-13.00000,-218.00000,52.00000,12.00000
2013-12-31,140,289,28,317,-3,20,-73,67,-21,436,31,0,0,0,0,31,-410,-410,-15,-15,14,-411,50,12
2013-09-30,143,283,34,317,-51,21,-241,-13,-223,237,-398,-9,0,0,0,-407,218,218,-15,-15,-44,159,-8,15
2013-06-30,83,275,10,285,-31,-9,202,-24,101,469,-626,0,0,0,0,-626,196,196,-52,-52,4,148,-14,10
2013-03-31,21.00000,272.00000,-16.00000,256.00000,65.00000,-34.00000,121.00000,30.00000,132.00000,409.00000,-175.00000,,,,,-175.00000,-164.00000,-164.00000,-27.00000,-27.00000,,-191.00000,41.00000,9.00000
2012-12-31,41,278,39,317,8,20,-121,-1,-132,226,-38,0,0,0,0,-38,-141,-141,1,1,-9,-149,38,9
2012-09-30,73,280,48,328,-97,17,-198,-1,-248,153,-172,0,0,0,0,-172,55,55,-7,-7,-3,45,27,10
2012-06-30,-52,228,91,319,-47,2,-76,-2,-179,88,-386,-1108,0,0,0,-1494,-1237,-1237,-101,-101,2760,1422,15,9
2012-03-31,13.00000,134.00000,-15.00000,119.00000,50.00000,-41.00000,172.00000,-14.00000,122.00000,254.00000,-343.00000,-57.00000,,,,-400.00000,2966.00000,2966.00000,-3.00000,-3.00000,-2828.00000,135.00000,-10.00000,4.00000
2011-12-31,29,134,39,173,-2,14,-33,-4,-43,159,-60,-78,0,0,0,-138,0,0,4,15,-27,-12,10,3
2011-09-30,65,129,9,138,-45,13,-46,4,-46,157,-185,-55,0,0,0,-240,54,54,1,-10,9,53,-32,3
2011-06-30,27,123,-3,120,-51,-6,57,-9,-5,142,-260,-143,0,0,0,-403,95,95,26,26,-9,112,-147,4
2011-03-31,-20.00000,116.00000,-19.00000,97.00000,36.00000,-24.00000,90.00000,-6.00000,77.00000,154.00000,-84.00000,,,,,-84.00000,-70.00000,-70.00000,-3.00000,-3.00000,,-73.00000,2.00000,2.00000
2010-12-31,-21,123,9,132,24,9,-35,-1,-2,109,-26,0,0,0,0,-26,-39,-39,1,1,-18,-56,33,2
2010-09-30,23,118,11,129,-55,12,-22,7,-28,124,-86,0,0,0,0,-86,98,98,0,0,-1,97,140,2
2010-06-30,12,116,-24,92,-24,-14,51,18,-3,101,-93,0,0,0,0,-93,10,10,0,0,0,10,10,3
2010-03-31,-40.00000,115.00000,-25.00000,90.00000,17.00000,-2.00000,10.00000,37.00000,68.00000,118.00000,-18.00000,,,,,-18.00000,-252.00000,-252.00000,-1.00000,-1.00000,-1.00000,-254.00000,-149.00000,1.00000
2009-12-31,-26,120,21,141,34,9,-15,-49,-30,85,-40,1,0,0,0,-39,18,18,-1,-1,-45,-28,20,2
2009-09-30,0,118,4,122,11,3,-3,4,26,148,-24,-25,0,0,0,-49,-83,-83,0,0,-1,-84,24,2
2009-06-30,-17,129,2,131,-10,4,-11,2,-33,81,-11,1,0,0,0,-10,-35,-35,0,0,-14,-49,29,2
2009-03-31,-19.00000,124.00000,-10.00000,114.00000,93.00000,,-3.00000,7.00000,29.00000,124.00000,6.00000,-2.00000,,,,4.00000,-106.00000,-106.00000,,,-1.00000,-107.00000,19.00000,2.00000
